日期,假日名稱,說明,備註
2023/01/01,中華民國開國紀念日,依規定放假1日。<br>1月1日適逢星期日，於1月2日（星期一）補假1日。,
2023/01/02,中華民國開國紀念日,依規定放假1日。<br>1月1日適逢星期日，於1月2日（星期一）補假1日。,
2023/01/03,國曆新年開始交易日,國曆新年開始交易。,o
2023/01/17,農曆春節前最後交易日,農曆春節前最後交易。<br>1月18日及1月19日市場無交易，僅辦理結算交割作業。,o
2023/01/18,市場無交易，僅辦理結算交割作業,,*
2023/01/19,市場無交易，僅辦理結算交割作業,,*
2023/01/20,農曆除夕前一日,1月20日（星期五）調整放假，於1月7日（星期六）補行上班，但不交易亦不交割。,
2023/01/21,農曆除夕,依規定放假1日。,
2023/01/22,農曆春節,依規定於1月22日至1月24日放假3日。<br><br>1月21日及1月22日適逢星期六及星期日，於1月25日（星期三）及1月26日（星期四）補假2日。<br>1月27日（星期五）調整放假，於2月4日（星期六）補行上班，但不交易亦不交割。,
2023/01/23,農曆春節,依規定於1月22日至1月24日放假3日。<br><br>1月21日及1月22日適逢星期六及星期日，於1月25日（星期三）及1月26日（星期四）補假2日。<br>1月27日（星期五）調整放假，於2月4日（星期六）補行上班，但不交易亦不交割。,
2023/01/24,農曆春節,依規定於1月22日至1月24日放假3日。<br><br>1月21日及1月22日適逢星期六及星期日，於1月25日（星期三）及1月26日（星期四）補假2日。<br>1月27日（星期五）調整放假，於2月4日（星期六）補行上班，但不交易亦不交割。,
2023/01/25,農曆春節,1月21日及1月22日適逢星期六及星期日，於1月25日（星期三）及1月26日（星期四）補假2日。<br>1月27日（星期五）調整放假，於2月4日（星期六）補行上班，但不交易亦不交割。,
2023/01/26,農曆春節,1月21日及1月22日適逢星期六及星期日，於1月25日（星期三）及1月26日（星期四）補假2日。<br>1月27日（星期五）調整放假，於2月4日（星期六）補行上班，但不交易亦不交割。,
2023/01/27,農曆春節,1月21日及1月22日適逢星期六及星期日，於1月25日（星期三）及1月26日（星期四）補假2日。<br>1月27日（星期五）調整放假，於2月4日（星期六）補行上班，但不交易亦不交割。,
2023/01/30,農曆春節後開始交易日,農曆春節後開始交易。,o
2023/02/27,和平紀念日,2月27日（星期一）調整放假，於2月18日（星期六）補行上班，但不交易亦不交割。<br>依規定放假1日。<br>,
2023/02/28,和平紀念日,2月27日（星期一）調整放假，於2月18日（星期六）補行上班，但不交易亦不交割。<br>依規定放假1日。<br>,
2023/04/03,兒童節,4月3日（星期一）調整放假，於3月25日（星期六）補行上班，但不交易亦不交割。<br>依規定放假1日。,
2023/04/04,兒童節,4月3日（星期一）調整放假，於3月25日（星期六）補行上班，但不交易亦不交割。<br>依規定放假1日。<br>,
2023/04/05,民族掃墓節,依規定放假1日。,
2023/05/01,勞動節,依規定放假1日。,
2023/06/22,端午節,依規定放假1日。<br>6月23日（星期五）調整放假，於6月17日（星期六）補行上班，但不交易亦不交割。<br>,
2023/06/23,端午節,依規定放假1日。<br>6月23日（星期五）調整放假，於6月17日（星期六）補行上班，但不交易亦不交割。<br>,
2023/09/29,中秋節,依規定放假1日。,
2023/10/09,國慶日,10月9日（星期一）調整放假，於9月23日（星期六）補行上班，但不交易亦不交割。<br>依規定放假1日。<br>,
2023/10/10,國慶日,10月9日（星期一）調整放假，於9月23日（星期六）補行上班，但不交易亦不交割。<br>依規定放假1日。,
