日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,3,殖利率(%),本益比,股價淨值比,4,三大法人買賣超股數,9,買進股數,賣出股數
2021/1/4,"13,744,417","594,543,948",43.2,43.5,43.05,43.2,0,"5,884",,,,,,,,,
2021/1/5,"16,631,219","717,454,208",43.25,43.4,43,43.1,-0.1,"5,512",,,,,,,,,
2021/1/6,"19,007,699","817,300,595",43.1,43.3,42.8,42.95,-0.15,"7,543",,,,,,,,,
2021/1/7,"21,050,886","903,047,634",42.95,43.15,42.85,42.85,-0.1,"8,180",,,,,,,,,
2021/1/8,"17,406,803","746,290,426",42.9,43,42.8,42.95,0.1,"7,092",,,,,,,,,
2021/1/11,"12,931,584","554,833,283",42.85,43.1,42.75,43.1,0.15,"4,475",,,,,,,,,
2021/1/12,"12,308,587","526,908,764",43,43.05,42.7,42.7,-0.4,"5,011",,,,,,,,,
2021/1/13,"19,069,294","814,058,055",42.7,42.85,42.6,42.7,0,"8,481",,,,,,,,,
2021/1/14,"20,065,858","854,254,306",42.8,42.8,42.45,42.55,-0.15,"9,445",,,,,,,,,
2021/1/15,"30,713,520","1,294,481,553",42.5,42.5,41.95,41.95,-0.6,"12,309",,,,,,,,,
2021/1/18,"25,218,241","1,047,473,930",41.95,41.95,41.4,41.6,-0.35,"12,722",,,,,,,,,
2021/1/19,"12,118,298","506,140,365",41.6,42,41.6,41.75,0.15,"5,920",,,,,,,,,
2021/1/20,"35,184,150","1,443,512,413",41.65,41.7,40.8,40.95,-0.8,"17,720",,,,,,,,,
2021/1/21,"17,924,123","733,949,569",41,41.15,40.8,40.8,-0.15,"9,025",,,,,,,,,
2021/1/22,"28,591,283","1,160,115,848",40.75,40.8,40.5,40.6,-0.2,"12,782",,,,,,,,,
2021/1/25,"20,825,228","851,569,715",40.65,41.1,40.6,40.9,0.3,"7,500",,,,,,,,,
2021/1/26,"35,437,633","1,433,392,327",40.7,40.9,40.2,40.35,-0.55,"16,353",,,,,,,,,
2021/1/27,"17,017,733","687,706,026",40.4,40.7,40.35,40.35,0,"9,277",,,,,,,,,
2021/1/28,"22,411,197","903,138,507",40.25,40.6,40.2,40.25,-0.1,"12,318",,,,,,,,,
2021/1/29,"20,902,501","841,415,228",40.25,40.45,40.15,40.15,-0.1,"8,346",,,,,,,,,
2021/2/1,"11,796,904","480,094,851",40.3,40.95,40.3,40.8,0.65,"5,469",,,,,,,,,
2021/2/2,"19,228,013","786,791,701",40.95,41.15,40.65,40.75,-0.05,"7,404",,,,,,,,,
2021/2/3,"24,925,042","1,011,154,517",40.8,40.9,40.5,40.55,-0.2,"9,528",,,,,,,,,
2021/2/4,"17,917,913","725,268,583",40.5,40.65,40.4,40.4,-0.15,"6,810",,,,,,,,,
2021/2/5,"13,267,133","540,126,833",40.55,40.9,40.55,40.85,0.45,"5,814",,,,,,,,,
2021/2/17,"24,248,267","995,895,623",41,41.3,40.8,41.25,0.4,"10,591",,,,,,,,,
2021/2/18,"19,542,360","810,266,027",41.25,41.65,41.2,41.35,0.1,"7,311",,,,,,,,,
2021/2/19,"16,913,305","698,623,936",41.35,41.65,41.05,41.6,0.25,"7,426",,,,,,,,,
2021/2/22,"23,412,037","979,301,542",41.7,42.1,41.55,41.8,0.2,"8,906",,,,,,,,,
