ら戳_str,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计,MA5,MA10,MA20,DIF,DEA,OSC,K,D,J,RSI5,RSI10,RSI_DIF,VOL5,VOL10
2021/01/04,80755726,1689704875,20.2,21.45,19.7,21.45,1.95,22363,21.45,21.45,21.45,0.0,0.0,0.0,66.67,55.56,88.89,0.0,0.0,0.0,80755726.0,80755726.0
2021/01/05,65157850,1362352567,21.3,21.65,20.05,20.6,-0.85,20751,21.02,21.02,21.02,-0.06780626780626875,-0.01356125356125375,-0.054245014245015,59.83,56.98,65.53,0.0,0.0,0.0,72956788.0,72956788.0
2021/01/06,39672378,798203078,20.95,21.35,19.4,19.45,-1.15,14138,20.5,20.5,20.5,-0.21189600733760017,-0.05322820431652304,-0.15866780302107714,40.63,51.53,18.83,0.0,0.0,0.0,61861985.0,61861985.0
2021/01/07,25185161,480827510,19.5,19.85,18.8,18.85,-0.6,9141,20.09,20.09,20.09,-0.37023530745658917,-0.11662962494453627,-0.2536056825120529,27.67,43.58,-4.15,0.0,0.0,0.0,52692779.0,52692779.0
2021/01/08,24994527,455965484,18.85,19.05,17.95,18.3,-0.55,8899,19.73,19.73,19.73,-0.5339457527639873,-0.20009285050842648,-0.33385290225556075,21.6,36.25,-7.7,0.0,0.0,0.0,47153128.0,47153128.0
2021/01/11,13345046,243683310,18.45,18.55,18.05,18.3,0.0,4451,19.1,19.49,19.49,-0.6561240702810203,-0.2912990944629453,-0.364824975818075,17.55,30.02,-7.39,0.0,0.0,0.0,33670992.0,41518448.0
2021/01/12,21910526,385978030,18.15,18.2,17.2,17.45,-0.85,7242,18.47,19.2,19.2,-0.8121768937455798,-0.39547465431947215,-0.4167022394261076,13.57,24.54,-8.37,0.0,0.0,0.0,25021528.0,38717316.0
2021/01/13,31964850,587348073,17.65,18.8,17.65,18.55,1.1,11906,18.29,19.12,19.12,-0.8374356369870952,-0.4838668508529968,-0.3535687861340984,19.16,22.75,11.98,50.59,36.16,14.43,23480022.0,37873258.0
2021/01/14,15951500,286510396,18.1,18.2,17.7,18.1,-0.45,4901,18.14,19.01,19.01,-0.8835792604727608,-0.5638093327769497,-0.31976992769581114,19.52,21.67,15.22,38.61,30.62,7.99,21633290.0,35437507.0
2021/01/15,18040296,316678968,18.1,18.1,17.3,17.65,-0.45,5216,18.01,18.87,18.87,-0.9455598286114117,-0.6401594319438422,-0.3054003966675696,16.38,19.91,9.32,28.48,25.79,2.69,20242444.0,33697786.0
2021/01/18,18615543,322617449,17.65,17.95,16.9,17.25,-0.4,5961,17.8,18.45,18.72,-1.0152533241204829,-0.7151782103791704,-0.30007511374131246,13.54,17.79,5.04,21.11,22.02,-0.91,21296543.0,27483768.0
2021/01/19,17318598,308076469,17.6,18.2,17.5,17.6,0.35,5580,17.83,18.15,18.63,-1.0303664237458747,-0.7782158530525113,-0.25215057069336344,16.94,17.5,15.82,41.12,32.57,8.55,20378157.0,22699842.0
2021/01/20,19739198,334073030,17.6,17.7,16.5,16.7,-0.9,6529,17.46,17.88,18.48,-1.1022599756034204,-0.8430246775626931,-0.2592352980407273,13.91,16.3,9.13,20.78,22.85,-2.07,17933027.0,20706524.0
2021/01/21,13930198,231863139,16.75,17.0,16.25,16.8,0.1,4813,17.2,17.67,18.36,-1.1380482572513166,-0.9020293935004179,-0.23601886375089876,16.46,16.36,16.66,26.82,25.86,0.96,17528767.0,19581028.0
2021/01/22,15313428,260352559,16.85,17.45,16.5,17.3,0.5,4604,17.13,17.57,18.29,-1.1132322584597674,-0.9442699664922879,-0.16896229196747947,24.7,19.14,35.82,53.42,40.11,13.31,16983393.0,18612918.0
