ら戳_str,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计,MA5,MA10,MA20,DIF,DEA,OSC,K,D,J,RSI5,RSI10,RSI_DIF,VOL5,VOL10,VOL_index,MA_index
2021/1/4,236685658,6691711526,29.4,29.65,27.75,28,-1.05,79750,28,28,28,0,0,0,37.72,45.91,21.34,0,0,0,236685658,236685658,,
2021/1/5,146312854,4157863270,28.2,28.85,28.1,28.45,0.45,46010,28.22,28.22,28.22,0.035897436,0.007179487,0.028717949,37.43,43.08,26.13,100,100,0,191499256,191499256,,
2021/1/6,192450388,5377848334,28.75,28.9,27.05,27.35,-1.1,60269,27.93,27.93,27.93,-0.024136168,0.000916356,-0.025052524,28.8,38.32,9.76,21.43,25.08,-3.65,191816300,191816300,,
2021/1/7,143571698,3952943285,27.8,28.15,26.7,27.6,0.25,45814,27.85,27.85,27.85,-0.050952966,-0.009457508,-0.041495458,29.37,35.34,17.43,38.03,37.98,0.05,179755150,179755150,,
2021/1/8,264843070,7654812351,28.5,29.35,28.3,29,1.4,81167,28.08,28.08,28.08,0.040298294,0.000493652,0.039804642,45.57,38.75,59.21,77.66,71.54,6.12,196772734,196772734,,
2021/1/11,120763873,3453070496,28.95,29,28.3,28.45,-0.55,37947,28.17,28.14,28.14,0.067457562,0.013886434,0.053571128,50.15,42.55,65.35,56.41,56.79,-0.38,173588377,184104590,,
2021/1/12,143160358,3981972641,28.45,28.85,27.15,27.3,-1.15,46234,27.94,28.02,28.02,-0.003770447,0.010355058,-0.014125505,40.21,41.77,37.09,30.35,37.19,-6.84,172957877,178255414,,
2021/1/13,75233523,2096326591,27.7,28.2,27.45,27.7,0.4,23032,28.01,27.98,27.98,-0.027624068,0.002759233,-0.030383301,38.11,40.55,33.23,43.88,45.22,-1.34,149514504,165377678,,
2021/1/14,97414271,2762311026,27.85,28.75,27.75,28.45,0.75,30329,28.18,28.03,28.03,0.013831062,0.004973599,0.008857463,45.18,42.09,51.36,63.7,57.64,6.06,140283019,157826188,,
2021/1/15,98096522,2742758181,28.75,28.9,27.5,27.5,-0.95,32582,27.88,27.98,27.98,-0.029630942,-0.00194731,-0.027683633,40.18,41.46,37.62,38.12,42.67,-4.55,106933709,151853222,,
