ら戳_str,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计,MA5,MA10,MA20,DIF,DEA,OSC,K,D,J,RSI5,RSI10,RSI_DIF,VOL5,VOL10
2021/01/04,590895,32433908,54.6,55.3,54.5,54.8,0.2,449.0,54.8,54.8,54.8,0.0,0.0,0.0,45.83,48.61,40.27,0.0,0.0,0.0,590895.0,590895.0
2021/01/05,975662,52953977,54.7,54.7,53.8,54.5,-0.3,639.0,54.65,54.65,54.65,-0.023931623931623847,-0.00478632478632477,-0.019145299145299076,46.11,47.78,42.77,0.0,0.0,0.0,783278.0,783278.0
2021/01/06,2169961,119877730,54.8,56.1,54.2,55.1,0.6,1398.0,54.8,54.8,54.8,0.005454501180999216,-0.002738159592859973,0.00819266077385919,49.58,48.38,51.98,75.0,70.97,4.03,1245506.0,1245506.0
2021/01/07,2279024,127587419,55.4,56.5,55.3,55.6,0.5,1345.0,55.0,55.0,55.0,0.06830169890534421,0.011469812106780863,0.056831886798563346,55.28,50.68,64.48,87.1,83.15,3.95,1503886.0,1503886.0
2021/01/08,910219,50398753,55.6,56.0,55.0,55.2,-0.4,547.0,55.04,55.04,55.04,0.08485375753376445,0.026146601192177585,0.058707156341586866,54.13,51.83,58.73,55.1,58.96,-3.86,1385152.0,1385152.0
2021/01/11,678902,37574138,55.2,55.8,54.9,55.3,0.1,387.0,55.14,55.08,55.08,0.10483210822516043,0.04188370259877415,0.06294840562638628,54.61,52.76,58.31,60.54,62.31,-1.77,1402754.0,1267444.0
2021/01/12,1043528,56612367,55.3,55.8,53.7,53.8,-1.5,729.0,55.0,54.9,54.9,-0.0003681253724678868,0.03343333700452574,-0.03380146237699363,37.6,47.7,17.4,16.26,24.96,-8.7,1416327.0,1235456.0
2021/01/13,740017,39867588,53.9,54.3,53.6,53.8,0.0,493.0,54.74,54.76,54.76,-0.08278576565126627,0.010189516473367341,-0.09297528212463362,27.36,40.92,0.24,16.26,24.96,-8.7,1130338.0,1173526.0
2021/01/14,802927,43714097,53.8,54.8,53.8,54.6,0.8,375.0,54.54,54.74,54.74,-0.08259689959447059,-0.008367766740200245,-0.07422913285427034,29.74,37.19,14.84,55.4,49.21,6.19,835119.0,1132348.0
2021/01/15,3069299,170190806,55.0,56.6,53.8,54.1,-0.5,1860.0,54.32,54.68,54.68,-0.12139369228962948,-0.030972951850086097,-0.09042074043954339,25.38,33.26,9.62,38.52,39.47,-0.95,1266935.0,1326043.0
2021/01/18,1465522,76987082,54.1,54.1,51.6,53.2,-0.9,1008.0,53.9,54.52,54.55,-0.2222015077369619,-0.06921866302746127,-0.15298284470950063,27.59,31.37,20.03,21.13,27.49,-6.36,1424259.0,1413506.0
2021/01/19,547162,29258384,53.3,53.7,53.2,53.7,0.5,357.0,53.88,54.44,54.48,-0.2587637391246176,-0.10712767824689254,-0.15163606087772505,32.39,31.71,33.75,42.69,39.88,2.81,1324985.0,1370656.0
2021/01/20,1246086,65353873,53.6,53.7,51.8,51.8,-1.9,809.0,53.48,54.11,54.27,-0.4360274390536958,-0.1729076304082532,-0.2631198086454426,22.93,28.78,11.23,16.69,22.24,-5.55,1426199.0,1278269.0
2021/01/21,582382,30228309,52.3,52.5,51.6,51.6,-0.2,436.0,52.88,53.71,54.08,-0.5858946975274364,-0.25550504383208983,-0.33038965369534656,15.28,24.28,-2.72,15.22,21.04,-5.82,1382090.0,1108604.0
2021/01/22,1279357,67444266,52.5,53.5,51.6,53.1,1.5,712.0,52.68,53.5,54.01,-0.5769770829694991,-0.3197994516595717,-0.25717763130992743,20.19,22.92,14.73,57.33,47.14,10.19,1024102.0,1145518.0
2021/01/25,367669,19424958,53.1,53.3,52.1,53.2,0.1,237.0,52.68,53.29,53.96,-0.5554379025270322,-0.3669271418330638,-0.18851076069396838,24.13,23.32,25.75,59.35,48.52,10.83,804531.0,1114395.0
2021/01/26,469820,25030419,53.2,54.0,52.8,53.1,-0.1,316.0,52.56,53.22,53.91,-0.5402099075646731,-0.4015836949793857,-0.13862621258528746,26.08,24.24,29.76,55.42,47.02,8.4,789063.0,1057024.0
2021/01/27,1381406,75427493,53.3,55.3,53.3,55.1,2.0,957.0,53.22,53.35,53.98,-0.36257874447376537,-0.39378270487826167,0.0312039604044963,40.72,29.74,62.68,85.08,69.88,15.2,816127.0,1121163.0
2021/01/28,770253,41557158,54.4,55.0,53.3,53.9,-1.2,547.0,53.68,53.28,53.97,-0.3150035740239261,-0.3780268787073946,0.0630233046834685,47.87,35.78,72.05,53.22,53.08,0.14,853701.0,1117896.0
2021/01/29,970004,51221383,54.0,54.1,51.8,51.8,-2.1,638.0,53.42,53.05,53.86,-0.44166116328374727,-0.39075373562266513,-0.05090742766108214,33.71,35.09,30.95,26.83,35.06,-8.23,791830.0,907966.0
2021/02/01,836680,42813376,52.0,52.0,50.7,51.0,-0.8,479.0,52.98,52.83,53.68,-0.5996788054299529,-0.4325387495841227,-0.1671400558458302,24.65,31.61,10.73,20.91,30.27,-9.36,885633.0,845082.0
2021/02/02,777917,39821444,51.1,51.6,50.9,51.5,0.5,589.0,52.66,52.61,53.52,-0.6767618150267793,-0.481383362672654,-0.19537845235412532,22.23,28.48,9.73,34.47,36.86,-2.39,947252.0,868157.0
2021/02/03,592292,30391828,51.7,51.7,51.0,51.4,-0.1,304.0,51.92,52.57,53.34,-0.7374193089841086,-0.532590551934945,-0.2048287570491636,19.89,25.62,8.43,32.78,36.02,-3.24,789429.0,802778.0
