ら戳_str,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计,MA5,MA10,MA20,DIF,DEA,OSC,K,D,J,RSI5,RSI10,RSI_DIF,VOL5,VOL10
2021/01/04,7963522,107304416,13.85,13.9,13.25,13.35,-0.45,2571.0,13.35,13.35,13.35,0.0,0.0,0.0,38.46,46.15,23.08,0.0,0.0,0.0,7963522.0,7963522.0
2021/01/05,5858652,78081787,13.45,13.5,13.1,13.4,0.05,1410.0,13.38,13.38,13.38,0.0039886039886045666,0.0007977207977209133,0.0031908831908836533,38.14,43.48,27.46,100.0,100.0,0.0,6911087.0,6911087.0
2021/01/06,12661694,172378822,13.55,13.9,13.2,13.4,0.0,3699.0,13.38,13.38,13.38,0.007068124447043189,0.0020518015275853684,0.005016322919457821,37.93,41.63,30.53,100.0,100.0,0.0,8827956.0,8827956.0
2021/01/07,2683647,35728039,13.4,13.5,13.15,13.25,-0.15,1058.0,13.35,13.35,13.35,-0.002565506241611004,0.0011283399737460939,-0.0036938462153570982,31.53,38.27,18.05,12.9,18.24,-5.34,7291879.0,7291879.0
2021/01/08,3262045,43210415,13.4,13.45,13.1,13.1,-0.15,1074.0,13.3,13.3,13.3,-0.022049798020566058,-0.0035072876251163363,-0.018542510395449723,21.02,32.52,-1.98,5.59,9.13,-3.54,6485912.0,6485912.0
2021/01/11,4490546,58133467,13.1,13.1,12.8,12.95,-0.15,1514.0,13.22,13.24,13.24,-0.04902980100384369,-0.012611790300861807,-0.03641801070298188,18.56,27.87,-0.06,3.02,5.66,-2.64,5791317.0,6153351.0
2021/01/12,6878439,90046214,13.0,13.35,12.8,12.85,-0.1,2162.0,13.11,13.19,13.19,-0.07758644378557022,-0.025606720997803492,-0.05197972278776673,13.89,23.21,-4.75,2.07,4.33,-2.26,5995274.0,6256935.0
2021/01/13,8865555,119103504,12.9,13.7,12.85,13.6,0.75,2676.0,13.15,13.24,13.24,-0.03924664603580652,-0.0283347060054041,-0.010911940030402422,33.5,26.64,47.22,78.44,69.76,8.68,5236046.0,6583012.0
2021/01/14,13999296,191662106,13.65,13.95,13.35,13.4,-0.2,3634.0,13.18,13.26,13.26,-0.024715503684443973,-0.027610865541212077,0.0028953618567681035,39.73,31.0,57.19,59.79,57.04,2.75,7499176.0,7407044.0
2021/01/15,3958898,52106532,13.45,13.6,12.95,13.0,-0.4,1283.0,13.16,13.23,13.23,-0.04495787929309891,-0.031080268291589448,-0.013877611001509464,32.28,31.43,33.98,34.9,39.46,-4.56,7638547.0,7062229.0
2021/01/18,4059650,51080239,13.1,13.15,12.1,12.7,-0.3,1154.0,13.11,13.16,13.18,-0.084236573809358,-0.041711529395143165,-0.04252504441421484,32.33,31.73,33.53,23.77,30.77,-7.0,7552368.0,6671842.0
2021/01/19,5230827,69258905,12.85,13.5,12.8,13.3,0.6,1649.0,13.2,13.16,13.19,-0.06618727095105115,-0.04660667770632477,-0.01958059324472638,43.18,35.54,58.46,61.04,55.0,6.04,7222845.0,6609060.0
2021/01/20,7340062,96335649,13.4,13.65,12.6,12.7,-0.6,2233.0,13.02,13.08,13.15,-0.09915505622216614,-0.057116353409493045,-0.04203870281267309,39.59,36.89,44.99,35.21,38.52,-3.31,6917747.0,6076896.0
2021/01/21,13321443,178394506,12.75,13.7,12.75,13.15,0.45,3817.0,12.97,13.08,13.15,-0.08795710956879965,-0.06328450464135438,-0.024672604927445274,45.32,39.7,56.56,56.11,51.77,4.34,6782176.0,7140676.0
2021/01/22,2278192,30180218,13.1,13.4,13.1,13.35,0.2,953.0,13.04,13.1,13.17,-0.06222701336380965,-0.06307300638584543,0.0008459930220357792,52.73,44.05,70.09,63.87,56.82,7.05,6446035.0,7042291.0
2021/01/25,5535923,74411911,13.35,13.6,13.2,13.5,0.15,1460.0,13.2,13.15,13.19,-0.02939315436145229,-0.0563370359809668,0.026943881619514512,60.38,49.49,82.16,69.87,60.61,9.26,6741289.0,7146828.0
2021/01/26,3610936,47451872,13.45,13.6,12.95,12.95,-0.55,1238.0,13.13,13.16,13.17,-0.04720830010762178,-0.0545112888062978,0.007302988698676016,55.57,51.52,63.67,36.52,43.52,-7.0,6417311.0,6820078.0
2021/01/27,2863755,37041891,13.1,13.2,12.8,12.85,-0.1,904.0,13.16,13.09,13.16,-0.0686052570300344,-0.05733008245104512,-0.011275174578989272,52.67,51.9,54.21,32.32,40.95,-8.63,5522050.0,6219898.0
2021/01/28,2905596,36861146,12.8,12.85,12.55,12.75,-0.1,882.0,13.08,13.02,13.13,-0.09256463630508449,-0.064376993221853,-0.02818764308323149,48.66,50.82,44.34,27.56,38.2,-10.64,3438880.0,5110528.0
2021/01/29,7606866,99097403,13.1,13.3,12.65,12.7,-0.05,2309.0,12.95,13.0,13.11,-0.11426996609260165,-0.07435558779600274,-0.03991437829659891,36.78,46.14,18.06,24.81,36.69,-11.88,4504615.0,5475325.0
2021/02/01,6379265,80362350,12.65,13.05,11.95,12.75,0.05,1614.0,12.8,13.0,13.08,-0.12598474052906106,-0.0846814183426144,-0.04130332218644665,39.76,44.01,31.26,34.58,39.6,-5.02,4673284.0,5707286.0
2021/02/02,3498310,45445555,12.9,13.2,12.85,12.95,0.2,1123.0,12.8,12.96,13.06,-0.11777284311569858,-0.09129970329723125,-0.02647313981846733,45.56,44.53,47.62,63.23,50.69,12.54,4650758.0,5534035.0
2021/02/03,4341716,56699670,13.1,13.3,12.85,12.9,-0.05,1292.0,12.81,12.98,13.04,-0.11398548368226002,-0.095836859374237,-0.018148624308023026,49.56,46.21,56.26,54.31,48.0,6.31,4946351.0,5234200.0
2021/02/04,1114386,14383420,12.9,13.05,12.8,12.9,0.0,494.0,12.84,12.96,13.02,-0.10971919941181874,-0.09861332738175335,-0.011105872030065383,52.23,48.22,60.25,54.31,48.0,6.31,4588109.0,4013494.0
2021/02/05,3538256,46209101,13.0,13.2,12.85,12.95,0.05,1284.0,12.89,12.92,13.01,-0.10113770376504227,-0.09911820265841115,-0.0020195011066311275,55.02,50.48,64.1,65.32,51.82,13.5,3774387.0,4139501.0
2021/02/17,6788749,90271734,13.35,13.5,13.15,13.25,0.3,1849.0,12.99,12.9,13.02,-0.06933011938349232,-0.09316058600342739,0.02383046661993507,64.64,55.2,83.52,89.05,68.7,20.35,3856283.0,4264784.0
2021/02/18,7792426,105980846,13.4,13.8,13.3,13.75,0.5,2435.0,13.15,12.98,13.07,-0.0037335205730659737,-0.07527517291735511,0.07154165234428914,75.53,61.98,102.63,95.96,81.74,14.22,4715107.0,4682932.0
2021/02/19,7912758,109538097,13.75,14.05,13.55,13.95,0.2,2547.0,13.36,13.08,13.09,0.06365678927069318,-0.04748878047974546,0.11114556975043864,82.1,68.68,108.94,97.07,84.83,12.24,5429315.0,5187833.0
2021/02/22,9200871,129891984,14.2,14.4,13.9,14.0,0.05,2535.0,13.58,13.21,13.12,0.11971863556685314,-0.014047297270425738,0.1337659328372789,82.62,73.33,101.2,97.34,85.57,11.77,7046612.0,5817360.0
2021/02/23,7034441,98586550,13.9,14.25,13.75,14.05,0.05,1896.0,13.8,13.34,13.17,0.16626602357020204,0.02201536689769982,0.14425065667250223,81.12,75.93,91.5,97.67,86.39,11.28,7745849.0,5760118.0
2021/02/24,7485532,104613054,14.1,14.2,13.75,13.75,-0.3,1971.0,13.9,13.44,13.22,0.17690838142387655,0.052993969802935165,0.12391441162094138,73.87,75.24,71.13,46.38,61.03,-14.65,7885206.0,5870744.0
2021/02/25,10713093,148855471,13.9,14.1,13.65,14.05,0.3,2103.0,13.96,13.56,13.26,0.20716198508218397,0.08382757285878494,0.12333441222339904,75.29,75.26,75.35,70.01,71.32,-1.31,8469339.0,6592223.0
2021/02/26,8198197,112767055,13.75,13.95,13.6,13.7,-0.35,2170.0,13.91,13.64,13.31,0.20058390264829562,0.10717883881668708,0.09340506383160854,68.47,73.0,59.41,39.53,51.81,-12.28,8526427.0,6977871.0
2021/03/02,5907986,81918737,13.95,14.0,13.7,13.75,0.05,1477.0,13.86,13.72,13.34,0.19713288190780354,0.12516964743491038,0.07196323447289316,61.65,69.21,46.53,44.69,54.01,-9.32,7867850.0,7457231.0
2021/03/03,8673991,119825088,13.9,13.9,13.6,13.8,0.05,2125.0,13.81,13.81,13.36,0.1961711661492096,0.13936995117777023,0.05680121497143936,56.25,64.89,38.97,50.96,56.43,-5.47,8195760.0,7970804.0
2021/03/04,4414377,59820309,13.85,13.85,13.35,13.4,-0.4,1479.0,13.74,13.82,13.36,0.16127328438792787,0.14375061781980178,0.017522666568126094,39.09,56.29,4.69,21.58,37.23,-15.65,7581529.0,7733367.0
2021/03/05,6977169,91257541,13.25,13.25,12.95,13.05,-0.35,1680.0,13.54,13.75,13.36,0.10417353902637672,0.13583520206111677,-0.03166166303474005,28.36,46.98,-8.88,12.28,27.29,-15.01,6834344.0,7651842.0
2021/03/08,3146073,41011148,13.2,13.25,12.8,12.9,-0.15,1013.0,13.38,13.65,13.36,0.046284296489249144,0.11792502094674326,-0.07164072445749411,21.2,38.39,-13.18,9.62,23.95,-14.33,5823919.0,7175173.0
