Unnamed: 0,證券代號,證券名稱,買進股數,賣出股數,買賣超股數
 ,2891  ,中信金          ,"22,466,977","1,904","22,465,073"
 ,2303  ,聯電            ,"12,835,648","57,086","12,778,562"
 ,2618  ,長榮航          ,"11,368,640","3,817,752","7,550,888"
 ,2883  ,凱基金          ,"4,484,000","1,291","4,482,709"
 ,2886  ,兆豐金          ,"4,230,776",222,"4,230,554"
 ,1216  ,統一            ,"2,679,325",0,"2,679,325"
 ,2882  ,國泰金          ,"2,637,601","8,491","2,629,110"
 ,2603  ,長榮            ,"2,546,318",383,"2,545,935"
 ,2324  ,仁寶            ,"2,428,879","1,887","2,426,992"
 ,2885  ,元大金          ,"2,316,946",177,"2,316,769"
 ,1102  ,亞泥            ,"2,264,484",554,"2,263,930"
 ,3045  ,台灣大          ,"2,216,314","3,760","2,212,554"
 ,4904  ,遠傳            ,"2,179,369",223,"2,179,146"
 ,2880  ,華南金          ,"2,169,941",0,"2,169,941"
 ,2889  ,國票金          ,"2,672,000","585,000","2,087,000"
 ,1319  ,東陽            ,"1,948,000",0,"1,948,000"
 ,2892  ,第一金          ,"1,712,381","5,391","1,706,990"
 ,3231  ,緯創            ,"1,683,000","1,185","1,681,815"
 ,3711  ,日月光投控      ,"1,590,302","4,189","1,586,113"
 ,3702  ,大聯大          ,"1,676,157","107,000","1,569,157"
 ,1402  ,遠東新          ,"1,777,425","266,186","1,511,239"
 ,1101  ,台泥            ,"1,481,021",108,"1,480,913"
 ,2890  ,永豐金          ,"1,466,223","8,250","1,457,973"
 ,5876  ,上海商銀        ,"1,427,745",0,"1,427,745"
 ,9904  ,寶成            ,"1,298,130",0,"1,298,130"
 ,2845  ,遠東銀          ,"1,240,000","11,000","1,229,000"
 ,2474  ,可成            ,"1,216,820",24,"1,216,796"
 ,3034  ,聯詠            ,"1,192,343",5,"1,192,338"
 ,2353  ,宏��            ,"1,370,000","198,986","1,171,014"
 ,2449  ,京元電子        ,"1,078,315",0,"1,078,315"
 ,2301  ,光寶科          ,"1,065,000","2,186","1,062,814"
 ,2356  ,英業達          ,"1,167,000","140,069","1,026,931"
 ,2347  ,聯強            ,"1,024,934",0,"1,024,934"
 ,4938  ,和碩            ,"973,306",0,"973,306"
 ,2881  ,富邦金          ,"960,003","2,371","957,632"
 ,2105  ,正新            ,"727,161",0,"727,161"
 ,2454  ,聯發科          ,"733,807","38,279","695,528"
 ,2382  ,廣達            ,"672,687","7,284","665,403"
