Unnamed: 0,證券代號,證券名稱,買進股數,賣出股數,買賣超股數,Unnamed: 6
 ,1802  ,台玻            ,"3,291,000",0,"3,291,000",
 ,2344  ,華邦電          ,"3,024,000","20,000","3,004,000",
 ,8046  ,南電            ,"832,000","1,310","830,690",
 ,2327  ,國巨*           ,"686,000","38,000","648,000",
 ,2455  ,全新            ,"731,000","220,000","511,000",
 ,3715  ,定穎投控        ,"628,000","120,000","508,000",
 ,1303  ,南亞            ,"489,000","11,500","477,500",
 ,6442  ,光聖            ,"437,000",0,"437,000",
 ,8112  ,至上            ,"393,000","6,863","386,137",
 ,6805  ,富世達          ,"275,000","2,000","273,000",
 ,3189  ,景碩            ,"281,000","28,000","253,000",
 ,6770  ,力積電          ,"194,000",0,"194,000",
 ,"=""00646 """,元大S&P500      ,"180,000",0,"180,000",
 ,"=""006208""",富邦台50        ,"155,000",0,"155,000",
 ,"=""0050  """,元大台灣50      ,"150,000",0,"150,000",
 ,2313  ,華通            ,"136,000",0,"136,000",
 ,2208  ,台船            ,"96,000",0,"96,000",
 ,3413  ,京鼎            ,"105,000","17,000","88,000",
 ,2897  ,王道銀行        ,"101,000","19,000","82,000",
 ,2634  ,漢翔            ,"74,000",0,"74,000",
 ,3481  ,群創            ,"72,000",0,"72,000",
 ,1409  ,新纖            ,"65,000",0,"65,000",
 ,6139  ,亞翔            ,"86,000","25,000","61,000",
 ,6449  ,鈺邦            ,"60,000",0,"60,000",
 ,2377  ,微星            ,"260,000","202,000","58,000",
 ,2820  ,華票            ,"56,000",0,"56,000",
 ,2880  ,華南金          ,"213,000","158,000","55,000",
 ,6768  ,志強-KY         ,"62,000","8,000","54,000",
 ,3013  ,晟銘電          ,"52,000",0,"52,000",
 ,3017  ,奇鋐            ,"69,000","18,000","51,000",
 ,1504  ,東元            ,"545,000","495,443","49,557",
 ,2645  ,長榮航太        ,"41,000",0,"41,000",
 ,2903  ,遠百            ,"41,000",0,"41,000",
 ,2855  ,統一證          ,"40,000",0,"40,000",
 ,2501  ,國建            ,"39,000",0,"39,000",
 ,9941  ,裕融            ,"41,000","4,000","37,000",
 ,3004  ,豐達科          ,"35,000",0,"35,000",
 ,1104  ,環泥            ,"30,000",0,"30,000",
 ,1434  ,福懋            ,"60,000","32,000","28,000",
 ,2633  ,台灣高鐵        ,"43,000","15,449","27,551",
 ,6592  ,和潤企業        ,"27,000",0,"27,000",
 ,2330  ,台積電          ,"293,000","267,201","25,799",
 ,8033  ,雷虎            ,"25,000",0,"25,000",
 ,2597  ,潤弘            ,"23,000","3,000","20,000",
 ,8926  ,台汽電          ,"19,000",0,"19,000",
 ,2409  ,友達            ,"85,000","66,199","18,801",
 ,2637  ,慧洋-KY         ,"60,000","43,000","17,000",
 ,6526  ,達發            ,"18,000","1,000","17,000",
 ,6271  ,同欣電          ,"15,000",0,"15,000",
 ,1514  ,亞力            ,"13,000",0,"13,000",
 ,2454  ,聯發科          ,"49,000","37,541","11,459",
 ,1609  ,大亞            ,"11,000",0,"11,000",
 ,2059  ,川湖            ,"12,000","1,000","11,000",
 ,6415  ,矽力*-KY        ,"16,000","6,000","10,000",
 ,2211  ,長榮鋼          ,"9,000",0,"9,000",
 ,2204  ,中華            ,"11,000","3,363","7,637",
 ,3029  ,零壹            ,"7,000",0,"7,000",
 ,5222  ,全訊            ,"7,000",0,"7,000",
 ,6531  ,愛普*           ,"27,000","20,000","7,000",
 ,3037  ,欣興            ,"7,000","1,000","6,000",
 ,6414  ,樺漢            ,"11,000","5,000","6,000",
 ,8021  ,尖點            ,"27,000","21,000","6,000",
 ,2388  ,威盛            ,"5,000",0,"5,000",
 ,1773  ,勝一            ,"4,000",0,"4,000",
 ,2354  ,鴻準            ,"5,000","1,000","4,000",
 ,2492  ,華新科          ,"4,000",0,"4,000",
 ,2707  ,晶華            ,"4,000",0,"4,000",
 ,5469  ,瀚宇博          ,"4,000",0,"4,000",
 ,1590  ,亞德客-KY       ,"3,000",0,"3,000",
 ,2421  ,建準            ,"3,000",0,"3,000",
 ,6789  ,采鈺            ,"6,000","3,000","3,000",
 ,8028  ,昇陽半導體      ,"38,000","35,000","3,000",
 ,1717  ,長興            ,"11,000","9,000","2,000",
 ,3023  ,信邦            ,"6,000","4,000","2,000",
 ,6944  ,兆聯實業        ,"2,000",0,"2,000",
 ,3008  ,大立光          ,"2,000",300,"1,700",
 ,3443  ,創意            ,"9,000","8,000","1,000",
 ,4441  ,振大環球        ,"1,000",0,"1,000",
 ,5269  ,祥碩            ,"3,000","2,000","1,000",
 ,9910  ,豐泰            ,"8,000","7,118",882,
 ,2542  ,興富發          ,0,"3,582,000","-3,582,000",
 ,"=""00945B""",凱基美國非投等債,0,"3,300,000","-3,300,000",
 ,2891  ,中信金          ,"279,000","3,233,158","-2,954,158",
 ,2303  ,聯電            ,"600,000","3,511,706","-2,911,706",
 ,2887  ,台新新光金      ,"373,000","3,067,000","-2,694,000",
 ,3706  ,神達            ,"23,000","2,497,000","-2,474,000",
 ,2882  ,國泰金          ,"135,000","2,083,341","-1,948,341",
 ,2883  ,凱基金          ,"92,000","1,534,000","-1,442,000",
 ,2885  ,元大金          ,"205,000","1,577,364","-1,372,364",
 ,2618  ,長榮航          ,"56,000","1,427,145","-1,371,145",
 ,2606  ,裕民            ,"5,000","1,354,000","-1,349,000",
 ,3231  ,緯創            ,"197,000","1,471,000","-1,274,000",
 ,2356  ,英業達          ,"41,000","1,300,000","-1,259,000",
 ,2324  ,仁寶            ,"177,000","1,435,019","-1,258,019",
 ,"=""00953B""",群益優選非投等債,0,"1,200,000","-1,200,000",
 ,3702  ,大聯大          ,"30,000","1,215,040","-1,185,040",
 ,2610  ,華航            ,0,"966,418","-966,418",
 ,2615  ,萬海            ,"17,000","982,577","-965,577",
 ,2383  ,台光電          ,"8,000","794,500","-786,500",
 ,6239  ,力成            ,"114,000","859,107","-745,107",
 ,1402  ,遠東新          ,"67,000","778,000","-711,000",
 ,1210  ,大成            ,0,"668,000","-668,000",
 ,2352  ,佳世達          ,"81,000","721,860","-640,860",
 ,6177  ,達麗            ,0,"622,000","-622,000",
 ,2883B ,凱基金乙特      ,0,"550,000","-550,000",
 ,6257  ,矽格            ,"5,000","541,000","-536,000",
 ,2301  ,光寶科          ,"84,000","593,500","-509,500",
 ,8070  ,長華*           ,0,"503,392","-503,392",
 ,3711  ,日月光投控      ,"189,000","687,000","-498,000",
 ,1560  ,中砂            ,"3,000","470,000","-467,000",
 ,2881  ,富邦金          ,"181,000","603,305","-422,305",
 ,2890  ,永豐金          ,0,"401,296","-401,296",
 ,2886  ,兆豐金          ,0,"378,432","-378,432",
 ,2105  ,正新            ,"43,000","398,086","-355,086",
 ,5871  ,中租-KY         ,0,"351,000","-351,000",
 ,6196  ,帆宣            ,"1,000","349,000","-348,000",
 ,2353  ,宏��            ,"15,000","362,000","-347,000",
 ,6005  ,群益證          ,"159,000","484,054","-325,054",
 ,9939  ,宏全            ,0,"325,000","-325,000",
 ,2884  ,玉山金          ,0,"321,270","-321,270",
 ,2382  ,廣達            ,"26,000","339,987","-313,987",
 ,2347  ,聯強            ,"6,000","314,945","-308,945",
 ,3044  ,健鼎            ,"9,000","311,000","-302,000",
 ,4938  ,和碩            ,"38,000","327,658","-289,658",
 ,2404  ,漢唐            ,"2,000","290,000","-288,000",
 ,2504  ,國產            ,"20,000","299,192","-279,192",
 ,2317  ,鴻海            ,"90,000","364,381","-274,381",
 ,4915  ,致伸            ,"21,000","290,741","-269,741",
 ,2345  ,智邦            ,"9,000","278,000","-269,000",
 ,2474  ,可成            ,"10,000","272,830","-262,830",
 ,5876  ,上海商銀        ,0,"252,902","-252,902",
 ,3653  ,健策            ,"1,000","233,000","-232,000",
 ,6412  ,群電            ,"1,000","232,000","-231,000",
 ,6278  ,台表科          ,0,"205,269","-205,269",
 ,2441  ,超豐            ,"14,000","219,000","-205,000",
 ,2451  ,創見            ,"14,000","218,000","-204,000",
 ,2103  ,台橡            ,0,"200,000","-200,000",
 ,2458  ,義隆            ,"3,000","202,494","-199,494",
 ,3036  ,文曄            ,"40,000","237,000","-197,000",
 ,2449  ,京元電子        ,"52,000","233,000","-181,000",
 ,2006  ,東和鋼鐵        ,"12,000","192,000","-180,000",
 ,2206  ,三陽工業        ,0,"172,000","-172,000",
 ,2360  ,致茂            ,"207,000","373,000","-166,000",
 ,"=""00713 """,元大台灣高息低波,0,"160,000","-160,000",
 ,2376  ,技嘉            ,"8,000","168,000","-160,000",
 ,2607  ,榮運            ,0,"160,000","-160,000",
 ,2379  ,瑞昱            ,"27,000","177,500","-150,500",
 ,6206  ,飛捷            ,0,"150,000","-150,000",
 ,2912  ,統一超          ,"9,000","155,143","-146,143",
 ,8016  ,矽創            ,"5,000","150,661","-145,661",
 ,3605  ,宏致            ,0,"141,000","-141,000",
 ,3034  ,聯詠            ,"27,000","160,734","-133,734",
 ,3665  ,貿聯-KY         ,"27,000","160,000","-133,000",
 ,5880  ,合庫金          ,0,"130,921","-130,921",
 ,4164  ,承業醫          ,0,"130,000","-130,000",
 ,2002  ,中鋼            ,0,"129,300","-129,300",
 ,2892  ,第一金          ,0,"117,000","-117,000",
 ,2609  ,陽明            ,"27,000","140,110","-113,110",
 ,2385  ,群光            ,"41,000","151,288","-110,288",
 ,2439  ,美律            ,0,"105,584","-105,584",
 ,2357  ,華碩            ,"16,000","119,397","-103,397",
 ,8464  ,億豐            ,"3,000","104,922","-101,922",
 ,6176  ,瑞儀            ,"3,000","102,376","-99,376",
 ,9917  ,中保科          ,0,"90,000","-90,000",
 ,1101  ,台泥            ,0,"85,000","-85,000",
 ,5434  ,崇越            ,"1,000","84,000","-83,000",
 ,9904  ,寶成            ,0,"82,818","-82,818",
 ,5534  ,長虹            ,0,"81,000","-81,000",
 ,2834  ,臺企銀          ,0,"78,622","-78,622",
 ,3005  ,神基            ,"8,000","86,000","-78,000",
 ,3045  ,台灣大          ,"24,000","100,000","-76,000",
 ,3376  ,新日興          ,"39,000","113,000","-74,000",
 ,6285  ,啟��            ,"17,000","87,000","-70,000",
 ,6919  ,康霈*           ,0,"70,000","-70,000",
 ,2408  ,南亞科          ,"6,000","75,000","-69,000",
 ,6472  ,保瑞            ,"1,000","69,997","-68,997",
 ,4904  ,遠傳            ,"67,000","134,000","-67,000",
 ,1215  ,卜蜂            ,"3,000","68,000","-65,000",
 ,2371  ,大同            ,0,"60,000","-60,000",
 ,1216  ,統一            ,0,"59,000","-59,000",
 ,2603  ,長榮            ,"26,000","83,376","-57,376",
 ,2368  ,金像電          ,"23,000","80,000","-57,000",
 ,6438  ,迅得            ,0,"56,000","-56,000",
 ,6937  ,天虹            ,0,"56,000","-56,000",
 ,2812  ,台中銀          ,0,"55,813","-55,813",
 ,2850  ,新產            ,"11,000","64,000","-53,000",
 ,1477  ,聚陽            ,0,"52,140","-52,140",
 ,6670  ,復盛應用        ,0,"51,565","-51,565",
 ,2402  ,毅嘉            ,0,"48,000","-48,000",
 ,2889  ,國票金          ,0,"47,000","-47,000",
 ,4766  ,南寶            ,"2,000","48,000","-46,000",
 ,2412  ,中華電          ,"12,000","57,000","-45,000",
 ,2062  ,橋椿            ,0,"44,000","-44,000",
 ,4958  ,臻鼎-KY         ,"38,000","81,000","-43,000",
 ,2308  ,台達電          ,"30,000","71,500","-41,500",
 ,6605  ,帝寶            ,0,"38,000","-38,000",
 ,3010  ,華立            ,0,"37,380","-37,380",
 ,2845  ,遠東銀          ,0,"36,000","-36,000",
 ,1102  ,亞泥            ,"46,000","80,230","-34,230",
 ,3694  ,海華            ,0,"32,000","-32,000",
 ,2015  ,豐興            ,0,"31,000","-31,000",
 ,3030  ,德律            ,0,"28,000","-28,000",
 ,2801  ,彰銀            ,"71,000","98,790","-27,790",
 ,2393  ,億光            ,0,"26,767","-26,767",
 ,2316  ,楠梓電          ,0,"26,000","-26,000",
 ,4763  ,材料*-KY        ,0,"26,000","-26,000",
 ,6191  ,精成科          ,"2,000","27,500","-25,500",
 ,2395  ,研華            ,"2,000","27,300","-25,300",
 ,5388  ,中磊            ,"9,000","34,000","-25,000",
 ,8081  ,致新            ,0,"22,617","-22,617",
 ,2337  ,旺宏            ,0,"22,000","-22,000",
 ,2520  ,冠德            ,0,"22,000","-22,000",
 ,8103  ,瀚荃            ,0,"20,000","-20,000",
 ,2027  ,大成鋼          ,0,"18,000","-18,000",
 ,3042  ,晶技            ,0,"16,000","-16,000",
 ,3450  ,聯鈞            ,0,"16,000","-16,000",
 ,2915  ,潤泰全          ,0,"15,000","-15,000",
 ,6213  ,聯茂            ,0,"14,000","-14,000",
 ,9938  ,百和            ,0,"13,000","-13,000",
 ,1605  ,華新            ,0,"12,000","-12,000",
 ,3661  ,世芯-KY         ,"3,000","15,000","-12,000",
 ,6515  ,穎崴            ,"93,000","105,000","-12,000",
 ,1301  ,台塑            ,0,"11,400","-11,400",
 ,1513  ,中興電          ,0,"11,389","-11,389",
 ,3033  ,威健            ,0,"9,547","-9,547",
 ,3515  ,華擎            ,0,"9,000","-9,000",
 ,1319  ,東陽            ,0,"8,710","-8,710",
 ,5234  ,達興材料        ,"2,000","10,000","-8,000",
 ,1519  ,華城            ,0,"6,940","-6,940",
 ,3209  ,全科            ,0,"6,743","-6,743",
 ,3014  ,聯陽            ,0,"6,488","-6,488",
 ,4906  ,正文            ,0,"5,429","-5,429",
 ,3533  ,嘉澤            ,"3,000","8,000","-5,000",
