證券代號,證券名稱,外資買進股數,外資賣出股數,外資買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
3481,群創            ,"20,368,000","8,637,540","11,730,460","820,000",0,"820,000","16,542,000","3,372,000","649,000","2,723,000","14,362,000","543,000","13,819,000","29,092,460"
"=""00637L""",元大滬深300正2  ,"3,418,000","1,600,000","1,818,000",0,0,0,"15,848,999","287,000","153,000","134,000","19,796,999","4,082,000","15,714,999","17,666,999"
2371,大同            ,"11,524,000","2,640,822","8,883,178",0,0,0,"1,639,000","181,000","6,000","175,000","4,525,000","3,061,000","1,464,000","10,522,178"
2002,中鋼            ,"14,822,000","1,924,874","12,897,126","160,000","620,000","-460,000","-2,113,000","465,000","659,000","-194,000","476,000","2,395,000","-1,919,000","10,324,126"
2409,友達            ,"20,716,000","16,494,166","4,221,834","1,220,000",0,"1,220,000","1,779,000","778,000","1,211,000","-433,000","4,584,000","2,372,000","2,212,000","7,220,834"
2344,華邦電          ,"12,129,000","4,692,867","7,436,133","950,000",0,"950,000","-1,734,000","600,000","78,000","522,000","605,000","2,861,000","-2,256,000","6,652,133"
"=""052462""",長榮元富54購01  ,0,0,0,0,0,0,"6,454,000",0,0,0,"6,504,000","50,000","6,454,000","6,454,000"
2439,美律            ,"4,698,000","320,658","4,377,342","28,000","1,000","27,000","1,279,000","414,000","72,000","342,000","1,007,000","70,000","937,000","5,683,342"
"=""00633L""",富邦上証正2     ,"2,577,000","1,356,000","1,221,000",0,0,0,"4,195,558","790,000","13,000","777,000","8,459,558","5,041,000","3,418,558","5,416,558"
2352,佳世達          ,"2,938,000","550,380","2,387,620",0,"150,000","-150,000","2,775,000","616,000","275,000","341,000","2,943,000","509,000","2,434,000","5,012,620"
2356,英業達          ,"7,828,399","2,734,471","5,093,928",0,0,0,"-123,000","256,000","87,000","169,000","410,000","702,000","-292,000","4,970,928"
6116,彩晶            ,"6,032,000","1,528,368","4,503,632",0,0,0,"460,000","125,000","58,000","67,000","836,000","443,000","393,000","4,963,632"
"=""051515""",元債2X群益4B購03,0,0,0,0,0,0,"4,780,000",0,0,0,"4,784,000","4,000","4,780,000","4,780,000"
2498,宏達電          ,"4,987,000","1,247,401","3,739,599",0,0,0,"525,000","24,000","4,000","20,000","586,000","81,000","505,000","4,264,599"
"=""00632R""",元大台灣50反1   ,"5,343,000","1,000","5,342,000",0,0,0,"-1,342,000","75,000","382,000","-307,000","720,000","1,755,000","-1,035,000","4,000,000"
"=""051518""",正新群益44購01  ,0,0,0,0,0,0,"3,455,000",0,0,0,"3,556,000","101,000","3,455,000","3,455,000"
2609,陽明            ,"3,432,000","101,421","3,330,579",0,0,0,"-44,000",0,"4,000","-4,000",0,"40,000","-40,000","3,286,579"
3005,神基            ,"2,555,000","432,000","2,123,000","376,000",0,"376,000","726,000","66,000","17,000","49,000","957,000","280,000","677,000","3,225,000"
2023,燁輝            ,"3,433,000","555,000","2,878,000",0,0,0,"333,000","374,000","33,000","341,000","329,000","337,000","-8,000","3,211,000"
"=""053032""",藍天元大4A購01  ,0,0,0,0,0,0,"3,165,000",0,0,0,"3,175,000","10,000","3,165,000","3,165,000"
2492,華新科          ,"997,000","106,634","890,366","1,004,000",0,"1,004,000","998,000","104,000","3,000","101,000","897,000",0,"897,000","2,892,366"
"=""05906P""",台積電凱基4A售13,0,0,0,0,0,0,"2,859,000",0,0,0,"2,880,000","21,000","2,859,000","2,859,000"
1303,南亞            ,"5,059,418","3,106,788","1,952,630","1,753,000","26,000","1,727,000","-847,000","95,000","540,000","-445,000","54,000","456,000","-402,000","2,832,630"
3706,神達            ,"2,807,000","346,386","2,460,614","110,000","525,000","-415,000","748,000","255,000","11,000","244,000","608,000","104,000","504,000","2,793,614"
2884,玉山金          ,"8,119,000","5,446,339","2,672,661",0,0,0,"-119,000",0,"13,000","-13,000",0,"106,000","-106,000","2,553,661"
"=""050881""",富邦金元大43購04,0,0,0,0,0,0,"2,487,000",0,0,0,"2,796,000","309,000","2,487,000","2,487,000"
"=""051241""",華通富邦43購03  ,0,0,0,0,0,0,"2,471,000",0,0,0,"3,780,000","1,309,000","2,471,000","2,471,000"
"=""0061""",元大寶滬深      ,0,"10,000","-10,000",0,0,0,"2,413,000","1,623,000","300,000","1,323,000","1,422,000","332,000","1,090,000","2,403,000"
"=""053450""",A50正2中信46購01,0,"21,000","-21,000",0,0,0,"2,206,000",0,0,0,"2,669,000","463,000","2,206,000","2,185,000"
3514,昱晶            ,"2,911,000","210,000","2,701,000",0,0,0,"-548,000",0,"476,000","-476,000","30,000","102,000","-72,000","2,153,000"
2345,智邦            ,"3,046,000","479,085","2,566,915","350,000","557,000","-207,000","-208,000","116,000","237,000","-121,000","42,000","129,000","-87,000","2,151,915"
"=""00641R""",富邦日本反1     ,"972,000",0,"972,000",0,0,0,"1,153,000",0,0,0,"1,950,000","797,000","1,153,000","2,125,000"
2324,仁寶            ,"7,895,364","7,604,340","291,024","1,846,000",0,"1,846,000","-39,000","46,000","48,000","-2,000",0,"37,000","-37,000","2,098,024"
"=""051449""",鉅祥凱基43購03  ,0,0,0,0,0,0,"2,062,000",0,0,0,"2,147,000","85,000","2,062,000","2,062,000"
"=""054640""",中砂元富47購02  ,0,0,0,0,0,0,"2,011,000",0,0,0,"2,113,000","102,000","2,011,000","2,011,000"
2353,宏��            ,"4,138,000","1,211,596","2,926,404",0,0,0,"-982,000","20,000","55,000","-35,000",0,"947,000","-947,000","1,944,404"
"=""06552P""",所羅門國票49售01,0,0,0,0,0,0,"1,910,000",0,0,0,"1,920,000","10,000","1,910,000","1,910,000"
1215,卜蜂            ,"850,000","1,743,300","-893,300","168,000",0,"168,000","2,561,000","1,000","3,000","-2,000","2,597,000","34,000","2,563,000","1,835,700"
2603,長榮            ,"2,654,000","1,150,503","1,503,497","616,000",0,"616,000","-309,000","241,000","543,000","-302,000",0,"7,000","-7,000","1,810,497"
"=""055569""",志聖元富44購02  ,0,0,0,0,0,0,"1,599,000",0,0,0,"1,599,000",0,"1,599,000","1,599,000"
"=""055979""",龍德船國票46購01,0,0,0,0,0,0,"1,568,000",0,0,0,"5,268,000","3,700,000","1,568,000","1,568,000"
"=""00665L""",富邦�琤肭磪囓�2 ,"715,000",0,"715,000",0,0,0,"789,000",0,"14,000","-14,000","1,592,000","789,000","803,000","1,504,000"
"=""05928P""",臺股指國票48售01,0,0,0,0,0,0,"1,429,000",0,0,0,"2,010,000","581,000","1,429,000","1,429,000"
2615,萬海            ,"1,490,000","305,536","1,184,464",0,0,0,"204,000","175,000","41,000","134,000","70,000",0,"70,000","1,388,464"
1455,集盛            ,"2,059,000","149,000","1,910,000",0,0,0,"-529,000","1,000","530,000","-529,000",0,0,0,"1,381,000"
"=""00635U""",期元大S&P黃金   ,0,0,0,0,0,0,"1,376,000","40,000","145,000","-105,000","2,250,000","769,000","1,481,000","1,376,000"
"=""03443C""",台新金元富6C牛01,0,0,0,0,0,0,"1,362,000",0,0,0,"1,362,000",0,"1,362,000","1,362,000"
"=""053520""",台積電群益47購17,0,0,0,0,0,0,"1,342,000",0,0,0,"1,467,000","125,000","1,342,000","1,342,000"
3545,敦泰            ,"437,000","214,000","223,000",0,0,0,"1,056,000","215,000","10,000","205,000","968,000","117,000","851,000","1,279,000"
"=""055121""",訊芯元大44購07  ,0,0,0,0,0,0,"1,276,000",0,0,0,"1,644,000","368,000","1,276,000","1,276,000"
2312,金寶            ,"1,421,000","91,000","1,330,000",0,0,0,"-55,000","7,000","32,000","-25,000","19,000","49,000","-30,000","1,275,000"
