日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/04/01,"1,157,246","31,119,416",26.3,27.25,26.3,26.95,0.7,752
114/04/02,"849,709","22,951,013",26.95,27.25,26.65,27.15,0.2,576
114/04/07,"174,517","4,266,892",24.45,24.45,24.45,24.45,-2.7,188
114/04/08,"346,853","7,648,051",22.05,22.05,22.05,22.05,-2.4,370
114/04/09,"1,048,637","20,815,445",19.85,19.85,19.85,19.85,-2.2,665
114/04/10,"6,230,991","133,376,112",20.75,21.8,20.65,21.8,1.95,"2,634"
114/04/11,"3,381,573","67,890,811",20.4,20.6,19.65,20.35,-1.45,"2,114"
114/04/14,"2,301,045","49,334,246",21.2,21.95,20.95,21.15,0.8,"1,476"
114/04/15,"1,902,040","41,497,068",21.8,22.1,21.15,22.05,0.9,"1,171"
114/04/16,"4,683,329","106,179,058",23.0,23.3,22.2,22.5,0.45,"2,881"
114/04/17,"2,030,964","43,696,586",22.0,22.05,21.1,21.5,-1.0,"1,688"
114/04/18,"1,079,276","23,203,569",21.9,21.95,21.2,21.4,-0.1,750
114/04/21,"1,458,130","30,062,703",21.35,21.5,20.15,20.25,-1.15,952
114/04/22,"1,540,875","31,196,950",20.15,20.7,19.7,20.1,-0.15,905
114/04/23,"2,718,596","57,791,999",20.8,21.8,20.6,21.25,1.15,"1,609"
114/04/24,"4,575,336","100,784,294",22.2,23.3,21.4,21.55,0.3,"3,009"
114/04/25,"1,848,484","40,558,487",21.95,22.25,21.75,21.8,0.25,"1,127"
114/04/28,"1,006,230","21,974,180",22.0,22.05,21.7,21.8,0.0,715
114/04/29,"5,552,622","128,100,681",22.35,23.85,21.85,23.75,1.95,"3,273"
114/04/30,"14,660,952","368,092,792",24.05,26.0,23.8,25.0,1.25,"9,272"
說明:,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,
