1.一般股票,"717,137,023,149","6,308,230,180","2,428,107"
2.台灣存託憑證,"51,658,682","9,386,163","2,830"
3.受益憑證,0,0,0
4.ETF,"30,086,822,047","1,158,015,145","438,220"
5.受益證券,"6,618,101","578,504",105
6.變更交易股票,"6,346,422","580,132",868
7.認購(售)權證,"1,736,963,630","1,757,542,000","62,517"
8.轉換公司債,0,0,0
9.附認股權特別股,0,0,0
10.附認股權公司債,0,0,0
11.認股權憑證,0,0,0
12.公司債,0,0,0
13.ETN,"3,796,260","160,000",40
14.創新板股票,"133,888,380","2,033,787","1,615"
15.創新板-變更交易方法股票,0,0,0
證券合計(1+6+14+15),"717,277,257,951","6,310,844,099","2,430,590"
總計(1~15),"749,163,116,671","9,236,525,911","2,934,302"
漲跌證券數合計,,,
類型,整體市場,股票,
上漲(漲停),"5,446(25)",703(8),
下跌(跌停),"5,137(76)",263(0),
持平,826,82,
未成交,"21,059",3,
無比價,"2,277",7,
備註:,,,
外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。,,,
