證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1101,台泥,33.50,5.97,110,27.92,1.15,111/3
1102,亞泥,41.20,8.25,110,9.49,0.9,111/3
1103,嘉泥,17.70,3.67,110,-,0.54,111/3
1104,環泥,22.70,4.41,110,8.25,0.74,111/3
1108,幸福,10.95,5.48,110,11.17,0.96,111/3
1109,信大,16.15,9.29,110,9.28,0.72,111/3
1110,東泥,17.90,1.12,110,162.73,1.2,111/3
1201,味全,19.25,2.6,110,21.88,1.34,111/3
1203,味王,35.40,3.11,110,13.46,1.56,111/3
1210,大成,45.00,4.44,110,19.23,1.84,111/3
1213,大飲,7.03,0.0,110,-,1.05,111/3
1215,卜蜂,77.30,5.17,110,15.34,2.68,111/3
1216,統一,66.00,4.09,110,20.82,3.06,111/3
1217,愛之味,10.70,2.8,110,23.78,0.8,111/3
1218,泰山,38.90,2.57,110,32.69,2.73,111/3
1219,福壽,19.30,5.7,110,16.64,1.42,111/3
1220,台榮,15.30,6.54,110,42.50,1.22,111/3
1225,福懋油,57.80,2.77,110,27.26,3.68,111/3
1227,佳格,40.10,4.74,110,24.91,2.1,111/3
1229,聯華,49.95,4.6,110,19.74,2.08,111/3
1231,聯華食,74.00,3.51,110,18.93,3.4,111/3
1232,大統益,143.50,4.18,110,17.29,4.71,111/3
1233,天仁,32.60,2.45,110,59.27,2.08,111/3
1234,黑松,33.00,5.15,110,13.92,0.73,111/3
1235,興泰,70.30,5.41,110,52.07,2.39,111/3
1236,宏亞,22.75,2.2,110,6.18,0.84,111/3
1256,鮮活果汁-KY,283.50,4.59,110,27.71,2.64,111/3
1301,台塑,87.20,9.4,110,9.19,1.51,111/3
1303,南亞,73.90,10.15,110,11.67,1.52,111/3
1304,台聚,21.70,10.14,110,8.75,0.96,111/3
1305,華夏,25.35,9.86,110,51.73,1.57,111/3
1307,三芳,21.15,2.36,110,17.77,0.97,111/3
1308,亞聚,28.65,10.47,110,8.14,1.23,111/3
1309,台達化,22.10,11.31,110,9.69,1.22,111/3
1310,台苯,13.70,1.09,110,-,1.08,111/3
1312,國喬,18.80,10.64,110,27.65,0.52,111/3
1313,聯成,13.90,7.19,110,-,0.68,111/3
1314,中石化,10.05,3.98,110,35.89,0.47,111/3
1315,達新,71.60,6.28,110,9.70,0.66,111/3
1316,上曜,12.90,0.0,110,19.25,0.98,111/3
1319,東陽,49.00,1.73,110,14.54,1.25,111/3
1321,大洋,34.00,2.06,110,125.93,1.25,111/3
1323,永裕,32.90,4.86,110,15.02,1.24,111/3
1324,地球,10.50,1.9,110,262.50,0.84,111/3
1325,恆大,24.20,8.26,110,56.28,0.74,111/3
1326,台化,71.50,6.71,110,22.70,1.23,111/3
1337,再生-KY,7.14,0.0,110,-,0.38,111/3
1338,廣華-KY,45.80,5.46,110,13.80,0.59,111/3
1339,昭輝,42.95,4.66,110,6.61,0.85,111/3
1340,勝悅-KY,10.05,0.0,110,-,0.32,111/3
1341,富林-KY,68.70,8.73,110,11.41,2.66,111/3
1342,八貫,133.50,2.25,110,20.86,5.19,111/3
1402,遠東新,33.00,4.55,110,18.97,0.84,111/3
1409,新纖,17.20,8.14,110,7.54,0.8,111/3
1410,南染,43.25,3.01,110,45.53,2.51,111/3
1413,宏洲,9.69,0.0,110,8.50,1.03,111/3
1414,東和,18.05,2.99,110,27.35,1.29,111/3
1416,廣豐,10.45,4.78,110,20.49,0.54,111/3
1417,嘉裕,14.00,2.5,110,-,0.97,111/3
1418,東華,14.15,0.0,110,-,0.68,111/3
1419,新紡,41.30,2.42,110,6.11,1.08,111/3
1423,利華,20.05,3.74,110,36.45,0.92,111/3
1432,大魯閣,11.95,0.0,110,-,1.47,111/3
1434,福懋,26.45,3.78,110,12.60,0.77,111/3
