排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,3049,精金,"173,155,325","49,018",18.25,19.55,17.8,17.95,-,0.1,17.95,18.0
2,2610,華航,"159,693,833","38,100",27.1,27.6,26.75,26.75,-,0.15,26.75,26.8
3,2888,新光金,"143,808,323","19,762",10.9,11.2,10.9,11.1,+,0.2,11.1,11.15
4,2883,凱基金,"117,254,290","28,996",17.2,17.6,17.15,17.6,+,0.5,17.55,17.6
5,2374,佳能,"109,970,589","38,381",33.7,33.85,32.05,32.95,-,0.1,32.95,33.0
6,3041,揚智,"102,086,618","49,519",40.45,44.3,40.45,42.1,+,1.6,42.1,42.15
7,"=""00632R""",元大台灣50反1,"90,953,501","5,042",5.13,5.15,5.11,5.11,-,0.02,5.11,5.12
8,2618,長榮航,"83,752,775","24,556",27.6,28.1,27.15,27.25,-,0.15,27.25,27.3
9,2603,長榮,"79,938,007","37,090",145.0,146.5,143.5,144.0,+,0.5,144.0,144.5
10,2340,台亞,"76,258,695","39,135",80.0,80.4,74.1,74.6,-,4.2,74.6,74.7
11,"=""00637L""",元大滬深300正2,"69,855,366","14,829",22.57,22.65,21.61,21.61,-,0.82,21.61,21.62
12,3094,聯傑,"62,471,404","23,748",43.1,46.05,42.5,46.05,+,4.15,46.05,0.0
13,2303,聯電,"53,066,878","23,425",65.1,65.2,64.7,65.0,+,0.3,65.0,65.1
14,2882,國泰金,"49,051,060","18,495",62.8,63.3,62.5,63.0,+,0.7,62.9,63.0
15,6443,元晶,"47,344,182","23,978",41.15,42.95,41.05,42.4,+,1.6,42.4,42.45
16,1560,中砂,"45,958,144","28,605",108.0,117.5,107.0,117.5,+,10.5,117.5,0.0
17,2498,宏達電,"45,768,188","24,126",83.5,85.8,82.2,85.8,+,2.8,85.7,85.8
18,3481,群創,"45,382,236","12,739",19.5,19.5,19.3,19.4,,0.0,19.4,19.45
19,1711,永光,"41,968,486","18,691",26.45,28.2,26.45,27.8,+,1.35,27.75,27.8
20,2409,友達,"39,207,178","9,558",22.7,22.85,22.5,22.75,+,0.1,22.7,22.75
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
