排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,2344,華邦電,"399,484,526","146,645",40.35,43.8,40.35,43.0,-,0.45,43.0,43.05,
2,"=""0050""",元大台灣50,"277,610,574","257,909",59.9,61.0,59.6,61.0,-,0.6,61.0,61.05,
3,"=""00715L""",期街口布蘭特正2,"222,894,348","25,189",10.34,10.38,10.3,10.35,-,0.67,10.34,10.35,
4,6770,力積電,"205,759,888","70,591",27.55,29.3,27.45,29.25,-,1.05,29.25,29.3,
5,2408,南亞科,"177,182,917","88,995",93.5,98.5,93.0,95.6,-,2.9,95.5,95.6,
6,1605,華新,"173,045,249","66,569",30.05,31.75,29.4,30.9,-,1.4,30.9,30.95,
7,"=""00919""",群益台灣精選高息,"154,700,123","74,811",21.07,21.19,20.99,21.16,-,0.24,21.16,21.17,
8,"=""0056""",元大高股息,"141,840,786","84,351",36.56,37.0,36.53,36.94,-,0.48,36.94,36.97,
9,2317,鴻海,"111,260,942","116,570",210.0,216.0,210.0,213.0,-,8.5,213.0,213.5,
10,"=""00753L""",中信中國50正2,"106,312,419","17,331",13.39,13.46,12.72,12.94,-,1.52,12.93,12.94,
11,"=""00637L""",元大滬深300正2,"105,425,109","13,185",18.79,18.88,18.37,18.66,-,1.29,18.66,18.67,
12,"=""00665L""",富邦�琤肭磪囓�2,"93,391,538","12,340",11.6,11.75,11.04,11.23,-,1.27,11.23,11.24,
13,"=""00632R""",元大台灣50反1,"92,517,497","11,380",18.0,18.02,17.76,17.77,+,0.23,17.77,17.78,
14,"=""00922""",國泰台灣領袖50,"87,515,225","33,792",25.31,25.44,25.12,25.43,-,0.41,25.42,25.43,
15,1802,台玻,"87,319,062","36,231",29.0,31.35,29.0,30.55,-,1.2,30.5,30.55,
16,"=""00981A""",主動統一台股增長,"86,495,446","21,796",13.75,13.96,13.67,13.96,-,0.22,13.95,13.96,
17,3706,神達,"85,069,089","79,879",91.5,96.5,91.3,96.4,+,0.9,96.3,96.4,
18,3481,群創,"81,589,583","17,763",15.0,15.3,14.8,15.25,-,0.25,15.25,15.3,
19,2887,台新新光金,"80,284,339","18,722",18.45,18.6,18.15,18.55,-,0.25,18.55,18.6,
20,"=""00878""",國泰永續高股息,"79,701,662","48,860",21.1,21.32,21.09,21.31,-,0.21,21.3,21.31,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
