分類指數名稱,成交股數,成交金額,成交筆數,漲跌指數
水泥類指數          ,"20,414,473","891,867,328","12,728",-2.38
食品類指數          ,"26,375,444","1,387,513,564","18,308",-7.07
塑膠類指數          ,"296,792,509","6,382,975,283","79,978",-2.82
紡織纖維類指數      ,"47,545,081","1,729,470,261","22,238",-8.71
電機機械類指數      ,"89,063,425","6,071,081,228","50,167",-2.83
電器電纜類指數      ,"44,929,690","1,249,682,667","22,438",-2.21
化學生技醫療類指數  ,"304,197,451","20,497,376,957","185,810",-2.63
化學類指數          ,"201,620,622","12,050,911,563","117,760",-4.88
生技醫療類指數      ,"102,576,829","8,446,465,394","68,050",-0.44
玻璃陶瓷類指數      ,"13,316,559","290,337,182","5,662",-2.03
造紙類指數          ,"9,622,413","250,275,013","7,652",-7.46
鋼鐵類指數          ,"183,768,343","7,765,395,620","107,611",-3.76
橡膠類指數          ,"22,615,172","937,110,847","13,221",-6.77
汽車類指數          ,"44,851,495","3,773,826,100","30,705",-6.96
電子類指數          ,"1,697,524,042","175,904,879,442","1,228,378",-17.35
半導體類指數        ,"584,069,596","106,229,243,260","567,821",-9.18
電腦及週邊設備類指數,"214,099,684","13,146,058,645","128,418",-2.67
光電類指數          ,"385,809,133","13,223,687,301","186,596",-1.25
通信網路類指數      ,"117,320,008","7,462,161,736","68,518",-0.92
電子零組件類指數    ,"248,423,273","25,815,208,113","181,293",-3.47
電子通路類指數      ,"37,759,562","1,931,683,552","25,890",-3.51
資訊服務類指數      ,"7,068,057","337,837,795","5,014",-0.11
其他電子類指數      ,"102,974,729","7,758,999,040","64,828",-2.17
建材營造類指數      ,"141,305,595","4,362,153,376","61,817",-4.3
航運業類指數        ,"563,277,838","33,324,352,658","258,048",-10.01
觀光事業類指數      ,"11,201,100","830,265,051","11,723",-1.68
金融保險類指數      ,"1,284,722,808","29,360,621,557","393,368",-27.82
貿易百貨類指數      ,"24,108,487","1,820,400,559","17,728",-3.7
油電燃氣類指數      ,"6,256,010","435,029,087","4,617",-2.25
其他類指數          ,"83,417,369","5,522,320,893","63,253",-4.74
說明:,,,,
以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。,,,,
