分類指數名稱,成交股數,成交金額,成交筆數,漲跌指數,Unnamed: 5
水泥類指數          ,"12,699,294","435,249,847","8,152",1.34,
食品類指數          ,"27,800,309","1,921,733,775","22,666",18.71,
塑膠類指數          ,"111,171,070","2,887,042,453","55,393",4.92,
紡織纖維類指數      ,"25,710,076","1,237,667,691","17,852",7.83,
電機機械類指數      ,"92,301,960","13,453,223,068","90,906",2.78,
電器電纜類指數      ,"26,116,267","717,059,723","14,093",0.45,
化學生技醫療類指數  ,"38,472,063","7,514,239,858","36,230",3.5,
化學類指數          ,"17,065,008","1,298,193,764","12,301",2.21,
生技醫療類指數      ,"21,407,055","6,216,046,094","23,929",2.48,
玻璃陶瓷類指數      ,"7,024,381","111,157,994","3,666",0.58,
造紙類指數          ,"4,388,824","92,302,824","2,931",0.92,
鋼鐵類指數          ,"48,935,622","1,462,491,158","28,455",1.29,
橡膠類指數          ,"8,950,568","315,987,821","5,900",2.72,
汽車類指數          ,"41,513,767","4,101,959,570","41,913",4.94,
電子類指數          ,"1,706,512,162","307,828,575,678","1,325,950",43.52,
半導體類指數        ,"362,212,901","141,774,288,435","355,591",28.27,
電腦及週邊設備類指數,"291,979,335","45,117,013,113","234,206",5.04,
光電類指數          ,"236,144,440","14,712,646,732","138,956",0.91,
通信網路類指數      ,"204,570,781","20,605,729,018","126,662",1.47,
電子零組件類指數    ,"276,002,675","42,416,120,652","231,375",3.71,
電子通路類指數      ,"22,707,684","1,749,000,583","20,734",-0.16,
資訊服務類指數      ,"13,744,564","1,101,171,474","16,258",2.35,
其他電子類指數      ,"299,149,782","40,352,605,671","202,168",3.17,
建材營造類指數      ,"96,733,997","3,752,394,009","61,056",1.22,
航運業類指數        ,"180,610,991","11,906,795,118","99,767",-0.46,
觀光餐旅類指數      ,"2,350,323","180,960,203","6,154",0.67,
金融保險類指數      ,"457,632,503","12,787,742,106","146,209",25.16,
貿易百貨類指數      ,"19,645,501","924,594,657","12,146",1.73,
油電燃氣類指數      ,"15,842,012","569,912,909","9,593",2.55,
其他類指數          ,"43,560,259","3,700,628,200","38,128",2.09,
綠能環保類指數      ,"6,295,140","860,327,643","7,378",0.93,
數位雲端類指數      ,"3,343,546","451,712,240","4,291",0.65,
運動休閒類指數      ,"22,836,420","2,366,587,122","20,129",2.46,
居家生活類指數      ,"5,055,496","861,260,333","4,965",2.24,
說明:,,,,,
以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。,,,,,
