證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數.1,賣出股數.1,買賣超股數.1,買進股數.2,賣出股數.2,買賣超股數.2,Unnamed: 11
"=""0056  """,元大高股息      ,0,0,0,"26,645,379",0,"26,645,379","26,645,379",0,"26,645,379",
2002  ,中鋼            ,"7,721,921","417,000","7,304,921","1,365,000","113,000","1,252,000","9,086,921","530,000","8,556,921",
"=""00878 """,國泰永續高股息  ,0,0,0,"8,968,000","869,270","8,098,730","8,968,000","869,270","8,098,730",
"=""00637L""",元大滬深300正2  ,0,0,0,"22,479,340","16,556,393","5,922,947","22,479,340","16,556,393","5,922,947",
"=""05030P""",萬海元大44售14  ,0,0,0,"3,822,000","6,000","3,816,000","3,822,000","6,000","3,816,000",
2603  ,長榮            ,"4,794,000","5,997,000","-1,203,000","7,070,608","2,281,862","4,788,746","11,864,608","8,278,862","3,585,746",
"=""068418""",德律元富48購01  ,0,0,0,"3,500,000","80,000","3,420,000","3,500,000","80,000","3,420,000",
"=""00664R""",國泰臺灣加權反1 ,0,0,0,"3,885,000","483,000","3,402,000","3,885,000","483,000","3,402,000",
2303  ,聯電            ,"3,432,000","1,125,821","2,306,179","1,266,131","175,000","1,091,131","4,698,131","1,300,821","3,397,310",
"=""064229""",威盛國泰47購02  ,0,0,0,"3,327,000",0,"3,327,000","3,327,000",0,"3,327,000",
"=""00708L""",期元大S&P黃金正2,0,0,0,"3,420,000","308,000","3,112,000","3,420,000","308,000","3,112,000",
"=""078992""",所羅門永豐4A購01,0,0,0,"2,860,000",0,"2,860,000","2,860,000",0,"2,860,000",
"=""057544""",京元電元大4A購01,0,0,0,"3,008,000","380,000","2,628,000","3,008,000","380,000","2,628,000",
"=""066887""",長榮元富47購04  ,0,0,0,"2,623,000","35,000","2,588,000","2,623,000","35,000","2,588,000",
"=""079312""",滬深2X元大4A購09,0,0,0,"2,519,000",0,"2,519,000","2,519,000",0,"2,519,000",
"=""079729""",大立光元富54購02,0,0,0,"3,150,000","806,000","2,344,000","3,150,000","806,000","2,344,000",
"=""076863""",友達元大49購04  ,0,0,0,"2,378,000","59,000","2,319,000","2,378,000","59,000","2,319,000",
"=""077240""",信邦凱基4A購03  ,0,0,0,"2,303,000","2,000","2,301,000","2,303,000","2,000","2,301,000",
"=""073906""",慧洋群益4B購02  ,0,0,0,"2,285,000","12,000","2,273,000","2,285,000","12,000","2,273,000",
"=""064760""",皇昌國票49購01  ,0,0,0,"2,220,000",0,"2,220,000","2,220,000",0,"2,220,000",
"=""070160""",晟銘電富邦49購01,0,0,0,"2,011,000",0,"2,011,000","2,011,000",0,"2,011,000",
6251  ,定穎            ,"1,976,000",0,"1,976,000",0,0,0,"1,976,000",0,"1,976,000",
"=""072423""",台灣50凱基4C購01,0,0,0,"1,986,000","207,000","1,779,000","1,986,000","207,000","1,779,000",
"=""071605""",華泰群益4A購01  ,0,0,0,"1,763,000",0,"1,763,000","1,763,000",0,"1,763,000",
"=""077239""",漢翔凱基51購01  ,0,0,0,"1,777,000","25,000","1,752,000","1,777,000","25,000","1,752,000",
"=""078892""",川湖國泰51購01  ,0,0,0,"1,898,000","262,000","1,636,000","1,898,000","262,000","1,636,000",
3037  ,欣興            ,"1,660,190","448,538","1,211,652","1,275,000","861,000","414,000","2,935,190","1,309,538","1,625,652",
"=""078691""",長榮元大4A購15  ,0,0,0,"2,833,000","1,252,000","1,581,000","2,833,000","1,252,000","1,581,000",
2014  ,中鴻            ,"963,000","86,000","877,000","2,176,163","1,553,000","623,163","3,139,163","1,639,000","1,500,163",
"=""078661""",昇陽半永豐52購01,0,0,0,"2,307,000","808,000","1,499,000","2,307,000","808,000","1,499,000",
"=""078501""",世芯元大4A購15  ,0,0,0,"1,497,000",0,"1,497,000","1,497,000",0,"1,497,000",
"=""00655L""",國泰中國A50正2  ,0,0,0,"2,620,049","1,139,000","1,481,049","2,620,049","1,139,000","1,481,049",
4906  ,正文            ,"217,000","363,000","-146,000","1,662,000","54,000","1,608,000","1,879,000","417,000","1,462,000",
"=""079132""",SGBR2X群益54購02,0,0,0,"1,544,000","90,000","1,454,000","1,544,000","90,000","1,454,000",
"=""080632""",日電貿永豐4C購01,0,0,0,"1,452,000",0,"1,452,000","1,452,000",0,"1,452,000",
"=""066501""",廣宇群益47購03  ,0,0,0,"1,499,000","80,000","1,419,000","1,499,000","80,000","1,419,000",
"=""069414""",鼎基統一52購02  ,0,0,0,"3,314,000","1,896,000","1,418,000","3,314,000","1,896,000","1,418,000",
"=""05089P""",辛耘凱基44售05  ,0,0,0,"2,178,000","764,000","1,414,000","2,178,000","764,000","1,414,000",
"=""071045""",中鋼中信48購02  ,0,0,0,"1,389,000","12,000","1,377,000","1,389,000","12,000","1,377,000",
"=""070069""",堤維西凱基49購01,0,0,0,"1,404,000","35,000","1,369,000","1,404,000","35,000","1,369,000",
"=""073884""",華城群益49購03  ,0,0,0,"1,392,000","78,000","1,314,000","1,392,000","78,000","1,314,000",
"=""080044""",台積電凱基4C購24,0,0,0,"2,645,000","1,342,000","1,303,000","2,645,000","1,342,000","1,303,000",
"=""065945""",臺股指元富47購03,0,0,0,"1,349,000","67,000","1,282,000","1,349,000","67,000","1,282,000",
"=""076631""",全訊統一53購04  ,0,0,0,"1,281,000","3,000","1,278,000","1,281,000","3,000","1,278,000",
"=""064065""",晟銘電元大47購01,0,0,0,"1,309,000","50,000","1,259,000","1,309,000","50,000","1,259,000",
"=""080658""",台積電元富4B購16,0,0,0,"1,736,000","485,000","1,251,000","1,736,000","485,000","1,251,000",
"=""066599""",世芯國票49購04  ,0,0,0,"2,560,000","1,323,000","1,237,000","2,560,000","1,323,000","1,237,000",
"=""067255""",陽明國票48購03  ,0,0,0,"1,454,000","223,000","1,231,000","1,454,000","223,000","1,231,000",
"=""079238""",日月光群益4A購05,0,0,0,"1,231,000",0,"1,231,000","1,231,000",0,"1,231,000",
"=""072274""",勤誠元大4A購01  ,0,0,0,"1,412,000","192,000","1,220,000","1,412,000","192,000","1,220,000",
"=""05320P""",S&P正2中信47售01,0,0,0,"1,451,000","234,000","1,217,000","1,451,000","234,000","1,217,000",
"=""077257""",大成鋼元大4B購06,0,0,0,"1,223,000","41,000","1,182,000","1,223,000","41,000","1,182,000",
"=""080071""",貿聯元富4B購02  ,0,0,0,"1,383,000","201,000","1,182,000","1,383,000","201,000","1,182,000",
"=""00715L""",期街口布蘭特正2 ,0,0,0,"6,458,000","5,316,000","1,142,000","6,458,000","5,316,000","1,142,000",
"=""067466""",欣興凱基47購03  ,0,0,0,"1,139,000","10,000","1,129,000","1,139,000","10,000","1,129,000",
"=""079378""",臺指反富邦54購01,0,0,0,"1,192,000","85,000","1,107,000","1,192,000","85,000","1,107,000",
"=""080665""",緯創元富55購01  ,0,0,0,"1,179,000","88,000","1,091,000","1,179,000","88,000","1,091,000",
"=""068227""",奇鋐群益48購01  ,0,0,0,"1,126,000","47,000","1,079,000","1,126,000","47,000","1,079,000",
"=""00701 """,國泰股利精選30  ,"250,000",0,"250,000","1,083,000","265,106","817,894","1,333,000","265,106","1,067,894",
"=""078957""",長榮航群益4A購01,0,0,0,"1,135,000","70,000","1,065,000","1,135,000","70,000","1,065,000",
"=""05515P""",臺股指凱基46售17,0,0,0,"1,277,000","218,000","1,059,000","1,277,000","218,000","1,059,000",
"=""079697""",建準統一44購01  ,0,0,0,"1,069,000","16,000","1,053,000","1,069,000","16,000","1,053,000",
"=""068220""",威盛群益4A購03  ,0,0,0,"1,599,000","567,000","1,032,000","1,599,000","567,000","1,032,000",
"=""065529""",矽力統一51購02  ,0,0,0,"1,023,000","1,000","1,022,000","1,023,000","1,000","1,022,000",
"=""078391""",奇鋐台新4A購02  ,0,0,0,"1,084,000","77,000","1,007,000","1,084,000","77,000","1,007,000",
"=""077045""",新日興群益49購06,0,0,0,"998,000","2,000","996,000","998,000","2,000","996,000",
"=""079199""",景碩元大4A購05  ,0,0,0,"1,048,000","55,000","993,000","1,048,000","55,000","993,000",
