Unnamed: 0,Unnamed: 1,自營商(自行買賣),Unnamed: 3,Unnamed: 4,自營商(避險),Unnamed: 6,Unnamed: 7,自營商,Unnamed: 9,Unnamed: 10
證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數
"=""00673R""",期元大S&P原油反1,0,0,0,"27,148,360","2,309,000","24,839,360","27,148,360","2,309,000","24,839,360"
"=""00893 """,國泰智能電動車  ,0,0,0,"6,469,850","406,000","6,063,850","6,469,850","406,000","6,063,850"
2409  ,友達            ,"2,108,000","709,000","1,399,000","4,021,000","121,000","3,900,000","6,129,000","830,000","5,299,000"
"=""058461""",振樺電台新45購01,0,0,0,"5,376,000","200,000","5,176,000","5,376,000","200,000","5,176,000"
"=""08014P""",皇昌凱基4A售05  ,0,0,0,"4,891,000","114,000","4,777,000","4,891,000","114,000","4,777,000"
"=""077546""",T50反1元大4C購04,0,0,0,"4,253,000","5,000","4,248,000","4,253,000","5,000","4,248,000"
"=""037949""",德律永豐55購01  ,0,0,0,"3,921,000","121,000","3,800,000","3,921,000","121,000","3,800,000"
"=""048008""",亞翔元大44購08  ,0,0,0,"3,590,000","10,000","3,580,000","3,590,000","10,000","3,580,000"
"=""081500""",A50中信52購01   ,0,0,0,"3,505,000","33,000","3,472,000","3,505,000","33,000","3,472,000"
"=""066512""",京鼎群益47購01  ,0,0,0,"3,426,000",0,"3,426,000","3,426,000",0,"3,426,000"
"=""067697""",台塑元大47購08  ,0,0,0,"3,360,000","50,000","3,310,000","3,360,000","50,000","3,310,000"
"=""044365""",緯穎元大55購10  ,0,0,0,"3,035,000",0,"3,035,000","3,035,000",0,"3,035,000"
2618  ,長榮航          ,"2,541,000","1,107,230","1,433,770","1,765,000","212,000","1,553,000","4,306,000","1,319,230","2,986,770"
9907  ,統一實          ,"39,534","91,000","-51,466","2,909,000","73,000","2,836,000","2,948,534","164,000","2,784,534"
"=""078891""",大成鋼國泰51購01,0,0,0,"2,779,000",0,"2,779,000","2,779,000",0,"2,779,000"
"=""074251""",大成鋼統一53購03,0,0,0,"2,710,000",0,"2,710,000","2,710,000",0,"2,710,000"
"=""07680P""",南亞科群益51售01,0,0,0,"2,926,000","221,000","2,705,000","2,926,000","221,000","2,705,000"
"=""00902 """,中信電池及儲能  ,"46,000",0,"46,000","3,519,526","956,000","2,563,526","3,565,526","956,000","2,609,526"
"=""03788C""",T50反1元大19牛07,0,0,0,"2,545,000",0,"2,545,000","2,545,000",0,"2,545,000"
"=""078781""",鴻海元大4A購31  ,0,0,0,"3,629,000","1,111,000","2,518,000","3,629,000","1,111,000","2,518,000"
2367  ,燿華            ,"126,794","167,000","-40,206","2,616,947","134,000","2,482,947","2,743,741","301,000","2,442,741"
"=""00915 """,凱基優選高股息30,0,0,0,"2,712,000","286,980","2,425,020","2,712,000","286,980","2,425,020"
"=""082720""",瀚宇博元大4C購01,0,0,0,"2,416,000",0,"2,416,000","2,416,000",0,"2,416,000"
"=""077202""",台積電國票4C購07,0,0,0,"2,331,000",0,"2,331,000","2,331,000",0,"2,331,000"
3481  ,群創            ,"1,175,749","271,000","904,749","1,775,000","360,000","1,415,000","2,950,749","631,000","2,319,749"
"=""079882""",緯穎元大52購01  ,0,0,0,"2,202,000","101,000","2,101,000","2,202,000","101,000","2,101,000"
