日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"39,511,138","2,557,720,928",65.00,65.00,64.00,64.90,0.4,"8,255"
2010/01/05,"38,394,084","2,464,115,096",65.00,65.10,63.90,64.50,-0.4,"9,205"
2010/01/06,"52,734,385","3,390,698,544",64.50,64.90,63.70,64.90,0.4,"12,597"
2010/01/07,"53,294,614","3,437,221,996",64.90,65.00,64.20,64.20,-0.7,"11,195"
2010/01/08,"48,047,497","3,068,341,466",63.50,64.30,63.50,64.00,-0.2,"9,804"
2010/01/11,"37,446,686","2,413,758,179",64.00,64.90,63.50,64.50,0.5,"8,066"
2010/01/12,"52,444,792","3,337,576,396",64.40,64.40,63.30,63.60,-0.9,"12,865"
2010/01/13,"49,806,496","3,129,817,596",63.00,63.10,62.60,62.80,-0.8,"10,609"
2010/01/14,"39,254,264","2,469,193,916",63.60,63.60,63.00,63.20,0.4,"8,755"
2010/01/15,"50,011,109","3,155,482,441",62.90,63.50,62.80,63.50,0.3,"11,048"
2010/01/18,"30,586,332","1,924,772,947",62.80,63.10,62.80,62.90,-0.6,"9,875"
2010/01/19,"47,541,231","2,970,283,048",63.00,63.20,62.00,62.50,-0.4,"14,132"
2010/01/20,"52,519,052","3,292,097,534",62.90,63.20,62.20,63.00,0.5,"13,043"
2010/01/21,"24,842,055","1,552,278,255",63.00,63.00,62.10,62.60,-0.4,"8,212"
2010/01/22,"64,001,109","3,916,952,764",61.50,61.70,61.00,61.10,-1.5,"18,967"
2010/01/25,"62,230,836","3,759,976,086",60.10,60.80,60.10,60.40,-0.7,"18,763"
2010/01/26,"80,078,237","4,839,012,506",60.60,61.20,60.00,60.10,-0.3,"17,643"
2010/01/27,"53,876,237","3,227,674,030",60.10,60.40,59.50,59.60,-0.5,"13,505"
2010/01/28,"44,033,633","2,666,239,239",60.50,61.50,59.80,60.00,0.4,"11,197"
2010/01/29,"98,124,608","5,948,654,037",60.10,61.50,59.40,61.50,1.5,"18,337"
2017/08/01,"20,314,999","4,325,934,287",212.50,214.00,212.00,212.00,-2.5,"7,318"
2017/08/02,"30,528,035","6,574,998,275",214.00,216.00,214.00,216.00,4.0,"11,028"
2017/08/03,"27,097,397","5,779,905,218",213.00,214.00,212.50,213.50,-2.5,"7,041"
2017/08/04,"22,187,420","4,735,259,954",213.50,214.00,212.50,213.00,-0.5,"5,240"
2017/08/07,"21,594,977","4,653,776,958",213.50,216.50,213.50,216.00,3.0,"7,115"
2017/08/08,"25,223,804","5,483,118,368",217.50,219.00,216.00,217.50,1.5,"8,404"
2017/08/09,"28,129,447","6,035,247,455",215.00,215.50,213.50,214.50,-3.0,"9,826"
2017/08/10,"27,440,049","5,866,558,686",215.50,215.50,212.50,214.00,-0.5,"8,227"
2017/08/11,"41,592,129","8,803,564,627",211.00,213.50,210.50,212.50,-1.5,"13,751"
2017/08/14,"29,414,616","6,233,486,198",213.50,214.00,210.00,211.00,-1.5,"7,719"
2017/08/15,"14,385,915","3,073,117,310",213.00,214.50,213.00,214.00,3.0,"5,250"
2017/08/16,"25,206,990","5,357,190,370",214.50,214.50,211.00,213.00,-1.0,"8,610"
2017/08/17,"8,353,232","1,785,167,148",213.50,214.00,213.00,214.00,1.0,"3,120"
2017/08/18,"14,363,526","3,043,468,038",212.00,213.00,211.00,212.50,-1.5,"3,999"
2017/08/21,"13,847,499","2,934,064,688",212.50,213.00,211.50,211.50,-1.0,"5,152"
2017/08/22,"17,330,415","3,710,809,960",213.50,214.50,213.00,214.50,3.0,"7,908"
2017/08/23,"11,757,917","2,531,926,275",215.50,216.00,214.00,215.50,1.0,"5,873"
2017/08/24,"15,426,842","3,341,510,582",216.00,217.00,215.50,217.00,1.5,"6,953"
2017/08/25,"10,975,387","2,384,766,481",217.50,217.50,216.00,217.50,0.5,"5,546"
