日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"3,270,999","29,376,851",8.94,9.09,8.85,9.03,+0.08,561
2010/01/05,"3,362,187","30,554,167",9.1,9.22,8.96,8.96,-0.07,716
2010/01/06,"2,475,790","22,294,648",8.96,9.09,8.93,8.95,-0.01,442
2010/01/07,"6,785,394","62,171,877",9.0,9.27,8.97,9.1,+0.15,"1,119"
2010/01/08,"2,187,832","20,081,060",9.2,9.3,9.07,9.2,+0.10,511
2010/01/11,"3,604,532","33,550,384",9.28,9.35,9.25,9.28,+0.08,641
2010/01/12,"1,803,163","16,378,862",9.3,9.3,9.0,9.08,-0.20,415
2010/01/13,"1,342,500","11,969,670",9.05,9.07,8.65,8.8,-0.28,334
2010/01/14,"846,133","7,482,300",8.8,8.9,8.8,8.84,+0.04,240
2010/01/15,"1,295,182","11,480,519",8.8,8.95,8.8,8.91,+0.07,293
2010/01/18,"1,434,147","12,864,323",8.91,9.05,8.9,9.04,+0.13,382
2010/01/19,"3,517,163","32,417,913",9.1,9.35,9.03,9.11,+0.07,811
2010/01/20,"1,060,811","9,607,752",9.2,9.25,8.96,9.03,-0.08,285
2010/01/21,"1,079,156","9,616,853",9.0,9.02,8.84,8.89,-0.14,311
2010/01/22,"1,328,173","11,421,935",8.71,8.73,8.48,8.5,-0.39,321
2010/01/25,"982,000","8,193,210",8.36,8.45,8.29,8.29,-0.21,256
2010/01/26,"1,111,723","9,081,639",8.44,8.46,7.8,7.95,-0.34,345
2010/01/27,"739,001","5,826,457",7.95,8.0,7.82,7.9,-0.05,237
2010/01/28,"881,942","7,079,242",7.9,8.07,7.9,8.07,+0.17,192
2010/01/29,"369,534","2,923,347",7.97,7.98,7.81,7.92,-0.15,150
2010/02/01,"326,721","2,586,615",7.98,7.98,7.86,7.9,-0.02,108
2010/02/02,"659,912","5,227,900",7.95,8.0,7.82,7.82,-0.08,152
2010/02/03,"191,001","1,500,947",7.84,7.93,7.82,7.9,+0.08,89
2010/02/04,"388,019","3,051,459",7.9,7.91,7.83,7.83,-0.07,123
2010/02/05,"965,019","7,132,929",7.8,7.8,7.29,7.29,-0.54,318
2010/02/06,"1,387,101","9,706,053",7.35,7.35,6.81,7.2,-0.09,286
2010/02/08,"538,500","3,830,479",7.09,7.17,7.06,7.15,-0.05,160
2010/02/09,"741,852","5,365,658",7.1,7.35,7.1,7.3,+0.15,192
2010/02/10,"747,888","5,532,229",7.32,7.48,7.32,7.46,+0.16,231
2010/02/22,"506,263","3,816,275",7.58,7.59,7.5,7.52,+0.06,168
2010/02/23,"259,692","1,945,459",7.5,7.55,7.45,7.55,+0.03,77
2010/02/24,"190,000","1,425,370",7.46,7.55,7.46,7.5,-0.05,75
2010/02/25,"244,227","1,827,250",7.5,7.55,7.43,7.45,-0.05,108
2010/02/26,"212,000","1,579,020",7.45,7.51,7.43,7.45,0.00,50
2010/03/01,"407,063","3,081,586",7.53,7.61,7.46,7.6,+0.15,138
2010/03/02,"532,015","4,051,043",7.61,7.7,7.53,7.62,+0.02,150
2010/03/03,"254,424","1,941,273",7.62,7.66,7.6,7.63,+0.01,95
2010/03/04,"1,074,327","8,418,410",7.74,7.9,7.74,7.82,+0.19,296
2010/03/05,"454,050","3,570,640",7.82,7.96,7.8,7.84,+0.02,170
2010/03/08,"247,113","1,940,274",7.9,7.9,7.81,7.82,-0.02,105
2010/03/09,"330,014","2,561,388",7.8,7.81,7.71,7.71,-0.11,110
2010/03/10,"281,396","2,174,962",7.71,7.79,7.69,7.75,+0.04,100
2010/03/11,"301,113","2,326,862",7.75,7.76,7.69,7.72,-0.03,92
2010/03/12,"172,119","1,328,568",7.72,7.74,7.71,7.73,+0.01,73
2010/03/15,"283,366","2,178,953",7.73,7.76,7.61,7.61,-0.12,102
2010/03/16,"261,301","1,987,772",7.65,7.65,7.54,7.65,+0.04,101
2010/03/17,"365,085","2,805,501",7.68,7.74,7.66,7.71,+0.06,129
2010/03/18,"500,055","3,893,945",7.75,7.82,7.75,7.78,+0.07,174
2010/03/19,"355,256","2,777,969",7.78,7.84,7.78,7.81,+0.03,122
2010/03/22,"1,571,020","12,512,991",7.83,8.12,7.79,8.06,+0.25,425
2010/03/23,"1,018,462","8,307,452",8.12,8.29,8.06,8.17,+0.11,317
2010/03/24,"1,265,393","10,414,516",8.2,8.28,8.12,8.16,-0.01,297
2010/03/25,"1,263,080","10,397,282",8.15,8.36,8.05,8.19,+0.03,386
2010/03/26,"839,000","6,887,930",8.25,8.27,8.17,8.17,-0.02,161
2010/03/29,"845,427","6,929,871",8.25,8.25,8.17,8.23,+0.06,212
2010/03/30,"688,001","5,666,297",8.25,8.28,8.2,8.21,-0.02,168
2010/03/31,"405,898","3,320,480",8.21,8.23,8.12,8.13,-0.08,147
2010/04/01,"585,250","4,803,728",8.18,8.25,8.16,8.22,+0.09,188
2010/04/02,"408,296","3,359,043",8.22,8.28,8.18,8.19,-0.03,116
2010/04/06,"650,532","5,368,420",8.2,8.29,8.2,8.24,+0.05,218
2010/04/07,"484,200","3,989,102",8.22,8.29,8.21,8.23,-0.01,141
2010/04/08,"489,012","4,031,489",8.24,8.29,8.21,8.22,-0.01,159
2010/04/09,"372,428","3,068,849",8.22,8.26,8.22,8.25,+0.03,159
2010/04/12,"1,263,677","10,613,822",8.34,8.49,8.3,8.48,+0.23,342
2010/04/13,"548,386","4,604,425",8.47,8.47,8.34,8.34,-0.14,168
2010/04/14,"527,357","4,400,930",8.38,8.4,8.3,8.35,+0.01,124
2010/04/15,"1,735,067","14,710,658",8.36,8.59,8.36,8.55,+0.20,393
2010/04/16,"1,258,023","10,732,943",8.58,8.58,8.48,8.49,-0.06,272
2010/04/19,"723,288","6,001,848",8.4,8.4,8.05,8.11,-0.38,207
2010/04/20,"531,000","4,322,150",8.13,8.24,8.1,8.18,+0.07,160
2010/04/21,"857,133","7,024,656",8.29,8.29,8.15,8.16,-0.02,223
2010/04/22,"333,664","2,699,390",8.18,8.18,8.06,8.1,-0.06,114
2010/04/23,"284,204","2,305,962",8.17,8.17,8.07,8.1,0.00,111
2010/04/26,"523,615","4,286,767",8.12,8.23,8.12,8.17,+0.07,162
2010/04/27,"212,339","1,738,653",8.2,8.2,8.17,8.18,+0.01,66
2010/04/28,"424,000","3,439,810",8.17,8.18,8.04,8.13,-0.05,135
2010/04/29,"426,119","3,477,536",8.13,8.2,8.1,8.15,+0.02,126
2010/04/30,"230,220","1,878,548",8.18,8.22,8.12,8.13,-0.02,92
2010/05/03,"588,126","4,701,780",8.05,8.12,7.91,7.97,-0.16,141
2010/05/04,"288,026","2,282,603",8.0,8.01,7.9,7.92,-0.05,97
2010/05/05,"423,011","3,258,005",7.82,7.84,7.64,7.7,-0.22,127
2010/05/06,"292,050","2,238,276",7.68,7.7,7.56,7.58,-0.12,101
2010/05/07,"1,036,000","7,446,580",7.05,7.39,7.05,7.29,-0.29,178
2010/05/10,"481,300","3,562,483",7.35,7.51,7.29,7.47,+0.18,165
2010/05/11,"434,404","3,265,899",7.5,7.56,7.42,7.45,-0.02,134
2010/05/12,"181,271","1,351,315",7.45,7.5,7.45,7.45,0.00,56
2010/05/13,"390,315","2,946,352",7.59,7.62,7.48,7.54,+0.09,123
2010/05/14,"476,002","3,574,495",7.51,7.57,7.42,7.52,-0.02,94
2010/05/17,"221,311","1,637,798",7.5,7.5,7.35,7.35,-0.17,74
2010/05/18,"206,606","1,525,688",7.4,7.45,7.35,7.37,+0.02,68
2010/05/19,"183,525","1,354,842",7.31,7.44,7.3,7.4,+0.03,103
2010/05/20,"396,150","2,880,504",7.45,7.45,7.1,7.1,-0.30,126
2010/05/21,"650,002","4,521,034",7.0,7.0,6.9,6.97,-0.13,142
2010/05/24,"234,876","1,667,248",7.01,7.15,7.01,7.12,+0.15,87
2010/05/25,"383,382","2,645,915",7.1,7.11,6.82,6.84,-0.28,101
2010/05/26,"606,892","4,169,474",6.84,6.93,6.84,6.92,+0.08,142
2010/05/27,"417,215","2,887,068",6.9,7.02,6.81,7.01,+0.09,138
2010/05/28,"353,100","2,501,112",7.08,7.15,7.05,7.07,+0.06,115
2010/05/31,"153,000","1,082,160",7.0,7.1,7.0,7.07,0.00,58
2010/06/01,"281,703","1,990,731",7.07,7.12,7.0,7.06,-0.01,92
2010/06/02,"218,378","1,541,726",7.04,7.12,7.0,7.01,-0.05,69
2010/06/03,"145,339","1,034,986",7.02,7.18,7.02,7.13,+0.12,54
2010/06/04,"142,479","1,009,582",7.06,7.13,7.06,7.08,-0.05,43
2010/06/07,"294,000","2,042,660",7.01,7.03,6.92,6.97,-0.11,182
2010/06/08,"529,500","3,679,005",6.97,7.0,6.91,6.96,-0.01,274
2010/06/09,"213,054","1,483,422",7.0,7.0,6.9,6.92,-0.04,74
2010/06/10,"133,815","931,390",6.95,6.99,6.91,6.95,+0.03,52
2010/06/11,"464,001","3,284,737",7.0,7.17,7.0,7.13,+0.18,135
2010/06/14,"301,071","2,148,344",7.13,7.2,7.1,7.14,+0.01,100
2010/06/15,"302,085","2,160,594",7.15,7.18,7.13,7.16,+0.02,96
2010/06/17,"422,100","3,036,577",7.17,7.25,7.16,7.19,+0.03,123
2010/06/18,"182,198","1,310,876",7.24,7.25,7.17,7.21,+0.02,70
2010/06/21,"383,000","2,779,670",7.23,7.29,7.22,7.27,+0.06,130
2010/06/22,"123,500","893,334",7.25,7.27,7.22,7.22,-0.05,60
2010/06/23,"141,134","1,015,504",7.23,7.23,7.15,7.19,-0.03,61
2010/06/24,"388,000","2,799,510",7.2,7.28,7.18,7.2,+0.01,111
2010/06/25,"184,002","1,318,194",7.18,7.2,7.13,7.18,-0.02,56
2010/06/28,"209,364","1,509,206",7.2,7.25,7.18,7.19,+0.01,59
2010/06/29,"310,000","2,233,940",7.21,7.27,7.18,7.18,-0.01,60
2010/06/30,"167,300","1,185,278",7.15,7.15,7.01,7.09,-0.09,56
2010/07/01,"525,000","3,708,130",7.17,7.17,7.0,7.02,-0.07,118
2010/07/02,"198,600","1,404,140",7.05,7.09,7.02,7.05,+0.03,71
2010/07/05,"295,000","2,091,200",7.11,7.12,7.05,7.12,+0.07,85
2010/07/06,"411,999","2,953,011",7.11,7.2,7.1,7.18,+0.06,129
2010/07/07,"334,398","2,403,881",7.19,7.23,7.17,7.19,+0.01,119
2010/07/08,"520,000","3,779,300",7.24,7.35,7.21,7.24,+0.05,165
2010/07/09,"352,164","2,558,080",7.25,7.32,7.22,7.22,-0.02,93
2010/07/12,"166,184","1,205,595",7.26,7.29,7.22,7.25,+0.03,57
2010/07/13,"226,620","1,634,257",7.26,7.27,7.18,7.18,-0.07,68
2010/07/14,"291,852","2,109,952",7.19,7.27,7.19,7.24,+0.06,95
2010/07/15,"360,600","2,608,746",7.25,7.25,7.19,7.22,-0.02,103
2010/07/16,"551,000","3,994,270",7.15,7.29,7.15,7.25,+0.03,145
2010/07/19,"155,170","1,120,233",7.18,7.26,7.17,7.24,-0.01,58
2010/07/20,"255,726","1,853,862",7.24,7.29,7.22,7.26,+0.02,101
2010/07/21,"551,000","4,027,100",7.29,7.37,7.27,7.31,+0.05,182
2010/07/22,"173,100","1,263,008",7.31,7.35,7.26,7.28,-0.03,71
2010/07/23,"387,276","2,839,133",7.31,7.38,7.31,7.32,+0.04,141
2010/07/26,"974,915","7,249,776",7.44,7.5,7.35,7.49,+0.17,255
2010/07/27,"360,875","2,685,495",7.49,7.5,7.38,7.46,-0.03,140
2010/07/28,"470,189","3,511,339",7.46,7.51,7.4,7.5,+0.04,149
2010/07/29,"1,065,000","8,134,600",7.58,7.76,7.5,7.68,+0.18,334
2010/07/30,"913,082","7,034,299",7.68,7.77,7.62,7.66,-0.02,269
2010/08/02,"795,604","6,174,759",7.7,7.82,7.7,7.72,+0.06,206
2010/08/03,"867,544","6,794,348",7.81,7.99,7.75,7.99,+0.27,201
2010/08/04,"615,836","4,881,212",7.99,7.99,7.88,7.9,-0.09,191
2010/08/05,"588,730","4,658,151",7.9,7.99,7.81,7.92,+0.02,175
2010/08/06,"315,525","2,490,051",7.9,7.93,7.85,7.91,-0.01,128
2010/08/09,"778,407","6,262,745",7.92,8.1,7.92,8.06,+0.15,261
2010/08/10,"682,407","5,492,748",8.14,8.15,7.97,7.97,-0.09,193
2010/08/11,"428,061","3,370,434",7.92,7.97,7.78,7.79,-0.18,148
2010/08/12,"321,300","2,491,024",7.71,7.81,7.71,7.78,-0.01,106
2010/08/13,"343,011","2,659,974",7.82,7.85,7.72,7.77,-0.01,116
2010/08/16,"449,157","3,497,293",7.77,7.82,7.76,7.79,+0.02,127
2010/08/17,"655,130","5,155,236",7.8,7.99,7.8,7.93,+0.14,195
2010/08/18,"665,338","5,298,296",8.0,8.01,7.91,7.93,0.00,213
2010/08/19,"442,418","3,517,533",7.95,8.01,7.91,7.91,-0.02,149
2010/08/20,"387,055","3,034,370",7.9,7.91,7.77,7.9,-0.01,111
2010/08/23,"972,100","7,819,637",7.95,8.1,7.9,8.01,+0.11,285
2010/08/24,"510,049","4,071,528",8.0,8.09,7.9,7.95,-0.06,125
2010/08/25,"680,363","5,334,765",7.95,8.0,7.75,7.8,-0.15,168
2010/08/26,"324,838","2,522,138",7.8,7.8,7.71,7.76,-0.04,103
2010/08/27,"241,736","1,887,243",7.76,7.88,7.72,7.79,+0.03,94
2010/08/30,"284,000","2,214,200",7.86,7.87,7.76,7.76,-0.03,91
2010/08/31,"311,019","2,369,993",7.76,7.76,7.52,7.57,-0.19,122
2010/09/01,"385,000","2,933,260",7.59,7.66,7.59,7.61,+0.04,110
2010/09/02,"508,255","3,886,121",7.66,7.79,7.6,7.67,+0.06,162
2010/09/03,"374,237","2,882,834",7.74,7.76,7.68,7.68,+0.01,111
2010/09/06,"346,011","2,657,294",7.73,7.74,7.63,7.7,+0.02,101
2010/09/07,"367,263","2,815,215",7.71,7.71,7.59,7.66,-0.04,116
2010/09/08,"380,427","2,920,325",7.69,7.73,7.63,7.69,+0.03,131
2010/09/09,"315,565","2,394,503",7.55,7.65,7.52,7.54,X0.00,115
2010/09/10,"153,000","1,157,750",7.64,7.65,7.54,7.58,+0.04,63
2010/09/13,"395,587","3,016,450",7.62,7.65,7.6,7.62,+0.04,120
2010/09/14,"353,265","2,683,012",7.63,7.64,7.57,7.62,0.00,98
2010/09/15,"251,455","1,904,675",7.62,7.62,7.55,7.56,-0.06,81
2010/09/16,"231,281","1,745,521",7.56,7.6,7.51,7.52,-0.04,80
2010/09/17,"285,998","2,155,843",7.53,7.58,7.5,7.51,-0.01,82
2010/09/20,"323,309","2,459,296",7.6,7.68,7.55,7.57,+0.06,126
2010/09/21,"410,160","3,123,816",7.67,7.67,7.57,7.62,+0.05,126
2010/09/23,"119,900","910,379",7.58,7.62,7.55,7.57,-0.05,47
2010/09/24,"263,127","1,993,823",7.54,7.62,7.52,7.54,-0.03,128
2010/09/27,"346,438","2,622,027",7.55,7.61,7.54,7.54,0.00,117
2010/09/28,"247,965","1,878,503",7.62,7.62,7.5,7.56,+0.02,86
2010/09/29,"297,928","2,253,816",7.58,7.61,7.52,7.56,0.00,97
2010/09/30,"290,001","2,203,497",7.58,7.64,7.55,7.55,-0.01,102
2010/10/01,"349,023","2,630,452",7.58,7.6,7.52,7.53,-0.02,107
2010/10/04,"836,499","6,402,938",7.53,7.69,7.53,7.69,+0.16,253
2010/10/05,"598,874","4,635,287",7.72,7.8,7.68,7.76,+0.07,191
2010/10/06,"1,309,319","10,297,094",7.84,7.93,7.72,7.9,+0.14,311
2010/10/07,"1,292,900","10,317,838",7.96,8.04,7.91,7.93,+0.03,332
2010/10/08,"880,918","6,893,286",7.9,7.93,7.78,7.79,-0.14,200
2010/10/11,"229,016","1,775,431",7.8,7.85,7.7,7.72,-0.07,88
2010/10/12,"306,766","2,346,743",7.72,7.78,7.51,7.55,-0.17,108
2010/10/13,"341,049","2,592,208",7.55,7.65,7.53,7.58,+0.03,128
2010/10/14,"606,743","4,634,025",7.6,7.69,7.6,7.65,+0.07,165
2010/10/15,"248,336","1,892,495",7.65,7.69,7.58,7.65,0.00,107
2010/10/18,"377,928","2,882,208",7.74,7.75,7.58,7.58,-0.07,164
2010/10/19,"267,607","2,020,032",7.55,7.66,7.52,7.54,-0.04,101
2010/10/20,"242,091","1,826,122",7.54,7.58,7.51,7.54,0.00,63
2010/10/21,"356,454","2,691,405",7.62,7.62,7.52,7.59,+0.05,105
2010/10/22,"434,625","3,277,867",7.56,7.61,7.53,7.53,-0.06,88
2010/10/25,"465,794","3,546,049",7.55,7.64,7.55,7.6,+0.07,137
2010/10/26,"199,000","1,513,380",7.61,7.64,7.59,7.6,0.00,62
2010/10/27,"168,022","1,271,915",7.6,7.6,7.54,7.59,-0.01,73
2010/10/28,"615,406","4,677,956",7.61,7.64,7.55,7.55,-0.04,139
2010/10/29,"285,287","2,149,061",7.53,7.59,7.51,7.51,-0.04,96
2010/11/01,"319,104","2,407,003",7.58,7.6,7.51,7.57,+0.06,101
2010/11/02,"733,773","5,596,302",7.62,7.66,7.57,7.61,+0.04,220
2010/11/03,"776,500","5,880,764",7.6,7.65,7.51,7.6,-0.01,189
2010/11/04,"447,106","3,382,106",7.56,7.59,7.53,7.59,-0.01,103
2010/11/05,"549,054","4,184,953",7.65,7.65,7.58,7.62,+0.03,155
2010/11/08,"516,876","3,952,105",7.62,7.67,7.62,7.64,+0.02,169
2010/11/09,"294,544","2,243,486",7.64,7.64,7.6,7.6,-0.04,77
2010/11/10,"7,048,663","57,002,036",7.7,8.13,7.7,8.13,+0.53,"1,392"
2010/11/11,"2,386,180","19,262,523",8.16,8.19,7.92,7.96,-0.17,647
2010/11/12,"1,119,873","8,777,548",7.9,7.93,7.77,7.8,-0.16,307
2010/11/15,"711,000","5,454,090",7.76,7.8,7.61,7.62,-0.18,229
2010/11/16,"281,499","2,155,186",7.65,7.69,7.61,7.66,+0.04,119
2010/11/17,"388,200","2,948,512",7.6,7.65,7.58,7.62,-0.04,110
2010/11/18,"213,160","1,625,911",7.58,7.66,7.58,7.65,+0.03,72
2010/11/19,"624,109","4,765,639",7.76,7.76,7.58,7.65,0.00,150
2010/11/22,"587,993","4,599,675",7.67,7.93,7.66,7.79,+0.14,206
2010/11/23,"938,749","7,258,903",7.75,7.89,7.6,7.71,-0.08,345
2010/11/24,"647,160","4,922,097",7.6,7.7,7.57,7.65,-0.06,201
2010/11/25,"565,441","4,297,199",7.66,7.67,7.58,7.62,-0.03,197
2010/11/26,"397,268","3,017,772",7.62,7.65,7.56,7.56,-0.06,121
2010/11/29,"239,228","1,818,133",7.63,7.63,7.58,7.59,+0.03,67
2010/11/30,"381,506","2,903,794",7.6,7.65,7.59,7.61,+0.02,76
2010/12/01,"578,437","4,430,744",7.61,7.7,7.61,7.69,+0.08,180
2010/12/02,"469,048","3,613,786",7.75,7.75,7.68,7.72,+0.03,121
2010/12/03,"435,949","3,357,989",7.72,7.73,7.64,7.68,-0.04,105
2010/12/06,"430,340","3,299,537",7.64,7.71,7.64,7.71,+0.03,158
2010/12/07,"436,387","3,384,614",7.83,7.83,7.71,7.75,+0.04,138
2010/12/08,"265,567","2,053,824",7.75,7.79,7.71,7.71,-0.04,121
2010/12/09,"706,920","5,451,982",7.72,7.75,7.69,7.73,+0.02,162
2010/12/10,"252,594","1,940,029",7.73,7.74,7.65,7.68,-0.05,90
2010/12/13,"152,746","1,171,173",7.63,7.7,7.63,7.66,-0.02,66
2010/12/14,"424,769","3,252,519",7.75,7.75,7.6,7.64,-0.02,124
2010/12/15,"182,447","1,394,523",7.65,7.69,7.62,7.66,+0.02,81
2010/12/16,"746,150","5,754,258",7.68,7.75,7.68,7.72,+0.06,174
2010/12/17,"337,200","2,607,896",7.75,7.77,7.7,7.71,-0.01,116
2010/12/20,"457,233","3,529,201",7.7,7.75,7.7,7.73,+0.02,95
2010/12/21,"298,399","2,316,077",7.76,7.8,7.72,7.77,+0.04,110
2010/12/22,"836,877","6,558,666",7.79,7.89,7.77,7.85,+0.08,224
2010/12/23,"473,647","3,719,864",7.86,7.88,7.81,7.83,-0.02,162
