日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"735,321","18,855,846",25.75,25.90,25.50,25.60,-0.15,321
2010/01/05,"847,898","21,714,474",25.80,25.85,25.45,25.55,-0.05,271
2010/01/06,"600,100","15,396,544",25.75,25.80,25.55,25.70,+0.15,267
2010/01/07,"810,767","20,792,398",25.70,25.80,25.35,25.40,-0.30,308
2010/01/08,"697,592","17,739,122",25.60,25.60,25.35,25.50,+0.10,265
2010/01/11,"1,401,352","36,191,553",25.60,26.05,25.50,25.75,+0.25,497
2010/01/12,"8,504,024","230,190,273",25.80,27.55,25.75,27.55,+1.80,"2,605"
2010/01/13,"11,549,692","328,758,893",27.70,29.30,27.65,28.60,+1.05,"3,786"
2010/01/14,"3,197,676","89,891,862",28.85,29.10,27.75,27.95,-0.65,"1,261"
2010/01/15,"3,329,265","93,363,162",28.20,28.55,27.50,28.40,+0.45,"1,221"
2010/01/18,"4,433,361","128,553,690",28.50,29.40,28.50,28.70,+0.30,"1,540"
2010/01/19,"1,980,675","55,792,137",28.80,28.90,27.80,27.80,-0.90,718
2010/01/20,"1,519,240","41,602,718",27.85,28.00,27.00,27.75,-0.05,587
2010/01/21,"1,062,422","28,991,644",27.75,27.75,26.80,27.00,-0.75,499
2010/01/22,"1,602,915","42,069,529",26.50,27.00,25.90,26.05,-0.95,543
2010/01/25,"718,287","18,466,272",25.65,25.95,25.40,25.70,-0.35,298
2010/01/26,"2,029,447","50,272,558",25.70,25.95,24.00,24.10,-1.60,673
2010/01/27,"1,056,178","25,114,622",24.20,24.35,23.15,23.90,-0.20,365
2010/01/28,"828,605","20,308,790",24.25,24.90,23.90,24.70,+0.80,319
2010/01/29,"520,788","12,690,232",23.90,24.60,23.90,24.40,-0.30,228
2010/02/01,"393,003","9,649,669",24.40,24.70,24.40,24.65,+0.25,159
2010/02/02,"497,350","12,261,274",24.90,25.00,24.40,24.50,-0.15,253
2010/02/03,"318,634","7,762,716",24.50,24.75,24.10,24.40,-0.10,159
2010/02/04,"253,212","6,175,340",24.30,24.55,24.30,24.40,0.00,104
2010/02/05,"1,262,600","29,105,600",23.55,23.80,22.70,22.75,-1.65,473
2010/02/06,"725,971","16,043,853",22.50,22.85,21.50,21.90,-0.85,252
2010/02/08,"279,726","6,207,437",22.20,22.35,21.75,22.30,+0.40,132
2010/02/09,"399,890","9,202,057",22.30,23.30,22.30,23.20,+0.90,185
2010/02/10,"371,680","8,781,943",23.30,23.95,23.30,23.55,+0.35,177
2010/02/22,"748,600","18,172,580",23.80,25.10,23.60,23.90,+0.35,272
2010/02/23,"299,328","7,239,635",23.90,24.50,23.90,24.15,+0.25,144
2010/02/24,"317,721","7,672,020",24.00,24.45,23.90,24.05,-0.10,171
2010/02/25,"272,195","6,535,398",24.05,24.40,23.80,24.00,-0.05,120
2010/02/26,"275,353","6,566,730",23.75,24.10,23.75,23.90,-0.10,100
2010/03/01,"1,604,452","39,927,597",24.00,25.40,23.90,25.05,+1.15,531
2010/03/02,"582,958","14,403,965",25.20,25.20,24.40,24.75,-0.30,260
2010/03/03,"406,765","10,032,305",24.75,24.95,24.50,24.60,-0.15,211
2010/03/04,"506,785","12,502,388",24.85,24.85,24.45,24.45,-0.15,206
2010/03/05,"412,577","10,240,309",24.80,25.05,24.60,24.70,+0.25,178
2010/03/08,"420,762","10,389,940",24.70,24.95,24.55,24.65,-0.05,158
2010/03/09,"400,240","9,810,474",24.65,24.70,24.40,24.50,-0.15,141
2010/03/10,"364,448","8,931,403",24.65,24.65,24.40,24.45,-0.05,169
2010/03/11,"429,111","10,529,655",24.50,24.75,24.35,24.50,+0.05,151
2010/03/12,"255,303","6,238,737",24.65,24.65,24.35,24.45,-0.05,98
2010/03/15,"130,304","3,185,533",24.35,24.60,24.35,24.45,0.00,67
2010/03/16,"224,379","5,486,670",24.35,24.65,24.35,24.50,+0.05,90
2010/03/17,"318,547","7,851,852",24.60,24.90,24.50,24.75,+0.25,171
2010/03/18,"576,269","14,341,338",24.95,25.00,24.65,24.85,+0.10,232
2010/03/19,"2,618,785","68,765,819",24.85,26.55,24.85,26.55,+1.70,"1,022"
2010/03/22,"4,730,302","130,993,081",27.35,28.30,27.05,27.30,+0.75,"1,631"
2010/03/23,"1,591,488","42,900,024",27.35,27.50,26.60,26.60,-0.70,617
2010/03/24,"2,559,460","70,461,645",26.60,28.20,26.60,26.90,+0.30,"1,039"
2010/03/25,"1,548,043","42,541,256",27.05,27.85,27.05,27.40,+0.50,696
2010/03/26,"741,135","20,013,756",27.10,27.35,26.80,27.00,-0.40,314
2010/03/29,"2,079,462","57,774,055",27.40,28.25,27.20,27.35,+0.35,816
2010/03/30,"905,073","24,499,049",27.50,27.70,26.80,26.90,-0.45,434
2010/03/31,"665,264","17,771,440",26.90,27.20,26.50,26.60,-0.30,270
2010/04/01,"492,122","13,109,429",26.95,26.95,26.50,26.65,+0.05,247
2010/04/02,"453,955","12,000,564",26.65,26.85,26.20,26.35,-0.30,258
2010/04/06,"420,369","11,087,314",26.40,26.65,26.20,26.20,-0.15,225
2010/04/07,"1,142,338","30,457,635",26.20,26.90,26.20,26.90,+0.70,441
2010/04/08,"755,895","20,234,618",26.95,27.00,26.50,26.60,-0.30,357
2010/04/09,"368,807","9,805,460",26.55,26.80,26.30,26.60,0.00,194
2010/04/12,"795,954","20,926,491",26.70,26.95,26.00,26.30,-0.30,337
2010/04/13,"530,780","13,894,784",26.10,26.50,26.00,26.10,-0.20,260
2010/04/14,"301,288","7,909,111",26.20,26.35,26.10,26.25,+0.15,167
2010/04/15,"695,092","18,412,863",26.40,26.60,26.40,26.50,+0.25,306
2010/04/16,"485,881","12,775,446",26.55,26.75,26.15,26.20,-0.30,263
2010/04/19,"768,611","19,532,533",26.00,26.10,25.10,25.10,-1.10,305
2010/04/20,"369,761","9,358,573",25.45,25.60,25.15,25.20,+0.10,190
2010/04/21,"335,718","8,536,178",25.20,25.55,25.20,25.40,+0.20,177
2010/04/22,"343,329","8,748,452",25.95,25.95,25.30,25.40,0.00,215
2010/04/23,"484,423","12,295,699",25.35,25.60,25.30,25.40,0.00,208
2010/04/26,"433,679","11,150,511",25.50,25.80,25.50,25.80,+0.40,232
2010/04/27,"276,998","7,087,844",25.80,25.80,25.50,25.55,-0.25,107
2010/04/28,"608,594","15,237,984",25.25,25.25,24.90,25.10,-0.45,231
2010/04/29,"322,550","8,178,778",25.45,25.55,25.10,25.30,+0.20,164
2010/04/30,"506,585","12,759,625",25.30,25.40,25.00,25.20,-0.10,176
2010/05/03,"451,276","11,212,796",25.00,25.10,24.50,24.65,-0.55,166
2010/05/04,"355,711","8,771,637",24.70,24.90,24.50,24.60,-0.05,108
2010/05/05,"803,607","19,187,082",23.95,24.30,23.60,23.80,-0.80,216
2010/05/06,"286,532","6,782,503",23.60,23.90,23.50,23.70,-0.10,109
2010/05/07,"412,211","9,416,125",22.20,23.40,22.20,23.20,-0.50,122
2010/05/10,"194,255","4,545,316",23.20,23.70,23.00,23.50,+0.30,91
2010/05/11,"152,407","3,619,207",24.00,24.00,23.40,23.40,-0.10,97
2010/05/12,"114,011","2,697,755",23.90,23.95,23.50,23.65,+0.25,68
2010/05/13,"202,238","4,824,211",23.90,23.95,23.70,23.80,+0.15,78
2010/05/14,"163,150","3,865,324",23.65,24.25,23.50,23.85,+0.05,63
2010/05/17,"148,802","3,513,524",23.50,23.85,23.50,23.70,-0.15,74
2010/05/18,"96,620","2,284,637",23.70,23.95,23.55,23.60,-0.10,41
