日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"4,386,499","154,137,122",35.3,35.5,35.0,35.05,-0.15,"1,372"
2010/01/05,"3,717,163","130,525,803",35.15,35.45,34.85,35.1,+0.05,"1,324"
2010/01/06,"10,753,568","385,120,860",35.25,36.2,35.1,35.7,+0.60,"3,569"
2010/01/07,"4,756,279","169,142,275",36.0,36.0,35.1,35.1,-0.60,"1,784"
2010/01/08,"3,792,722","134,094,938",35.1,35.5,35.1,35.4,+0.30,"1,484"
2010/01/11,"16,824,045","612,016,490",35.6,36.8,35.6,36.5,+1.10,"5,232"
2010/01/12,"12,629,342","463,276,695",36.9,37.15,36.2,36.5,0.00,"3,737"
2010/01/13,"6,491,303","232,675,138",36.4,36.5,35.4,35.65,-0.85,"2,457"
2010/01/14,"5,019,811","178,612,607",35.95,35.95,35.3,35.55,-0.10,"1,593"
2010/01/15,"7,878,135","278,774,129",35.7,35.8,35.25,35.25,-0.30,"2,632"
2010/01/18,"3,757,621","132,675,453",35.2,35.5,35.1,35.3,+0.05,"1,249"
2010/01/19,"3,537,773","124,564,474",35.45,35.5,35.1,35.1,-0.20,"1,105"
2010/01/20,"1,862,793","65,573,486",35.5,35.5,35.1,35.25,+0.15,761
2010/01/21,"3,739,820","130,933,075",35.2,35.25,34.8,34.8,-0.45,"1,231"
2010/01/22,"4,594,399","157,200,875",34.5,34.6,34.0,34.2,-0.60,"1,461"
2010/01/25,"2,327,421","79,528,992",33.9,34.5,33.9,34.2,0.00,809
2010/01/26,"5,154,338","171,772,878",34.2,34.45,32.1,32.35,-1.85,"1,834"
2010/01/27,"2,720,459","88,272,417",32.35,32.8,32.1,32.3,-0.05,932
2010/01/28,"2,042,827","66,885,747",32.4,32.95,32.4,32.9,+0.60,838
2010/01/29,"1,661,633","54,017,289",32.85,32.85,32.3,32.65,-0.25,725
2010/02/01,"1,261,385","41,093,512",32.9,32.9,32.45,32.6,-0.05,527
2010/02/02,"2,569,314","83,517,920",32.85,33.1,32.1,32.1,-0.50,991
2010/02/03,"1,872,256","59,860,598",32.4,32.4,31.75,31.95,-0.15,727
2010/02/04,"1,062,354","34,012,806",32.0,32.2,31.9,32.2,+0.25,448
2010/02/05,"2,898,427","89,088,701",31.6,31.6,30.2,30.5,-1.70,"1,144"
2010/02/06,"3,647,657","107,692,248",30.5,30.8,28.6,29.95,-0.55,"1,036"
2010/02/08,"1,334,509","40,072,019",29.95,30.3,29.9,30.05,+0.10,636
2010/02/09,"1,427,151","43,803,259",30.05,30.95,30.05,30.95,+0.90,623
2010/02/10,"1,967,329","61,787,649",31.2,31.8,31.0,31.45,+0.50,803
2010/02/22,"1,847,975","58,213,005",32.05,32.05,31.3,31.3,-0.15,686
2010/02/23,"1,778,915","55,274,033",31.1,31.45,31.0,31.25,-0.05,726
2010/02/24,"1,602,465","49,629,815",30.95,31.25,30.85,30.95,-0.30,569
2010/02/25,"1,234,714","38,133,707",31.0,31.2,30.6,30.7,-0.25,553
2010/02/26,"1,683,566","52,159,316",30.8,31.35,30.5,31.2,+0.50,546
2010/03/01,"3,691,243","118,608,260",31.5,32.5,31.25,32.5,+1.30,"1,357"
2010/03/02,"1,956,435","63,116,570",32.8,32.85,31.85,32.0,-0.50,791
2010/03/03,"1,786,032","57,125,612",32.1,32.2,31.8,31.95,-0.05,605
2010/03/04,"1,602,182","50,875,078",32.0,32.1,31.45,31.5,-0.45,651
2010/03/05,"1,518,036","48,176,630",32.15,32.15,31.5,31.65,+0.15,549
2010/03/08,"2,202,312","70,136,407",32.0,32.1,31.75,31.8,+0.15,641
2010/03/09,"648,568","20,609,198",32.0,32.0,31.65,31.8,0.00,341
2010/03/10,"1,128,684","35,845,673",32.0,32.0,31.65,31.7,-0.10,472
2010/03/11,"1,535,263","48,528,289",31.8,31.95,31.45,31.5,-0.20,592
2010/03/12,"1,278,214","40,291,922",31.65,31.7,31.4,31.7,+0.20,494
2010/03/15,"1,506,602","47,596,097",31.8,31.85,31.4,31.55,-0.15,505
2010/03/16,"1,247,979","39,250,781",31.6,31.6,31.35,31.55,0.00,451
2010/03/17,"1,420,286","45,049,491",31.7,31.9,31.55,31.85,+0.30,685
2010/03/18,"3,657,886","118,097,713",31.95,32.5,31.85,32.4,+0.55,"1,470"
2010/03/19,"2,023,520","65,580,189",32.6,32.7,32.25,32.35,-0.05,876
2010/03/22,"2,312,450","75,184,626",32.35,32.7,32.3,32.7,+0.35,"1,030"
2010/03/23,"2,402,720","78,835,746",32.9,33.15,32.4,32.4,-0.30,"1,028"
2010/03/24,"1,258,491","40,833,269",32.7,32.7,32.3,32.35,-0.05,446
2010/03/25,"1,882,312","60,319,041",32.35,32.35,31.95,31.95,-0.40,662
2010/03/26,"1,205,696","38,490,589",32.2,32.2,31.8,31.9,-0.05,600
2010/03/29,"5,582,079","185,238,053",32.45,33.75,32.3,33.2,+1.30,"2,246"
2010/03/30,"3,288,480","109,743,040",33.8,33.8,33.0,33.0,-0.20,"1,486"
2010/03/31,"1,602,727","52,793,601",33.0,33.2,32.6,32.65,-0.35,840
2010/04/01,"1,594,798","52,325,401",32.7,33.05,32.65,32.85,+0.20,773
2010/04/02,"1,304,633","42,906,819",33.0,33.05,32.8,32.85,0.00,583
2010/04/06,"2,267,696","74,677,898",33.3,33.3,32.75,32.75,-0.10,978
2010/04/07,"1,735,364","57,309,842",33.0,33.2,32.9,32.95,+0.20,743
2010/04/08,"1,752,030","57,731,877",32.9,33.2,32.75,32.8,-0.15,728
2010/04/09,"1,848,558","60,379,377",32.9,32.95,32.5,32.6,-0.20,712
2010/04/12,"1,522,709","49,841,619",32.8,33.0,32.65,32.8,+0.20,630
2010/04/13,"1,105,576","36,161,130",32.9,32.95,32.55,32.55,-0.25,526
2010/04/14,"1,082,224","35,294,027",32.55,32.8,32.55,32.65,+0.10,460
2010/04/15,"3,854,031","127,736,162",33.0,33.6,32.75,33.15,+0.50,"1,336"
2010/04/16,"2,762,981","91,459,607",33.2,33.45,32.9,33.0,-0.15,"1,097"
2010/04/19,"2,275,137","73,668,799",32.85,32.9,31.7,31.75,-1.25,942
2010/04/20,"1,591,374","50,652,527",32.3,32.3,31.5,31.9,+0.15,629
2010/04/21,"2,363,933","75,768,291",32.0,32.45,31.85,32.0,+0.10,865
2010/04/22,"2,350,654","74,901,750",32.1,32.3,31.6,31.85,-0.15,"1,061"
2010/04/23,"1,403,877","44,835,132",32.0,32.1,31.8,31.85,0.00,596
2010/04/26,"3,237,449","103,952,918",31.9,32.45,31.9,32.1,+0.25,"1,049"
2010/04/27,"2,162,772","68,874,950",32.3,32.35,31.65,31.75,-0.35,847
2010/04/28,"1,749,679","54,855,430",31.0,31.65,31.0,31.5,-0.25,716
2010/04/29,"7,617,300","249,907,370",32.9,33.3,32.0,32.55,+1.05,"2,638"
2010/04/30,"5,182,874","165,668,807",33.0,33.0,31.55,31.6,-0.95,"1,888"
2010/05/03,"2,651,168","82,343,108",31.3,31.45,30.8,30.85,-0.75,"1,277"
2010/05/04,"2,153,340","66,374,205",31.0,31.1,30.45,30.8,-0.05,830
2010/05/05,"2,567,483","76,962,631",30.5,30.5,29.8,29.85,-0.95,"1,022"
2010/05/06,"2,104,473","61,878,874",29.85,29.85,29.15,29.15,-0.70,864
2010/05/07,"3,957,381","110,947,214",28.0,28.4,27.5,28.25,-0.90,"1,358"
2010/05/10,"1,905,011","54,570,816",28.25,29.3,28.2,29.3,+1.05,817
2010/05/11,"1,763,350","51,598,673",29.5,29.55,28.85,28.85,-0.45,757
2010/05/12,"1,884,845","53,956,985",28.85,29.4,28.2,28.4,-0.45,"1,001"
2010/05/13,"2,831,856","80,745,009",28.5,28.95,28.2,28.7,+0.30,"1,223"
2010/05/14,"1,022,728","29,317,110",28.6,28.8,28.5,28.75,+0.05,467
2010/05/17,"1,681,413","47,570,416",28.7,28.7,28.05,28.1,-0.65,719
2010/05/18,"1,342,605","37,684,109",28.1,28.3,27.95,28.05,-0.05,541
2010/05/19,"2,681,661","74,228,158",27.85,28.0,27.3,27.95,-0.10,"1,101"
2010/05/20,"1,512,524","41,708,406",27.9,27.9,27.4,27.5,-0.45,666
2010/05/21,"4,067,134","106,038,160",25.7,26.5,25.7,26.45,-1.05,"1,300"
2010/05/24,"1,348,452","35,781,616",26.45,26.75,26.3,26.5,+0.05,568
2010/05/25,"3,436,679","87,512,089",26.3,26.3,24.8,25.35,-1.15,"1,251"
2010/05/26,"2,438,857","61,271,742",24.85,25.65,24.85,25.15,-0.20,921
2010/05/27,"1,534,745","39,177,164",25.0,25.75,25.0,25.75,+0.60,697
2010/05/28,"1,785,812","46,948,983",26.1,26.6,26.05,26.1,+0.35,764
2010/05/31,"816,535","21,367,664",26.2,26.4,26.05,26.2,+0.10,439
2010/06/01,"1,018,410","26,422,066",26.2,26.2,25.75,25.9,-0.30,432
2010/06/02,"1,144,579","29,469,293",25.8,26.0,25.6,25.75,-0.15,500
2010/06/03,"1,427,109","37,341,238",26.2,26.3,26.05,26.15,+0.40,480
2010/06/04,"908,012","23,755,318",26.3,26.3,26.0,26.15,0.00,306
2010/06/07,"1,181,623","30,136,048",25.5,25.8,25.0,25.8,-0.35,456
2010/06/08,"5,816,875","156,901,295",25.65,27.6,25.5,27.6,+1.80,"2,215"
2010/06/09,"14,156,890","405,869,646",28.05,29.5,27.65,28.3,+0.70,"4,880"
2010/06/10,"6,361,698","183,608,265",28.8,29.2,28.5,28.95,+0.65,"2,505"
2010/06/11,"3,499,000","100,711,893",29.2,29.35,28.4,28.55,-0.40,"1,424"
2010/06/14,"2,480,027","71,791,757",29.0,29.3,28.7,28.7,+0.15,989
2010/06/15,"2,644,714","76,397,453",28.8,29.1,28.6,28.8,+0.10,"1,135"
2010/06/17,"2,737,969","79,267,251",29.15,29.2,28.65,28.75,-0.05,925
2010/06/18,"2,252,011","64,761,409",28.9,28.95,28.5,28.6,-0.15,853
2010/06/21,"6,567,444","195,930,522",29.2,30.2,29.2,29.95,+1.35,"2,104"
2010/06/22,"2,180,938","65,069,085",30.0,30.0,29.6,29.9,-0.05,894
2010/06/23,"4,039,791","120,437,986",29.7,30.2,29.5,29.7,-0.20,"1,343"
2010/06/24,"4,150,173","124,144,302",29.7,30.2,29.7,29.85,+0.15,"1,385"
2010/06/25,"2,933,029","85,017,489",29.5,29.6,28.6,28.7,-1.15,"1,217"
2010/06/28,"3,294,369","95,333,608",28.7,29.35,28.7,28.75,+0.05,"1,081"
2010/06/29,"3,712,214","106,848,792",29.2,29.35,28.35,28.5,-0.25,"1,460"
2010/06/30,"2,562,007","71,186,496",27.5,28.1,27.5,28.05,-0.45,959
2010/07/01,"1,311,719","36,586,789",28.0,28.15,27.7,27.85,-0.20,543
2010/07/02,"1,816,964","51,652,567",27.85,28.65,27.85,28.45,+0.60,675
2010/07/05,"2,112,175","61,104,325",28.6,29.2,28.6,29.0,+0.55,758
2010/07/06,"1,794,548","51,995,692",29.0,29.2,28.8,29.05,+0.05,605
2010/07/07,"1,533,431","44,421,979",29.1,29.2,28.8,28.85,-0.20,524
2010/07/08,"1,403,884","40,768,990",29.0,29.2,28.95,29.0,+0.15,539
2010/07/09,"1,017,369","29,432,949",29.05,29.1,28.8,28.9,-0.10,400
2010/07/12,"1,850,685","53,734,372",28.9,29.15,28.85,29.1,+0.20,677
2010/07/13,"1,303,057","37,888,537",29.2,29.2,28.9,28.9,-0.20,544
2010/07/14,"4,067,693","119,021,927",29.1,29.6,28.8,29.35,+0.45,"1,144"
2010/07/15,"2,789,830","82,723,365",29.4,29.9,29.35,29.45,+0.10,"1,039"
2010/07/16,"2,959,101","87,706,194",29.5,29.85,29.35,29.35,-0.10,945
2010/07/19,"1,681,641","49,371,263",29.2,29.55,29.15,29.35,0.00,563
2010/07/20,"14,146,586","437,536,881",29.4,31.4,29.25,31.4,+2.05,"4,678"
2010/07/21,"8,990,305","284,345,023",31.55,32.0,31.2,31.4,0.00,"3,391"
2010/07/22,"7,896,110","254,594,995",31.5,32.8,31.4,32.0,+0.60,"3,125"
2010/07/23,"4,149,961","133,006,148",32.4,32.6,31.8,31.8,-0.20,"1,534"
2010/07/26,"6,063,716","197,333,031",32.4,32.9,32.1,32.55,+0.75,"2,261"
2010/07/27,"3,916,636","127,065,804",32.55,32.75,32.25,32.25,-0.30,"2,411"
2010/07/28,"2,589,910","83,814,198",32.45,32.5,32.25,32.3,+0.05,940
2010/07/29,"7,461,562","245,029,009",32.5,33.4,32.2,32.7,+0.40,"2,745"
2010/07/30,"5,370,177","175,346,760",32.85,33.4,32.05,32.05,-0.65,"2,120"
2010/08/02,"2,420,630","78,230,058",32.6,32.6,32.1,32.4,+0.35,944
2010/08/03,"4,714,707","155,488,075",32.8,33.2,32.7,32.9,+0.50,"1,812"
2010/08/04,"8,662,004","292,391,010",32.9,34.45,32.9,34.45,+1.55,"3,322"
2010/08/05,"7,626,315","258,760,141",34.5,34.55,33.6,33.6,-0.85,"2,670"
2010/08/06,"8,361,030","286,649,358",34.0,34.8,33.8,34.8,+1.20,"2,734"
2010/08/09,"16,809,677","581,532,392",34.9,35.2,34.1,34.9,+0.10,"4,220"
2010/08/10,"15,767,241","500,765,039",32.4,32.4,31.4,31.45,X0.00,"4,223"
2010/08/11,"6,487,316","199,502,398",31.2,31.3,30.05,30.2,-1.25,"2,255"
2010/08/12,"4,509,793","138,515,705",29.8,31.2,29.8,31.0,+0.80,"1,823"
2010/08/13,"3,068,350","95,250,226",31.2,31.5,30.8,31.0,0.00,"1,053"
2010/08/16,"2,208,590","68,401,967",30.8,31.3,30.5,31.3,+0.30,806
2010/08/17,"6,462,471","205,615,975",31.4,32.2,31.3,31.6,+0.30,"2,325"
2010/08/18,"3,856,210","121,849,430",31.8,32.1,31.25,31.3,-0.30,"1,232"
2010/08/19,"5,434,147","173,246,961",31.55,32.3,31.3,31.6,+0.30,"1,760"
2010/08/20,"3,874,739","123,347,575",31.6,32.05,31.5,32.0,+0.40,"1,268"
2010/08/23,"5,112,227","160,024,358",31.4,31.6,31.0,31.15,-0.85,"1,453"
2010/08/24,"2,508,388","77,715,598",31.15,31.35,30.85,30.85,-0.30,891
2010/08/25,"3,061,549","92,145,820",30.5,30.6,29.6,29.6,-1.25,"1,226"
2010/08/26,"2,497,474","73,961,872",29.65,30.3,29.1,29.1,-0.50,896
2010/08/27,"2,718,933","78,658,991",28.8,29.15,28.7,29.0,-0.10,890
2010/08/30,"2,186,270","64,833,494",29.5,30.1,29.1,29.55,+0.55,859
2010/08/31,"1,462,289","42,383,831",29.3,29.45,28.85,28.95,-0.60,569
2010/09/01,"3,240,718","96,735,389",29.05,30.35,29.0,29.95,+1.00,995
2010/09/02,"2,257,960","67,809,654",30.2,30.3,29.8,29.95,0.00,664
2010/09/03,"2,103,270","63,864,313",30.4,30.7,30.0,30.05,+0.10,889
2010/09/06,"2,819,735","84,502,963",30.1,30.25,29.7,29.75,-0.30,"1,074"
2010/09/07,"1,948,422","58,182,316",29.8,30.1,29.7,29.7,-0.05,796
2010/09/08,"1,773,132","52,121,110",29.7,29.9,29.1,29.25,-0.45,802
2010/09/09,"1,633,990","47,909,100",29.25,29.7,29.2,29.25,0.00,462
2010/09/10,"1,251,663","37,008,750",29.3,29.8,29.3,29.5,+0.25,510
2010/09/13,"1,138,615","33,959,397",29.8,30.0,29.7,29.85,+0.35,469
2010/09/14,"4,115,844","125,698,176",30.2,30.8,30.1,30.5,+0.65,"1,513"
2010/09/15,"2,269,482","69,328,092",31.0,31.0,30.25,30.35,-0.15,911
2010/09/16,"1,731,805","52,344,450",30.4,30.6,30.05,30.05,-0.30,771
2010/09/17,"1,583,620","47,957,169",30.4,30.5,30.15,30.15,+0.10,609
2010/09/20,"2,083,974","63,482,297",30.3,30.7,30.25,30.4,+0.25,697
2010/09/21,"2,949,487","90,799,856",30.8,30.95,30.6,30.6,+0.20,976
