日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"227,033","2,269,003",9.85,10.20,9.67,10.15,+0.30,92
2010/01/05,"119,362","1,191,907",10.15,10.20,9.84,9.84,-0.31,50
2010/01/06,"186,000","1,872,290",9.90,10.25,9.89,10.00,+0.16,69
2010/01/07,"98,640","975,028",10.00,10.00,9.78,9.78,-0.22,39
2010/01/08,"103,145","1,018,565",9.78,10.00,9.70,9.81,+0.03,45
2010/01/11,"56,717","564,248",10.00,10.00,9.83,9.97,+0.16,32
2010/01/12,"145,004","1,449,880",10.00,10.10,9.89,10.00,+0.03,46
2010/01/13,"152,637","1,542,570",10.00,10.40,9.95,10.10,+0.10,64
2010/01/14,"108,365","1,088,154",10.10,10.10,9.91,10.05,-0.05,43
2010/01/15,"190,321","1,946,007",10.20,10.35,10.05,10.20,+0.15,57
2010/01/18,"112,183","1,137,284",10.00,10.30,10.00,10.30,+0.10,46
2010/01/19,"97,873","995,960",10.15,10.30,10.10,10.30,0.00,37
2010/01/20,"145,000","1,507,850",10.30,10.55,10.30,10.40,+0.10,55
2010/01/21,"57,002","580,720",10.15,10.30,10.15,10.15,-0.25,29
2010/01/22,"151,000","1,501,090",10.00,10.15,9.85,9.85,-0.30,63
2010/01/25,"113,005","1,091,266",9.70,9.80,9.55,9.66,-0.19,37
2010/01/26,"146,004","1,400,600",9.71,9.75,9.42,9.43,-0.23,62
2010/01/27,"40,060","380,390",9.41,9.61,9.36,9.45,+0.02,24
2010/01/28,"54,000","516,360",9.61,9.70,9.50,9.52,+0.07,19
2010/01/29,"79,242","738,654",9.45,9.52,9.15,9.51,-0.01,21
2010/02/01,"46,080","437,119",9.75,9.75,9.37,9.40,-0.11,23
2010/02/02,"71,001","658,339",9.60,9.60,9.24,9.36,-0.04,17
2010/02/03,"17,300","163,130",9.59,9.59,9.34,9.39,+0.03,12
2010/02/04,"107,369","995,594",9.42,9.43,9.23,9.38,-0.01,23
