日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"1,294,717","20,141,517",15.6,15.65,15.5,15.55,0.00,395
2010/01/05,"2,162,149","33,970,167",15.65,15.8,15.6,15.7,+0.15,651
2010/01/06,"4,615,849","73,808,234",15.8,16.2,15.7,16.0,+0.30,"1,264"
2010/01/07,"2,235,965","35,697,545",16.1,16.25,15.8,15.8,-0.20,634
2010/01/08,"2,356,518","37,654,030",16.0,16.15,15.8,15.95,+0.15,604
2010/01/11,"13,323,733","221,319,611",16.25,17.0,16.2,17.0,+1.05,"3,588"
2010/01/12,"5,469,216","90,932,498",17.0,17.0,16.4,16.5,-0.50,"1,622"
2010/01/13,"2,719,173","45,003,582",16.5,16.7,16.3,16.45,-0.05,873
2010/01/14,"3,457,925","57,790,907",16.85,16.95,16.5,16.6,+0.15,"1,056"
2010/01/15,"2,038,258","33,629,126",16.7,16.8,16.4,16.45,-0.15,640
2010/01/18,"2,667,238","44,246,724",16.45,16.75,16.45,16.6,+0.15,894
2010/01/19,"2,534,693","42,221,430",16.8,16.85,16.5,16.6,0.00,790
2010/01/20,"1,760,998","28,908,662",16.7,16.75,16.2,16.2,-0.40,545
2010/01/21,"2,029,100","32,334,150",16.05,16.2,15.8,15.85,-0.35,681
2010/01/22,"1,454,131","22,598,914",15.6,15.7,15.45,15.45,-0.40,509
2010/01/25,"1,106,398","17,093,305",15.3,15.6,15.25,15.45,0.00,419
2010/01/26,"2,007,781","29,995,415",15.5,15.55,14.4,14.6,-0.85,724
2010/01/27,"1,481,595","21,756,403",14.8,14.9,14.4,14.65,+0.05,409
2010/01/28,"705,013","10,463,800",14.65,15.0,14.65,14.8,+0.15,296
2010/01/29,"483,002","7,143,230",14.9,14.9,14.6,14.9,+0.10,201
2010/02/01,"685,080","10,200,238",14.95,15.05,14.5,14.75,-0.15,240
2010/02/02,"556,991","8,156,018",14.85,15.0,14.5,14.55,-0.20,225
2010/02/03,"697,031","10,120,002",14.65,14.75,14.4,14.55,0.00,230
2010/02/04,"541,478","7,834,681",14.55,14.6,14.4,14.5,-0.05,201
2010/02/05,"1,810,356","24,934,102",14.3,14.3,13.5,13.55,-0.95,586
2010/02/06,"2,763,393","35,886,847",13.55,13.55,12.75,12.75,-0.80,513
2010/02/08,"478,465","6,214,896",12.75,13.15,12.75,13.0,+0.25,227
2010/02/09,"585,449","7,772,146",13.0,13.45,13.0,13.35,+0.35,257
2010/02/10,"863,978","11,745,053",13.5,13.8,13.45,13.55,+0.20,364
2010/02/22,"436,296","5,947,574",13.8,13.8,13.5,13.5,-0.05,210
2010/02/23,"404,661","5,435,229",13.5,13.55,13.35,13.45,-0.05,190
2010/02/24,"272,030","3,629,042",13.3,13.45,13.3,13.3,-0.15,145
2010/02/25,"751,801","10,060,617",13.3,13.55,13.3,13.55,+0.25,407
2010/02/26,"290,943","3,920,882",13.55,13.6,13.3,13.5,-0.05,161
2010/03/01,"949,132","13,048,683",13.6,13.85,13.5,13.85,+0.35,363
2010/03/02,"561,714","7,746,659",13.9,13.95,13.65,13.7,-0.15,216
2010/03/03,"532,535","7,369,486",13.75,13.95,13.75,13.9,+0.20,204
2010/03/04,"485,112","6,751,983",13.9,14.05,13.8,13.85,-0.05,203
2010/03/05,"633,064","8,830,980",13.9,14.05,13.85,13.9,+0.05,198
2010/03/08,"405,073","5,638,284",14.0,14.0,13.8,13.85,-0.05,176
2010/03/09,"443,647","6,144,294",13.85,13.9,13.8,13.85,0.00,159
2010/03/10,"695,474","9,745,486",13.95,14.15,13.9,14.1,+0.25,251
2010/03/11,"347,107","4,848,624",14.1,14.1,13.9,13.95,-0.15,140
2010/03/12,"261,910","3,649,905",14.0,14.1,13.9,13.9,-0.05,128
2010/03/15,"1,053,159","14,819,558",13.9,14.3,13.85,13.95,+0.05,375
2010/03/16,"644,703","9,097,942",14.15,14.2,14.0,14.1,+0.15,252
2010/03/17,"757,434","10,699,960",14.1,14.2,14.0,14.2,+0.10,285
2010/03/18,"791,417","11,275,618",14.3,14.35,14.15,14.2,0.00,291
2010/03/19,"2,004,691","28,847,911",14.2,14.6,14.1,14.35,+0.15,592
