日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"5,429,774","212,092,647",39.40,39.45,38.80,38.90,-0.55,"1,941"
2010/01/05,"15,419,253","593,951,437",39.00,39.30,38.25,38.35,-0.55,"4,711"
2010/01/06,"8,292,424","321,546,660",38.40,39.00,38.40,38.95,+0.60,"2,561"
2010/01/07,"18,274,471","699,097,948",38.60,38.80,37.95,38.00,-0.95,"5,227"
2010/01/08,"13,417,535","510,117,980",38.00,38.20,37.90,38.00,0.00,"3,486"
2010/01/11,"20,173,664","769,306,915",38.00,38.50,37.90,38.15,+0.15,"3,976"
2010/01/12,"16,585,636","627,437,015",38.15,38.20,37.60,37.85,-0.30,"4,443"
2010/01/13,"13,205,671","496,924,994",37.80,38.05,37.45,37.55,-0.30,"3,906"
2010/01/14,"11,586,066","435,192,328",37.60,37.70,37.50,37.55,0.00,"4,253"
2010/01/15,"10,749,516","403,798,163",37.70,37.85,37.45,37.50,-0.05,"3,427"
2010/01/18,"11,188,860","416,411,632",37.35,37.45,37.10,37.20,-0.30,"3,901"
2010/01/19,"7,755,833","289,684,914",37.10,37.60,37.10,37.50,+0.30,"3,204"
2010/01/20,"7,865,149","295,811,315",37.75,37.80,37.40,37.60,+0.10,"2,860"
2010/01/21,"6,585,133","246,739,306",37.65,37.80,37.20,37.30,-0.30,"2,720"
2010/01/22,"13,468,218","491,777,080",37.00,37.10,36.05,36.10,-1.20,"4,177"
2010/01/25,"7,963,469","284,625,912",35.85,36.00,35.55,35.80,-0.30,"2,591"
2010/01/26,"13,694,347","477,302,156",36.00,36.00,33.60,33.80,-2.00,"4,498"
2010/01/27,"10,545,695","359,652,205",34.00,34.40,33.80,34.10,+0.30,"3,101"
2010/01/28,"5,720,104","197,533,803",34.60,34.80,34.15,34.35,+0.25,"2,435"
2010/01/29,"8,147,664","276,425,036",34.35,34.35,33.55,34.20,-0.15,"2,700"
2010/02/01,"6,257,786","214,007,052",34.60,34.60,34.00,34.20,0.00,"2,194"
2010/02/02,"20,391,473","717,255,316",34.65,35.60,34.55,34.75,+0.55,"5,688"
2010/02/03,"7,310,082","256,967,750",35.40,35.40,34.90,35.15,+0.40,"2,628"
2010/02/04,"4,335,222","151,107,120",35.30,35.30,34.55,34.75,-0.40,"1,708"
2010/02/05,"10,519,574","351,419,977",33.90,34.20,32.80,33.25,-1.50,"3,610"
2010/02/06,"4,089,290","136,961,736",33.50,33.65,32.95,33.55,+0.30,"1,363"
2010/02/08,"3,901,078","130,700,056",33.55,33.95,33.20,33.45,-0.10,"1,609"
2010/02/09,"5,601,780","189,886,620",33.40,34.45,33.20,33.90,+0.45,"2,051"
2010/02/10,"15,159,194","516,048,635",34.30,34.35,33.80,33.95,+0.05,"4,264"
2010/02/22,"11,702,555","407,015,525",34.85,35.20,34.40,35.20,+1.25,"3,978"
2010/02/23,"13,120,578","466,198,577",35.20,35.95,35.05,35.95,+0.75,"4,278"
2010/02/24,"11,838,939","423,972,843",35.50,36.15,35.35,35.95,0.00,"3,135"
2010/02/25,"14,364,824","516,490,360",36.30,36.30,35.65,35.75,-0.20,"3,704"
2010/02/26,"8,553,694","306,046,780",36.10,36.10,35.55,35.60,-0.15,"1,649"
2010/03/01,"12,567,372","461,302,860",36.10,37.00,35.80,36.70,+1.10,"3,816"
2010/03/02,"9,524,978","348,801,522",37.00,37.00,36.20,36.45,-0.25,"1,644"
2010/03/03,"15,730,927","566,229,990",36.30,36.55,35.70,35.80,-0.65,"3,141"
2010/03/04,"14,594,246","521,892,017",36.30,36.30,35.10,35.45,-0.35,"3,092"
2010/03/05,"8,893,246","321,183,993",36.00,36.50,35.75,36.20,+0.75,"2,981"
2010/03/08,"5,499,354","199,381,695",36.20,36.45,36.10,36.25,+0.05,"1,880"
2010/03/09,"6,016,646","218,741,074",36.40,36.70,36.10,36.25,0.00,"1,996"
2010/03/10,"6,643,669","241,509,552",36.50,36.65,36.15,36.25,0.00,"2,221"
2010/03/11,"5,393,609","194,546,513",36.35,36.45,35.80,35.80,-0.45,"1,912"
2010/03/12,"7,846,395","281,293,265",35.90,36.00,35.70,35.75,-0.05,"1,865"
2010/03/15,"8,273,430","293,462,936",35.90,35.90,35.15,35.15,-0.60,"2,783"
2010/03/16,"7,316,183","257,455,153",35.30,35.50,35.10,35.30,+0.15,"2,047"
2010/03/17,"11,728,494","420,486,790",35.80,36.10,35.60,36.05,+0.75,"3,268"
2010/03/18,"13,912,868","499,972,748",36.10,36.40,35.65,35.75,-0.30,"3,888"
2010/03/19,"19,487,860","685,836,740",35.75,35.75,35.00,35.05,-0.70,"5,803"
2010/03/22,"12,330,098","432,445,962",35.30,35.40,34.80,35.30,+0.25,"3,567"
2010/03/23,"9,429,413","330,203,805",35.40,35.45,34.80,34.90,-0.40,"3,757"
2010/03/24,"10,089,113","351,371,054",35.00,35.05,34.60,34.65,-0.25,"3,645"
2010/03/25,"8,713,353","300,520,396",34.80,34.80,34.30,34.50,-0.15,"2,627"
2010/03/26,"10,909,156","375,957,411",34.50,34.75,34.10,34.40,-0.10,"4,184"
2010/03/29,"27,103,138","973,197,605",34.70,36.60,34.70,36.20,+1.80,"8,500"
2010/03/30,"24,115,730","879,433,381",36.50,36.80,36.10,36.60,+0.40,"6,251"
2010/03/31,"9,295,868","337,612,348",36.60,36.60,36.15,36.15,-0.45,"2,794"
2010/04/01,"31,164,685","1,145,315,345",36.35,37.20,36.15,37.20,+1.05,"8,616"
2010/04/02,"19,560,748","725,299,126",37.20,37.30,36.80,37.15,-0.05,"5,044"
2010/04/06,"11,709,032","434,769,304",37.50,37.60,36.65,36.70,-0.45,"4,366"
2010/04/07,"19,896,089","736,068,023",36.90,37.60,36.65,37.20,+0.50,"5,703"
2010/04/08,"10,121,128","374,245,634",37.20,37.20,36.70,36.95,-0.25,"3,333"
2010/04/09,"7,760,398","285,645,554",36.80,37.00,36.60,36.70,-0.25,"2,472"
2010/04/12,"10,573,398","388,497,545",36.90,36.95,36.65,36.70,0.00,"2,206"
2010/04/13,"14,919,219","550,039,353",36.70,37.25,36.65,37.00,+0.30,"3,773"
2010/04/14,"8,343,465","309,139,205",37.20,37.30,36.80,37.20,+0.20,"2,619"
2010/04/15,"17,276,674","650,611,725",37.40,37.95,37.10,37.95,+0.75,"5,490"
2010/04/16,"9,598,366","360,622,654",37.90,37.90,37.20,37.75,-0.20,"2,979"
2010/04/19,"9,828,592","359,665,990",36.80,37.10,36.00,36.10,-1.65,"4,061"
2010/04/20,"9,501,296","346,592,270",36.25,37.20,35.30,36.95,+0.85,"3,512"
2010/04/21,"4,647,915","170,432,552",36.85,36.95,36.50,36.65,-0.30,"1,905"
2010/04/22,"5,195,396","188,537,818",36.50,36.70,36.00,36.65,0.00,"2,342"
2010/04/23,"3,292,933","120,598,136",36.80,36.90,36.40,36.50,-0.15,"1,294"
2010/04/26,"23,820,385","884,671,266",36.85,37.85,36.40,36.55,+0.05,"6,742"
2010/04/27,"24,165,638","874,154,231",36.90,36.95,35.85,35.90,-0.65,"7,031"
2010/04/28,"42,148,005","1,475,834,799",35.15,35.25,34.70,35.00,-0.90,"10,718"
2010/04/29,"14,752,693","517,380,486",35.15,35.25,35.00,35.00,0.00,"4,851"
2010/04/30,"12,094,001","427,673,498",35.25,35.65,35.05,35.05,+0.05,"5,023"
2010/05/03,"11,233,616","393,756,193",34.90,35.45,34.80,35.00,-0.05,"3,076"
2010/05/04,"13,867,475","483,277,503",35.20,35.25,34.60,34.65,-0.35,"3,470"
2010/05/05,"16,041,795","544,312,193",34.00,34.15,33.80,33.85,-0.80,"4,917"
2010/05/06,"9,099,930","305,876,620",33.85,33.90,33.50,33.60,-0.25,"3,621"
2010/05/07,"10,532,927","350,406,030",33.00,33.60,33.00,33.20,-0.40,"3,488"
2010/05/10,"7,478,560","251,992,181",33.30,34.10,33.30,33.90,+0.70,"3,006"
2010/05/11,"12,891,684","431,735,439",34.00,34.00,33.00,33.05,-0.85,"4,297"
2010/05/12,"5,369,367","178,477,963",33.10,33.55,33.05,33.05,0.00,"2,015"
2010/05/13,"7,079,165","238,944,496",33.50,34.00,33.40,33.85,+0.80,"2,612"
2010/05/14,"2,555,016","86,999,314",34.00,34.20,33.85,34.05,+0.20,"1,212"
2010/05/17,"9,288,493","309,047,108",33.80,33.80,33.05,33.30,-0.75,"2,897"
2010/05/18,"5,914,607","198,253,631",33.30,33.70,33.30,33.45,+0.15,"2,059"
2010/05/19,"3,876,289","129,438,473",33.25,33.70,33.10,33.50,+0.05,"1,473"
2010/05/20,"4,491,125","149,897,883",33.50,33.60,33.20,33.20,-0.30,"1,884"
2010/05/21,"13,164,351","425,243,390",32.60,32.90,31.95,32.20,-1.00,"3,590"
2010/05/24,"5,526,746","180,244,593",32.40,32.80,32.30,32.55,+0.35,"1,987"
