日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"3,271,689","43,100,790",13.25,13.25,13.05,13.25,0.00,494
2010/01/05,"1,958,150","25,874,816",13.35,13.40,13.10,13.20,-0.05,486
2010/01/06,"3,881,006","51,903,467",13.30,13.50,13.20,13.30,+0.10,865
2010/01/07,"5,235,861","70,550,266",13.45,13.75,13.20,13.20,-0.10,"1,114"
2010/01/08,"4,578,945","62,088,459",13.30,13.75,13.30,13.40,+0.20,"1,095"
2010/01/11,"7,143,303","100,715,023",13.55,14.30,13.50,14.30,+0.90,"1,665"
2010/01/12,"6,926,706","98,594,922",14.50,14.70,13.85,13.90,-0.40,"1,742"
2010/01/13,"3,774,110","52,526,751",13.65,14.20,13.65,13.75,-0.15,"1,021"
2010/01/14,"3,481,830","48,085,266",13.95,14.05,13.65,13.80,+0.05,886
2010/01/15,"2,445,533","33,717,347",13.90,14.00,13.65,13.75,-0.05,537
2010/01/18,"1,569,401","21,550,918",13.50,13.85,13.50,13.75,0.00,401
2010/01/19,"1,728,232","23,555,913",13.80,13.85,13.50,13.50,-0.25,500
2010/01/20,"1,098,588","14,849,126",13.65,13.65,13.40,13.45,-0.05,349
2010/01/21,"2,083,468","27,469,798",13.20,13.40,13.00,13.25,-0.20,630
2010/01/22,"1,864,046","23,876,731",13.05,13.05,12.65,12.70,-0.55,531
2010/01/25,"1,315,938","16,538,773",12.50,12.70,12.45,12.55,-0.15,324
2010/01/26,"1,858,292","22,556,589",12.65,12.70,11.70,11.85,-0.70,566
2010/01/27,"1,045,750","12,515,450",12.00,12.15,11.85,12.00,+0.15,325
2010/01/28,"615,127","7,497,401",12.05,12.30,12.05,12.30,+0.30,220
2010/01/29,"572,640","6,869,292",12.10,12.15,11.90,12.05,-0.25,207
2010/02/01,"300,196","3,612,461",12.05,12.15,11.95,12.00,-0.05,109
2010/02/02,"616,429","7,331,266",12.10,12.15,11.60,11.60,-0.40,223
2010/02/03,"737,187","8,599,966",11.60,11.80,11.55,11.70,+0.10,255
2010/02/04,"388,421","4,543,522",11.70,11.85,11.60,11.75,+0.05,125
2010/02/05,"1,258,854","13,927,347",11.40,11.40,10.95,10.95,-0.80,424
2010/02/06,"1,498,815","15,612,608",10.90,10.90,10.20,10.30,-0.65,433
2010/02/08,"614,418","6,428,538",10.50,10.55,10.30,10.55,+0.25,226
2010/02/09,"731,901","7,951,684",10.50,11.15,10.45,11.15,+0.60,306
2010/02/10,"940,517","10,652,992",11.30,11.50,11.20,11.35,+0.20,312
2010/02/22,"607,191","6,936,056",11.60,11.60,11.35,11.35,0.00,174
2010/02/23,"437,009","4,971,553",11.35,11.45,11.25,11.40,+0.05,130
2010/02/24,"317,261","3,565,972",11.20,11.30,11.20,11.25,-0.15,118
2010/02/25,"258,671","2,898,313",11.25,11.40,11.05,11.10,-0.15,112
2010/02/26,"616,330","6,865,546",11.10,11.30,11.05,11.05,-0.05,201
2010/03/01,"807,440","9,179,260",11.15,11.50,11.15,11.50,+0.45,272
2010/03/02,"1,115,002","13,076,572",11.70,11.85,11.55,11.60,+0.10,391
2010/03/03,"692,791","8,106,551",11.65,11.85,11.50,11.70,+0.10,246
2010/03/04,"1,605,159","19,022,609",11.80,12.00,11.70,11.70,0.00,443
2010/03/05,"2,665,360","32,566,835",12.00,12.45,12.00,12.00,+0.30,704
2010/03/08,"928,365","11,220,580",12.20,12.25,12.00,12.05,+0.05,310
2010/03/09,"812,039","9,689,957",12.05,12.10,11.85,11.85,-0.20,252
2010/03/10,"706,514","8,410,913",11.90,12.05,11.85,11.85,0.00,253
2010/03/11,"1,821,631","21,870,805",11.85,12.20,11.80,12.00,+0.15,502
2010/03/12,"955,281","11,383,113",12.00,12.10,11.85,11.85,-0.15,345
2010/03/15,"662,552","7,887,787",12.00,12.05,11.75,11.75,-0.10,222
2010/03/16,"574,906","6,795,086",11.75,11.90,11.75,11.85,+0.10,169
2010/03/17,"975,414","11,698,771",11.90,12.05,11.90,12.00,+0.15,286
2010/03/18,"1,420,617","17,245,062",12.00,12.25,12.00,12.20,+0.20,423
2010/03/19,"2,170,554","26,701,685",12.20,12.40,12.15,12.35,+0.15,535
2010/03/22,"2,725,205","34,403,586",12.40,12.80,12.40,12.70,+0.35,781
2010/03/23,"1,706,700","21,730,698",12.80,12.95,12.50,12.50,-0.20,558
2010/03/24,"1,389,499","17,479,333",12.60,12.75,12.30,12.40,-0.10,329
2010/03/25,"1,178,966","14,712,525",12.40,12.60,12.30,12.40,0.00,297
2010/03/26,"1,098,457","13,655,540",12.40,12.50,12.35,12.35,-0.05,265
2010/03/29,"1,962,716","24,978,740",12.55,12.90,12.50,12.75,+0.40,594
2010/03/30,"1,540,613","19,820,531",12.85,13.00,12.75,12.80,+0.05,383
2010/03/31,"767,854","9,750,659",12.80,12.80,12.60,12.60,-0.20,207
2010/04/01,"1,244,111","15,772,446",12.70,12.75,12.60,12.60,0.00,323
2010/04/02,"923,914","11,670,774",12.75,12.75,12.55,12.55,-0.05,235
2010/04/06,"989,393","12,520,061",12.60,12.75,12.55,12.60,+0.05,307
2010/04/07,"713,208","8,991,507",12.60,12.70,12.55,12.60,0.00,254
2010/04/08,"1,002,238","12,572,074",12.65,12.65,12.45,12.55,-0.05,317
2010/04/09,"692,764","8,687,247",12.55,12.60,12.45,12.60,+0.05,231
2010/04/12,"667,959","8,386,885",12.60,12.70,12.50,12.60,0.00,185
2010/04/13,"652,996","8,218,349",12.60,12.65,12.50,12.55,-0.05,194
2010/04/14,"661,861","8,332,459",12.55,12.65,12.55,12.60,+0.05,188
2010/04/15,"2,085,468","26,682,861",12.65,12.95,12.65,12.80,+0.20,590
2010/04/16,"761,545","9,710,086",12.90,12.90,12.65,12.65,-0.15,222
2010/04/19,"1,088,807","13,467,902",12.50,12.55,12.10,12.10,-0.55,328
2010/04/20,"483,490","5,885,275",12.20,12.30,12.05,12.15,+0.05,183
2010/04/21,"1,337,998","16,727,624",12.20,12.65,12.20,12.45,+0.30,405
2010/04/22,"376,587","4,636,747",12.40,12.40,12.25,12.30,-0.15,144
2010/04/23,"448,075","5,512,165",12.40,12.40,12.25,12.25,-0.05,164
2010/04/26,"664,860","8,244,724",12.40,12.45,12.35,12.35,+0.10,187
2010/04/27,"577,279","7,174,408",12.45,12.50,12.30,12.45,+0.10,179
2010/04/28,"715,529","8,851,059",12.35,12.45,12.20,12.45,0.00,188
2010/04/29,"1,877,824","23,718,088",12.60,12.80,12.40,12.65,+0.20,441
2010/04/30,"1,801,414","22,657,831",12.65,12.80,12.30,12.40,-0.25,468
2010/05/03,"1,051,372","12,869,066",12.40,12.45,12.15,12.20,-0.20,299
2010/05/04,"966,023","11,675,570",12.20,12.35,11.90,12.05,-0.15,286
2010/05/05,"1,144,133","13,364,546",11.70,11.80,11.60,11.70,-0.35,328
2010/05/06,"536,459","6,242,773",11.80,11.80,11.55,11.55,-0.15,169
2010/05/07,"723,720","8,165,184",11.20,11.45,11.10,11.40,-0.15,229
2010/05/10,"401,953","4,635,853",11.45,11.70,11.40,11.70,+0.30,162
2010/05/11,"464,700","5,438,830",11.80,11.90,11.55,11.60,-0.10,150
2010/05/12,"327,398","3,803,676",11.60,11.70,11.55,11.55,-0.05,92
2010/05/13,"323,248","3,849,874",12.00,12.00,11.75,11.85,+0.30,128
2010/05/14,"252,775","2,975,345",11.75,11.85,11.65,11.80,-0.05,89
2010/05/17,"356,701","4,118,259",11.70,11.75,11.45,11.55,-0.25,130
2010/05/18,"311,612","3,599,767",11.65,11.65,11.50,11.60,+0.05,97
2010/05/19,"212,568","2,441,938",11.50,11.65,11.40,11.60,0.00,112
2010/05/20,"230,174","2,639,983",11.50,11.60,11.40,11.40,-0.20,83
2010/05/21,"547,360","6,050,095",11.20,11.20,10.90,11.15,-0.25,153
2010/05/24,"428,063","4,776,701",11.15,11.25,11.10,11.20,+0.05,113
2010/05/25,"866,180","9,501,811",11.15,11.25,10.70,10.95,-0.25,211
2010/05/26,"512,778","5,652,684",10.95,11.15,10.90,11.10,+0.15,132
2010/05/27,"290,862","3,244,303",11.10,11.25,11.00,11.25,+0.15,98
2010/05/28,"1,003,271","11,385,125",11.35,11.45,11.25,11.35,+0.10,184
2010/05/31,"463,112","5,290,837",11.35,11.55,11.30,11.55,+0.20,152
2010/06/01,"279,163","3,182,790",11.45,11.50,11.35,11.40,-0.15,82
2010/06/02,"797,196","9,212,184",11.35,11.70,11.30,11.50,+0.10,252
2010/06/03,"770,980","8,986,116",11.65,11.75,11.55,11.65,+0.15,171
2010/06/04,"323,180","3,773,787",11.65,11.75,11.60,11.65,0.00,94
2010/06/07,"682,525","7,867,287",11.35,11.80,11.25,11.60,-0.05,289
2010/06/08,"1,667,000","19,882,600",11.70,12.20,11.50,11.90,+0.30,489
2010/06/09,"678,362","8,034,071",11.90,12.05,11.60,11.85,-0.05,247
2010/06/10,"841,270","10,051,298",11.85,12.15,11.75,11.95,+0.10,242
2010/06/11,"1,746,373","21,308,461",12.15,12.50,11.95,12.15,+0.20,507
2010/06/14,"574,357","6,987,063",12.20,12.35,12.05,12.15,0.00,225
2010/06/15,"676,860","8,217,506",12.15,12.25,12.05,12.15,0.00,200
2010/06/17,"778,046","9,450,102",12.15,12.20,12.00,12.10,-0.05,188
2010/06/18,"585,851","7,126,012",12.15,12.25,12.05,12.05,-0.05,152
2010/06/21,"622,278","7,637,840",12.25,12.35,12.15,12.30,+0.25,234
2010/06/22,"2,231,637","28,011,311",12.30,12.70,12.30,12.60,+0.30,644
2010/06/23,"1,976,261","24,906,310",12.50,12.70,12.45,12.60,0.00,378
2010/06/24,"4,693,695","60,302,925",12.60,13.00,12.60,12.80,+0.20,880
2010/06/25,"2,106,064","27,028,952",12.80,12.95,12.65,12.65,-0.15,487
2010/06/28,"3,925,357","52,032,641",12.80,13.50,12.70,13.10,+0.45,"1,054"
2010/06/29,"1,522,834","19,544,733",13.10,13.25,12.55,12.55,-0.55,524
2010/06/30,"928,740","11,592,608",12.30,12.75,12.10,12.75,+0.20,362
2010/07/01,"2,273,653","29,516,231",12.75,13.15,12.75,12.95,+0.20,631
2010/07/02,"1,520,180","19,092,363",12.50,12.75,12.40,12.40,X0.00,448
2010/07/05,"1,722,983","21,343,340",12.50,12.65,12.10,12.30,-0.10,498
2010/07/06,"1,403,605","17,273,360",12.20,12.45,12.20,12.30,0.00,375
2010/07/07,"861,302","10,566,683",12.40,12.40,12.20,12.20,-0.10,224
2010/07/08,"641,270","7,951,918",12.30,12.55,12.30,12.40,+0.20,201
2010/07/09,"602,303","7,444,893",12.50,12.50,12.25,12.30,-0.10,181
2010/07/12,"622,361","7,572,632",12.30,12.35,12.05,12.05,-0.25,180
2010/07/13,"571,797","6,931,192",12.10,12.20,12.05,12.20,+0.15,160
2010/07/14,"521,819","6,391,320",12.25,12.30,12.20,12.25,+0.05,181
2010/07/15,"981,235","12,186,086",12.30,12.50,12.30,12.40,+0.15,295
2010/07/16,"1,616,250","20,337,473",12.50,12.70,12.50,12.55,+0.15,444
2010/07/19,"2,629,650","34,317,001",13.00,13.40,12.80,12.80,+0.25,834
2010/07/20,"7,375,510","98,021,280",12.80,13.50,12.75,13.40,+0.60,"1,817"
2010/07/21,"2,177,239","29,128,664",13.50,13.55,13.15,13.30,-0.10,620
2010/07/22,"2,633,496","35,554,493",13.20,13.60,13.20,13.40,+0.10,729
2010/07/23,"1,493,500","20,095,198",13.65,13.65,13.35,13.40,0.00,452
2010/07/26,"3,444,144","46,885,133",13.50,13.70,13.45,13.50,+0.10,829
