日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"1,145,031","10,450,791",9.1,9.3,8.7,9.2,+0.10,235
2010/01/05,"677,000","6,263,590",9.38,9.38,9.01,9.01,-0.19,158
2010/01/06,"389,189","3,517,478",9.01,9.19,8.8,9.04,+0.03,116
2010/01/07,"506,548","4,536,490",9.04,9.1,8.88,8.88,-0.16,127
2010/01/08,"504,273","4,544,277",8.98,9.1,8.9,8.97,+0.09,133
2010/01/11,"1,855,140","17,380,181",9.1,9.46,9.1,9.38,+0.41,367
2010/01/12,"1,234,505","11,616,974",9.45,9.59,9.28,9.39,+0.01,324
2010/01/13,"1,772,034","16,932,064",9.39,9.85,9.26,9.8,+0.41,481
2010/01/14,"4,021,679","41,522,994",10.1,10.45,10.0,10.45,+0.65,889
2010/01/15,"4,948,305","53,852,000",10.75,11.1,10.75,11.1,+0.65,"1,052"
2010/01/18,"3,476,963","39,108,330",11.25,11.45,11.0,11.3,+0.20,935
2010/01/19,"2,880,102","30,744,935",11.3,11.3,10.55,10.55,-0.75,793
2010/01/20,"2,531,000","25,565,060",10.0,10.5,9.9,10.5,-0.05,676
2010/01/21,"1,624,731","17,057,300",10.5,10.8,10.3,10.5,0.00,427
2010/01/22,"1,091,482","11,098,013",10.4,10.5,9.92,9.92,-0.58,300
2010/01/25,"1,211,102","12,654,630",10.0,10.6,10.0,10.6,+0.68,269
2010/01/26,"5,866,891","65,445,362",11.0,11.3,10.7,10.9,+0.30,"1,307"
2010/01/27,"6,434,121","74,616,849",11.35,11.65,11.35,11.65,+0.75,"1,379"
2010/01/28,"5,891,098","70,924,794",11.8,12.45,11.65,12.2,+0.55,"1,506"
2010/01/29,"2,551,324","29,493,042",12.1,12.1,11.35,11.4,-0.80,778
2010/02/01,"2,211,252","24,457,507",11.4,11.8,10.65,10.65,-0.75,534
2010/02/02,"2,036,026","21,090,912",10.7,10.95,10.0,10.0,-0.65,590
2010/02/03,"1,273,021","12,689,038",10.2,10.25,9.7,9.89,-0.11,373
2010/02/04,"879,002","8,841,030",9.9,10.25,9.9,9.96,+0.07,290
2010/02/05,"1,164,018","10,936,085",9.6,9.73,9.27,9.27,-0.69,312
2010/02/06,"787,042","6,866,781",9.2,9.2,8.63,8.63,-0.64,270
2010/02/08,"546,182","4,765,470",8.7,8.9,8.5,8.75,+0.12,210
2010/02/09,"640,000","5,749,090",8.8,9.27,8.62,9.22,+0.47,235
2010/02/10,"910,000","8,196,640",8.62,9.2,8.62,9.05,-0.17,308
2010/02/22,"451,086","4,085,890",9.15,9.15,8.91,9.0,-0.05,163
2010/02/23,"238,001","2,143,569",9.0,9.1,8.96,9.0,0.00,95
2010/02/24,"404,001","3,645,809",9.0,9.1,8.9,9.0,0.00,146
2010/02/25,"361,013","3,227,842",9.08,9.08,8.82,8.87,-0.13,142
2010/02/26,"184,527","1,619,089",8.87,8.9,8.7,8.71,-0.16,98
2010/03/01,"489,013","4,380,227",8.71,9.1,8.71,9.1,+0.39,167
2010/03/02,"463,006","4,160,391",9.2,9.2,8.7,8.8,-0.30,167
2010/03/03,"328,052","2,905,988",8.8,9.05,8.7,8.81,+0.01,131
2010/03/04,"282,637","2,524,102",8.9,9.0,8.82,8.86,+0.05,117
2010/03/05,"382,400","3,410,171",8.86,9.0,8.71,8.91,+0.05,152
2010/03/08,"258,141","2,289,836",8.93,8.97,8.82,8.82,-0.09,112
2010/03/09,"417,005","3,683,104",8.85,8.88,8.72,8.85,+0.03,124
2010/03/10,"245,031","2,174,445",8.85,8.9,8.84,8.9,+0.05,86
2010/03/11,"250,460","2,224,384",8.9,8.94,8.82,8.85,-0.05,103
2010/03/12,"318,003","2,807,145",8.89,8.89,8.73,8.82,-0.03,103
2010/03/15,"477,018","4,103,521",8.83,8.83,8.5,8.5,-0.32,168
2010/03/16,"358,600","3,024,666",8.53,8.53,8.4,8.45,-0.05,151
2010/03/17,"455,101","3,872,584",8.45,8.6,8.43,8.59,+0.14,157
2010/03/18,"333,014","2,851,449",8.59,8.6,8.52,8.56,-0.03,129
2010/03/19,"562,363","4,902,142",8.6,8.85,8.6,8.85,+0.29,207
2010/03/22,"1,493,720","13,806,228",8.94,9.46,8.89,9.46,+0.61,484
2010/03/23,"2,747,203","27,641,950",10.0,10.1,9.95,10.1,+0.64,738
2010/03/24,"3,164,071","33,018,195",10.2,10.8,10.1,10.65,+0.55,"1,038"
2010/03/25,"1,563,885","16,409,861",10.65,10.75,10.3,10.4,-0.25,510
2010/03/26,"1,049,021","10,612,161",10.4,10.4,10.0,10.1,-0.30,365
2010/03/29,"918,366","9,238,057",10.1,10.25,9.92,10.0,-0.10,342
2010/03/30,"2,292,393","24,262,874",10.0,10.7,10.0,10.6,+0.60,703
2010/03/31,"972,892","10,046,246",10.5,10.55,10.2,10.25,-0.35,318
2010/04/01,"853,020","8,686,152",10.25,10.3,10.15,10.15,-0.10,271
2010/04/02,"389,000","3,969,400",10.15,10.3,10.1,10.25,+0.10,134
2010/04/06,"569,502","5,791,570",10.3,10.3,10.05,10.05,-0.20,184
2010/04/07,"446,010","4,543,850",10.1,10.3,10.0,10.2,+0.15,156
2010/04/08,"652,873","6,601,150",10.2,10.25,10.0,10.2,0.00,186
2010/04/09,"497,561","5,022,492",10.25,10.25,10.0,10.0,-0.20,183
2010/04/12,"602,227","6,084,065",10.1,10.2,10.0,10.2,+0.20,171
2010/04/13,"557,102","5,668,450",10.1,10.25,10.1,10.2,0.00,160
2010/04/14,"375,006","3,812,960",10.2,10.25,10.1,10.15,-0.05,118
2010/04/15,"857,220","8,793,416",10.3,10.5,10.1,10.4,+0.25,257
2010/04/16,"582,210","6,005,619",10.5,10.55,10.15,10.2,-0.20,173
2010/04/19,"1,024,870","10,183,798",10.1,10.1,9.5,10.05,-0.15,246
2010/04/20,"428,062","4,243,487",10.0,10.05,9.82,9.85,-0.20,143
2010/04/21,"400,120","3,943,917",9.9,9.99,9.75,9.9,+0.05,141
2010/04/22,"269,101","2,629,952",9.85,9.88,9.7,9.71,-0.19,94
2010/04/23,"790,282","7,599,522",9.8,9.82,9.5,9.59,-0.12,223
2010/04/26,"560,076","5,515,751",9.65,9.99,9.65,9.94,+0.35,199
2010/04/27,"274,100","2,681,968",10.0,10.0,9.7,9.8,-0.14,105
2010/04/28,"558,145","5,369,380",9.65,9.8,9.53,9.8,0.00,175
