日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"2,158,341","95,474,778",44.2,45.2,43.6,43.9,-0.30,949
2010/01/05,"1,628,740","71,195,220",43.5,44.3,43.3,43.55,-0.35,622
2010/01/06,"2,424,151","107,794,822",43.55,45.0,43.5,44.3,+0.75,953
2010/01/07,"1,234,358","54,269,311",44.3,44.8,43.4,43.5,-0.80,583
2010/01/08,"1,181,830","51,182,969",43.5,43.6,43.05,43.3,-0.20,453
2010/01/11,"1,756,493","76,206,249",43.3,43.85,43.05,43.05,-0.25,714
2010/01/12,"1,230,543","53,317,946",43.05,43.7,43.05,43.3,+0.25,512
2010/01/13,"887,903","38,364,679",43.0,43.6,42.9,43.0,-0.30,407
2010/01/14,"2,174,388","95,366,391",43.0,44.8,43.0,44.0,+1.00,693
2010/01/15,"849,014","36,998,204",44.1,44.1,43.1,43.75,-0.25,370
2010/01/18,"1,900,196","81,808,863",43.15,43.5,42.85,42.9,-0.85,719
2010/01/19,"1,118,122","48,080,346",43.0,43.35,42.85,42.85,-0.05,395
2010/01/20,"1,138,394","49,255,606",42.85,43.8,42.8,42.95,+0.10,499
2010/01/21,"1,508,971","65,585,447",43.0,44.2,42.9,43.25,+0.30,645
2010/01/22,"1,375,500","58,588,423",42.3,43.2,42.0,42.6,-0.65,465
2010/01/25,"1,023,212","43,080,631",41.8,42.55,41.8,42.1,-0.50,336
2010/01/26,"2,027,374","82,631,312",42.1,42.45,39.25,39.35,-2.75,756
2010/01/27,"1,438,123","56,681,856",39.5,39.8,39.05,39.35,0.00,520
2010/01/28,"740,085","29,568,720",39.6,40.8,39.4,40.4,+1.05,306
2010/01/29,"568,700","22,597,396",39.8,40.1,39.4,40.0,-0.40,225
2010/02/01,"557,731","22,176,564",40.0,40.1,39.45,39.8,-0.20,229
2010/02/02,"614,157","24,209,878",39.8,40.25,38.7,38.75,-1.05,356
2010/02/03,"594,686","23,226,757",39.35,39.45,38.75,39.3,+0.55,213
2010/02/04,"465,054","18,303,116",39.45,39.6,39.05,39.4,+0.10,231
2010/02/05,"1,534,455","58,654,694",38.8,39.0,37.2,37.7,-1.70,692
2010/02/06,"1,143,380","43,776,791",37.95,38.8,37.7,38.7,+1.00,574
2010/02/08,"618,824","24,251,964",39.5,39.5,39.0,39.0,+0.30,310
2010/02/09,"623,986","24,437,392",38.7,39.5,38.7,39.4,+0.40,284
2010/02/10,"1,049,884","41,743,960",39.5,40.0,39.4,39.8,+0.40,439
