日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"3,435,623","54,272,155",15.75,15.90,15.65,15.80,+0.05,766
2010/01/05,"3,110,302","49,306,497",15.95,16.00,15.70,15.85,+0.05,715
2010/01/06,"4,714,275","75,291,151",15.80,16.05,15.80,16.05,+0.20,"1,041"
2010/01/07,"5,546,862","88,889,118",16.05,16.25,15.70,15.75,-0.30,"1,288"
2010/01/08,"5,071,085","81,307,060",15.80,16.20,15.80,16.10,+0.35,"1,228"
2010/01/11,"7,247,057","118,918,700",16.20,16.55,16.20,16.40,+0.30,"1,604"
2010/01/12,"6,540,609","108,099,148",16.50,16.85,16.35,16.40,0.00,"1,356"
2010/01/13,"4,119,376","66,739,216",16.25,16.40,16.00,16.00,-0.40,845
2010/01/14,"1,720,458","27,749,849",16.05,16.25,16.05,16.20,+0.20,563
2010/01/15,"2,723,684","43,884,194",16.15,16.30,16.05,16.05,-0.15,637
2010/01/18,"6,566,040","107,483,573",16.15,16.50,16.10,16.50,+0.45,"1,558"
2010/01/19,"8,906,874","149,206,054",16.70,17.05,16.50,16.60,+0.10,"2,111"
2010/01/20,"3,358,183","55,248,853",16.70,16.80,16.30,16.30,-0.30,938
2010/01/21,"3,739,239","60,309,487",16.20,16.40,15.90,15.90,-0.40,993
2010/01/22,"4,584,336","70,972,854",15.60,15.70,15.35,15.35,-0.55,"1,014"
2010/01/25,"1,771,799","27,246,296",15.20,15.50,15.20,15.45,+0.10,493
2010/01/26,"6,373,004","95,540,649",15.50,15.65,14.55,14.70,-0.75,"1,479"
2010/01/27,"1,492,646","21,998,022",14.85,14.95,14.55,14.65,-0.05,469
2010/01/28,"1,435,565","21,506,374",14.80,15.15,14.80,15.10,+0.45,431
2010/01/29,"1,458,981","21,736,615",14.80,15.05,14.70,15.05,-0.05,501
2010/02/01,"1,083,106","16,113,537",15.05,15.05,14.75,14.90,-0.15,550
2010/02/02,"1,308,632","19,376,551",15.00,15.10,14.60,14.65,-0.25,463
2010/02/03,"1,373,874","20,081,842",14.70,14.85,14.50,14.70,+0.05,420
2010/02/04,"859,341","12,654,410",14.70,14.80,14.60,14.70,0.00,272
2010/02/05,"2,545,693","35,955,286",14.40,14.45,14.00,14.15,-0.55,668
2010/02/06,"1,598,419","22,234,237",14.15,14.20,13.75,13.95,-0.20,353
2010/02/08,"734,060","10,247,140",13.95,14.10,13.85,13.95,0.00,230
2010/02/09,"1,505,345","21,296,031",13.95,14.30,13.90,14.30,+0.35,354
2010/02/10,"1,781,977","25,730,662",14.45,14.55,14.30,14.35,+0.05,445
2010/02/22,"1,100,155","16,000,831",14.55,14.65,14.50,14.50,+0.15,246
2010/02/23,"669,958","9,697,889",14.50,14.55,14.40,14.50,0.00,192
2010/02/24,"1,137,360","16,332,386",14.40,14.45,14.30,14.40,-0.10,334
2010/02/25,"715,881","10,236,460",14.45,14.50,14.15,14.20,-0.20,224
2010/02/26,"462,190","6,577,492",14.20,14.35,14.15,14.20,0.00,162
2010/03/01,"1,565,791","22,810,668",14.25,14.70,14.25,14.60,+0.40,472
2010/03/02,"5,705,942","86,834,364",14.75,15.45,14.70,15.20,+0.60,"1,554"
2010/03/03,"2,039,699","31,121,677",15.15,15.40,15.10,15.25,+0.05,584
2010/03/04,"1,903,072","28,902,780",15.30,15.40,14.95,15.05,-0.20,516
2010/03/05,"1,340,154","20,271,207",15.15,15.25,15.05,15.10,+0.05,350
2010/03/08,"1,685,756","25,769,219",15.30,15.40,15.20,15.30,+0.20,447
2010/03/09,"893,797","13,511,433",15.30,15.30,15.05,15.10,-0.20,282
2010/03/10,"856,463","12,992,812",15.20,15.25,15.10,15.10,0.00,272
2010/03/11,"897,172","13,557,780",15.20,15.25,15.00,15.05,-0.05,242
2010/03/12,"641,626","9,658,290",15.10,15.10,15.00,15.10,+0.05,229
2010/03/15,"788,973","11,793,446",15.10,15.15,14.80,14.80,-0.30,258
2010/03/16,"540,414","8,061,210",14.80,15.05,14.80,15.05,+0.25,183
2010/03/17,"1,462,657","22,147,471",15.15,15.20,15.05,15.15,+0.10,433
2010/03/18,"3,610,577","55,697,540",15.15,15.60,15.15,15.45,+0.30,912
2010/03/19,"2,799,210","43,418,067",15.45,15.70,15.35,15.70,+0.25,625
2010/03/22,"2,423,868","37,790,099",15.70,15.70,15.45,15.55,-0.15,531
2010/03/23,"2,264,528","35,404,422",15.60,15.80,15.45,15.45,-0.10,559
2010/03/24,"1,002,073","15,518,066",15.60,15.60,15.40,15.40,-0.05,376
2010/03/25,"1,042,754","15,971,338",15.35,15.40,15.20,15.30,-0.10,307
2010/03/26,"1,656,062","25,393,890",15.40,15.50,15.20,15.50,+0.20,382
2010/03/29,"3,771,229","59,112,089",15.50,15.85,15.50,15.55,+0.05,992
2010/03/30,"1,571,792","24,497,173",15.65,15.70,15.50,15.50,-0.05,455
2010/03/31,"1,432,815","22,261,387",15.60,15.65,15.45,15.45,-0.05,348
2010/04/01,"3,075,199","48,226,439",15.50,15.80,15.50,15.65,+0.20,744
2010/04/02,"1,351,406","21,117,553",15.75,15.75,15.55,15.60,-0.05,340
2010/04/06,"1,814,078","28,509,143",15.70,15.80,15.65,15.75,+0.15,647
2010/04/07,"5,342,063","85,163,639",15.75,16.20,15.70,16.20,+0.45,"1,310"
2010/04/08,"26,919,478","449,051,531",16.40,17.20,16.35,17.15,+0.95,"6,689"
2010/04/09,"8,528,401","144,258,801",17.25,17.25,16.60,16.85,-0.30,"2,340"
2010/04/12,"7,007,491","118,555,737",16.90,17.10,16.75,16.85,0.00,"1,703"
2010/04/13,"3,983,394","66,054,256",16.85,16.85,16.35,16.35,-0.50,"1,198"
2010/04/14,"3,895,244","63,715,016",16.40,16.55,16.25,16.35,0.00,"1,014"
2010/04/15,"12,990,264","221,452,532",16.60,17.25,16.50,17.05,+0.70,"3,301"
2010/04/16,"6,675,378","113,945,295",17.10,17.35,16.75,16.95,-0.10,"1,844"
2010/04/19,"6,063,964","98,865,720",16.75,16.80,15.80,15.85,-1.10,"1,839"
2010/04/20,"3,380,869","54,539,514",16.10,16.45,15.80,16.30,+0.45,"1,069"
2010/04/21,"3,111,638","51,163,813",16.50,16.60,16.30,16.45,+0.15,854
2010/04/22,"1,894,403","30,650,273",16.45,16.45,16.05,16.30,-0.15,773
2010/04/23,"6,625,767","110,397,231",16.40,16.90,16.30,16.85,+0.55,"1,610"
2010/04/26,"25,399,979","448,541,778",17.30,18.00,17.30,17.85,+1.00,"6,020"
2010/04/27,"12,730,985","228,861,566",18.00,18.35,17.65,17.70,-0.15,"3,799"
2010/04/28,"8,423,224","147,144,580",16.60,17.95,16.60,17.70,0.00,"2,601"
2010/04/29,"21,442,232","397,229,636",17.90,18.90,17.55,18.80,+1.10,"5,426"
2010/04/30,"17,611,214","326,835,350",19.10,19.20,17.80,18.00,-0.80,"4,390"
2010/05/03,"16,438,069","303,571,304",18.05,18.75,18.00,18.60,+0.60,"4,322"
2010/05/04,"8,563,872","155,325,692",18.75,18.80,17.65,17.95,-0.65,"2,427"
2010/05/05,"6,934,213","118,729,275",17.35,17.50,16.85,16.85,-1.10,"1,949"
2010/05/06,"4,304,626","71,459,848",16.80,17.00,16.20,16.30,-0.55,"1,342"
2010/05/07,"5,436,183","85,722,812",15.55,16.20,15.50,16.10,-0.20,"1,417"
2010/05/10,"3,088,994","50,111,843",16.10,16.35,16.10,16.20,+0.10,930
2010/05/11,"3,534,399","57,293,083",16.30,16.50,15.90,15.90,-0.30,"1,011"
2010/05/12,"2,110,945","33,817,015",16.00,16.20,15.80,15.90,0.00,653
2010/05/13,"2,998,944","48,523,381",16.10,16.30,16.00,16.30,+0.40,761
2010/05/14,"3,234,612","52,132,742",16.10,16.30,16.00,16.30,0.00,672
2010/05/17,"2,253,008","35,919,668",16.10,16.15,15.80,15.80,-0.50,555
2010/05/18,"1,451,140","22,968,608",15.80,16.00,15.70,15.85,+0.05,458
2010/05/19,"6,657,578","108,342,249",15.85,16.45,15.85,16.45,+0.60,"1,636"
2010/05/20,"2,542,516","40,924,948",16.45,16.45,15.90,15.90,-0.55,758
2010/05/21,"3,353,856","51,393,315",15.60,15.60,15.10,15.30,-0.60,956
2010/05/24,"1,424,988","22,007,658",15.40,15.55,15.30,15.50,+0.20,482
2010/05/25,"2,863,438","43,241,170",15.30,15.45,14.85,14.90,-0.60,756
2010/05/26,"1,538,816","23,234,090",15.10,15.25,15.00,15.05,+0.15,453
2010/05/27,"1,482,402","22,603,847",15.05,15.45,15.00,15.40,+0.35,412
2010/05/28,"1,982,730","30,865,872",15.55,15.70,15.45,15.45,+0.05,542
2010/05/31,"887,528","13,819,333",15.60,15.65,15.50,15.50,+0.05,313
2010/06/01,"1,440,296","22,482,347",15.60,15.80,15.45,15.60,+0.10,430
2010/06/02,"1,875,837","29,238,721",15.60,15.80,15.45,15.55,-0.05,493
2010/06/03,"1,499,582","23,600,466",15.60,15.85,15.60,15.75,+0.20,501
2010/06/04,"2,034,279","32,208,265",15.80,16.00,15.65,15.90,+0.15,556
2010/06/07,"1,581,040","24,599,268",15.65,15.70,15.45,15.55,-0.35,467
2010/06/08,"9,108,292","149,429,784",15.65,16.60,15.55,16.60,+1.05,"2,230"
2010/06/09,"5,695,525","93,999,650",16.60,16.85,15.95,16.05,-0.55,"1,539"
2010/06/10,"1,829,033","29,657,491",16.15,16.35,16.05,16.30,+0.25,651
2010/06/11,"1,629,708","26,687,849",16.50,16.55,16.25,16.25,-0.05,574
2010/06/14,"1,795,234","29,504,383",16.40,16.50,16.40,16.40,+0.15,487
2010/06/15,"2,029,707","33,451,167",16.50,16.60,16.35,16.35,-0.05,539
2010/06/17,"1,535,244","25,167,519",16.50,16.50,16.30,16.40,+0.05,411
2010/06/18,"1,203,134","19,718,222",16.50,16.50,16.30,16.30,-0.10,363
2010/06/21,"3,406,891","56,541,078",16.50,16.70,16.40,16.60,+0.30,860
2010/06/22,"2,991,240","50,267,424",16.60,16.95,16.60,16.85,+0.25,931
2010/06/23,"1,859,851","31,126,908",16.75,16.85,16.60,16.75,-0.10,579
2010/06/24,"2,915,176","48,890,938",16.75,16.85,16.65,16.85,+0.10,728
2010/06/25,"1,956,655","32,532,794",16.70,16.70,16.55,16.60,-0.25,566
2010/06/28,"6,247,893","105,170,090",16.70,16.95,16.70,16.80,+0.20,"1,316"
2010/06/29,"5,291,093","85,434,472",16.20,16.40,15.90,15.90,X0.00,"1,173"
2010/06/30,"2,230,162","34,965,187",15.70,15.85,15.50,15.80,-0.10,590
2010/07/01,"1,761,661","27,786,290",15.80,15.90,15.70,15.70,-0.10,419
2010/07/02,"2,486,014","39,487,162",15.85,16.00,15.65,15.80,+0.10,562
2010/07/05,"5,492,096","89,308,798",15.90,16.55,15.90,16.30,+0.50,"1,316"
2010/07/06,"4,919,669","80,775,414",16.30,16.60,16.15,16.45,+0.15,"1,079"
2010/07/07,"2,181,669","35,853,197",16.50,16.60,16.35,16.35,-0.10,693
2010/07/08,"2,206,885","36,097,072",16.50,16.55,16.25,16.25,-0.10,592
2010/07/09,"2,173,211","35,425,410",16.45,16.50,16.20,16.25,0.00,545
2010/07/12,"2,933,898","47,461,118",16.35,16.45,16.00,16.00,-0.25,662
2010/07/13,"2,033,540","32,923,678",16.10,16.35,16.00,16.15,+0.15,549
2010/07/14,"1,784,234","28,895,914",16.20,16.30,16.10,16.20,+0.05,452
2010/07/15,"1,570,241","25,608,797",16.20,16.40,16.15,16.25,+0.05,503
2010/07/16,"17,072,851","289,618,678",16.35,17.30,16.35,17.20,+0.95,"3,629"
2010/07/19,"10,533,299","183,093,553",17.20,17.65,17.05,17.50,+0.30,"2,408"
2010/07/20,"18,965,686","345,199,402",17.60,18.50,17.55,18.45,+0.95,"4,336"
2010/07/21,"12,320,235","228,772,971",18.70,18.90,18.25,18.40,-0.05,"2,856"
2010/07/22,"25,886,413","496,316,094",18.45,19.65,18.40,19.65,+1.25,"5,952"
2010/07/23,"14,133,676","277,357,826",19.90,19.90,19.30,19.55,-0.10,"3,675"
2010/07/26,"10,643,012","210,412,787",19.70,20.25,19.30,19.75,+0.20,"3,210"
2010/07/27,"15,059,318","300,585,264",19.75,20.25,19.50,19.80,+0.05,"3,355"
2010/07/28,"9,095,728","177,027,369",19.70,19.80,19.10,19.25,-0.55,"2,606"
2010/07/29,"14,544,538","286,617,028",19.20,20.10,19.15,19.65,+0.40,"3,974"
2010/07/30,"9,375,454","180,303,520",19.65,19.85,18.80,18.80,-0.85,"2,733"
2010/08/02,"13,753,138","266,296,135",19.00,19.95,18.90,19.90,+1.10,"2,878"
2010/08/03,"15,833,674","323,068,885",20.30,20.60,20.20,20.45,+0.55,"3,458"
2010/08/04,"20,913,985","440,531,503",20.70,21.60,20.30,21.40,+0.95,"5,248"
2010/08/05,"14,374,175","303,222,575",21.80,21.85,20.40,21.15,-0.25,"3,556"
2010/08/06,"27,401,999","612,264,711",22.00,22.60,21.95,22.50,+1.35,"5,811"
2010/08/09,"12,593,990","281,139,626",22.50,22.55,22.00,22.20,-0.30,"3,370"
2010/08/10,"13,223,999","287,442,256",22.35,22.40,21.25,21.40,-0.80,"3,316"
2010/08/11,"14,529,781","303,251,734",21.20,21.70,20.10,20.45,-0.95,"3,639"
2010/08/12,"10,260,962","208,125,795",20.20,20.75,19.85,20.65,+0.20,"2,432"
2010/08/13,"11,280,229","236,180,654",20.90,21.25,20.70,20.70,+0.05,"2,390"
2010/08/16,"14,590,283","312,720,611",20.70,21.85,20.70,21.60,+0.90,"3,457"
2010/08/17,"17,515,307","382,964,262",21.55,22.35,21.30,21.75,+0.15,"4,621"
2010/08/18,"13,150,439","287,534,264",22.00,22.25,21.45,21.75,0.00,"2,715"
2010/08/19,"13,060,375","287,770,818",21.90,22.50,21.55,21.60,-0.15,"3,169"
2010/08/20,"8,885,279","188,622,749",21.50,21.75,20.80,21.25,-0.35,"1,943"
2010/08/23,"6,794,457","144,337,341",21.25,21.55,20.80,21.30,+0.05,"1,823"
2010/08/24,"4,740,991","99,825,593",21.05,21.35,20.95,21.00,-0.30,"1,258"
2010/08/25,"8,130,973","162,335,504",20.90,20.90,19.55,19.60,-1.40,"2,159"
2010/08/26,"12,758,594","239,872,314",19.50,19.60,18.40,18.65,-0.95,"2,122"
2010/08/27,"5,528,999","105,425,074",18.70,19.50,18.65,19.50,+0.85,"1,641"
2010/08/30,"3,230,417","63,029,801",19.60,19.80,19.20,19.20,-0.30,907
2010/08/31,"4,559,814","86,711,081",19.15,19.35,18.50,19.25,+0.05,"1,244"
2010/09/01,"5,076,108","100,221,938",19.40,20.00,19.40,19.95,+0.70,"1,470"
2010/09/02,"4,858,797","97,477,549",20.30,20.40,19.75,20.00,+0.05,"1,170"
2010/09/03,"5,137,373","103,130,060",20.15,20.35,19.90,20.10,+0.10,991
2010/09/06,"6,137,431","122,593,220",20.30,20.30,19.70,19.90,-0.20,"1,545"
2010/09/07,"4,544,436","89,335,995",19.90,19.90,19.50,19.50,-0.40,"1,131"
2010/09/08,"3,106,430","59,905,267",19.50,19.55,19.10,19.30,-0.20,871
2010/09/09,"4,412,538","83,590,503",19.35,19.40,18.75,18.80,-0.50,"1,268"
2010/09/10,"2,886,785","54,369,568",18.90,19.00,18.70,18.75,-0.05,919
2010/09/13,"5,520,382","104,975,099",18.85,19.25,18.60,19.25,+0.50,"1,195"
2010/09/14,"11,807,402","234,747,240",19.50,20.10,19.50,19.95,+0.70,"2,753"
2010/09/15,"4,028,832","79,665,271",20.00,20.05,19.60,19.70,-0.25,"1,153"
2010/09/16,"4,374,312","85,633,607",19.80,19.80,19.40,19.70,0.00,943
2010/09/17,"6,042,598","118,090,433",19.70,19.70,19.45,19.65,-0.05,"1,079"
2010/09/20,"4,874,095","95,312,955",19.65,19.70,19.30,19.70,+0.05,"1,125"
2010/09/21,"16,717,826","336,863,470",19.80,20.50,19.70,20.10,+0.40,"3,532"
2010/09/23,"5,628,903","112,158,162",20.15,20.20,19.65,19.90,-0.20,"1,174"
2010/09/24,"3,312,010","65,683,030",19.80,20.05,19.65,19.95,+0.05,818
2010/09/27,"7,173,740","145,196,700",20.15,20.40,20.00,20.05,+0.10,"1,717"
2010/09/28,"3,103,638","62,232,837",20.05,20.20,19.90,20.00,-0.05,774
2010/09/29,"4,293,293","85,889,749",20.10,20.15,19.90,19.95,-0.05,"1,058"
2010/09/30,"3,545,921","70,501,030",19.95,20.05,19.75,19.85,-0.10,868
2010/10/01,"7,337,688","146,897,113",20.00,20.20,19.75,20.00,+0.15,"1,631"
2010/10/04,"6,816,974","138,328,412",20.10,20.50,20.00,20.20,+0.20,"1,687"
2010/10/05,"4,599,769","92,106,890",20.20,20.30,19.85,19.95,-0.25,"1,004"
2010/10/06,"16,277,049","338,258,745",20.10,21.10,20.05,20.85,+0.90,"3,992"
2010/10/07,"14,697,930","310,614,010",21.00,21.45,20.80,21.00,+0.15,"3,686"
2010/10/08,"4,442,784","92,061,788",21.05,21.05,20.50,20.65,-0.35,"1,128"
2010/10/11,"17,907,994","383,232,940",21.25,21.80,21.00,21.10,+0.45,"4,269"
2010/10/12,"23,946,747","514,982,661",21.40,21.75,21.20,21.65,+0.55,"5,204"
2010/10/13,"8,402,981","181,037,625",21.80,21.95,21.25,21.65,0.00,"2,270"
2010/10/14,"12,582,374","273,200,235",21.70,21.85,21.50,21.85,+0.20,"2,931"
2010/10/15,"27,829,304","634,116,892",21.95,23.15,21.95,23.10,+1.25,"6,290"
2010/10/18,"24,787,380","579,121,429",23.10,23.80,22.70,23.20,+0.10,"5,850"
2010/10/19,"8,976,580","202,714,782",23.20,23.20,22.10,22.50,-0.70,"2,486"
2010/10/20,"21,032,854","482,278,363",21.90,23.60,21.80,23.40,+0.90,"4,486"
2010/10/21,"16,804,788","398,322,439",23.40,24.05,23.10,23.95,+0.55,"4,317"
2010/10/22,"9,145,889","215,106,350",24.00,24.05,23.25,23.40,-0.55,"2,375"
2010/10/25,"5,263,504","122,563,442",23.40,23.50,23.10,23.10,-0.30,"1,775"
2010/10/26,"18,887,193","452,908,159",23.35,24.25,23.35,23.85,+0.75,"4,729"
2010/10/27,"6,090,091","143,968,158",23.95,24.00,23.25,23.40,-0.45,"1,900"
2010/10/28,"4,727,117","108,942,659",23.40,23.45,22.90,22.95,-0.45,"1,591"
2010/10/29,"2,924,525","66,683,929",23.00,23.05,22.55,22.55,-0.40,"1,195"
2010/11/01,"5,771,945","132,623,535",22.65,23.25,22.60,23.10,+0.55,"1,750"
2010/11/02,"6,747,240","158,378,194",23.20,23.75,23.10,23.50,+0.40,"2,333"
2010/11/03,"7,759,821","183,156,258",23.75,23.90,23.25,23.40,-0.10,"2,066"
2010/11/04,"5,196,549","122,583,238",23.50,23.80,23.30,23.70,+0.30,"1,664"
2010/11/05,"15,695,246","382,738,467",24.00,24.75,24.00,24.60,+0.90,"4,107"
2010/11/08,"15,014,070","377,815,750",24.80,25.60,24.80,25.05,+0.45,"4,546"
2010/11/09,"6,734,414","167,102,431",25.05,25.30,24.45,24.75,-0.30,"2,306"
2010/11/10,"21,269,846","545,312,936",24.85,26.30,24.80,25.20,+0.45,"6,058"
2010/11/11,"6,497,017","162,215,746",25.30,25.35,24.70,25.20,0.00,"2,279"
2010/11/12,"7,422,340","182,839,450",25.10,25.25,24.15,24.40,-0.80,"2,222"
2010/11/15,"7,235,081","169,247,736",24.10,24.30,22.85,22.90,-1.50,"2,325"
2010/11/16,"4,761,658","109,743,707",22.95,23.40,22.55,23.30,+0.40,"1,587"
2010/11/17,"2,350,493","54,078,339",23.00,23.20,22.85,23.10,-0.20,824
2010/11/18,"3,136,342","72,462,830",23.10,23.25,22.90,23.25,+0.15,941
2010/11/19,"4,278,405","100,016,777",23.40,23.65,23.15,23.40,+0.15,"1,247"
2010/11/22,"7,153,566","170,469,534",23.40,24.20,23.40,24.05,+0.65,"1,913"
2010/11/23,"3,207,137","76,271,626",24.05,24.15,23.60,23.70,-0.35,993
2010/11/24,"2,158,232","50,050,804",23.00,23.45,23.00,23.25,-0.45,867
2010/11/25,"4,877,118","111,413,869",23.30,23.40,22.65,22.75,-0.50,"1,604"
2010/11/26,"4,517,165","101,266,194",22.75,22.85,22.20,22.55,-0.20,"1,319"
2010/11/29,"3,803,949","86,281,133",22.60,22.80,22.55,22.80,+0.25,833
2010/11/30,"3,402,717","78,094,541",22.85,23.15,22.65,23.05,+0.25,"1,051"
2010/12/01,"5,489,544","128,051,375",23.05,23.70,23.05,23.70,+0.65,"1,383"
2010/12/02,"7,516,964","181,108,660",23.90,24.40,23.90,24.20,+0.50,"2,294"
2010/12/03,"6,350,377","153,285,059",24.20,24.50,23.85,24.30,+0.10,"1,485"
2010/12/06,"12,323,099","308,177,641",24.65,25.30,24.65,24.80,+0.50,"3,348"
2010/12/07,"4,815,242","119,634,599",24.80,25.05,24.60,24.75,-0.05,"1,540"
