日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"1,407,185","26,576,157",18.85,19.05,18.75,18.8,-0.15,247
2010/01/05,"2,976,272","56,807,795",18.9,19.25,18.9,19.1,+0.30,854
2010/01/06,"1,667,580","31,568,662",19.1,19.1,18.85,19.0,-0.10,334
2010/01/07,"1,948,440","36,878,392",19.0,19.1,18.8,18.85,-0.15,564
2010/01/08,"3,350,874","63,612,140",18.8,19.25,18.7,19.2,+0.35,533
2010/01/11,"5,639,201","110,413,579",19.3,19.9,19.3,19.4,+0.20,"1,170"
2010/01/12,"2,824,003","53,813,007",19.4,19.5,18.85,19.05,-0.35,582
2010/01/13,"1,419,484","26,856,497",18.8,19.05,18.7,19.0,-0.05,275
2010/01/14,"1,319,768","25,089,652",19.05,19.05,18.95,19.05,+0.05,273
2010/01/15,"1,810,554","34,406,921",19.05,19.15,18.95,19.0,-0.05,290
2010/01/18,"1,625,398","30,887,412",19.0,19.1,18.9,19.05,+0.05,300
2010/01/19,"963,170","18,309,380",19.1,19.1,18.95,19.0,-0.05,204
2010/01/20,"1,188,000","22,575,900",19.1,19.1,18.95,19.0,0.00,205
2010/01/21,"1,092,555","20,641,395",18.9,19.0,18.8,18.9,-0.10,269
2010/01/22,"2,071,326","38,294,897",18.8,18.8,18.25,18.6,-0.30,260
2010/01/25,"711,001","13,149,169",18.5,18.65,18.25,18.55,-0.05,161
2010/01/26,"2,694,021","49,196,784",18.55,18.65,18.05,18.15,-0.40,375
2010/01/27,"778,919","14,115,025",18.15,18.3,18.05,18.3,+0.15,166
2010/01/28,"648,784","11,904,741",18.15,18.5,18.15,18.5,+0.20,142
2010/01/29,"1,513,007","28,587,983",18.6,19.25,18.3,19.0,+0.50,511
2010/02/01,"1,335,002","25,032,787",19.0,19.0,18.6,18.7,-0.30,225
2010/02/02,"1,138,426","21,260,593",18.7,18.95,18.6,18.75,+0.05,252
