日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"3,537,906","204,844,346",58.3,58.5,57.5,57.6,-0.70,"1,614"
2010/01/05,"17,176,933","1,006,475,338",58.0,59.4,58.0,59.4,+1.80,"6,372"
2010/01/06,"29,254,331","1,812,110,635",59.4,63.5,59.3,63.0,+3.60,"9,847"
2010/01/07,"26,520,855","1,694,970,165",63.0,64.6,62.7,63.5,+0.50,"8,714"
2010/01/08,"14,920,369","958,056,930",64.5,65.2,63.2,63.6,+0.10,"5,540"
2010/01/11,"13,758,868","888,795,149",63.6,65.0,63.5,65.0,+1.40,"4,598"
2010/01/12,"11,196,280","725,721,448",65.0,65.5,64.0,65.0,0.00,"4,538"
2010/01/13,"7,347,056","471,282,235",64.0,64.5,63.7,64.4,-0.60,"3,358"
2010/01/14,"9,644,694","619,390,516",64.4,64.8,63.7,64.3,-0.10,"3,248"
2010/01/15,"10,725,285","687,820,782",64.0,64.5,63.9,64.1,-0.20,"2,606"
2010/01/18,"8,403,225","538,996,744",63.5,64.6,63.5,64.4,+0.30,"2,564"
2010/01/19,"11,317,437","723,121,915",64.2,64.2,63.6,63.8,-0.60,"3,091"
2010/01/20,"14,958,868","960,539,552",64.4,64.8,63.7,64.4,+0.60,"3,458"
2010/01/21,"8,996,824","576,255,323",64.3,64.4,63.6,64.3,-0.10,"2,397"
2010/01/22,"15,793,762","1,003,155,268",63.5,64.5,62.5,64.3,0.00,"4,281"
2010/01/25,"9,436,640","596,991,420",63.8,63.8,62.6,63.6,-0.70,"2,506"
2010/01/26,"19,050,596","1,192,124,552",63.4,63.5,61.3,62.0,-1.60,"3,865"
2010/01/27,"8,973,673","554,726,454",61.8,62.3,61.0,61.8,-0.20,"2,449"
2010/01/28,"9,931,254","611,594,013",61.5,62.4,61.2,61.2,-0.60,"2,638"
2010/01/29,"12,135,236","726,074,948",60.8,60.9,59.1,60.0,-1.20,"3,629"
2010/02/01,"8,662,261","509,589,919",59.8,60.0,58.0,59.0,-1.00,"3,100"
2010/02/02,"10,040,733","587,756,819",60.0,60.0,57.0,58.6,-0.40,"3,420"
2010/02/03,"9,859,757","574,670,980",58.0,59.0,57.8,58.2,-0.40,"3,010"
2010/02/04,"7,103,351","416,036,509",58.5,59.4,57.5,59.0,+0.80,"2,623"
2010/02/05,"8,606,733","493,258,358",57.1,58.0,56.8,57.5,-1.50,"3,160"
2010/02/06,"4,623,571","268,522,335",57.5,59.0,57.5,58.6,+1.10,"1,724"
2010/02/08,"6,222,616","362,449,239",59.2,59.2,57.9,58.4,-0.20,"2,192"
2010/02/09,"6,112,530","360,376,870",58.4,59.5,58.1,59.0,+0.60,"2,722"
2010/02/10,"8,386,668","500,573,577",59.2,60.8,58.4,60.1,+1.10,"3,175"
2010/02/22,"8,236,677","507,057,341",61.4,62.3,60.8,61.7,+1.60,"3,226"
2010/02/23,"15,756,923","987,944,978",62.5,64.0,61.5,63.5,+1.80,"4,249"
2010/02/24,"14,139,934","896,839,742",63.0,64.4,62.0,63.1,-0.40,"4,203"
2010/02/25,"14,568,682","924,574,821",63.3,64.0,62.3,63.6,+0.50,"3,947"
2010/02/26,"6,475,389","408,666,049",63.6,63.8,62.8,63.5,-0.10,"2,153"
2010/03/01,"9,739,967","624,628,521",64.0,64.9,63.0,63.3,-0.20,"3,806"
2010/03/02,"7,915,534","504,512,770",64.1,64.1,63.2,63.8,+0.50,"2,325"
2010/03/03,"19,418,548","1,257,805,328",64.3,65.0,64.3,65.0,+1.20,"6,520"
2010/03/04,"12,833,431","821,773,939",65.2,65.5,63.0,63.5,-1.50,"4,584"
2010/03/05,"11,547,737","743,598,202",64.0,64.9,63.5,64.8,+1.30,"3,612"
2010/03/08,"8,152,261","529,868,730",65.0,65.5,64.6,64.6,-0.20,"2,574"
2010/03/09,"8,523,162","552,524,521",64.8,65.1,64.5,64.9,+0.30,"1,544"
