日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"5,504,541","111,655,418",20.3,20.45,20.0,20.45,+0.15,"1,339"
2010/01/05,"7,594,812","155,085,222",20.6,20.7,20.15,20.45,0.00,"1,550"
2010/01/06,"20,669,986","441,288,224",20.6,21.8,20.6,21.8,+1.35,"4,760"
2010/01/07,"10,649,853","228,669,463",21.8,21.8,21.05,21.05,-0.75,"2,713"
2010/01/08,"35,748,297","796,639,738",22.1,22.5,21.85,21.85,+0.80,"5,772"
2010/01/11,"12,714,700","280,207,035",21.85,22.45,21.7,22.3,+0.45,"3,038"
2010/01/12,"9,108,867","201,114,127",22.4,22.45,21.85,22.35,+0.05,"2,033"
2010/01/13,"6,633,022","144,621,864",21.95,22.1,21.5,21.6,-0.75,"1,694"
2010/01/14,"10,770,264","237,255,505",21.8,22.2,21.8,21.9,+0.30,"2,459"
2010/01/15,"9,045,053","199,939,242",22.0,22.4,21.9,21.9,0.00,"2,059"
2010/01/18,"7,028,160","152,236,049",21.6,21.9,21.45,21.6,-0.30,"1,555"
2010/01/19,"6,924,096","148,508,173",21.7,21.8,21.2,21.2,-0.40,"1,777"
2010/01/20,"6,120,067","131,483,270",21.5,21.8,21.35,21.35,+0.15,"1,491"
2010/01/21,"6,025,749","126,042,483",21.3,21.3,20.7,20.8,-0.55,"1,845"
2010/01/22,"7,564,101","156,110,591",20.4,21.0,20.2,20.85,+0.05,"2,065"
2010/01/25,"3,572,868","74,367,930",20.8,21.0,20.6,20.65,-0.20,"1,017"
2010/01/26,"7,921,001","158,348,961",20.7,20.85,19.3,19.75,-0.90,"1,980"
2010/01/27,"2,764,964","54,455,538",19.75,19.95,19.5,19.6,-0.15,"1,055"
2010/01/28,"2,639,425","52,832,587",19.7,20.25,19.7,20.05,+0.45,857
2010/01/29,"4,289,076","83,209,003",19.7,19.7,19.0,19.65,-0.40,"1,113"
2010/02/01,"2,589,229","50,276,370",19.5,19.65,19.25,19.45,-0.20,689
2010/02/02,"4,982,113","95,567,497",19.8,19.8,18.85,19.0,-0.45,"1,257"
2010/02/03,"4,302,221","81,501,674",19.1,19.3,18.65,19.0,0.00,"1,070"
2010/02/04,"2,826,952","53,708,688",19.0,19.2,18.9,18.95,-0.05,607
2010/02/05,"9,124,662","163,127,306",18.0,18.2,17.65,17.7,-1.25,"2,154"
2010/02/06,"4,472,467","77,063,574",17.7,17.8,16.8,17.2,-0.50,"1,105"
2010/02/08,"4,282,095","74,250,463",17.4,17.55,17.1,17.5,+0.30,906
2010/02/09,"4,495,841","80,808,101",17.4,18.35,17.4,18.3,+0.80,"1,170"
2010/02/10,"4,335,429","81,019,204",18.7,18.85,18.55,18.6,+0.30,"1,264"
2010/02/22,"5,066,802","97,820,264",19.6,19.6,19.1,19.1,+0.50,"1,491"
2010/02/23,"10,430,010","206,776,596",19.3,20.1,19.2,20.1,+1.00,"3,154"
2010/02/24,"7,245,311","144,496,456",19.8,20.35,19.6,19.8,-0.30,"2,068"
2010/02/25,"4,447,199","88,449,184",19.95,20.1,19.65,19.85,+0.05,"1,512"
2010/02/26,"4,659,430","92,923,262",20.0,20.1,19.8,19.8,-0.05,"1,108"
2010/03/01,"11,596,853","241,035,225",20.2,21.05,20.1,20.9,+1.10,"3,134"
2010/03/02,"8,290,636","175,072,209",21.45,21.5,20.9,21.1,+0.20,"2,322"
2010/03/03,"7,439,158","158,962,168",21.4,21.6,21.1,21.1,0.00,"2,230"
2010/03/04,"5,050,802","105,374,539",21.2,21.3,20.55,20.55,-0.55,"1,612"
2010/03/05,"6,995,218","147,154,216",20.85,21.25,20.85,21.1,+0.55,"2,212"
2010/03/08,"4,230,997","89,394,366",21.4,21.4,21.0,21.05,-0.05,"1,169"
2010/03/09,"3,558,937","74,068,728",21.05,21.05,20.6,20.8,-0.25,"1,063"
2010/03/10,"2,869,779","60,090,573",20.8,21.1,20.7,20.95,+0.15,898
2010/03/11,"6,011,414","127,258,046",21.0,21.4,21.0,21.05,+0.10,"1,799"
2010/03/12,"3,142,157","65,590,767",21.0,21.0,20.8,20.95,-0.10,894
2010/03/15,"2,833,866","58,595,473",20.95,21.0,20.5,20.5,-0.45,897
2010/03/16,"2,461,442","50,956,882",20.6,20.85,20.55,20.75,+0.25,654
2010/03/17,"15,141,741","322,274,470",21.4,21.6,21.0,21.2,+0.45,"3,670"
2010/03/18,"10,526,729","221,718,119",21.2,21.25,20.9,21.2,0.00,"2,472"
2010/03/19,"9,558,456","204,554,645",21.35,21.5,21.25,21.4,+0.20,"2,709"
2010/03/22,"8,622,015","181,027,310",21.2,21.3,20.8,21.0,-0.40,"2,399"
2010/03/23,"5,107,212","107,378,402",21.0,21.2,20.95,21.0,0.00,"1,319"
2010/03/24,"3,898,645","81,948,845",21.2,21.2,20.9,21.05,+0.05,"1,152"
2010/03/25,"3,571,940","74,555,945",20.95,21.0,20.8,20.9,-0.15,"1,120"
2010/03/26,"4,432,252","93,139,092",20.9,21.2,20.8,21.1,+0.20,"1,207"
2010/03/29,"4,428,967","93,401,957",21.1,21.2,21.0,21.15,+0.05,"1,275"
2010/03/30,"7,798,112","166,023,227",21.2,21.45,21.15,21.35,+0.20,"2,203"
2010/03/31,"4,819,317","102,187,416",21.3,21.3,21.1,21.15,-0.20,"1,198"
