日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"4,535,217","55,710,371",12.35,12.4,12.2,12.2,-0.15,862
2010/01/05,"4,439,459","54,463,700",12.35,12.4,12.15,12.2,0.00,940
2010/01/06,"28,561,081","365,872,296",12.3,13.05,12.3,13.05,+0.85,"5,221"
2010/01/07,"21,424,001","276,535,059",13.1,13.2,12.55,12.65,-0.40,"4,400"
2010/01/08,"21,889,931","290,225,039",13.05,13.5,13.0,13.25,+0.60,"4,306"
2010/01/11,"16,727,678","227,269,078",13.5,13.8,13.4,13.5,+0.25,"3,212"
2010/01/12,"15,060,957","205,073,293",13.75,13.95,13.15,13.95,+0.45,"3,213"
2010/01/13,"7,266,790","98,150,342",13.6,13.8,13.3,13.4,-0.55,"1,800"
2010/01/14,"8,718,181","118,812,811",13.5,13.85,13.4,13.55,+0.15,"1,980"
2010/01/15,"24,703,189","354,242,922",13.8,14.45,13.8,14.45,+0.90,"3,826"
2010/01/18,"16,880,851","248,460,488",14.45,15.1,14.45,14.9,+0.45,"3,270"
2010/01/19,"10,908,283","157,139,349",15.1,15.15,14.0,14.2,-0.70,"2,449"
2010/01/20,"7,834,583","109,763,100",14.3,14.45,13.8,13.9,-0.30,"1,627"
2010/01/21,"5,330,129","73,398,565",13.9,14.0,13.55,13.6,-0.30,"1,229"
2010/01/22,"8,148,999","110,600,585",13.2,13.95,13.1,13.7,+0.10,"1,925"
2010/01/25,"3,958,985","54,089,696",13.4,13.9,13.4,13.45,-0.25,988
2010/01/26,"7,538,085","97,041,663",13.45,13.6,12.55,12.55,-0.90,"1,570"
2010/01/27,"5,071,945","63,546,519",12.6,12.75,12.35,12.4,-0.15,"1,131"
2010/01/28,"3,595,549","45,503,671",12.55,12.8,12.45,12.7,+0.30,826
2010/01/29,"3,362,918","41,332,648",12.4,12.45,12.1,12.3,-0.40,"1,011"
2010/02/01,"2,633,110","32,896,608",12.45,12.65,12.4,12.4,+0.10,777
2010/02/02,"2,964,696","36,961,090",12.75,12.8,12.1,12.1,-0.30,892
2010/02/03,"2,360,162","29,170,523",12.5,12.5,12.15,12.5,+0.40,568
2010/02/04,"2,206,845","27,776,644",12.5,12.7,12.45,12.6,+0.10,618
2010/02/05,"6,251,229","74,502,217",12.2,12.3,11.75,11.75,-0.85,"1,147"
2010/02/06,"3,200,704","37,442,220",11.9,12.1,11.2,11.65,-0.10,824
2010/02/08,"2,517,727","29,861,637",11.7,12.05,11.65,11.95,+0.30,618
2010/02/09,"3,517,349","42,988,076",11.95,12.45,11.7,12.4,+0.45,810
2010/02/10,"3,747,670","46,368,422",12.45,12.6,12.15,12.25,-0.15,964
2010/02/22,"2,174,897","27,362,215",12.5,12.7,12.4,12.5,+0.25,595
2010/02/23,"5,663,819","72,221,421",12.65,13.0,12.35,12.85,+0.35,"1,317"
2010/02/24,"1,794,661","22,735,705",12.6,12.85,12.55,12.55,-0.30,450
2010/02/25,"3,221,153","40,790,192",12.65,12.8,12.5,12.55,0.00,879
2010/02/26,"1,968,362","24,797,374",12.7,12.7,12.45,12.55,0.00,445
2010/03/01,"4,957,300","64,325,950",12.8,13.15,12.7,13.0,+0.45,"1,219"
2010/03/02,"3,570,081","46,277,703",13.15,13.15,12.85,13.05,+0.05,772
2010/03/03,"4,326,930","57,780,627",13.1,13.5,13.1,13.2,+0.15,"1,065"
2010/03/04,"3,010,671","39,254,353",13.2,13.35,12.85,12.9,-0.30,752
2010/03/05,"2,164,075","28,106,966",13.0,13.1,12.85,13.0,+0.10,498
2010/03/08,"2,224,947","28,930,555",13.1,13.2,12.9,12.9,-0.10,525
2010/03/09,"2,051,157","26,401,647",12.9,13.0,12.75,12.8,-0.10,495
2010/03/10,"2,818,183","35,956,204",12.8,12.9,12.7,12.7,-0.10,644
2010/03/11,"4,462,195","56,969,691",12.75,12.95,12.6,12.7,0.00,"1,053"
2010/03/12,"2,053,134","26,095,898",12.7,12.8,12.65,12.65,-0.05,479
2010/03/15,"2,890,515","36,701,838",12.7,12.85,12.55,12.8,+0.15,576
2010/03/16,"2,606,651","33,204,848",12.8,12.9,12.65,12.7,-0.10,533
2010/03/17,"4,677,134","60,239,764",12.75,13.0,12.75,12.85,+0.15,945
2010/03/18,"3,701,794","47,904,391",12.95,13.05,12.85,12.9,+0.05,806
2010/03/19,"1,980,054","25,532,689",13.0,13.0,12.8,12.85,-0.05,548
2010/03/22,"2,328,547","29,527,644",12.8,12.8,12.6,12.7,-0.15,660
2010/03/23,"3,555,396","45,036,235",12.7,12.8,12.55,12.65,-0.05,789
2010/03/24,"3,167,282","39,739,123",12.7,12.75,12.45,12.55,-0.10,766
2010/03/25,"1,537,493","18,994,808",12.5,12.55,12.25,12.4,-0.15,431
2010/03/26,"2,243,706","28,026,499",12.45,12.6,12.35,12.45,+0.05,448
2010/03/29,"1,961,058","24,549,574",12.45,12.6,12.4,12.55,+0.10,477
2010/03/30,"7,629,080","97,933,525",12.65,13.0,12.6,12.95,+0.40,"1,697"
2010/03/31,"10,601,047","140,513,561",13.1,13.5,13.0,13.05,+0.10,"2,407"
2010/04/01,"3,968,630","51,594,807",13.1,13.2,12.9,12.95,-0.10,901
2010/04/02,"3,608,167","46,928,851",13.1,13.2,12.8,12.95,0.00,867
2010/04/06,"1,900,764","24,600,128",13.05,13.1,12.85,12.85,-0.10,555
2010/04/07,"1,893,590","24,283,920",12.8,13.0,12.75,12.85,0.00,592
2010/04/08,"2,127,981","27,166,401",12.85,12.9,12.7,12.7,-0.15,510
2010/04/09,"2,099,859","26,944,144",12.7,12.95,12.7,12.9,+0.20,593
2010/04/12,"2,443,208","31,671,829",12.95,13.05,12.85,13.0,+0.10,597
2010/04/13,"4,173,363","54,536,880",13.1,13.2,12.85,13.0,0.00,982
2010/04/14,"2,139,512","27,485,552",13.0,13.1,12.75,12.9,-0.10,606
2010/04/15,"9,443,502","125,209,672",13.0,13.6,12.85,13.6,+0.70,"1,760"
2010/04/16,"21,321,149","292,075,644",13.7,13.95,13.4,13.85,+0.25,"4,337"
2010/04/19,"7,265,931","96,695,078",13.6,13.7,12.9,12.9,-0.95,"1,740"
2010/04/20,"4,348,860","55,470,448",13.0,13.1,12.45,12.8,-0.10,"1,126"
2010/04/21,"3,521,386","45,666,644",12.9,13.1,12.85,13.0,+0.20,959
2010/04/22,"3,427,428","43,526,505",12.9,12.9,12.6,12.75,-0.25,888
2010/04/23,"3,502,166","44,435,289",12.75,12.8,12.6,12.7,-0.05,955
2010/04/26,"2,267,949","29,098,644",12.85,12.9,12.75,12.85,+0.15,643
2010/04/27,"1,315,402","16,798,133",12.85,12.85,12.7,12.7,-0.15,386
2010/04/28,"5,217,848","66,602,358",12.3,13.0,12.3,12.8,+0.10,"1,286"
2010/04/29,"3,070,803","39,758,085",12.8,13.1,12.75,12.8,0.00,804
2010/04/30,"2,224,426","28,341,665",12.95,13.0,12.55,12.6,-0.20,719
2010/05/03,"5,075,525","63,736,682",12.55,12.8,12.3,12.4,-0.20,"1,012"
2010/05/04,"2,730,509","33,503,409",12.55,12.55,12.15,12.2,-0.20,821
2010/05/05,"2,426,795","28,436,099",11.9,11.95,11.55,11.65,-0.55,712
2010/05/06,"2,584,869","29,436,879",11.65,11.65,11.15,11.25,-0.40,668
2010/05/07,"3,396,831","36,427,805",10.55,11.0,10.5,10.9,-0.35,893
2010/05/10,"2,748,666","30,245,292",11.0,11.15,10.9,11.15,+0.25,756
2010/05/11,"3,196,485","35,232,031",11.2,11.3,10.8,10.85,-0.30,912
2010/05/12,"1,806,150","19,764,317",11.0,11.1,10.8,10.85,0.00,474
2010/05/13,"1,653,287","18,255,007",11.0,11.1,10.95,11.1,+0.25,474
2010/05/14,"1,326,782","14,613,689",11.1,11.1,10.95,11.1,0.00,321
2010/05/17,"2,376,897","25,471,905",10.8,11.0,10.6,10.65,-0.45,542
2010/05/18,"1,795,255","19,057,415",10.75,10.8,10.5,10.6,-0.05,391
2010/05/19,"2,984,974","31,947,469",10.55,10.9,10.5,10.8,+0.20,841
2010/05/20,"2,020,204","21,480,611",10.7,10.8,10.5,10.5,-0.30,469
2010/05/21,"3,524,297","34,913,283",10.1,10.1,9.8,9.9,-0.60,854
2010/05/24,"1,749,552","17,524,535",9.95,10.1,9.95,10.05,+0.15,391
2010/05/25,"3,739,867","35,388,974",9.9,9.9,9.35,9.35,-0.70,851
2010/05/26,"1,904,375","17,696,970",9.45,9.45,9.15,9.33,-0.02,503
2010/05/27,"1,774,141","16,685,456",9.33,9.55,9.22,9.52,+0.19,465
2010/05/28,"1,882,230","18,323,540",9.65,9.85,9.62,9.74,+0.22,598
2010/05/31,"645,275","6,295,026",9.75,9.83,9.7,9.76,+0.02,257
2010/06/01,"1,175,073","11,307,150",9.76,9.76,9.53,9.6,-0.16,372
2010/06/02,"867,549","8,206,551",9.4,9.58,9.38,9.42,-0.18,355
2010/06/03,"1,553,820","14,866,103",9.6,9.62,9.51,9.61,+0.19,496
2010/06/04,"807,125","7,746,726",9.62,9.67,9.54,9.59,-0.02,407
2010/06/07,"813,965","7,564,783",9.4,9.4,9.25,9.34,-0.25,313
2010/06/08,"1,422,050","13,209,009",9.3,9.43,9.25,9.3,-0.04,547
2010/06/09,"1,669,818","15,289,431",9.35,9.35,9.0,9.04,-0.26,725
2010/06/10,"2,260,709","21,159,565",9.05,9.52,9.05,9.51,+0.47,717
2010/06/11,"2,062,510","19,702,972",9.65,9.65,9.46,9.52,+0.01,586
2010/06/14,"1,183,527","11,282,836",9.53,9.63,9.5,9.52,0.00,331
2010/06/15,"1,208,297","11,441,543",9.52,9.52,9.42,9.49,-0.03,405
2010/06/17,"1,661,723","15,914,623",9.53,9.6,9.53,9.58,+0.09,450
2010/06/18,"1,334,762","12,834,767",9.62,9.67,9.55,9.6,+0.02,348
2010/06/21,"1,897,410","18,448,028",9.65,9.78,9.63,9.74,+0.14,482
2010/06/22,"1,373,518","13,447,332",9.76,9.82,9.72,9.81,+0.07,387
2010/06/23,"9,658,131","100,079,513",9.84,10.45,9.81,10.45,+0.64,"1,866"
2010/06/24,"17,015,576","184,030,667",10.55,11.05,10.5,10.85,+0.40,"3,784"
2010/06/25,"5,013,256","51,826,022",10.5,10.6,10.15,10.25,-0.60,"1,400"
2010/06/28,"5,583,265","58,230,567",10.2,10.6,10.1,10.55,+0.30,"1,550"
2010/06/29,"3,365,810","34,831,169",10.6,10.65,10.15,10.2,-0.35,873
2010/06/30,"2,612,859","25,936,505",9.8,10.05,9.8,10.0,-0.20,673
2010/07/01,"1,239,312","12,311,751",9.95,10.1,9.88,9.95,-0.05,410
2010/07/02,"1,652,070","16,525,969",10.0,10.1,9.95,9.95,0.00,489
2010/07/05,"1,656,343","16,458,931",9.96,10.1,9.9,9.95,0.00,484
2010/07/06,"1,652,825","16,580,704",9.91,10.15,9.91,10.15,+0.20,465
2010/07/07,"1,301,235","13,126,371",10.15,10.15,10.05,10.05,-0.10,357
2010/07/08,"2,576,427","26,435,753",10.2,10.4,10.15,10.2,+0.15,725
2010/07/09,"1,373,880","14,112,517",10.4,10.4,10.2,10.25,+0.05,396
2010/07/12,"1,285,367","13,207,491",10.35,10.35,10.2,10.25,0.00,339
2010/07/13,"1,135,751","11,558,635",10.2,10.4,10.05,10.15,-0.10,318
2010/07/14,"1,744,254","17,809,840",10.2,10.3,10.15,10.25,+0.10,325
2010/07/15,"1,729,200","17,748,029",10.25,10.4,10.15,10.2,-0.05,400
2010/07/16,"1,667,571","17,073,715",10.2,10.35,10.15,10.15,-0.05,425
2010/07/19,"1,167,587","11,816,537",10.1,10.25,10.05,10.25,+0.10,273
2010/07/20,"3,601,305","37,309,691",10.25,10.45,10.2,10.35,+0.10,792
2010/07/21,"5,203,175","54,966,468",10.4,10.7,10.35,10.5,+0.15,"1,411"
2010/07/22,"1,834,880","19,165,107",10.5,10.6,10.35,10.4,-0.10,391
2010/07/23,"2,003,427","21,152,382",10.55,10.65,10.5,10.55,+0.15,536
2010/07/26,"5,349,748","58,202,200",11.0,11.1,10.65,10.8,+0.25,"1,427"
2010/07/27,"2,326,823","25,062,520",10.9,10.95,10.65,10.65,-0.15,601
2010/07/28,"2,542,541","26,899,905",10.65,10.7,10.5,10.55,-0.10,529
2010/07/29,"2,466,263","26,547,124",10.7,10.9,10.6,10.75,+0.20,606
2010/07/30,"12,577,794","140,678,159",11.0,11.45,10.95,11.1,+0.35,"2,980"
2010/08/02,"4,473,039","49,966,530",11.2,11.3,11.05,11.2,+0.10,"1,025"
2010/08/03,"2,683,951","29,958,652",11.3,11.3,11.05,11.1,-0.10,744
2010/08/04,"2,824,055","31,315,107",11.1,11.2,10.95,11.15,+0.05,751
2010/08/05,"3,226,453","36,130,203",11.25,11.3,11.0,11.1,-0.05,771
2010/08/06,"10,387,045","121,384,869",11.1,11.85,11.1,11.7,+0.60,"2,134"
2010/08/09,"14,005,135","172,085,556",12.0,12.5,11.85,12.45,+0.75,"2,717"
2010/08/10,"8,071,770","99,261,061",12.5,12.6,12.05,12.2,-0.25,"1,780"
2010/08/11,"6,596,580","77,956,699",12.0,12.2,11.6,11.95,-0.25,"1,589"
2010/08/12,"3,212,884","37,400,290",11.4,11.85,11.4,11.75,X0.00,791
2010/08/13,"8,058,896","98,188,158",11.9,12.5,11.75,12.0,+0.25,"1,838"
2010/08/16,"4,715,913","57,437,137",12.0,12.35,11.9,12.25,+0.25,"1,066"
2010/08/17,"3,466,114","41,733,860",12.25,12.4,11.95,11.95,-0.30,754
2010/08/18,"2,731,281","32,529,761",12.0,12.1,11.75,11.8,-0.15,664
2010/08/19,"2,986,950","35,465,762",11.7,12.05,11.7,11.75,-0.05,665
2010/08/20,"2,187,778","25,519,373",11.7,11.8,11.6,11.6,-0.15,542
2010/08/23,"2,240,365","26,271,667",11.6,11.85,11.55,11.8,+0.20,497
2010/08/24,"2,056,255","24,039,392",11.8,11.85,11.6,11.6,-0.20,560
2010/08/25,"2,350,056","26,441,507",11.4,11.55,10.95,10.95,-0.65,774
2010/08/26,"1,849,025","20,344,473",11.0,11.15,10.8,10.85,-0.10,504
2010/08/27,"1,170,182","12,808,591",10.85,11.0,10.85,11.0,+0.15,337
2010/08/30,"900,849","9,970,952",11.2,11.25,10.9,10.9,-0.10,270
2010/08/31,"2,487,091","27,157,530",10.9,11.05,10.75,10.9,0.00,588
2010/09/01,"1,254,958","14,009,532",11.2,11.2,11.1,11.2,+0.30,399
2010/09/02,"3,073,168","35,080,563",11.4,11.6,11.2,11.5,+0.30,710
2010/09/03,"10,460,335","126,182,531",11.6,12.25,11.45,12.0,+0.50,"2,013"
2010/09/06,"2,513,598","29,847,040",12.0,12.1,11.7,11.75,-0.25,680
2010/09/07,"3,535,012","42,237,240",11.8,12.1,11.75,11.8,+0.05,831
2010/09/08,"1,505,986","17,803,734",11.8,12.0,11.75,11.8,0.00,389
2010/09/09,"970,365","11,381,765",11.9,12.0,11.6,11.6,-0.20,295
2010/09/10,"648,130","7,566,724",11.65,11.75,11.6,11.7,+0.10,195
2010/09/13,"3,760,080","45,017,337",11.85,12.15,11.75,11.9,+0.20,910
2010/09/14,"1,925,098","22,939,804",11.9,12.0,11.8,11.85,-0.05,386
2010/09/15,"6,999,743","84,713,658",11.9,12.5,11.7,12.5,+0.65,"1,423"
2010/09/16,"14,062,344","173,473,187",12.5,12.55,11.95,12.0,-0.50,"1,429"
2010/09/17,"2,679,949","32,010,392",12.0,12.1,11.85,11.85,-0.15,726
2010/09/20,"3,783,259","45,643,508",11.85,12.2,11.85,12.05,+0.20,738
2010/09/21,"3,398,785","41,327,844",12.2,12.25,12.05,12.2,+0.15,598
2010/09/23,"1,131,240","13,522,251",12.3,12.3,11.8,11.95,-0.25,306
2010/09/24,"1,624,208","19,600,721",12.2,12.25,11.95,11.95,0.00,502
2010/09/27,"5,634,599","67,408,013",12.2,12.4,11.75,11.85,-0.10,"1,035"
2010/09/28,"1,300,168","15,422,478",11.75,11.95,11.75,11.9,+0.05,336
2010/09/29,"1,668,966","19,807,145",11.9,11.95,11.85,11.85,-0.05,344
2010/09/30,"1,179,278","13,924,183",11.85,11.9,11.7,11.7,-0.15,323
2010/10/01,"1,516,510","18,021,614",11.75,12.0,11.75,11.9,+0.20,462
2010/10/04,"1,756,046","21,067,041",11.9,12.1,11.9,11.9,0.00,452
2010/10/05,"1,843,473","21,622,655",11.9,11.95,11.65,11.65,-0.25,433
2010/10/06,"1,819,998","21,446,873",11.85,11.85,11.7,11.8,+0.15,370
2010/10/07,"1,239,308","14,698,396",11.95,11.95,11.8,11.9,+0.10,328
2010/10/08,"718,498","8,508,047",11.95,11.95,11.75,11.8,-0.10,192
2010/10/11,"888,235","10,411,798",11.8,11.9,11.65,11.65,-0.15,345
2010/10/12,"934,550","10,869,324",11.7,11.8,11.4,11.55,-0.10,291
2010/10/13,"1,420,572","16,374,669",11.55,11.7,11.45,11.45,-0.10,469
2010/10/14,"4,348,479","51,746,940",11.7,12.0,11.65,12.0,+0.55,"1,324"
2010/10/15,"19,220,099","240,888,697",12.0,12.8,11.9,12.7,+0.70,"3,641"
2010/10/18,"5,208,215","65,292,333",12.7,12.9,12.1,12.25,-0.45,"1,346"
2010/10/19,"1,511,979","18,373,698",12.25,12.35,12.05,12.05,-0.20,452
2010/10/20,"4,490,190","53,150,450",11.95,12.0,11.7,11.9,-0.15,"1,115"
2010/10/21,"3,992,517","48,386,378",11.9,12.25,11.9,12.05,+0.15,"1,137"
2010/10/22,"3,051,259","36,928,058",12.15,12.3,12.0,12.05,0.00,912
2010/10/25,"4,702,006","57,823,772",12.2,12.45,12.1,12.25,+0.20,"1,248"
2010/10/26,"4,737,761","59,149,735",12.45,12.6,12.25,12.45,+0.20,"1,254"
2010/10/27,"12,061,122","155,079,473",12.6,13.25,12.55,12.6,+0.15,"2,887"
2010/10/28,"2,637,216","32,803,614",12.6,12.75,12.3,12.4,-0.20,796
2010/10/29,"1,693,379","20,850,171",12.4,12.5,12.2,12.25,-0.15,512
2010/11/01,"4,347,412","52,262,296",12.05,12.2,11.8,11.95,-0.30,"1,084"
2010/11/02,"1,848,158","21,861,104",11.95,11.95,11.8,11.8,-0.15,589
2010/11/03,"3,049,286","35,920,100",11.8,12.0,11.6,11.6,-0.20,893
2010/11/04,"3,129,497","36,126,615",11.7,11.75,11.45,11.5,-0.10,801
2010/11/05,"4,107,880","48,580,176",11.6,11.9,11.6,11.85,+0.35,961
2010/11/08,"10,343,320","126,958,967",12.0,12.45,11.85,12.25,+0.40,"2,695"
2010/11/09,"2,798,771","33,843,022",12.3,12.35,11.95,12.1,-0.15,813
2010/11/10,"2,968,860","35,412,438",12.1,12.1,11.85,11.9,-0.20,746
2010/11/11,"1,618,822","19,350,528",11.95,12.05,11.85,12.0,+0.10,446
