日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"4,948,741","131,850,917",26.4,26.9,26.35,26.8,+0.50,"1,295"
2010/01/05,"3,182,931","85,188,675",27.2,27.2,26.4,26.55,-0.25,989
2010/01/06,"9,953,954","274,516,166",26.75,28.2,26.7,27.9,+1.35,"3,065"
2010/01/07,"5,091,256","141,384,260",28.2,28.2,27.3,27.7,-0.20,"1,486"
2010/01/08,"15,603,720","461,059,729",29.6,29.6,29.15,29.6,+1.90,"3,421"
2010/01/11,"9,964,513","297,347,290",29.75,30.55,29.1,30.0,+0.40,"2,551"
2010/01/12,"3,895,082","115,886,929",30.15,30.3,29.4,29.95,-0.05,"1,295"
2010/01/13,"3,062,812","89,959,415",29.5,29.75,29.1,29.25,-0.70,"1,001"
2010/01/14,"5,957,003","179,262,977",29.5,30.4,29.4,30.0,+0.75,"1,689"
2010/01/15,"4,841,348","147,581,302",30.55,30.8,30.15,30.15,+0.15,"1,381"
2010/01/18,"3,105,027","92,127,745",30.0,30.0,29.4,29.7,-0.45,905
2010/01/19,"2,481,007","73,345,453",30.0,30.0,29.4,29.45,-0.25,674
2010/01/20,"1,963,909","57,635,237",29.55,29.8,29.15,29.25,-0.20,606
2010/01/21,"2,752,116","79,204,053",29.05,29.25,28.5,28.6,-0.65,977
2010/01/22,"3,075,000","88,027,947",28.1,29.15,28.1,28.8,+0.20,"1,004"
2010/01/25,"2,408,985","70,290,058",28.8,29.55,28.5,29.1,+0.30,824
2010/01/26,"3,788,807","107,782,119",29.3,29.4,27.2,27.65,-1.45,"1,052"
2010/01/27,"2,954,980","81,007,852",27.9,27.9,27.0,27.0,-0.65,825
2010/01/28,"1,937,745","53,464,458",27.25,28.0,27.25,27.8,+0.80,587
2010/01/29,"1,112,806","30,291,302",27.5,27.6,27.0,27.3,-0.50,354
2010/02/01,"965,080","26,270,883",27.3,27.5,27.1,27.3,0.00,295
2010/02/02,"2,405,093","65,367,215",27.6,27.8,26.65,26.8,-0.50,656
2010/02/03,"1,503,639","40,566,753",27.4,27.4,26.7,27.0,+0.20,393
2010/02/04,"2,200,101","59,043,015",27.0,27.2,26.7,26.8,-0.20,461
2010/02/05,"2,434,163","62,319,115",25.8,26.3,25.1,25.5,-1.30,869
2010/02/06,"1,187,570","29,877,227",25.1,25.7,24.6,25.3,-0.20,406
2010/02/08,"829,039","21,205,564",25.3,25.8,25.3,25.8,+0.50,272
2010/02/09,"1,377,078","36,276,180",25.5,26.95,25.5,26.95,+1.15,525
2010/02/10,"1,572,562","42,914,227",27.2,27.45,27.2,27.3,+0.35,532
2010/02/22,"1,558,134","43,357,082",28.3,28.3,27.4,27.5,+0.20,590
2010/02/23,"3,442,562","96,542,347",27.8,28.4,27.5,28.35,+0.85,"1,101"
2010/02/24,"1,369,424","38,341,486",28.1,28.2,27.85,27.85,-0.50,436
2010/02/25,"2,019,673","55,829,888",28.0,28.1,27.3,27.55,-0.30,596
2010/02/26,"833,655","22,885,645",27.55,27.7,27.2,27.5,-0.05,288
2010/03/01,"3,813,537","108,390,511",27.6,29.0,27.6,28.15,+0.65,"1,319"
2010/03/02,"2,325,888","65,771,745",28.5,28.6,28.1,28.25,+0.10,765
2010/03/03,"3,001,129","85,396,629",28.5,28.7,28.15,28.25,0.00,"1,208"
2010/03/04,"2,260,488","63,041,063",28.3,28.4,27.6,27.9,-0.35,809
