日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"3,502,348","48,752,428",13.9,14.05,13.75,13.9,+0.05,811
2010/01/05,"10,361,143","146,012,652",14.05,14.25,13.9,14.1,+0.20,"1,738"
2010/01/06,"25,995,559","387,594,294",14.35,15.05,14.35,15.05,+0.95,"3,470"
2010/01/07,"50,645,937","789,017,712",15.5,15.85,15.3,15.35,+0.30,"8,336"
2010/01/08,"23,260,960","366,689,461",15.6,16.0,15.5,15.5,+0.15,"4,641"
2010/01/11,"12,315,451","190,712,666",15.5,15.65,15.3,15.55,+0.05,"2,370"
2010/01/12,"26,237,710","423,093,274",15.8,16.6,15.55,16.6,+1.05,"5,340"
2010/01/13,"29,333,615","489,363,405",16.55,16.9,16.4,16.7,+0.10,"5,727"
2010/01/14,"38,492,305","672,267,308",16.85,17.85,16.6,17.85,+1.15,"7,095"
2010/01/15,"43,736,448","810,823,220",18.1,19.05,18.1,19.05,+1.20,"8,707"
2010/01/18,"29,257,781","562,892,161",19.05,19.5,18.8,19.5,+0.45,"6,471"
2010/01/19,"21,074,817","414,902,840",19.5,20.1,19.3,19.5,0.00,"4,988"
2010/01/20,"22,007,615","416,155,626",19.5,19.7,18.5,18.75,-0.75,"4,051"
2010/01/21,"12,457,931","228,012,424",18.6,18.7,18.1,18.1,-0.65,"2,688"
2010/01/22,"27,742,814","515,388,166",17.8,19.2,17.65,19.0,+0.90,"5,878"
2010/01/25,"11,150,402","208,897,984",19.0,19.0,18.5,18.55,-0.45,"2,333"
2010/01/26,"17,784,800","316,781,611",18.55,18.75,17.3,17.7,-0.85,"3,164"
2010/01/27,"9,141,186","162,747,758",17.8,18.1,17.3,17.4,-0.30,"2,124"
2010/01/28,"7,880,635","141,690,814",17.5,18.3,17.5,18.0,+0.60,"2,104"
2010/01/29,"4,351,199","76,670,568",17.5,18.0,17.35,17.8,-0.20,"1,204"
2010/02/01,"6,404,067","111,714,504",17.8,17.8,17.25,17.35,-0.45,"1,111"
2010/02/02,"10,445,824","174,961,640",17.45,17.6,16.15,16.2,-1.15,"1,825"
2010/02/03,"8,555,336","138,654,883",16.35,16.45,15.7,16.35,+0.15,"2,059"
2010/02/04,"7,023,619","115,943,296",16.35,16.7,16.05,16.6,+0.25,"1,434"
2010/02/05,"9,866,736","156,204,861",16.1,16.45,15.45,16.45,-0.15,"1,702"
2010/02/06,"6,004,545","97,641,709",16.3,16.45,15.9,16.05,-0.40,"1,319"
2010/02/08,"4,233,197","68,811,948",16.05,16.4,16.05,16.1,+0.05,901
2010/02/09,"9,685,603","161,329,317",16.2,17.15,16.05,17.15,+1.05,"1,952"
2010/02/10,"11,451,123","199,550,995",17.2,17.75,17.05,17.05,-0.10,"2,217"
2010/02/22,"5,226,329","91,230,522",17.35,17.65,17.2,17.3,+0.25,"1,171"
2010/02/23,"12,359,063","222,727,014",17.3,18.5,17.2,18.35,+1.05,"2,978"
2010/02/24,"8,098,193","147,729,674",18.0,18.6,17.9,18.2,-0.15,"2,074"
2010/02/25,"11,667,349","216,532,847",18.4,18.85,18.1,18.2,0.00,"2,944"
2010/02/26,"9,191,775","170,715,234",18.5,18.75,18.35,18.5,+0.30,"2,176"
2010/03/01,"15,487,724","299,098,506",19.2,19.65,18.8,19.3,+0.80,"4,315"
2010/03/02,"8,128,197","155,109,093",19.35,19.4,18.85,19.15,-0.15,"2,020"
2010/03/03,"11,503,386","222,380,577",19.2,19.6,19.0,19.05,-0.10,"2,818"
2010/03/04,"8,660,036","161,323,888",19.05,19.2,18.3,18.3,-0.75,"2,256"
2010/03/05,"6,480,998","118,859,044",18.4,18.6,18.15,18.15,-0.15,"1,607"
2010/03/08,"4,894,259","89,247,656",18.3,18.4,18.1,18.15,0.00,"1,262"
2010/03/09,"2,678,181","48,912,117",18.15,18.35,18.15,18.25,+0.10,764
2010/03/10,"4,424,572","79,875,953",18.25,18.35,17.9,18.0,-0.25,"1,159"
2010/03/11,"6,670,660","122,449,820",18.0,18.5,18.0,18.3,+0.30,"1,727"
2010/03/12,"2,967,739","53,902,341",18.3,18.4,18.0,18.2,-0.10,675
2010/03/15,"2,497,807","45,212,078",18.2,18.3,17.95,17.95,-0.25,624
2010/03/16,"2,093,873","37,639,860",17.95,18.1,17.85,17.95,0.00,584
2010/03/17,"4,053,096","73,959,635",18.1,18.35,18.1,18.35,+0.40,"1,017"
2010/03/18,"9,207,209","171,991,399",18.5,18.85,18.45,18.6,+0.25,"2,092"
2010/03/19,"4,422,707","81,470,050",18.6,18.6,18.35,18.35,-0.25,"1,155"
2010/03/22,"3,939,136","70,898,498",18.2,18.3,17.85,18.0,-0.35,954
2010/03/23,"2,535,641","45,932,738",18.0,18.3,18.0,18.1,+0.10,800
2010/03/24,"5,546,802","97,896,393",18.3,18.3,17.2,17.6,-0.50,"1,400"
2010/03/25,"4,508,399","78,802,367",17.5,17.8,17.25,17.75,+0.15,945
2010/03/26,"3,413,855","61,123,464",17.7,18.2,17.5,17.8,+0.05,842
2010/03/29,"2,323,954","41,156,770",17.8,17.95,17.6,17.65,-0.15,681
2010/03/30,"2,599,082","46,563,543",17.9,18.1,17.75,17.8,+0.15,694
2010/03/31,"5,793,515","103,942,366",17.8,18.3,17.5,17.5,-0.30,"1,316"
2010/04/01,"2,723,871","48,405,578",17.65,17.9,17.65,17.8,+0.30,815
2010/04/02,"6,232,860","113,398,753",17.85,18.4,17.85,18.4,+0.60,"1,531"
2010/04/06,"6,833,299","125,178,792",18.55,18.6,18.05,18.25,-0.15,"1,304"
2010/04/07,"3,573,336","65,066,387",18.25,18.4,18.1,18.2,-0.05,736
2010/04/08,"5,064,149","90,625,117",18.2,18.2,17.7,17.85,-0.35,"1,131"
2010/04/09,"2,851,266","50,825,462",17.85,17.95,17.7,17.7,-0.15,824
2010/04/12,"14,668,960","259,790,657",17.7,18.0,17.4,17.9,+0.20,"2,284"
2010/04/13,"57,554,580","1,065,778,239",18.0,19.05,18.0,18.5,+0.60,"10,691"
2010/04/14,"23,964,412","436,704,966",18.5,18.65,17.9,18.05,-0.45,"4,813"
2010/04/15,"17,441,953","309,892,428",18.15,18.15,17.55,17.7,-0.35,"4,443"
2010/04/16,"11,210,129","197,624,711",17.7,17.85,17.4,17.85,+0.15,"2,708"
2010/04/19,"16,625,108","278,747,424",17.35,17.6,16.65,16.65,-1.20,"4,002"
2010/04/20,"28,397,633","446,275,721",16.25,16.65,15.5,15.65,-1.00,"5,220"
2010/04/21,"25,225,057","401,653,287",15.7,16.3,15.7,16.15,+0.50,"3,992"
2010/04/22,"12,573,193","203,030,596",16.0,16.35,16.0,16.05,-0.10,"2,829"
2010/04/23,"7,159,840","113,939,647",16.1,16.2,15.8,15.85,-0.20,"1,925"
2010/04/26,"6,172,076","98,609,581",15.9,16.05,15.9,15.95,+0.10,"1,569"
2010/04/27,"4,608,909","73,279,601",16.0,16.05,15.75,15.8,-0.15,"1,162"
2010/04/28,"8,920,942","141,549,711",15.4,16.3,15.3,15.95,+0.15,"2,646"
2010/04/29,"4,174,495","66,768,332",16.0,16.2,15.85,15.9,-0.05,"1,240"
2010/04/30,"6,410,014","101,092,207",15.95,16.05,15.4,15.5,-0.40,"1,704"
2010/05/03,"7,074,907","106,508,094",15.3,15.5,14.7,15.05,-0.45,"1,950"
2010/05/04,"3,946,271","59,279,676",15.15,15.2,14.8,14.9,-0.15,"1,044"
2010/05/05,"6,767,432","96,243,598",14.35,14.6,13.9,14.1,-0.80,"1,766"
2010/05/06,"4,500,075","62,572,716",13.95,14.1,13.6,13.7,-0.40,"1,230"
2010/05/07,"7,172,261","94,283,642",13.0,13.4,12.8,13.35,-0.35,"1,602"
2010/05/10,"4,481,290","60,397,401",13.4,13.65,13.35,13.65,+0.30,"1,166"
2010/05/11,"3,912,451","53,572,885",13.8,13.95,13.4,13.4,-0.25,"1,071"
2010/05/12,"2,638,899","35,472,586",13.4,13.65,13.35,13.4,0.00,675
2010/05/13,"4,067,565","55,173,193",13.5,13.75,13.45,13.5,+0.10,"1,025"
2010/05/14,"2,684,527","36,194,379",13.5,13.55,13.4,13.45,-0.05,646
