日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"26,649,660","446,912,037",16.6,16.95,16.5,16.6,0.00,"4,137"
2010/01/05,"33,145,965","557,330,901",16.8,17.0,16.55,16.75,+0.15,"5,181"
2010/01/06,"103,889,519","1,837,059,889",17.0,17.9,17.0,17.9,+1.15,"15,146"
2010/01/07,"121,092,232","2,219,966,142",18.1,18.9,18.0,18.2,+0.30,"20,377"
2010/01/08,"79,946,866","1,506,105,737",18.9,19.2,18.6,18.6,+0.40,"13,048"
2010/01/11,"34,386,013","634,022,309",18.6,18.75,18.3,18.4,-0.20,"7,038"
2010/01/12,"58,917,201","1,105,093,567",18.5,19.3,18.15,19.0,+0.60,"11,537"
2010/01/13,"38,563,765","723,715,462",18.7,19.15,18.45,18.45,-0.55,"7,498"
2010/01/14,"35,976,188","671,252,647",18.6,18.95,18.3,18.5,+0.05,"6,866"
2010/01/15,"31,780,153","597,808,231",18.7,19.0,18.65,18.7,+0.20,"5,373"
2010/01/18,"19,094,439","354,200,291",18.3,18.8,18.3,18.45,-0.25,"3,581"
2010/01/19,"18,797,523","345,028,908",18.6,18.7,18.2,18.25,-0.20,"3,910"
2010/01/20,"27,616,307","492,836,706",18.3,18.4,17.5,17.7,-0.55,"5,452"
2010/01/21,"18,405,612","320,511,750",17.5,17.7,17.25,17.25,-0.45,"4,081"
2010/01/22,"37,511,809","652,852,856",16.95,17.75,16.8,17.55,+0.30,"7,496"
2010/01/25,"12,685,854","221,163,227",17.4,17.7,17.2,17.25,-0.30,"2,875"
2010/01/26,"23,710,847","397,482,956",17.3,17.45,16.1,16.25,-1.00,"4,775"
2010/01/27,"12,833,296","210,534,277",16.3,16.7,16.2,16.3,+0.05,"2,941"
2010/01/28,"9,934,985","165,051,090",16.5,16.8,16.4,16.75,+0.45,"2,279"
2010/01/29,"10,074,289","163,928,803",16.45,16.45,16.1,16.3,-0.45,"2,375"
2010/02/01,"10,493,256","168,368,964",16.3,16.45,15.85,15.9,-0.40,"2,553"
2010/02/02,"11,511,253","181,567,552",16.2,16.2,15.3,15.45,-0.45,"2,614"
2010/02/03,"10,644,657","165,955,573",15.65,15.8,15.3,15.7,+0.25,"2,492"
2010/02/04,"5,846,872","92,041,584",15.75,15.85,15.6,15.7,0.00,"1,408"
2010/02/05,"19,889,195","295,482,831",15.25,15.4,14.65,14.7,-1.00,"4,083"
2010/02/06,"15,105,484","213,574,370",14.7,14.8,13.7,14.1,-0.60,"2,923"
2010/02/08,"9,470,160","135,483,206",14.0,14.45,14.0,14.45,+0.35,"1,976"
2010/02/09,"17,929,772","270,490,170",14.45,15.45,14.35,15.45,+1.00,"3,808"
2010/02/10,"17,948,165","285,822,602",15.85,16.15,15.7,15.8,+0.35,"3,815"
2010/02/22,"11,776,464","192,372,010",16.55,16.55,16.2,16.3,+0.50,"2,577"
2010/02/23,"20,658,338","343,581,553",16.3,16.95,16.1,16.75,+0.45,"4,885"
2010/02/24,"9,377,896","154,307,405",16.3,16.65,16.25,16.3,-0.45,"2,408"
2010/02/25,"13,841,950","226,576,186",16.4,16.65,16.05,16.15,-0.15,"3,249"
2010/02/26,"11,232,331","182,324,609",16.3,16.35,16.05,16.2,+0.05,"2,022"
2010/03/01,"20,333,821","339,171,036",16.35,16.9,16.35,16.65,+0.45,"4,073"
2010/03/02,"14,547,152","242,192,262",16.8,16.85,16.5,16.85,+0.20,"2,602"
2010/03/03,"45,614,859","791,800,753",17.15,17.6,17.1,17.1,+0.25,"9,165"
2010/03/04,"15,142,230","257,273,831",17.1,17.25,16.8,16.9,-0.20,"3,707"
2010/03/05,"9,288,752","157,783,595",17.1,17.15,16.85,16.9,0.00,"2,143"
2010/03/08,"9,841,988","167,806,892",17.15,17.2,16.9,16.9,0.00,"2,419"
2010/03/09,"5,277,667","89,243,798",16.95,17.05,16.85,16.85,-0.05,"1,345"
