日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"36,658,809","464,069,278",12.5,12.8,12.45,12.7,+0.30,"5,860"
2010/01/05,"39,658,863","506,708,091",12.8,13.0,12.6,12.6,-0.10,"5,318"
2010/01/06,"90,788,749","1,184,936,567",12.7,13.3,12.7,13.2,+0.60,"11,153"
2010/01/07,"80,315,726","1,072,068,829",13.4,13.6,13.05,13.2,0.00,"10,953"
2010/01/08,"49,511,881","669,781,969",13.5,13.7,13.4,13.4,+0.20,"7,156"
2010/01/11,"54,885,230","759,748,220",13.6,14.0,13.6,13.8,+0.40,"7,942"
2010/01/12,"33,200,253","449,716,098",13.9,13.9,13.35,13.5,-0.30,"5,754"
2010/01/13,"27,168,349","357,908,502",13.2,13.35,13.05,13.05,-0.45,"4,394"
2010/01/14,"26,008,607","343,136,139",13.2,13.3,13.1,13.15,+0.10,"5,140"
2010/01/15,"24,645,668","327,723,320",13.25,13.5,13.15,13.25,+0.10,"4,191"
2010/01/18,"19,289,289","254,760,991",13.2,13.35,13.1,13.2,-0.05,"3,081"
2010/01/19,"28,181,787","376,328,409",13.4,13.5,13.15,13.2,0.00,"4,547"
2010/01/20,"46,566,827","627,329,664",13.4,13.6,13.3,13.35,+0.15,"7,632"
2010/01/21,"23,849,535","317,772,136",13.4,13.45,13.2,13.3,-0.05,"3,924"
2010/01/22,"41,136,228","550,076,729",13.2,13.6,13.0,13.4,+0.10,"7,123"
2010/01/25,"20,061,322","268,271,921",13.4,13.55,13.15,13.15,-0.25,"3,544"
2010/01/26,"34,658,821","437,921,244",13.15,13.3,12.25,12.25,-0.90,"5,712"
2010/01/27,"25,650,294","312,871,799",12.3,12.5,11.95,11.95,-0.30,"4,357"
2010/01/28,"14,521,256","177,271,050",12.05,12.45,12.05,12.35,+0.40,"2,581"
2010/01/29,"20,707,851","246,888,462",12.15,12.15,11.75,11.95,-0.40,"3,543"
2010/02/01,"19,124,190","224,508,981",11.9,12.0,11.55,11.55,-0.40,"3,101"
2010/02/02,"17,444,825","201,333,407",11.7,11.75,11.2,11.3,-0.25,"2,953"
2010/02/03,"11,255,259","128,029,006",11.35,11.5,11.25,11.45,+0.15,"2,084"
2010/02/04,"14,334,118","162,291,432",11.35,11.5,11.1,11.45,0.00,"2,562"
2010/02/05,"27,560,717","297,774,452",11.05,11.15,10.65,10.65,-0.80,"4,064"
2010/02/06,"24,932,069","256,458,980",10.65,10.7,9.98,10.35,-0.30,"3,126"
2010/02/08,"21,682,735","234,933,616",10.6,11.05,10.45,11.05,+0.70,"3,954"
2010/02/09,"32,097,694","368,941,810",11.2,11.75,11.15,11.55,+0.50,"5,231"
2010/02/10,"21,913,012","255,678,128",11.7,11.8,11.5,11.7,+0.15,"4,103"
2010/02/22,"17,637,259","212,745,520",12.2,12.2,11.95,12.1,+0.40,"2,882"
2010/02/23,"30,686,871","376,765,399",12.25,12.45,12.05,12.3,+0.20,"5,089"
2010/02/24,"11,139,870","134,641,785",12.1,12.2,11.95,11.95,-0.35,"2,159"
2010/02/25,"18,497,040","219,923,967",12.1,12.1,11.65,11.65,-0.30,"3,295"
2010/02/26,"17,925,560","211,095,251",11.7,12.0,11.65,11.7,+0.05,"2,725"
2010/03/01,"22,857,080","277,509,661",11.8,12.4,11.8,12.15,+0.45,"4,070"
2010/03/02,"28,990,778","359,973,986",12.3,12.5,12.25,12.4,+0.25,"4,335"
2010/03/03,"22,392,544","282,513,308",12.5,12.75,12.5,12.55,+0.15,"3,616"
2010/03/04,"78,057,991","1,027,972,312",13.0,13.4,12.8,12.9,+0.35,"10,478"
2010/03/05,"37,858,733","481,872,385",12.9,13.0,12.5,12.6,-0.30,"5,624"
2010/03/08,"17,614,794","223,797,806",12.65,12.8,12.6,12.75,+0.15,"2,842"
2010/03/09,"19,607,338","251,151,758",12.65,12.95,12.65,12.8,+0.05,"3,563"
2010/03/10,"27,097,365","351,604,638",12.9,13.1,12.85,13.0,+0.20,"5,025"
2010/03/11,"40,012,342","528,857,305",13.1,13.35,12.95,13.2,+0.20,"6,358"
2010/03/12,"32,340,765","432,373,476",13.3,13.45,13.15,13.45,+0.25,"5,039"
2010/03/15,"25,460,111","342,579,936",13.45,13.65,13.15,13.15,-0.30,"4,469"
2010/03/16,"12,309,755","164,035,004",13.25,13.4,13.2,13.35,+0.20,"2,218"
2010/03/17,"26,252,968","352,600,249",13.4,13.55,13.3,13.45,+0.10,"3,306"
2010/03/18,"40,795,918","559,106,230",13.5,13.8,13.45,13.8,+0.35,"5,095"
2010/03/19,"21,457,066","294,297,165",13.8,13.8,13.6,13.75,-0.05,"2,974"
2010/03/22,"19,008,780","259,103,366",13.75,13.8,13.5,13.6,-0.15,"2,462"
2010/03/23,"21,334,455","293,209,434",13.7,13.85,13.65,13.8,+0.20,"2,850"
2010/03/24,"22,260,071","305,292,342",13.9,13.95,13.6,13.6,-0.20,"2,783"
2010/03/25,"29,615,630","394,873,614",13.55,13.55,13.15,13.4,-0.20,"3,495"
2010/03/26,"36,520,598","479,208,963",13.4,13.4,12.95,13.15,-0.25,"4,483"
2010/03/29,"31,918,835","427,604,806",13.2,13.6,13.15,13.6,+0.45,"3,743"
2010/03/30,"15,110,054","206,185,012",13.65,13.75,13.55,13.6,0.00,"2,114"
2010/03/31,"17,796,170","244,852,588",13.7,13.85,13.7,13.75,+0.15,"3,302"
