日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"89,699","843,130",9.01,9.50,9.01,9.39,+0.15,40
2010/01/05,"127,000","1,158,700",9.35,9.48,8.93,9.19,-0.20,37
2010/01/06,"132,781","1,208,570",9.19,9.19,9.00,9.00,-0.19,38
2010/01/07,"175,500","1,586,645",9.03,9.11,9.02,9.02,+0.02,41
2010/01/08,"122,356","1,108,528",9.02,9.19,9.02,9.18,+0.16,46
2010/01/11,"102,106","936,031",9.18,9.28,9.03,9.22,+0.04,35
2010/01/12,"160,343","1,459,474",9.22,9.25,9.05,9.23,+0.01,34
2010/01/13,"431,000","3,957,820",9.20,9.30,9.13,9.18,-0.05,51
2010/01/14,"99,410","913,941",9.18,9.22,9.18,9.22,+0.04,19
2010/01/15,"187,416","1,728,565",9.22,9.27,9.21,9.27,+0.05,60
2010/01/18,"171,500","1,566,359",9.11,9.34,9.07,9.21,-0.06,71
2010/01/19,"119,086","1,089,401",9.21,9.25,9.12,9.25,+0.04,28
2010/01/20,"56,232","515,344",9.25,9.25,9.13,9.23,-0.02,18
2010/01/21,"162,000","1,487,930",9.11,9.25,9.11,9.23,0.00,37
2010/01/22,"193,375","1,714,742",9.18,9.18,8.61,9.17,-0.06,49
2010/01/25,"154,050","1,389,485",9.10,9.19,8.71,9.18,+0.01,53
2010/01/26,"170,836","1,530,440",9.12,9.12,8.92,8.93,-0.25,57
2010/01/27,"128,060","1,137,764",8.90,9.12,8.82,9.11,+0.18,38
2010/01/28,"250,664","2,291,621",9.11,9.28,8.90,9.13,+0.02,54
2010/01/29,"231,000","2,121,490",9.13,9.35,8.95,9.15,+0.02,44
2010/02/01,"209,550","1,923,063",9.15,9.25,9.13,9.14,-0.01,47
2010/02/02,"81,000","737,800",9.14,9.20,9.02,9.16,+0.02,28
2010/02/03,"124,000","1,139,020",9.17,9.23,9.16,9.20,+0.04,22
2010/02/04,"91,000","834,130",9.20,9.24,9.12,9.16,-0.04,17
2010/02/05,"265,000","2,400,170",9.16,9.20,8.81,9.16,0.00,47
2010/02/06,"185,000","1,691,210",9.16,9.20,9.06,9.19,+0.03,36
2010/02/08,"142,500","1,295,764",9.19,9.20,8.87,8.88,-0.31,38
2010/02/09,"66,000","591,820",8.90,9.17,8.90,9.10,+0.22,15
2010/02/10,"115,000","1,053,479",9.18,9.27,9.10,9.27,+0.17,32
2010/02/22,"84,022","780,732",9.27,9.37,9.26,9.27,0.00,23
2010/02/23,"113,000","1,058,320",9.28,9.41,9.28,9.35,+0.08,30
2010/02/24,"88,000","827,810",9.40,9.48,9.32,9.35,0.00,18
2010/02/25,"205,501","1,941,639",9.35,9.50,9.35,9.41,+0.06,41
2010/02/26,"107,070","1,013,508",9.38,9.60,9.38,9.50,+0.09,28
2010/03/01,"439,100","4,159,080",9.40,9.57,9.21,9.51,+0.01,52
2010/03/02,"104,400","997,039",9.51,9.69,9.51,9.69,+0.18,26
2010/03/03,"661,527","6,719,460",10.00,10.35,9.77,10.15,+0.46,130
2010/03/04,"1,411,743","14,575,728",10.45,10.70,9.95,10.25,+0.10,148
2010/03/05,"813,749","8,172,454",10.40,10.40,9.95,10.00,-0.25,97
2010/03/08,"743,559","7,538,695",10.10,10.20,10.00,10.15,+0.15,77
2010/03/09,"632,226","6,346,517",10.15,10.15,9.83,10.00,-0.15,62
2010/03/10,"392,050","3,917,750",9.87,10.20,9.87,10.10,+0.10,48
2010/03/11,"314,500","3,142,310",9.96,10.10,9.96,10.10,0.00,33
2010/03/12,"222,700","2,223,720",9.98,10.15,9.97,9.98,-0.12,46
2010/03/15,"160,550","1,609,470",9.96,10.20,9.90,10.05,+0.07,34
2010/03/16,"186,317","1,844,485",9.91,9.92,9.86,9.86,-0.19,21
2010/03/17,"162,006","1,637,261",10.00,10.30,10.00,10.25,+0.39,53
2010/03/18,"75,185","774,067",10.25,10.50,10.15,10.25,0.00,30
2010/03/19,"113,999","1,169,039",10.25,10.35,10.20,10.35,+0.10,34
2010/03/22,"115,999","1,199,738",10.25,10.45,10.25,10.35,0.00,40
2010/03/23,"73,925","770,334",10.35,10.50,10.35,10.35,0.00,26
2010/03/24,"99,409","1,039,102",10.35,10.55,10.35,10.50,+0.15,36
2010/03/25,"186,551","1,974,880",10.50,10.70,10.50,10.50,0.00,42
2010/03/26,"133,551","1,402,024",10.50,10.70,10.40,10.40,-0.10,42
2010/03/29,"123,150","1,297,960",10.40,10.60,10.40,10.50,+0.10,35
2010/03/30,"59,500","627,750",10.50,10.65,10.50,10.65,+0.15,23
2010/03/31,"103,285","1,106,305",10.65,10.80,10.65,10.70,+0.05,34
2010/04/01,"1,554,038","17,015,676",10.70,11.40,10.50,11.40,+0.70,290
2010/04/02,"1,312,880","15,876,542",11.80,12.15,11.80,12.15,+0.75,382
2010/04/06,"1,200,528","14,512,622",12.35,12.40,11.60,11.65,-0.50,276
2010/04/07,"610,843","7,395,839",11.65,12.45,11.65,12.45,+0.80,217
2010/04/08,"378,769","4,631,713",12.50,12.50,12.05,12.15,-0.30,121
2010/04/09,"278,500","3,379,150",12.35,12.35,12.00,12.10,-0.05,84
2010/04/12,"216,000","2,606,200",12.25,12.25,11.95,12.00,-0.10,72
2010/04/13,"331,493","3,958,666",12.00,12.10,11.75,11.95,-0.05,83
2010/04/14,"149,999","1,796,138",11.80,12.10,11.80,12.10,+0.15,52
2010/04/15,"155,999","1,878,088",12.30,12.30,11.80,12.05,-0.05,48
2010/04/16,"158,916","1,888,099",12.05,12.05,11.80,12.00,-0.05,47
2010/04/19,"267,998","3,051,325",11.85,11.85,11.20,11.20,-0.80,65
2010/04/20,"81,632","912,028",11.10,11.40,11.00,11.30,+0.10,34
2010/04/21,"49,500","567,650",11.25,11.60,11.25,11.40,+0.10,27
2010/04/22,"392,530","4,681,712",11.40,12.15,11.25,12.10,+0.70,80
2010/04/23,"222,766","2,711,192",12.15,12.50,12.00,12.10,0.00,75
2010/04/26,"115,471","1,381,152",12.00,12.20,11.80,12.10,0.00,44
2010/04/27,"153,000","1,859,700",12.00,12.35,12.00,12.15,+0.05,37
2010/04/28,"76,165","907,346",11.80,12.20,11.80,12.20,+0.05,28
2010/04/29,"104,075","1,292,880",12.45,12.90,12.20,12.45,+0.25,42
2010/04/30,"324,000","3,974,000",12.55,12.55,12.15,12.20,-0.25,69
2010/05/03,"359,123","4,292,851",12.20,12.20,11.85,11.85,-0.35,71
2010/05/04,"772,909","9,423,308",11.95,12.50,11.85,12.50,+0.65,130
2010/05/05,"172,500","2,110,350",12.40,12.40,12.00,12.30,-0.20,74
2010/05/06,"312,500","3,841,150",12.20,12.35,12.20,12.20,-0.10,69
2010/05/07,"422,414","5,081,559",11.80,12.25,11.75,12.20,0.00,73
2010/05/10,"142,623","1,769,325",12.10,12.55,12.10,12.45,+0.25,50
2010/05/11,"136,332","1,691,800",12.50,12.50,12.25,12.25,-0.20,51
2010/05/12,"45,005","547,310",12.20,12.20,12.10,12.10,-0.15,22
2010/05/13,"139,951","1,695,506",12.00,12.45,12.00,12.20,+0.10,39
2010/05/14,"47,894","581,016",12.15,12.30,12.05,12.15,-0.05,31
2010/05/17,"69,000","827,100",12.00,12.15,11.95,12.05,-0.10,26
2010/05/18,"112,000","1,375,850",12.35,12.35,12.10,12.15,+0.10,26
2010/05/19,"84,001","1,010,162",12.15,12.15,12.00,12.10,-0.05,31
2010/05/20,"31,018","371,764",12.00,12.05,11.95,11.95,-0.15,21
2010/05/21,"66,484","762,716",11.40,11.85,11.40,11.50,-0.45,26
2010/05/24,"157,247","1,864,751",11.70,12.05,11.40,11.75,+0.25,42
2010/05/25,"250,070","2,841,504",11.00,11.45,11.00,11.30,-0.45,19
2010/05/26,"9,000","103,750",11.00,11.85,11.00,11.65,+0.35,9
2010/05/27,"162,000","1,831,450",11.20,12.00,11.20,11.40,-0.25,23
2010/05/28,"385,120","4,443,728",11.70,12.00,11.45,12.00,+0.60,50
2010/05/31,"391,270","4,657,086",12.00,12.00,11.50,11.85,-0.15,40
2010/06/01,"146,004","1,681,796",11.55,11.70,11.25,11.60,-0.25,27
2010/06/02,"228,500","2,619,899",11.60,11.70,11.25,11.25,-0.35,33
2010/06/03,"901,095","10,284,883",11.50,11.70,11.10,11.45,+0.20,77
2010/06/04,"651,416","7,518,941",11.45,11.90,11.30,11.30,-0.15,72
2010/06/07,"578,000","6,366,350",11.05,11.25,10.65,10.65,-0.65,56
2010/06/08,"422,000","4,493,950",10.75,10.80,10.25,10.70,+0.05,47
2010/06/09,"158,000","1,653,250",10.65,10.70,10.00,10.50,-0.20,31
2010/06/10,"36,005","377,803",10.50,10.65,10.45,10.65,+0.15,9
2010/06/11,"135,148","1,448,089",10.65,11.35,10.50,10.90,+0.25,45
2010/06/14,"57,850","619,930",10.85,11.00,10.55,10.90,0.00,26
2010/06/15,"484,149","5,095,494",10.65,10.75,10.45,10.70,-0.20,58
2010/06/17,"83,100","885,064",10.70,10.75,10.50,10.65,-0.05,39
2010/06/18,"42,010","445,556",10.60,10.70,10.50,10.70,+0.05,26
2010/06/21,"95,012","1,005,229",10.65,10.80,10.55,10.80,+0.10,27
2010/06/22,"49,000","515,350",10.10,10.80,10.10,10.60,-0.20,15
2010/06/23,"31,701","336,960",10.40,10.90,10.40,10.60,0.00,15
2010/06/24,"102,000","1,096,750",10.60,10.90,10.60,10.75,+0.15,31
2010/06/25,"39,000","408,650",10.60,10.65,10.20,10.60,-0.15,13
2010/06/28,"27,184","282,021",10.30,10.65,10.15,10.45,-0.15,17
2010/06/29,"59,055","614,622",10.70,10.70,10.35,10.50,+0.05,27
2010/06/30,"38,030","396,412",10.20,10.50,10.20,10.45,-0.05,23
2010/07/01,"235,000","2,513,950",10.20,11.15,10.00,10.60,+0.15,79
2010/07/02,"14,000","146,800",10.50,10.60,10.40,10.40,-0.20,10
2010/07/05,"50,025","529,614",10.40,10.80,10.25,10.65,+0.25,30
2010/07/06,"137,500","1,518,800",10.90,11.25,10.65,11.15,+0.50,35
2010/07/07,"164,200","1,864,730",11.15,11.60,11.10,11.50,+0.35,43
2010/07/08,"136,250","1,566,375",11.45,11.65,11.15,11.60,+0.10,27
2010/07/09,"47,050","543,175",11.60,11.60,11.35,11.60,0.00,16
2010/07/12,"64,101","735,501",11.60,11.60,11.40,11.50,-0.10,12
2010/07/13,"236,535","2,716,706",11.45,11.70,11.15,11.70,+0.20,42
2010/07/14,"464,023","5,468,319",11.70,11.85,11.70,11.75,+0.05,52
2010/07/15,"561,000","6,503,050",11.50,11.75,11.25,11.75,0.00,59
2010/07/16,"23,191","264,496",11.30,11.55,11.30,11.55,-0.20,13
2010/07/19,"117,745","1,340,167",11.00,11.55,11.00,11.55,0.00,36
2010/07/20,"43,757","502,855",11.30,11.55,11.30,11.55,0.00,14
2010/07/21,"12,600","143,940",11.55,11.55,11.30,11.45,-0.10,12
