日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"422,466","8,068,604",19.0,19.2,18.9,19.1,+0.20,159
2010/01/05,"509,365","9,615,102",19.1,19.3,18.5,18.55,-0.55,201
2010/01/06,"1,604,260","31,628,644",19.0,19.8,18.8,19.8,+1.25,402
2010/01/07,"1,752,546","34,301,440",20.0,20.2,19.0,19.0,-0.80,561
2010/01/08,"649,548","12,387,504",18.75,19.35,18.75,19.0,0.00,261
2010/01/11,"615,475","11,673,425",19.0,19.2,18.8,19.0,0.00,205
2010/01/12,"558,211","10,718,820",19.0,19.4,18.95,19.4,+0.40,230
2010/01/13,"307,096","5,884,636",19.3,19.4,19.0,19.3,-0.10,152
2010/01/14,"726,309","14,093,997",19.4,19.65,19.2,19.25,-0.05,250
2010/01/15,"416,800","7,978,120",19.3,19.4,19.0,19.0,-0.25,179
2010/01/18,"502,479","9,441,755",19.0,19.0,18.55,18.85,-0.15,192
2010/01/19,"490,858","9,260,672",18.85,19.0,18.65,18.95,+0.10,198
2010/01/20,"368,741","6,927,444",19.0,19.0,18.65,18.7,-0.25,132
2010/01/21,"561,757","10,339,565",18.95,18.95,18.2,18.35,-0.35,186
2010/01/22,"1,299,250","23,128,249",18.0,18.0,17.55,17.85,-0.50,163
2010/01/25,"264,734","4,694,430",17.5,17.85,17.5,17.6,-0.25,98
2010/01/26,"834,707","13,835,343",17.7,17.9,16.4,16.4,-1.20,324
2010/01/27,"481,001","7,671,266",16.05,16.4,15.6,16.1,-0.30,169
2010/01/28,"213,000","3,482,650",16.1,16.8,16.1,16.55,+0.45,104
2010/01/29,"205,300","3,272,510",16.0,16.25,15.65,16.25,-0.30,96
2010/02/01,"141,200","2,293,370",16.25,16.5,16.0,16.25,0.00,62
2010/02/02,"178,641","2,871,469",16.45,16.45,15.85,16.25,0.00,79
2010/02/03,"278,000","4,407,500",16.2,16.3,15.55,15.9,-0.35,135
2010/02/04,"100,001","1,589,515",15.9,16.0,15.8,15.9,0.00,56
2010/02/05,"564,000","8,491,000",15.55,15.6,14.8,14.9,-1.00,136
2010/02/06,"159,200","2,368,800",14.95,15.3,14.5,15.0,+0.10,83
2010/02/08,"219,010","3,324,601",14.95,15.4,14.95,15.1,+0.10,88
2010/02/09,"167,007","2,591,809",15.35,15.7,15.1,15.65,+0.55,78
2010/02/10,"188,058","2,972,707",15.65,16.15,15.65,15.8,+0.15,102
2010/02/22,"306,242","4,899,746",15.85,16.25,15.8,16.1,+0.30,103
2010/02/23,"266,457","4,326,203",16.1,16.4,16.0,16.35,+0.25,70
2010/02/24,"135,864","2,203,336",16.2,16.35,16.05,16.1,-0.25,52
2010/02/25,"138,121","2,238,178",16.1,16.35,16.1,16.1,0.00,52
2010/02/26,"89,000","1,435,700",16.1,16.3,16.1,16.3,+0.20,44
2010/03/01,"122,173","2,021,279",16.4,16.7,16.3,16.5,+0.20,55
2010/03/02,"203,683","3,424,419",16.7,16.9,16.7,16.75,+0.25,67
2010/03/03,"162,010","2,778,470",17.3,17.3,17.0,17.2,+0.45,65
2010/03/04,"185,350","3,159,369",17.2,17.4,16.9,17.2,0.00,73
2010/03/05,"290,030","4,916,460",17.0,17.2,16.8,16.8,-0.40,81
2010/03/08,"63,250","1,074,225",17.0,17.2,16.9,17.0,+0.20,28
2010/03/09,"92,750","1,585,098",17.05,17.2,17.05,17.05,+0.05,38
2010/03/10,"107,685","1,851,077",17.05,17.3,17.05,17.3,+0.25,53
2010/03/11,"263,170","4,599,725",17.3,17.75,17.25,17.6,+0.30,94
2010/03/12,"235,296","4,128,559",17.6,17.75,17.45,17.7,+0.10,65
2010/03/15,"140,381","2,433,372",17.5,17.55,17.1,17.5,-0.20,55
2010/03/16,"33,001","574,467",17.2,17.5,17.2,17.5,0.00,20
2010/03/17,"255,050","4,515,381",17.5,17.95,17.5,17.8,+0.30,129
2010/03/18,"185,224","3,302,802",18.0,18.0,17.7,17.9,+0.10,58
2010/03/19,"426,065","7,904,600",18.8,18.8,18.0,18.6,+0.70,183
2010/03/22,"234,246","4,337,788",18.6,18.65,18.2,18.55,-0.05,93
2010/03/23,"141,268","2,630,391",18.8,18.8,18.45,18.6,+0.05,90
2010/03/24,"503,325","9,458,495",18.65,18.95,18.65,18.7,+0.10,145
2010/03/25,"185,025","3,429,204",18.7,18.7,18.4,18.45,-0.25,72
2010/03/26,"114,100","2,117,745",18.5,18.75,18.4,18.5,+0.05,57
2010/03/29,"146,400","2,718,379",18.75,18.75,18.5,18.5,0.00,58
2010/03/30,"294,487","5,502,385",18.7,18.95,18.5,18.5,0.00,87
2010/03/31,"329,501","6,161,291",18.7,18.85,18.5,18.6,+0.10,108
2010/04/01,"198,000","3,696,400",18.65,18.8,18.55,18.75,+0.15,62
