日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"1,956,000","45,603,550",24.00,24.40,22.55,22.60,-1.45,751
2010/01/05,"1,765,000","39,117,200",23.00,23.30,21.05,21.40,-1.20,718
2010/01/06,"1,209,240","26,913,784",21.40,22.85,21.40,22.85,+1.45,435
2010/01/07,"2,033,600","47,759,639",24.00,24.10,22.10,22.80,-0.05,873
2010/01/08,"992,478","22,907,370",23.00,23.60,22.60,23.00,+0.20,480
2010/01/11,"747,629","16,914,849",23.00,23.40,22.20,22.30,-0.70,393
2010/01/12,"637,607","14,136,682",22.45,22.80,21.90,22.25,-0.05,286
2010/01/13,"1,870,087","43,912,768",21.85,23.80,21.80,23.80,+1.55,640
2010/01/14,"2,737,567","65,480,532",24.40,24.40,23.35,23.40,-0.40,909
2010/01/15,"971,183","22,608,630",23.45,23.85,23.00,23.00,-0.40,447
2010/01/18,"576,959","13,278,169",22.50,23.40,22.50,22.90,-0.10,310
2010/01/19,"571,439","13,099,736",23.30,23.50,22.60,22.90,0.00,278
2010/01/20,"3,183,542","77,135,883",23.25,24.50,22.65,24.20,+1.30,"1,088"
2010/01/21,"1,780,287","40,998,369",23.80,23.80,22.55,22.55,-1.65,770
2010/01/22,"878,009","18,903,542",21.10,22.00,21.10,21.45,-1.10,439
2010/01/25,"800,002","17,377,642",21.45,22.30,21.05,21.35,-0.10,411
2010/01/26,"824,005","16,855,448",21.65,21.80,19.90,19.90,-1.45,348
2010/01/27,"572,096","11,255,112",20.10,20.20,19.20,19.40,-0.50,277
2010/01/28,"405,685","8,096,302",19.80,20.30,19.50,20.15,+0.75,206
2010/01/29,"337,170","6,517,198",19.60,19.60,19.05,19.35,-0.80,172
2010/02/01,"204,095","3,974,202",19.35,19.70,19.30,19.40,+0.05,115
2010/02/02,"368,000","6,924,550",19.85,19.85,18.05,18.35,-1.05,164
2010/02/03,"394,100","7,190,605",18.50,18.75,17.80,18.15,-0.20,207
2010/02/04,"459,100","8,479,739",18.15,18.90,18.05,18.70,+0.55,238
2010/02/05,"462,248","8,070,402",17.40,18.00,17.40,17.40,-1.30,216
2010/02/06,"585,000","9,682,600",17.00,17.30,16.20,16.40,-1.00,230
2010/02/08,"685,209","11,751,907",16.45,17.50,16.40,17.00,+0.60,389
2010/02/09,"571,000","9,984,750",17.00,17.80,16.70,17.60,+0.60,230
2010/02/10,"406,000","7,307,100",17.90,18.25,17.80,17.85,+0.25,203
2010/02/22,"135,000","2,426,700",18.20,18.20,17.85,18.00,+0.15,64
2010/02/23,"227,000","4,119,850",17.85,18.40,17.85,18.30,+0.30,124
2010/02/24,"245,589","4,536,075",18.00,18.85,18.00,18.50,+0.20,133
2010/02/25,"174,300","3,217,680",18.90,18.90,18.15,18.15,-0.35,94
2010/02/26,"133,000","2,416,400",18.15,18.75,18.00,18.15,0.00,72
2010/03/01,"255,200","4,688,600",18.30,18.60,18.00,18.35,+0.20,129
2010/03/02,"168,004","3,103,872",18.45,18.80,18.35,18.40,+0.05,93
2010/03/03,"619,274","11,751,201",18.70,19.30,18.45,19.10,+0.70,309
2010/03/04,"220,400","4,141,919",19.20,19.20,18.50,18.55,-0.55,126
2010/03/05,"197,000","3,690,500",18.60,18.90,18.60,18.65,+0.10,95
2010/03/08,"361,000","6,922,000",18.70,19.45,18.70,19.20,+0.55,196
