日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"4,180,060","288,381,470",69.5,69.5,68.5,68.9,-0.50,"1,475"
2010/01/05,"9,283,603","647,623,778",69.4,70.3,69.4,69.6,+0.70,"2,868"
2010/01/06,"25,734,450","1,870,953,300",69.6,74.4,69.4,74.3,+4.70,"8,040"
2010/01/07,"12,748,081","941,310,952",74.3,74.3,73.2,73.7,-0.60,"4,481"
2010/01/08,"13,341,281","980,471,032",74.1,75.0,71.8,72.0,-1.70,"4,996"
2010/01/11,"7,920,065","579,105,256",72.0,74.5,72.0,73.0,+1.00,"2,713"
2010/01/12,"6,193,035","446,120,920",73.0,73.0,71.5,72.0,-1.00,"2,734"
2010/01/13,"5,126,885","364,220,906",71.0,71.7,70.7,70.7,-1.30,"2,266"
2010/01/14,"4,944,681","350,616,418",70.7,71.8,70.5,70.6,-0.10,"2,284"
2010/01/15,"5,092,289","361,192,182",70.7,71.5,70.5,71.0,+0.40,"2,096"
2010/01/18,"3,146,124","221,239,663",70.0,70.5,70.0,70.3,-0.70,"1,362"
2010/01/19,"7,346,921","513,842,370",70.3,70.8,69.3,70.0,-0.30,"2,820"
2010/01/20,"7,083,161","494,692,684",70.0,70.2,69.5,70.0,0.00,"2,098"
2010/01/21,"9,215,919","644,095,830",70.0,70.3,69.6,70.3,+0.30,"1,869"
2010/01/22,"12,516,030","875,254,400",69.6,70.9,69.1,70.1,-0.20,"2,691"
2010/01/25,"5,340,783","368,830,373",69.5,69.6,68.5,69.6,-0.50,"2,182"
2010/01/26,"9,111,683","621,831,520",69.5,69.5,67.4,68.6,-1.00,"3,183"
2010/01/27,"10,505,919","723,419,955",68.6,69.5,67.9,69.5,+0.90,"2,369"
2010/01/28,"5,450,733","377,069,221",69.6,70.0,68.7,68.9,-0.60,"1,922"
2010/01/29,"6,348,516","433,102,731",68.6,69.7,66.3,69.3,+0.40,"2,593"
2010/02/01,"3,890,429","265,021,791",69.2,69.6,67.6,68.0,-1.30,"1,436"
2010/02/02,"7,609,211","516,762,247",68.2,69.1,66.5,67.5,-0.50,"2,189"
2010/02/03,"4,220,295","284,930,301",67.7,68.1,67.0,67.4,-0.10,"1,284"
2010/02/04,"6,590,256","452,915,810",68.6,69.4,67.9,68.9,+1.50,"2,503"
2010/02/05,"7,026,096","474,400,812",67.6,68.1,66.6,68.0,-0.90,"2,801"
2010/02/06,"2,851,277","194,755,041",68.0,68.8,68.0,68.1,+0.10,"1,184"
2010/02/08,"5,382,038","362,259,960",68.0,68.1,67.0,67.1,-1.00,"2,202"
2010/02/09,"3,830,360","259,046,952",67.1,68.2,67.0,67.7,+0.60,"1,468"
2010/02/10,"3,815,265","258,637,320",67.7,68.3,67.2,68.0,+0.30,"1,477"
2010/02/22,"5,501,857","382,999,645",70.2,70.2,68.8,69.8,+1.80,"2,319"
2010/02/23,"13,532,299","960,804,167",70.5,72.2,69.7,72.0,+2.20,"4,462"
2010/02/24,"8,901,229","631,785,146",71.6,71.6,70.5,70.8,-1.20,"3,055"
2010/02/25,"12,997,550","926,832,942",71.5,71.9,69.9,71.6,+0.80,"3,914"
2010/02/26,"11,059,321","794,538,010",71.6,72.5,71.0,72.5,+0.90,"3,037"
2010/03/01,"9,893,736","726,585,078",73.0,74.0,72.5,72.7,+0.20,"3,679"
2010/03/02,"6,970,193","507,114,586",73.4,73.5,72.0,72.4,-0.30,"2,353"
2010/03/03,"7,145,912","518,444,003",72.6,73.3,72.1,72.7,+0.30,"1,982"
