日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2012/12/19,"2,158,000","170,302,200",81.0,81.0,76.5,77.0,X0.00,"1,050"
2012/12/20,"366,000","27,905,500",77.2,77.5,75.2,75.4,-1.60,272
2012/12/21,"234,000","17,520,400",75.4,75.6,74.2,74.6,-0.80,170
2012/12/22,"181,015","13,785,055",75.0,77.2,75.0,76.7,+2.10,119
2012/12/24,"170,485","13,119,913",76.5,77.5,76.0,76.5,-0.20,119
2012/12/25,"162,006","12,447,758",76.0,77.4,76.0,77.2,+0.70,104
2012/12/26,"79,117","6,081,150",77.0,77.3,76.2,77.3,+0.10,69
2012/12/27,"111,000","8,549,000",77.1,77.3,76.5,77.3,0.00,74
2012/12/28,"154,100","11,965,740",77.4,78.2,76.7,78.2,+0.90,108
2013/01/02,"74,000","5,732,700",78.2,78.2,77.2,77.2,-1.00,63
2013/01/03,"148,000","11,373,300",77.4,77.6,76.3,77.0,-0.20,100
2013/01/04,"84,000","6,458,300",77.5,77.5,76.3,76.3,-0.70,56
2013/01/07,"36,000","2,758,700",76.8,76.8,76.3,76.4,+0.10,24
2013/01/08,"44,100","3,358,270",76.3,76.7,75.7,76.0,-0.40,29
2013/01/09,"99,050","7,439,375",76.0,76.0,74.9,75.7,-0.30,69
2013/01/10,"60,050","4,514,950",75.3,75.9,74.9,75.5,-0.20,48
2013/01/11,"86,080","6,591,360",75.3,77.4,75.2,77.0,+1.50,71
2013/01/14,"59,000","4,527,300",77.0,77.0,76.0,77.0,0.00,41
2013/01/15,"72,000","5,484,600",77.0,77.0,75.6,76.5,-0.50,50
2013/01/16,"45,000","3,433,600",75.7,76.5,75.7,76.5,0.00,27
2013/01/17,"114,014","8,783,268",76.5,78.0,75.8,76.3,-0.20,80
2013/01/18,"66,000","5,078,000",76.4,77.2,76.4,77.1,+0.80,57
2013/01/21,"22,080","1,698,428",77.0,77.0,76.8,76.8,-0.30,23
2013/01/22,"105,000","8,160,700",77.2,78.2,77.0,77.8,+1.00,72
2013/01/23,"67,011","5,206,858",77.8,78.1,77.3,77.7,-0.10,60
2013/01/24,"64,011","5,006,959",78.0,78.4,78.0,78.3,+0.60,53
2013/01/25,"61,000","4,772,600",78.5,78.8,77.7,78.0,-0.30,44
2013/01/28,"53,009","4,149,706",78.8,78.8,78.0,78.4,+0.40,38
2013/01/29,"84,000","6,569,600",78.4,78.5,78.0,78.5,+0.10,54
2013/01/30,"52,000","4,068,400",78.2,78.5,78.1,78.3,-0.20,44
2013/01/31,"86,009","6,711,303",78.6,78.6,77.9,77.9,-0.40,56
2013/02/01,"69,000","5,383,800",77.9,78.5,77.8,78.0,+0.10,48
2013/02/04,"977,020","79,965,468",78.5,83.4,78.5,83.4,+5.40,475
2013/02/05,"429,000","35,761,700",84.0,84.0,82.6,83.3,-0.10,268
2013/02/06,"971,019","84,581,472",83.5,89.0,83.5,87.6,+4.30,653
2013/02/18,"397,150","34,796,850",89.5,89.5,85.0,88.2,+0.60,305
2013/02/19,"199,000","17,333,500",88.5,88.8,86.0,86.2,-2.00,144
2013/02/20,"150,032","12,947,690",87.0,87.3,85.5,86.9,+0.70,120
2013/02/21,"113,000","9,768,100",86.9,86.9,86.0,86.0,-0.90,90
2013/02/22,"93,000","7,938,700",85.5,85.6,85.1,85.1,-0.90,80
2013/02/23,"152,000","13,052,600",85.5,87.5,84.8,85.3,+0.20,114
2013/02/25,"162,009","13,648,859",85.3,85.3,83.6,83.6,-1.70,124
2013/02/26,"131,000","11,003,600",83.5,85.3,83.0,83.0,-0.60,101
2013/02/27,"155,000","13,176,000",83.5,86.2,83.2,85.0,+2.00,117
2013/03/01,"96,000","8,198,700",85.1,86.0,84.6,84.7,-0.30,68
2013/03/04,"125,050","10,491,520",84.7,84.7,83.5,84.4,-0.30,75
