日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2012/04/24,"2,411,055","71,204,577",29.5,29.95,29.0,29.5,X0.00,"1,043"
2012/04/25,"636,025","18,733,432",29.6,29.7,29.25,29.25,-0.25,379
2012/04/26,"563,100","16,788,299",29.45,30.5,29.45,29.5,+0.25,366
2012/04/27,"728,565","21,215,183",29.6,29.85,28.15,28.2,-1.30,309
2012/04/30,"158,405","4,369,677",28.2,28.2,27.2,27.5,-0.70,128
2012/05/02,"283,445","8,112,203",27.7,29.05,27.7,28.8,+1.30,168
2012/05/03,"128,575","3,662,243",28.3,28.8,28.25,28.3,-0.50,89
2012/05/04,"185,000","5,338,300",28.3,29.2,28.2,28.8,+0.50,127
2012/05/07,"139,110","3,972,384",28.8,28.8,28.2,28.6,-0.20,84
2012/05/08,"264,000","7,725,800",28.5,29.7,28.5,29.35,+0.75,167
2012/05/09,"510,055","15,243,611",28.8,30.4,28.8,29.6,+0.25,297
2012/05/10,"216,055","6,280,245",29.2,29.5,28.7,28.7,-0.90,143
2012/05/11,"201,150","5,659,312",28.5,28.5,27.9,28.0,-0.70,137
2012/05/14,"94,001","2,618,579",28.0,28.0,27.55,27.8,-0.20,73
2012/05/15,"92,000","2,531,650",27.6,27.8,27.35,27.5,-0.30,63
2012/05/16,"128,630","3,476,876",27.7,27.7,26.7,26.8,-0.70,89
2012/05/17,"92,220","2,489,246",26.85,27.15,26.85,27.0,+0.20,71
2012/05/18,"62,055","1,631,591",26.7,26.7,26.1,26.1,-0.90,50
2012/05/21,"56,000","1,459,650",26.0,26.3,25.85,25.95,-0.15,48
2012/05/22,"88,055","2,327,749",26.3,26.6,26.2,26.6,+0.65,55
2012/05/23,"75,110","1,970,103",26.4,26.4,26.1,26.15,-0.45,49
2012/05/24,"81,000","2,109,550",26.2,26.35,25.9,25.9,-0.25,51
2012/05/25,"77,055","1,983,602",26.0,26.1,25.5,25.5,-0.40,44
2012/05/28,"80,006","2,037,556",25.3,25.55,25.3,25.55,+0.05,74
2012/05/29,"124,000","3,253,300",25.55,26.4,25.55,26.15,+0.60,84
2012/05/30,"53,000","1,385,050",26.4,26.4,25.7,26.0,-0.15,41
2012/05/31,"80,000","2,058,750",25.5,25.9,25.4,25.75,-0.25,44
2012/06/01,"130,036","3,314,667",25.6,25.6,25.4,25.5,-0.25,82
2012/06/04,"235,000","5,859,700",24.7,25.05,24.5,24.9,-0.60,124
2012/06/05,"52,000","1,308,750",25.85,25.85,25.05,25.3,+0.40,47
2012/06/06,"45,000","1,141,900",25.2,25.55,25.2,25.55,+0.25,34
2012/06/07,"69,000","1,749,200",25.8,25.8,25.05,25.1,-0.45,47
2012/06/08,"41,000","1,035,400",24.8,25.35,24.8,25.35,+0.25,29
2012/06/11,"47,000","1,193,350",25.4,25.5,25.35,25.35,0.00,39
2012/06/12,"17,000","430,300",25.35,25.45,25.2,25.35,0.00,11
2012/06/13,"52,151","1,324,259",25.4,25.75,25.35,25.7,+0.35,44
2012/06/14,"12,000","308,800",25.75,25.8,25.6,25.6,-0.10,9
2012/06/15,"62,110","1,606,776",25.6,26.0,25.6,26.0,+0.40,49
2012/06/18,"77,055","2,034,413",26.5,26.9,26.1,26.9,+0.90,63
2012/06/19,"76,055","2,012,567",26.6,26.8,26.2,26.5,-0.40,52
2012/06/20,"52,132","1,380,186",26.6,26.6,26.25,26.6,+0.10,31
2012/06/21,"34,110","911,954",26.7,26.85,26.65,26.65,+0.05,27
2012/06/22,"55,017","1,455,851",26.6,26.65,26.25,26.65,0.00,40
2012/06/25,"64,012","1,708,966",26.7,27.1,26.35,26.45,-0.20,59
2012/06/26,"30,045","792,986",26.45,26.6,26.35,26.4,-0.05,22
2012/06/27,"17,372","457,206",26.2,26.45,26.2,26.4,0.00,21
2012/06/28,"41,001","1,086,176",26.4,26.5,26.4,26.5,+0.10,18
2012/06/29,"46,015","1,231,307",26.5,27.0,26.5,26.9,+0.40,23
2012/07/02,"46,000","1,256,950",26.9,27.45,26.9,27.45,+0.55,35
2012/07/03,"44,100","1,207,929",27.45,27.45,27.25,27.25,-0.20,21
2012/07/04,"27,055","740,159",27.3,27.4,27.25,27.4,+0.15,21
2012/07/05,"19,521","530,899",26.95,27.35,26.95,27.15,-0.25,17
2012/07/06,"56,001","1,518,477",27.05,27.6,27.0,27.6,+0.45,24
2012/07/09,"1,000","27,150",27.15,27.15,27.15,27.15,-0.45,1
2012/07/10,"30,000","814,400",27.2,27.25,27.0,27.2,+0.05,17
2012/07/11,"31,010","841,276",27.2,27.5,26.8,27.35,+0.15,21
2012/07/12,"25,000","675,850",27.0,27.35,26.8,27.2,-0.15,16
2012/07/13,"11,000","295,150",26.9,26.9,26.8,26.8,-0.40,8
2012/07/16,"22,269","591,478",26.8,26.8,26.2,26.8,0.00,20
2012/07/17,"6,000","161,000",26.75,27.0,26.75,27.0,+0.20,6
2012/07/18,"30,000","801,350",26.3,26.9,26.3,26.6,-0.40,18
2012/07/19,"60,000","1,596,500",26.65,26.65,26.6,26.6,0.00,39
2012/07/20,"36,000","958,450",26.6,26.7,26.55,26.6,0.00,33
2012/07/23,"47,000","1,246,800",26.8,26.8,26.3,26.5,-0.10,33
2012/07/24,"27,000","715,500",26.4,26.55,26.4,26.5,0.00,18
2012/07/25,"28,055","742,988",26.45,26.5,26.3,26.4,-0.10,11
2012/07/26,"16,000","430,900",26.6,27.1,26.6,26.6,+0.20,10
2012/07/27,"10,000","269,150",26.95,27.0,26.7,26.7,+0.10,9
2012/07/30,"15,000","405,800",26.95,27.15,26.95,27.05,+0.35,13
2012/07/31,"17,000","460,350",27.05,27.15,27.05,27.1,+0.05,13
2012/08/01,"12,000","326,050",27.1,27.2,27.1,27.2,+0.10,12
2012/08/03,"29,000","789,400",27.2,27.35,27.1,27.35,+0.15,19
2012/08/06,"27,000","739,950",27.5,27.5,27.35,27.4,+0.05,17
2012/08/07,"15,000","410,200",27.5,27.5,27.3,27.3,-0.10,11
2012/08/08,"26,000","707,550",27.3,27.45,27.1,27.3,0.00,16
2012/08/09,"38,000","1,046,000",27.45,27.6,27.4,27.6,+0.30,25
2012/08/10,"28,220","775,405",27.5,27.6,27.2,27.6,0.00,29
2012/08/13,"128,000","3,549,750",27.6,28.3,27.55,28.3,+0.70,49
2012/08/14,"40,013","1,122,359",28.45,28.45,27.9,28.0,-0.30,31
2012/08/15,"19,055","527,922",27.7,28.0,27.65,27.7,-0.30,20
2012/08/16,"57,000","1,578,050",27.7,28.0,27.6,27.85,+0.15,36
2012/08/17,"20,055","557,273",27.75,27.95,27.7,27.95,+0.10,18
2012/08/20,"85,055","2,413,595",28.0,28.7,28.0,28.4,+0.45,65
2012/08/21,"31,054","874,917",28.2,28.35,28.05,28.35,-0.05,27
2012/08/22,"23,055","649,940",28.35,28.4,28.05,28.3,-0.05,21
2012/08/23,"17,099","482,301",28.3,28.45,28.05,28.05,-0.25,16
2012/08/24,"29,636","834,758",28.05,28.35,28.05,28.25,+0.20,26
2012/08/27,"22,000","617,050",28.05,28.1,28.0,28.05,-0.20,22
2012/08/28,"10,000","280,000",28.0,28.1,27.95,28.1,+0.05,10
2012/08/29,"27,055","763,945",28.2,28.35,28.1,28.35,+0.25,21
2012/08/30,"28,000","785,800",28.3,28.3,27.95,28.0,-0.35,17
2012/08/31,"38,375","1,069,454",28.0,28.0,27.7,27.75,-0.25,26
2012/09/03,"30,000","839,850",27.75,28.1,27.75,28.05,+0.30,17
2012/09/04,"14,000","393,200",28.05,28.1,28.05,28.1,+0.05,13
2012/09/05,"8,100","227,135",27.7,28.1,27.7,28.1,0.00,8
2012/09/06,"32,100","901,859",28.1,28.2,27.8,28.2,+0.10,27
2012/09/07,"335,739","9,873,550",28.2,30.0,28.2,30.0,+1.80,166
2012/09/10,"204,600","5,769,400",28.5,28.5,27.7,28.0,X0.00,122
2012/09/11,"102,041","2,813,933",28.2,28.2,27.35,27.45,-0.55,62
2012/09/12,"35,104","968,804",27.5,27.7,27.5,27.7,+0.25,26
2012/09/13,"76,000","2,124,250",28.0,28.3,27.75,27.8,+0.10,53
2012/09/14,"83,290","2,325,270",28.0,28.1,27.75,27.8,0.00,45
2012/09/17,"74,300","2,052,360",27.8,27.8,27.55,27.6,-0.20,53
2012/09/18,"22,500","622,574",27.6,27.8,27.6,27.7,+0.10,22
2012/09/19,"38,690","1,069,364",27.6,27.85,27.6,27.7,0.00,32
2012/09/20,"16,000","442,450",27.7,27.7,27.6,27.7,0.00,12
2012/09/21,"17,000","470,050",27.6,27.75,27.55,27.75,+0.05,14
2012/09/24,"12,001","332,477",27.75,27.75,27.55,27.7,-0.05,11
2012/09/25,"17,055","471,659",27.6,27.75,27.55,27.7,0.00,17
2012/09/26,"9,000","248,350",27.55,27.65,27.55,27.6,-0.10,8
2012/09/27,"37,055","1,020,348",27.55,27.8,27.4,27.5,-0.10,22
2012/09/28,"6,380","175,925",27.55,27.7,27.5,27.7,+0.20,8
2012/10/01,"31,150","858,112",27.75,27.75,27.5,27.5,-0.20,21
2012/10/02,"9,000","248,500",27.5,27.7,27.5,27.7,+0.20,8
2012/10/03,"16,000","441,300",27.7,27.7,27.5,27.7,0.00,12
2012/10/04,"10,000","275,150",27.55,27.55,27.5,27.5,-0.20,7
2012/10/05,"14,000","386,800",27.5,27.8,27.45,27.6,+0.10,13
2012/10/08,"23,000","636,150",27.75,27.75,27.55,27.6,0.00,16
2012/10/09,"49,156","1,367,904",27.7,27.95,27.7,27.9,+0.30,40
2012/10/11,"38,020","1,056,356",27.85,27.85,27.7,27.8,-0.10,31
2012/10/12,"35,055","979,515",27.8,28.1,27.8,27.8,0.00,30
2012/10/15,"8,000","221,600",27.8,27.8,27.6,27.75,-0.05,6
2012/10/16,"14,000","387,950",27.75,27.9,27.6,27.85,+0.10,11
2012/10/17,"21,000","580,500",27.85,27.85,27.6,27.6,-0.25,14
2012/10/18,"9,091","251,138",27.9,27.9,27.55,27.55,-0.05,6
2012/10/19,"36,000","991,400",27.55,27.75,27.5,27.5,-0.05,19
2012/10/22,"24,000","663,150",27.5,27.7,27.35,27.55,+0.05,11
2012/10/23,"5,000","137,950",27.6,27.65,27.55,27.65,+0.10,5
2012/10/24,"78,000","2,145,350",27.55,27.6,27.5,27.5,-0.15,27
2012/10/25,"112,000","3,080,100",27.5,27.6,27.5,27.5,0.00,37
2012/10/26,"416,000","11,440,400",27.5,27.6,27.5,27.5,0.00,136
2012/10/29,"81,000","2,227,800",27.5,27.55,27.5,27.55,+0.05,29
2012/10/30,"62,100","1,708,174",27.5,27.55,27.5,27.5,-0.05,24
2012/10/31,"129,000","3,550,800",27.5,27.65,27.5,27.5,0.00,36
2012/11/01,"56,000","1,540,400",27.5,27.6,27.5,27.5,0.00,19
2012/11/02,"68,000","1,870,050",27.5,27.55,27.5,27.5,0.00,25
2012/11/05,"137,000","3,767,500",27.5,27.5,27.5,27.5,0.00,34
2012/11/06,"62,000","1,706,000",27.5,27.7,27.5,27.5,0.00,22
2012/11/07,"58,000","1,595,000",27.5,27.5,27.5,27.5,0.00,16
2012/11/08,"57,001","1,567,527",27.5,27.5,27.5,27.5,0.00,17
2012/11/09,"77,000","2,129,650",27.9,28.0,27.5,28.0,+0.50,45
2012/11/12,"79,165","2,212,236",28.1,28.45,27.5,27.65,-0.35,50
2012/11/13,"33,110","912,858",27.7,27.7,27.5,27.5,-0.15,25
2012/11/14,"11,000","303,200",27.5,27.6,27.5,27.5,0.00,9
2012/11/15,"66,110","1,821,452",27.5,27.6,27.5,27.55,+0.05,22
2012/11/16,"63,110","1,735,702",27.55,27.55,27.5,27.5,-0.05,27
2012/11/19,"20,000","550,650",27.5,27.55,27.5,27.55,+0.05,8
2012/11/20,"4,001","110,127",27.55,27.55,27.5,27.5,-0.05,5
2012/11/21,"82,452","2,267,393",27.55,27.55,27.5,27.5,0.00,16
2012/11/22,"61,000","1,677,550",27.5,27.55,27.5,27.5,0.00,19
2012/11/23,"132,001","3,631,077",27.5,27.55,27.5,27.5,0.00,36
2012/11/26,"120,000","3,300,150",27.5,27.55,27.5,27.55,+0.05,33
2012/11/27,"108,000","2,974,450",28.0,28.0,27.5,27.5,-0.05,35
2012/11/28,"107,050","2,945,637",27.6,27.75,27.5,27.5,0.00,33
2012/11/29,"15,000","413,200",27.5,27.75,27.5,27.7,+0.20,7
2012/11/30,"115,000","3,166,250",27.6,27.65,27.5,27.5,-0.20,49
2012/12/03,"127,000","3,493,800",27.5,27.65,27.5,27.5,0.00,41
2012/12/04,"12,000","330,650",27.5,27.65,27.5,27.6,+0.10,9
2012/12/05,"221,000","6,086,850",27.9,27.9,27.5,27.55,-0.05,65
2012/12/06,"223,000","6,133,000",27.55,27.55,27.5,27.5,-0.05,59
2012/12/07,"209,055","5,771,473",27.75,27.8,27.5,27.5,0.00,76
2012/12/10,"9,055","249,551",27.55,27.6,27.55,27.55,+0.05,8
2012/12/11,"49,000","1,349,800",27.8,27.8,27.5,27.5,-0.05,25
2012/12/12,"56,000","1,550,050",27.75,27.8,27.5,27.55,+0.05,31
2012/12/13,"22,000","610,550",27.8,27.95,27.65,27.7,+0.15,17
2012/12/14,"70,000","1,952,900",27.8,28.2,27.7,27.9,+0.20,51
2012/12/17,"55,000","1,538,450",27.9,28.1,27.75,28.0,+0.10,38
2012/12/18,"5,959,000","178,048,550",28.0,28.15,28.0,28.05,+0.05,36
2012/12/19,"6,166,000","184,790,850",28.5,30.0,28.4,28.5,+0.45,201
2012/12/20,"225,300","6,640,504",28.5,29.95,28.5,29.5,+1.00,138
2012/12/21,"904,049","28,250,219",30.0,31.55,30.0,31.35,+1.85,522
2012/12/22,"385,086","12,154,927",31.5,32.4,30.95,31.35,0.00,245
2012/12/24,"270,440","8,290,054",31.35,31.35,30.2,30.4,-0.95,214
2012/12/25,"93,100","2,821,304",30.2,30.5,30.15,30.3,-0.10,74
2012/12/26,"207,590","6,129,296",30.5,30.5,29.0,29.2,-1.10,150
2012/12/27,"103,110","3,034,378",29.8,29.8,29.2,29.5,+0.30,67
2012/12/28,"47,000","1,376,650",29.5,29.5,29.05,29.15,-0.35,42
2013/01/02,"81,033","2,391,770",29.2,30.2,29.05,29.3,+0.15,62
2013/01/03,"32,031","941,564",29.35,29.65,29.3,29.35,+0.05,28
2013/01/04,"119,729","3,580,937",29.35,30.5,29.35,30.4,+1.05,93
2013/01/07,"84,100","2,568,684",31.4,31.4,30.0,30.0,-0.40,70
2013/01/08,"44,028","1,312,335",29.8,30.0,29.7,29.7,-0.30,37
2013/01/09,"38,031","1,128,025",29.7,29.8,29.6,29.6,-0.10,35
2013/01/10,"81,031","2,396,414",29.65,29.9,29.5,29.5,-0.10,53
2013/01/11,"61,000","1,796,800",29.55,29.65,29.4,29.45,-0.05,39
2013/01/14,"132,095","3,849,633",29.45,29.5,28.85,29.25,-0.20,72
2013/01/15,"39,055","1,147,250",29.5,29.9,29.25,29.3,+0.05,30
2013/01/16,"81,080","2,366,011",29.25,29.7,29.0,29.05,-0.25,51
2013/01/17,"94,026","2,714,098",29.45,29.55,28.45,28.8,-0.25,71
2013/01/18,"40,000","1,147,400",28.55,28.85,28.55,28.8,0.00,28
2013/01/21,"12,000","343,150",28.75,28.75,28.5,28.5,-0.30,11
2013/01/22,"35,000","990,350",28.3,28.55,28.1,28.5,0.00,24
2013/01/23,"30,050","848,812",28.55,28.55,28.2,28.25,-0.25,25
2013/01/24,"22,000","628,400",28.3,28.8,28.3,28.55,+0.30,19
2013/01/25,"21,000","598,500",28.55,28.65,28.35,28.6,+0.05,16
2013/01/28,"15,000","430,000",28.7,28.85,28.6,28.6,0.00,10
2013/01/29,"35,045","1,006,733",28.6,28.85,28.5,28.65,+0.05,17
2013/01/30,"16,000","460,150",28.8,28.9,28.65,28.9,+0.25,16
2013/01/31,"16,165","465,601",28.9,28.9,28.75,28.75,-0.15,14
2013/02/01,"70,000","1,989,150",28.5,28.55,28.35,28.35,-0.40,39
2013/02/04,"80,300","2,274,615",28.6,28.6,28.25,28.3,-0.05,47
2013/02/05,"24,000","678,500",28.3,28.3,28.2,28.3,0.00,16
2013/02/06,"119,100","3,472,219",29.1,29.35,28.7,28.7,+0.40,89
2013/02/18,"76,000","2,206,050",29.0,29.2,28.85,29.0,+0.30,38
2013/02/19,"85,000","2,468,100",29.3,29.3,28.85,29.25,+0.25,41
2013/02/20,"64,000","1,887,400",29.4,29.8,29.25,29.65,+0.40,44
2013/02/21,"23,013","677,878",29.6,29.6,29.35,29.35,-0.30,22
2013/02/22,"14,000","412,050",29.35,29.5,29.35,29.5,+0.15,9
2013/02/23,"52,000","1,546,150",29.7,29.85,29.5,29.8,+0.30,34
2013/02/25,"28,000","833,800",29.8,29.9,29.6,29.75,-0.05,23
2013/02/26,"107,000","3,249,500",29.8,30.9,29.75,30.6,+0.85,64
2013/02/27,"103,013","3,096,540",30.6,30.6,29.75,29.75,-0.85,61
2013/03/01,"60,000","1,800,900",30.1,30.2,29.85,29.85,+0.10,41
2013/03/04,"40,000","1,199,450",29.9,30.2,29.9,29.9,+0.05,29
2013/03/05,"99,020","2,973,727",29.9,30.45,29.9,30.05,+0.15,25
2013/03/06,"33,000","996,700",30.1,30.3,30.05,30.3,+0.25,24
2013/03/07,"118,000","3,595,650",30.3,30.65,30.3,30.4,+0.10,64
2013/03/08,"66,056","2,014,713",30.55,30.7,30.4,30.5,+0.10,41
2013/03/11,"177,000","5,402,150",30.5,30.75,30.5,30.75,+0.25,25
2013/03/12,"93,000","2,878,750",30.7,31.1,30.7,30.9,+0.15,60
2013/03/13,"46,044","1,424,377",30.9,31.35,30.8,30.95,+0.05,34
2013/03/14,"46,016","1,420,036",30.95,31.0,30.75,30.75,-0.20,28
2013/03/15,"49,016","1,497,741",30.75,30.75,30.4,30.4,-0.35,34
2013/03/18,"71,008","2,138,988",30.35,30.35,30.0,30.1,-0.30,38
2013/03/19,"98,008","2,946,342",30.1,30.2,30.0,30.0,-0.10,40
2013/03/20,"5,000","150,000",30.0,30.0,30.0,30.0,0.00,5
2013/03/21,"17,000","514,650",30.2,30.75,30.1,30.75,+0.75,17
2013/03/22,"169,435","5,483,274",30.75,32.9,30.75,32.25,+1.50,117
2013/03/25,"87,000","2,774,200",32.5,32.55,31.3,31.5,-0.75,64
2013/03/26,"60,000","1,893,450",31.55,31.9,31.35,31.35,-0.15,41
2013/03/27,"26,055","821,182",31.4,31.7,31.3,31.5,+0.15,25
2013/03/28,"8,100","256,300",31.9,31.9,31.5,31.7,+0.20,10
2013/03/29,"23,000","727,400",31.6,31.8,31.55,31.7,0.00,16
2013/04/01,"22,220","710,121",31.7,32.2,31.7,32.0,+0.30,24
2013/04/02,"25,000","799,000",32.0,32.0,31.9,32.0,0.00,18
2013/04/03,"114,220","3,680,184",32.0,32.5,32.0,32.5,+0.50,43
2013/04/08,"167,065","5,486,460",32.5,33.5,32.0,33.5,+1.00,109
