日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2018/12/24,"1,152,000","71,829,200",58.10,68.00,58.10,64.60,X0.00,998
2018/12/25,"460,000","27,424,600",58.00,63.60,56.00,61.00,-3.60,357
2018/12/26,"294,000","16,288,000",60.20,60.20,52.50,55.00,-6.00,241
2018/12/27,"233,000","12,005,250",54.60,55.00,47.10,51.00,-4.00,195
2018/12/28,"256,000","12,920,150",50.20,52.50,47.25,52.40,+1.40,195
2019/01/02,"125,000","6,462,400",51.80,52.50,51.00,52.50,+0.10,75
2019/01/03,"49,000","2,526,500",52.00,52.00,51.10,51.50,-1.00,30
2019/01/04,"120,000","6,242,000",52.00,52.90,52.00,52.00,+0.50,67
2019/01/07,"61,000","3,189,500",52.40,53.00,52.00,52.10,+0.10,38
2019/01/08,"69,000","3,592,100",52.10,52.30,52.00,52.30,+0.20,33
2019/01/09,"55,000","2,876,800",52.30,52.40,52.00,52.40,+0.10,33
2019/01/10,"37,000","1,937,000",52.40,52.50,52.20,52.50,+0.10,24
2019/01/11,"41,000","2,152,900",52.40,53.00,52.30,53.00,+0.50,27
2019/01/14,"25,000","1,312,600",52.50,53.40,51.80,52.00,-1.00,13
2019/01/15,"43,000","2,172,200",50.60,51.90,50.40,50.50,-1.50,24
2019/01/16,"20,000","975,800",50.10,50.10,48.60,48.60,-1.90,17
2019/01/17,"19,000","909,550",47.70,48.00,47.70,47.70,-0.90,17
2019/01/18,"9,000","422,900",47.00,47.70,46.60,46.60,-1.10,9
2019/01/21,"6,000","280,700",47.30,47.30,46.60,46.80,+0.20,6
2019/01/22,"25,000","1,188,900",46.80,47.80,46.80,47.70,+0.90,18
2019/01/23,"20,000","962,300",48.30,48.30,47.20,48.10,+0.40,14
2019/01/24,"21,000","1,016,150",48.30,48.40,48.30,48.40,+0.30,16
2019/01/25,"15,000","730,000",48.80,48.80,48.30,48.70,+0.30,12
2019/01/28,"18,000","875,750",48.80,48.80,48.50,48.50,-0.20,14
2019/01/29,"15,000","724,900",48.10,48.50,48.10,48.30,-0.20,10
2019/01/30,"31,000","1,501,050",48.30,48.60,48.10,48.30,0.00,21
2019/02/11,"26,000","1,257,550",48.45,48.50,48.00,48.20,-0.10,11
2019/02/12,"21,010","1,015,529",48.20,48.40,48.20,48.40,+0.20,11
2019/02/13,"29,000","1,398,100",48.40,48.40,48.00,48.25,-0.15,15
2019/02/14,"36,000","1,729,850",48.20,48.20,47.50,48.00,-0.25,15
2019/02/15,"18,000","849,700",48.00,48.00,46.80,47.00,-1.00,18
2019/02/18,"21,010","990,066",47.35,47.35,47.00,47.05,+0.05,14
2019/02/19,"15,000","701,700",47.00,47.00,46.60,46.80,-0.25,13
2019/02/20,"25,000","1,172,700",46.80,47.10,46.60,47.00,+0.20,22
2019/02/21,"12,000","563,200",47.00,47.00,46.80,46.80,-0.20,12
2019/02/22,"22,000","1,027,700",46.00,46.90,46.00,46.80,0.00,19
2019/02/25,"33,000","1,534,450",46.60,46.85,46.00,46.80,0.00,23
2019/02/26,"10,000","467,500",46.80,46.80,46.30,46.80,0.00,10
2019/02/27,"17,000","793,500",47.50,47.50,45.85,46.80,0.00,14
2019/03/04,"12,050","566,515",46.80,47.25,46.80,47.25,+0.45,13
2019/03/05,"10,000","473,650",47.25,47.50,47.25,47.50,+0.25,9
2019/03/06,"14,000","666,300",47.60,47.65,47.55,47.55,+0.05,14
2019/03/07,"10,000","476,100",47.70,47.70,47.55,47.60,+0.05,10
2019/03/08,"5,000","237,400",47.55,47.55,47.45,47.45,-0.15,5
2019/03/11,"24,000","1,147,500",47.50,48.10,47.50,48.10,+0.65,20
2019/03/12,"7,000","337,500",48.20,48.30,48.10,48.30,+0.20,7
2019/03/13,"16,000","774,750",48.35,48.50,48.30,48.50,+0.20,16
2019/03/14,"8,000","387,100",48.30,48.50,48.30,48.40,-0.10,8
2019/03/15,"25,000","1,211,300",48.45,48.50,48.30,48.35,-0.05,24
2019/03/18,"8,048","392,224",49.00,49.50,48.50,48.50,+0.15,9
2019/03/19,"6,000","292,200",48.70,48.70,48.70,48.70,+0.20,6
2019/03/20,"13,978","677,687",48.70,48.80,48.30,48.80,+0.10,14
2019/03/21,"17,000","831,200",49.35,49.35,48.50,49.00,+0.20,13
2019/03/22,"15,000","733,950",48.90,49.00,48.80,49.00,0.00,11
2019/03/25,"8,978","446,946",49.00,50.00,49.00,49.60,+0.60,923
2019/03/26,"62,399","3,217,666",50.00,52.50,49.80,52.00,+2.40,"1,256"
2019/03/27,"68,137","3,619,035",52.80,54.10,52.00,54.10,+2.10,"2,279"
2019/03/28,"31,432","1,667,066",53.90,53.90,52.50,52.60,-1.50,"1,059"
2019/03/29,"10,150","527,867",53.00,53.00,51.50,52.40,-0.20,749
2019/04/01,"13,709","718,245",52.40,52.60,51.60,52.50,+0.10,540
2019/04/02,"27,372","1,428,834",52.50,52.50,51.80,52.50,0.00,366
2019/04/03,"10,364","546,416",52.50,53.00,52.50,52.50,0.00,283
2019/04/08,"14,687","790,812",54.00,54.00,53.40,53.90,+1.40,577
2019/04/09,"6,521","350,497",53.80,53.80,52.90,52.90,-1.00,378
2019/04/10,"45,302","2,376,673",53.00,53.00,52.00,52.70,-0.20,267
2019/04/11,"8,587","452,298",52.30,53.00,52.30,53.00,+0.30,309
2019/04/12,"15,635","840,425",53.10,54.10,53.10,54.00,+1.00,200
2019/04/15,"12,486","685,074",55.00,55.00,54.30,54.80,+0.80,297
2019/04/16,"17,219","946,045",54.80,55.00,54.40,54.90,+0.10,210
2019/04/17,"17,040","934,780",54.90,55.00,54.60,55.00,+0.10,49
2019/04/18,"7,018","384,080",55.00,55.00,54.50,54.50,-0.50,25
2019/04/19,"15,019","803,726",54.00,54.20,52.10,53.00,-1.50,34
2019/04/22,"7,004","371,732",53.00,53.30,52.90,53.00,0.00,11
2019/04/23,"11,005","582,766",53.00,53.00,52.90,52.90,-0.10,15
2019/04/24,"7,002","367,706",52.70,52.70,52.00,52.70,-0.20,8
2019/04/25,"3,002","157,814",53.00,53.00,52.10,52.10,-0.60,5
2019/04/26,"20,002","1,033,112",52.10,52.20,51.00,51.90,-0.20,22
2019/04/29,"19,004","976,612",51.50,51.90,51.00,51.90,0.00,20
2019/04/30,"14,009","734,304",52.10,52.80,52.10,52.80,+0.90,22
2019/05/02,"16,002","846,614",53.00,53.20,52.50,53.20,+0.40,15
2019/05/03,"15,003","793,462",53.20,53.30,52.40,53.00,-0.20,18
2019/05/06,"8,002","419,406",52.00,52.70,52.00,52.40,-0.60,10
2019/05/07,"11,000","575,300",52.40,52.50,52.10,52.50,+0.10,11
2019/05/08,"6,000","313,900",52.30,52.50,52.00,52.40,-0.10,6
2019/05/09,"5,000","262,500",52.40,52.60,52.40,52.60,+0.20,5
2019/05/10,"9,003","472,071",52.30,52.80,52.30,52.80,+0.20,12
2019/05/13,"6,001","314,853",52.50,52.50,52.30,52.50,-0.30,4
2019/05/14,"10,010","524,973",52.00,52.60,52.00,52.50,0.00,16
2019/05/15,"5,003","263,059",52.50,52.70,52.50,52.70,+0.20,7
2019/05/16,"13,007","682,964",52.40,52.80,52.40,52.80,+0.10,12
2019/05/17,"4,000","213,500",53.70,53.70,52.40,52.40,-0.40,4
2019/05/20,"10,013","529,395",52.80,53.00,52.40,53.00,+0.60,13
2019/05/21,"7,001","371,555",52.50,53.40,52.50,53.40,+0.40,8
2019/05/22,"13,000","693,100",53.50,53.50,53.00,53.50,+0.10,11
2019/05/23,"3,006","161,748",53.80,53.80,53.80,53.80,+0.30,9
2019/05/24,"7,008","374,124",53.00,53.70,53.00,53.70,-0.10,15
2019/05/27,"7,013","373,698",53.00,53.60,53.00,53.60,-0.10,9
2019/05/28,"17,010","910,134",53.50,53.80,53.30,53.60,0.00,16
2019/05/29,"4,002","214,506",53.60,53.80,53.40,53.60,0.00,6
2019/05/30,"4,001","214,758",53.60,53.70,53.60,53.70,+0.10,5
2019/05/31,"12,002","642,008",53.30,53.90,53.30,53.80,+0.10,12
2019/06/03,"5,017","266,718",53.50,53.50,52.70,53.30,-0.50,12
2019/06/04,"4,000","213,400",53.30,53.40,53.30,53.40,+0.10,3
2019/06/05,"16,002","856,616",53.60,53.70,53.40,53.60,+0.20,13
2019/06/06,"7,000","376,900",53.90,53.90,53.70,53.90,+0.30,7
2019/06/10,"6,004","322,932",53.50,54.10,53.50,54.10,+0.20,9
2019/06/11,"11,011","590,697",53.50,54.10,53.50,54.10,0.00,8
2019/06/12,"23,004","1,235,516",53.60,54.60,53.60,54.40,+0.30,11
2019/06/13,"8,002","430,410",53.60,54.40,53.60,54.40,0.00,6
2019/06/14,"8,000","430,800",54.20,54.30,53.60,54.30,-0.10,4
2019/06/17,"4,002","218,018",54.60,54.60,54.30,54.50,+0.20,5
2019/06/18,"6,002","326,008",54.20,54.60,54.20,54.60,+0.10,7
