日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"69,607,420","825,271,540",11.65,12.0,11.6,12.0,+0.75,"8,457"
2010/01/05,"26,311,764","310,099,390",12.2,12.2,11.55,11.65,-0.35,"4,378"
2010/01/06,"37,741,668","446,142,330",11.65,12.05,11.5,11.75,+0.10,"4,830"
2010/01/07,"104,471,956","1,295,166,917",11.8,12.55,11.8,12.2,+0.45,"11,270"
2010/01/08,"37,933,532","464,501,584",12.4,12.45,12.05,12.1,-0.10,"5,819"
2010/01/11,"45,487,335","538,799,943",12.05,12.25,11.6,11.65,-0.45,"7,531"
2010/01/12,"39,236,621","456,870,541",11.65,11.8,11.45,11.8,+0.15,"5,055"
2010/01/13,"19,081,027","218,689,591",11.7,11.7,11.3,11.35,-0.45,"3,515"
2010/01/14,"23,730,101","274,685,548",11.45,11.75,11.4,11.5,+0.15,"3,290"
2010/01/15,"78,211,741","945,370,486",11.6,12.3,11.55,12.05,+0.55,"10,179"
2010/01/18,"25,363,836","304,554,432",11.9,12.2,11.8,12.0,-0.05,"4,311"
2010/01/19,"25,923,614","311,637,048",12.1,12.15,11.9,11.9,-0.10,"4,177"
2010/01/20,"15,539,636","181,791,668",12.0,12.05,11.55,11.55,-0.35,"3,113"
2010/01/21,"21,034,868","238,162,320",11.55,11.6,11.05,11.15,-0.40,"3,774"
2010/01/22,"20,031,409","219,262,910",10.9,11.15,10.75,11.05,-0.10,"3,092"
2010/01/25,"11,366,370","126,321,670",10.9,11.3,10.85,11.0,-0.05,"2,122"
2010/01/26,"18,245,690","192,172,467",11.1,11.15,10.25,10.25,-0.75,"3,308"
2010/01/27,"10,486,074","107,391,937",10.25,10.4,10.1,10.1,-0.15,"1,961"
2010/01/28,"10,002,623","104,121,496",10.15,10.6,10.15,10.6,+0.50,"1,745"
2010/01/29,"7,297,228","75,103,565",10.3,10.45,10.1,10.4,-0.20,"1,331"
2010/02/01,"6,050,860","61,638,934",10.4,10.45,10.05,10.05,-0.35,"1,071"
2010/02/02,"11,727,137","119,161,095",10.25,10.4,9.9,9.98,-0.07,"1,906"
2010/02/03,"7,454,524","75,147,824",10.2,10.2,9.98,10.15,+0.17,"1,229"
2010/02/04,"8,510,103","87,336,002",10.15,10.35,10.05,10.3,+0.15,"1,479"
2010/02/05,"16,395,679","161,336,636",10.0,10.05,9.61,9.65,-0.65,"2,356"
2010/02/06,"10,889,087","105,621,660",9.7,9.9,9.33,9.79,+0.14,"1,658"
2010/02/08,"11,323,153","113,306,700",9.8,10.2,9.77,10.1,+0.31,"1,942"
2010/02/09,"10,050,379","102,801,615",10.1,10.4,9.98,10.35,+0.25,"1,624"
2010/02/10,"10,168,882","105,834,828",10.4,10.6,10.25,10.35,0.00,"1,733"
