日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"284,855","1,576,032",5.70,5.70,5.42,5.50,+0.08,108
2010/01/05,"492,670","2,716,805",5.55,5.56,5.48,5.51,+0.01,130
2010/01/06,"430,582","2,393,645",5.51,5.61,5.50,5.54,+0.03,119
2010/01/07,"916,443","5,151,839",5.70,5.72,5.53,5.53,-0.01,182
2010/01/08,"415,996","2,324,924",5.53,5.62,5.53,5.56,+0.03,103
2010/01/11,"1,228,011","7,148,718",5.68,5.94,5.60,5.94,+0.38,295
2010/01/12,"2,938,073","18,332,472",5.95,6.35,5.95,6.35,+0.41,702
2010/01/13,"1,229,359","7,559,624",6.28,6.30,6.01,6.30,-0.05,314
2010/01/14,"847,904","5,199,601",6.20,6.28,6.11,6.11,-0.19,211
2010/01/15,"502,583","3,070,178",6.11,6.18,6.06,6.06,-0.05,139
2010/01/18,"1,337,042","8,395,534",6.06,6.47,6.01,6.35,+0.29,345
2010/01/19,"1,215,769","7,543,113",6.44,6.44,6.08,6.30,-0.05,317
2010/01/20,"444,899","2,740,972",6.24,6.24,6.10,6.11,-0.19,135
2010/01/21,"696,715","4,100,345",5.70,6.10,5.70,5.95,-0.16,157
2010/01/22,"551,661","3,117,266",5.56,5.87,5.56,5.76,-0.19,120
2010/01/25,"659,735","3,716,850",5.60,5.75,5.57,5.61,-0.15,126
2010/01/26,"621,738","3,438,897",5.61,5.63,5.30,5.47,-0.14,138
2010/01/27,"733,230","4,006,174",5.50,5.61,5.39,5.47,0.00,128
2010/01/28,"645,656","3,575,208",5.46,5.60,5.46,5.53,+0.06,84
2010/01/29,"646,072","3,505,741",5.50,5.52,5.31,5.42,-0.11,73
2010/02/01,"262,800","1,444,965",5.50,5.56,5.42,5.45,+0.03,56
2010/02/02,"387,481","2,146,783",5.50,5.60,5.50,5.50,+0.05,67
2010/02/03,"237,550","1,309,452",5.51,5.58,5.45,5.58,+0.08,62
2010/02/04,"151,600","837,298",5.70,5.70,5.50,5.51,-0.07,39
2010/02/05,"469,000","2,503,180",5.40,5.45,5.20,5.30,-0.21,96
