日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"2,628,232","16,154,163",6.1,6.2,6.09,6.11,+0.05,474
2010/01/05,"2,551,704","15,527,244",6.15,6.2,6.02,6.02,-0.09,457
2010/01/06,"3,428,194","20,789,864",6.03,6.18,5.96,6.05,+0.03,596
2010/01/07,"2,435,876","14,751,875",6.15,6.15,5.98,6.01,-0.04,476
2010/01/08,"2,364,091","14,460,231",6.05,6.17,6.01,6.15,+0.14,481
2010/01/11,"4,498,195","28,534,033",6.2,6.52,6.2,6.34,+0.19,791
2010/01/12,"2,543,294","16,053,839",6.5,6.5,6.18,6.21,-0.13,551
2010/01/13,"1,463,626","9,021,210",6.2,6.23,6.11,6.12,-0.09,339
2010/01/14,"1,446,137","8,807,252",6.05,6.15,6.05,6.09,-0.03,335
2010/01/15,"1,779,110","10,865,110",6.1,6.15,6.06,6.08,-0.01,355
2010/01/18,"1,657,624","10,228,545",6.08,6.24,6.08,6.16,+0.08,364
2010/01/19,"1,886,636","11,629,914",6.2,6.22,6.13,6.16,0.00,338
2010/01/20,"1,566,147","9,614,612",6.23,6.23,6.09,6.11,-0.05,270
2010/01/21,"1,700,192","10,142,478",6.05,6.1,5.73,5.81,-0.30,420
2010/01/22,"1,424,174","7,969,380",5.55,5.72,5.51,5.6,-0.21,303
2010/01/25,"954,136","5,418,758",5.52,5.78,5.52,5.64,+0.04,219
2010/01/26,"1,012,662","5,622,976",5.8,5.8,5.3,5.31,-0.33,283
2010/01/27,"626,823","3,309,809",5.2,5.36,5.2,5.2,-0.11,174
2010/01/28,"714,693","3,794,384",5.28,5.38,5.26,5.29,+0.09,161
2010/01/29,"929,002","4,737,320",5.26,5.26,5.0,5.15,-0.14,194
2010/02/01,"723,878","3,724,317",5.2,5.2,5.07,5.08,-0.07,124
2010/02/02,"936,130","4,724,809",5.2,5.2,4.85,4.85,-0.23,229
2010/02/03,"894,634","4,464,811",5.07,5.07,4.92,4.95,+0.10,200
2010/02/04,"429,395","2,124,417",5.0,5.0,4.9,4.92,-0.03,138
