日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"1,946,234","26,938,352",13.65,14.00,13.55,13.80,+0.30,485
2010/01/05,"1,170,773","16,065,783",13.90,14.00,13.50,13.55,-0.25,314
2010/01/06,"893,863","12,203,083",13.55,13.95,13.55,13.70,+0.15,277
2010/01/07,"1,093,383","14,811,340",13.70,13.80,13.35,13.40,-0.30,302
2010/01/08,"779,361","10,402,114",13.40,13.55,13.20,13.35,-0.05,244
2010/01/11,"4,446,563","62,859,813",14.00,14.25,13.60,14.25,+0.90,961
2010/01/12,"2,531,820","35,798,012",14.50,14.50,13.85,13.85,-0.40,626
2010/01/13,"1,026,500","14,130,273",13.85,14.00,13.70,13.70,-0.15,305
2010/01/14,"1,433,151","19,518,200",13.70,13.80,13.50,13.70,0.00,350
2010/01/15,"978,670","13,383,459",13.70,13.80,13.55,13.70,0.00,253
2010/01/18,"872,960","11,894,056",13.50,13.70,13.50,13.60,-0.10,238
2010/01/19,"3,223,005","46,022,268",13.60,14.55,13.60,14.50,+0.90,744
2010/01/20,"6,637,418","99,025,119",14.80,15.35,14.10,15.00,+0.50,"1,393"
2010/01/21,"5,226,859","74,091,360",14.70,14.85,13.95,14.20,-0.80,992
2010/01/22,"1,793,000","24,620,950",13.60,14.00,13.60,14.00,-0.20,444
2010/01/25,"1,512,306","20,992,090",13.80,14.15,13.65,13.75,-0.25,428
2010/01/26,"3,412,007","44,373,688",13.80,13.90,12.80,12.80,-0.95,702
2010/01/27,"2,477,309","29,904,092",12.80,12.80,11.95,11.95,-0.85,557
2010/01/28,"1,876,005","22,802,410",11.50,12.60,11.50,12.20,+0.25,368
2010/01/29,"793,812","9,535,844",12.00,12.25,11.80,12.00,-0.20,198
2010/02/01,"2,098,408","26,460,172",12.00,12.80,11.95,12.80,+0.80,312
2010/02/02,"8,535,950","116,155,022",13.65,13.65,13.15,13.65,+0.85,"1,368"
2010/02/03,"3,296,170","45,359,576",14.00,14.00,13.50,13.55,-0.10,799
2010/02/04,"1,572,000","20,875,999",13.65,13.65,13.10,13.30,-0.25,396
2010/02/05,"2,494,012","31,566,950",12.80,13.10,12.40,12.45,-0.85,516
2010/02/06,"1,646,211","20,415,419",12.50,13.00,11.70,12.90,+0.45,423
2010/02/08,"2,415,472","31,852,523",12.90,13.50,12.70,13.50,+0.60,545
2010/02/09,"4,341,787","60,229,824",13.50,14.20,13.20,14.05,+0.55,736
2010/02/10,"1,914,741","26,802,624",14.40,14.40,13.85,13.85,-0.20,510
2010/02/22,"3,996,896","56,604,022",14.30,14.35,13.85,14.30,+0.45,823
2010/02/23,"1,963,079","27,199,059",14.20,14.20,13.70,13.75,-0.55,518
2010/02/24,"887,510","12,149,382",13.50,13.90,13.40,13.65,-0.10,306
2010/02/25,"958,500","13,154,347",13.85,13.90,13.60,13.70,+0.05,312
2010/02/26,"1,952,532","26,458,451",13.70,13.95,13.25,13.50,-0.20,527
2010/03/01,"1,381,600","18,814,559",13.65,13.80,13.50,13.60,+0.10,308
2010/03/02,"898,070","12,203,239",13.75,13.75,13.45,13.45,-0.15,259
2010/03/03,"3,720,998","51,911,720",13.55,14.25,13.45,13.90,+0.45,807
2010/03/04,"1,744,307","23,805,724",13.90,14.00,13.40,13.50,-0.40,491
2010/03/05,"1,567,444","21,378,820",13.55,13.90,13.55,13.55,+0.05,355
2010/03/08,"1,383,169","18,706,114",13.55,13.75,13.35,13.45,-0.10,388
2010/03/09,"881,605","11,950,366",13.50,13.65,13.45,13.60,+0.15,248
2010/03/10,"768,427","10,450,534",13.70,13.70,13.50,13.60,0.00,204
2010/03/11,"777,892","10,591,299",13.70,13.75,13.40,13.40,-0.20,230
2010/03/12,"858,901","11,453,976",13.50,13.60,13.20,13.35,-0.05,263
2010/03/15,"533,817","7,086,541",13.40,13.50,13.05,13.05,-0.30,161
2010/03/16,"570,193","7,501,535",13.10,13.25,13.05,13.15,+0.10,166
2010/03/17,"585,384","7,803,437",13.20,13.45,13.20,13.30,+0.15,195
2010/03/18,"679,097","9,228,557",13.75,13.75,13.50,13.60,+0.30,237
2010/03/19,"468,240","6,267,951",13.60,13.60,13.25,13.35,-0.25,166
2010/03/22,"1,095,741","14,889,111",13.35,13.80,13.25,13.70,+0.35,275
2010/03/23,"561,111","7,546,373",13.70,13.70,13.35,13.35,-0.35,161
2010/03/24,"5,154,300","65,374,850",13.00,13.20,12.45,12.50,-0.85,"1,146"
2010/03/25,"1,156,038","14,250,318",12.40,12.50,12.15,12.40,-0.10,340
2010/03/26,"646,088","8,048,635",12.45,12.55,12.30,12.40,0.00,189
2010/03/29,"930,200","11,666,077",12.40,12.75,12.40,12.50,+0.10,224
2010/03/30,"709,843","8,990,527",12.80,12.80,12.60,12.60,+0.10,211
2010/03/31,"1,420,870","19,110,698",13.45,13.45,13.45,13.45,+0.85,393
2010/04/01,"2,902,453","41,650,189",14.35,14.35,14.35,14.35,+0.90,728
2010/04/02,"8,516,392","124,149,563",15.30,15.30,13.70,13.85,-0.50,"2,023"
2010/04/06,"2,388,471","32,925,455",14.00,14.15,13.50,13.60,-0.25,616
2010/04/07,"1,357,592","18,745,268",13.60,14.05,13.55,13.85,+0.25,379
2010/04/08,"1,061,090","14,595,972",14.00,14.00,13.60,13.75,-0.10,328
2010/04/09,"985,682","13,695,544",13.85,14.10,13.60,13.90,+0.15,316
2010/04/12,"2,409,936","34,013,104",14.05,14.30,13.95,14.10,+0.20,608
2010/04/13,"2,363,372","33,336,511",14.25,14.35,13.75,13.80,-0.30,596
2010/04/14,"986,050","13,659,436",13.90,14.00,13.75,13.85,+0.05,266
2010/04/15,"1,289,951","18,095,617",14.00,14.20,13.90,13.95,+0.10,347
2010/04/16,"1,609,108","22,853,262",14.05,14.40,14.05,14.10,+0.15,465
2010/04/19,"1,434,500","19,604,973",13.90,14.05,13.20,13.25,-0.85,411
2010/04/20,"896,657","12,111,451",13.60,13.70,13.10,13.50,+0.25,290
2010/04/21,"915,517","12,635,681",13.80,13.90,13.65,13.75,+0.25,208
2010/04/22,"674,189","9,328,405",13.75,14.00,13.60,13.90,+0.15,219
2010/04/23,"495,384","6,884,148",13.90,14.00,13.80,13.90,0.00,140
2010/04/26,"1,967,708","27,649,488",14.05,14.15,13.95,14.00,+0.10,429
2010/04/27,"1,685,205","23,875,039",14.05,14.30,14.00,14.15,+0.15,404
2010/04/28,"2,050,126","28,852,630",13.80,14.25,13.50,14.20,+0.05,426
2010/04/29,"1,951,912","27,061,333",14.20,14.20,13.70,13.80,-0.40,479
2010/04/30,"1,232,207","16,873,114",14.00,14.00,13.50,13.60,-0.20,337
2010/05/03,"1,313,272","17,391,959",13.30,13.55,13.05,13.15,-0.45,360
2010/05/04,"980,285","12,878,774",13.45,13.45,12.90,13.05,-0.10,299
2010/05/05,"1,461,408","18,080,497",12.20,12.80,12.20,12.25,-0.80,380
2010/05/06,"863,087","10,475,636",12.25,12.45,11.90,12.00,-0.25,221
2010/05/07,"1,198,756","13,698,845",11.20,11.90,11.20,11.80,-0.20,331
2010/05/10,"1,188,022","14,806,777",12.15,12.60,12.10,12.60,+0.80,332
2010/05/11,"1,440,019","18,518,085",12.80,13.10,12.60,12.60,0.00,367
2010/05/12,"506,286","6,386,565",12.60,12.90,12.50,12.65,+0.05,148
2010/05/13,"634,511","8,060,536",12.70,12.85,12.60,12.60,-0.05,175
2010/05/14,"1,869,454","24,055,746",12.40,13.15,12.40,12.65,+0.05,372
2010/05/17,"773,655","9,462,110",12.50,12.50,12.10,12.10,-0.55,249
2010/05/18,"492,050","5,952,100",12.20,12.30,11.90,12.00,-0.10,147
2010/05/19,"967,001","11,612,062",11.90,12.40,11.55,12.15,+0.15,260
2010/05/20,"694,134","8,240,747",12.30,12.35,11.60,11.60,-0.55,211
2010/05/21,"1,009,112","11,146,704",10.80,11.30,10.80,11.15,-0.45,255
2010/05/24,"435,382","4,962,978",11.20,11.60,11.20,11.30,+0.15,131
2010/05/25,"976,090","10,481,655",11.20,11.20,10.55,10.55,-0.75,246
2010/05/26,"879,300","9,083,279",10.65,10.80,10.10,10.65,+0.10,194
2010/05/27,"412,200","4,416,130",10.50,10.90,10.50,10.80,+0.15,127
2010/05/28,"589,000","6,413,450",11.00,11.15,10.70,10.70,-0.10,158
2010/05/31,"304,041","3,265,639",10.70,10.85,10.65,10.65,-0.05,100
2010/06/01,"242,071","2,578,255",10.65,10.80,10.55,10.55,-0.10,83
2010/06/02,"933,182","10,170,797",10.55,11.10,10.55,10.80,+0.25,205
2010/06/03,"500,619","5,472,384",11.00,11.05,10.85,10.85,+0.05,153
2010/06/04,"239,020","2,610,065",10.95,11.00,10.85,10.85,0.00,90
2010/06/07,"474,218","4,905,373",10.50,10.50,10.15,10.30,-0.55,141
2010/06/08,"300,000","3,174,150",10.30,10.80,10.30,10.80,+0.50,99
2010/06/09,"1,666,108","18,160,544",10.80,11.20,10.55,10.70,-0.10,356
2010/06/10,"853,226","8,922,873",10.75,10.85,10.30,10.40,-0.30,244
2010/06/11,"1,176,521","12,198,815",10.50,10.70,10.15,10.35,-0.05,298
2010/06/14,"729,529","7,521,347",10.45,10.45,10.20,10.35,0.00,183
2010/06/15,"341,019","3,520,096",10.40,10.40,10.20,10.40,+0.05,109
2010/06/17,"1,526,001","16,159,459",10.40,10.70,10.30,10.40,0.00,331
2010/06/18,"367,128","3,842,830",10.40,10.55,10.40,10.45,+0.05,99
2010/06/21,"534,156","5,605,669",10.50,10.60,10.40,10.45,0.00,135
2010/06/22,"374,870","3,950,385",10.50,10.60,10.50,10.60,+0.15,94
2010/06/23,"3,429,208","38,057,926",10.75,11.30,10.60,11.30,+0.70,631
2010/06/24,"1,911,997","21,490,117",11.40,11.50,11.05,11.05,-0.25,509
2010/06/25,"692,372","7,474,067",10.95,11.00,10.65,10.70,-0.35,201
2010/06/28,"287,200","3,096,170",10.75,10.95,10.65,10.65,-0.05,93
2010/06/29,"727,663","7,591,444",10.70,10.80,10.25,10.30,-0.35,194
2010/06/30,"732,013","7,363,911",10.00,10.15,9.98,10.10,-0.20,179
2010/07/01,"362,500","3,641,950",10.10,10.20,10.00,10.00,-0.10,115
2010/07/02,"981,672","10,219,052",10.10,10.70,10.10,10.25,+0.25,236
2010/07/05,"302,500","3,082,550",10.40,10.40,10.10,10.25,0.00,99
2010/07/06,"276,000","2,818,600",10.25,10.35,10.15,10.20,-0.05,110
2010/07/07,"365,158","3,756,111",10.30,10.35,10.25,10.30,+0.10,111
2010/07/08,"458,133","4,754,576",10.40,10.50,10.30,10.40,+0.10,155
2010/07/09,"409,147","4,205,291",10.40,10.40,10.20,10.20,-0.20,138
2010/07/12,"594,559","6,008,516",10.30,10.30,10.05,10.05,-0.15,183
2010/07/13,"502,559","5,031,929",10.05,10.15,9.92,9.98,-0.07,145
2010/07/14,"3,792,526","39,701,378",10.00,10.65,9.95,10.65,+0.67,688
2010/07/15,"3,263,462","34,675,180",10.65,10.75,10.30,10.35,-0.30,542
2010/07/16,"718,627","7,350,429",10.35,10.40,10.15,10.15,-0.20,238
2010/07/19,"590,590","6,098,155",10.15,10.50,10.10,10.35,+0.20,183
2010/07/20,"453,340","4,681,566",10.40,10.50,10.20,10.25,-0.10,133
2010/07/21,"575,090","5,862,363",10.30,10.35,10.10,10.15,-0.10,144
2010/07/22,"410,508","4,176,305",10.15,10.25,10.10,10.20,+0.05,108
2010/07/23,"517,556","5,361,047",10.30,10.45,10.25,10.30,+0.10,170
2010/07/26,"1,395,445","14,888,966",10.55,10.85,10.50,10.65,+0.35,416
2010/07/27,"606,211","6,385,593",10.85,10.85,10.40,10.40,-0.25,199
2010/07/28,"557,775","5,780,007",10.25,10.50,10.25,10.35,-0.05,145
2010/07/29,"3,977,380","43,394,707",10.45,11.05,10.45,10.95,+0.60,821
2010/07/30,"6,173,375","67,831,299",10.95,11.25,10.60,10.75,-0.20,734
2010/08/02,"1,385,747","15,196,377",10.75,11.15,10.75,11.00,+0.25,369
2010/08/03,"921,795","10,043,574",11.15,11.15,10.75,10.85,-0.15,246
2010/08/04,"1,149,053","12,458,771",10.90,11.05,10.70,10.80,-0.05,316
2010/08/05,"1,513,995","16,666,044",10.95,11.20,10.70,10.75,-0.05,405
2010/08/06,"3,990,943","45,057,149",10.80,11.50,10.80,11.45,+0.70,838
2010/08/09,"3,703,645","43,459,416",11.40,12.20,11.40,11.55,+0.10,883
2010/08/10,"1,288,011","14,719,723",11.70,11.70,11.20,11.25,-0.30,350
2010/08/11,"820,578","9,218,665",11.30,11.50,11.10,11.15,-0.10,259
2010/08/12,"1,106,922","12,030,410",11.00,11.05,10.80,10.80,-0.35,301
2010/08/13,"841,023","9,190,446",10.85,11.05,10.85,10.85,+0.05,209
2010/08/16,"1,003,564","11,031,925",10.95,11.10,10.90,11.00,+0.15,233
2010/08/17,"3,604,752","42,135,133",11.10,11.75,11.10,11.75,+0.75,700
2010/08/18,"2,705,557","33,954,737",12.55,12.55,12.55,12.55,+0.80,538
2010/08/19,"5,339,713","65,733,790",12.95,12.95,11.70,11.70,-0.85,"1,237"
2010/08/20,"2,442,041","28,625,433",11.50,12.05,11.30,11.90,+0.20,625
2010/08/23,"6,029,365","75,612,885",12.70,12.70,12.25,12.40,+0.50,"1,268"
2010/08/24,"1,959,000","23,827,800",12.40,12.40,12.00,12.05,-0.35,513
2010/08/25,"1,428,156","16,540,659",11.90,11.95,11.25,11.40,-0.65,442
2010/08/26,"1,609,013","17,842,843",11.40,11.65,10.80,11.00,-0.40,452
2010/08/27,"963,331","10,438,973",10.70,11.00,10.70,10.90,-0.10,272
2010/08/30,"1,907,011","20,379,013",11.00,11.00,10.30,10.30,-0.60,442
2010/08/31,"1,463,159","14,658,625",10.10,10.30,9.85,9.85,-0.45,410
2010/09/01,"1,808,170","16,903,610",9.17,9.84,9.17,9.45,-0.40,454
2010/09/02,"1,117,500","10,656,105",9.60,9.75,9.46,9.60,+0.15,307
2010/09/03,"597,881","5,816,473",9.69,9.78,9.63,9.76,+0.16,196
2010/09/06,"567,106","5,523,045",9.78,9.88,9.66,9.68,-0.08,192
2010/09/07,"730,500","7,013,259",9.51,9.68,9.51,9.58,-0.10,205
2010/09/08,"1,365,014","13,613,668",9.65,10.15,9.65,9.91,+0.33,379
2010/09/09,"578,892","5,729,230",10.20,10.20,9.70,9.84,-0.07,188
2010/09/10,"410,730","4,024,359",9.87,9.90,9.73,9.74,-0.10,121
