日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"14,823,837","535,977,144",34.30,36.50,34.30,36.50,+2.35,"3,423"
2010/01/05,"24,677,693","925,561,663",37.00,38.20,36.50,37.50,+1.00,"6,126"
2010/01/06,"16,333,304","626,601,882",38.05,38.90,37.60,38.00,+0.50,"4,384"
2010/01/07,"9,048,596","345,715,502",38.00,38.90,37.00,37.30,-0.70,"2,686"
2010/01/08,"8,360,696","315,674,027",37.30,38.60,36.60,37.75,+0.45,"2,476"
2010/01/11,"10,917,373","423,950,662",38.75,39.50,38.00,38.05,+0.30,"3,234"
2010/01/12,"5,556,618","208,106,722",38.20,38.50,36.75,37.50,-0.55,"1,796"
2010/01/13,"2,513,545","92,748,254",37.10,37.35,36.60,36.80,-0.70,894
2010/01/14,"2,187,588","80,728,785",36.90,37.35,36.50,36.80,0.00,853
2010/01/15,"6,415,234","243,772,642",38.00,38.50,37.40,38.00,+1.20,"2,121"
2010/01/18,"4,421,939","168,445,213",38.00,38.45,37.50,38.40,+0.40,"1,552"
2010/01/19,"13,396,716","524,219,657",38.60,39.85,38.05,38.05,-0.35,"3,836"
2010/01/20,"5,605,140","208,646,180",38.20,38.50,36.70,36.90,-1.15,"1,731"
2010/01/21,"2,749,307","101,249,803",36.65,37.35,36.50,36.50,-0.40,975
2010/01/22,"3,720,043","135,983,936",36.00,37.25,35.60,37.10,+0.60,"1,275"
2010/01/25,"3,232,281","120,926,911",36.65,38.25,36.60,37.10,0.00,"1,136"
2010/01/26,"6,019,523","212,992,240",37.80,37.80,34.55,34.60,-2.50,"2,010"
2010/01/27,"6,315,932","223,694,454",35.60,36.30,34.10,35.20,+0.60,"2,186"
2010/01/28,"4,604,329","165,029,776",35.80,36.45,34.95,35.75,+0.55,"1,601"
2010/01/29,"8,552,665","315,282,286",35.35,37.95,35.10,36.95,+1.20,"3,069"
2010/02/01,"2,935,480","108,743,189",37.50,37.70,36.65,36.95,0.00,"1,092"
2010/02/02,"6,979,357","247,338,627",37.50,37.50,34.40,34.40,-2.55,"2,363"
2010/02/03,"7,345,601","243,996,661",34.40,34.65,32.25,33.50,-0.90,"2,284"
2010/02/04,"3,027,003","101,118,802",33.20,33.80,32.90,33.70,+0.20,"1,012"
2010/02/05,"3,229,060","102,222,142",32.05,32.50,31.35,31.35,-2.35,951
2010/02/06,"5,462,598","162,489,540",31.00,31.00,29.20,29.60,-1.75,"1,309"
2010/02/08,"2,567,099","77,045,969",29.60,30.45,29.45,30.30,+0.70,931
2010/02/09,"2,344,033","72,597,142",30.30,31.60,29.90,31.40,+1.10,986
2010/02/10,"2,732,199","87,162,956",31.50,32.30,31.50,32.05,+0.65,998
2010/02/22,"1,228,717","39,530,920",32.65,32.70,31.80,31.90,-0.15,514
2010/02/23,"1,616,441","50,985,705",31.90,31.90,31.30,31.70,-0.20,587
2010/02/24,"1,470,313","46,353,526",31.40,31.75,31.30,31.55,-0.15,538
2010/02/25,"2,304,632","72,025,809",31.65,32.00,30.30,30.60,-0.95,792
2010/02/26,"2,777,432","86,001,895",30.70,31.70,30.60,30.70,+0.10,951
2010/03/01,"3,515,726","111,077,306",30.85,32.00,30.85,31.90,+1.20,"1,590"
2010/03/02,"2,199,209","69,548,294",32.00,32.00,31.35,31.50,-0.40,715
2010/03/03,"6,399,395","212,730,857",32.00,33.70,32.00,33.70,+2.20,"1,602"
2010/03/04,"11,256,586","386,661,136",34.65,34.75,33.50,34.35,+0.65,"3,578"
2010/03/05,"15,724,785","567,221,382",34.90,36.75,34.50,36.30,+1.95,"4,452"
2010/03/08,"14,879,544","560,592,769",36.95,38.40,36.95,37.80,+1.50,"4,279"
2010/03/09,"6,596,824","244,668,811",37.20,37.90,36.30,37.70,-0.10,"2,138"
2010/03/10,"2,291,637","84,845,676",37.50,37.60,36.50,36.80,-0.90,974
2010/03/11,"5,432,737","201,662,899",36.80,37.85,36.40,36.70,-0.10,"2,005"
2010/03/12,"3,170,442","118,083,091",36.70,37.70,36.70,37.25,+0.55,"1,182"
2010/03/15,"9,947,191","379,712,458",37.50,38.70,37.00,37.55,+0.30,"3,571"
2010/03/16,"6,893,316","263,602,052",37.95,38.70,37.30,38.70,+1.15,"2,549"
2010/03/17,"14,266,938","556,907,894",39.00,39.70,38.35,38.70,0.00,"4,122"
2010/03/18,"10,583,148","409,737,073",39.50,39.60,38.00,38.00,-0.70,"3,476"
2010/03/19,"4,592,900","173,768,670",38.00,38.40,37.35,37.60,-0.40,"1,679"
2010/03/22,"14,271,754","563,461,503",37.50,40.20,37.40,40.20,+2.60,"4,309"
2010/03/23,"11,531,265","466,097,800",40.60,41.30,39.00,39.10,-1.10,"3,643"
2010/03/24,"3,354,448","132,212,974",39.80,40.00,38.85,39.10,0.00,"1,256"
2010/03/25,"4,591,502","181,969,721",39.15,40.20,39.15,39.40,+0.30,"1,785"
2010/03/26,"3,545,641","138,281,780",39.70,39.70,38.50,38.50,-0.90,"1,247"
2010/03/29,"3,265,630","126,232,888",38.70,39.25,38.10,38.60,+0.10,"1,186"
2010/03/30,"6,034,607","239,641,632",38.70,40.20,38.70,39.85,+1.25,"2,135"
2010/03/31,"5,252,489","207,708,466",40.00,40.35,38.70,39.30,-0.55,"1,855"
2010/04/01,"2,973,784","117,098,026",39.50,39.70,39.10,39.20,-0.10,"1,107"
2010/04/02,"4,180,483","165,950,937",40.20,40.40,39.00,39.10,-0.10,"1,455"
2010/04/06,"4,330,531","166,985,033",39.50,39.50,38.10,38.50,-0.60,"1,541"
2010/04/07,"7,451,757","292,834,699",38.90,39.90,38.40,39.60,+1.10,"2,300"
2010/04/08,"14,893,733","602,994,439",39.75,41.40,39.20,40.10,+0.50,"4,120"
2010/04/09,"3,773,405","151,334,324",40.50,40.70,39.65,40.20,+0.10,"1,456"
2010/04/12,"10,798,209","442,676,186",41.00,41.75,40.25,40.85,+0.65,"3,216"
2010/04/13,"6,266,621","255,290,176",41.20,41.50,39.30,39.75,-1.10,"2,308"
2010/04/14,"3,452,907","136,780,126",39.75,39.90,39.20,39.50,-0.25,"1,332"
2010/04/15,"18,610,274","782,681,009",40.80,42.25,40.70,42.25,+2.75,"3,740"
2010/04/16,"19,383,438","847,702,780",42.50,45.20,41.90,45.20,+2.95,"5,029"
2010/04/19,"11,138,982","480,712,688",44.60,44.90,42.05,42.05,-3.15,"3,698"
2010/04/20,"10,090,057","401,368,097",40.80,41.80,39.15,40.00,-2.05,"3,286"
2010/04/21,"5,902,162","238,093,404",40.30,41.15,39.80,41.15,+1.15,"2,079"
2010/04/22,"6,542,885","256,200,108",40.50,40.50,38.40,39.40,-1.75,"2,246"
2010/04/23,"4,423,218","175,441,765",39.50,40.25,39.20,39.35,-0.05,"1,714"
2010/04/26,"8,643,583","348,097,197",39.85,40.80,39.55,39.80,+0.45,"3,144"
2010/04/27,"3,212,907","128,645,546",40.00,40.60,39.55,39.55,-0.25,"1,302"
2010/04/28,"3,800,928","146,569,313",38.00,39.00,38.00,38.60,-0.95,"1,368"
2010/04/29,"4,440,488","173,099,507",38.60,39.65,38.30,38.65,+0.05,"1,672"
2010/04/30,"3,484,682","134,801,689",39.05,39.40,37.80,38.00,-0.65,"1,273"
2010/05/03,"2,241,265","84,233,829",38.00,38.35,37.10,37.30,-0.70,805
2010/05/04,"2,034,699","76,195,604",37.50,37.85,36.80,37.55,+0.25,786
2010/05/05,"5,769,818","204,166,814",36.65,36.80,34.95,35.00,-2.55,"1,624"
2010/05/06,"3,325,273","116,440,046",34.50,35.60,34.50,34.50,-0.50,"1,011"
2010/05/07,"4,673,102","153,807,618",33.20,33.60,32.20,33.40,-1.10,"1,684"
2010/05/10,"3,793,517","131,730,790",35.60,35.60,34.30,34.45,+1.05,"1,396"
2010/05/11,"2,299,166","79,181,344",34.45,35.05,33.75,33.80,-0.65,915
2010/05/12,"2,347,616","80,570,444",34.25,34.80,33.75,33.85,+0.05,946
2010/05/13,"6,234,221","221,890,496",34.70,36.20,34.30,36.20,+2.35,"2,042"
2010/05/14,"5,294,265","192,052,937",36.50,36.75,35.70,36.55,+0.35,"1,519"
2010/05/17,"2,644,283","93,182,309",36.00,36.00,34.95,35.05,-1.50,"1,123"
2010/05/18,"1,631,020","57,038,639",35.20,35.60,34.35,34.80,-0.25,708
2010/05/19,"1,455,217","50,378,245",34.50,35.20,34.05,35.20,+0.40,658
2010/05/20,"1,854,148","63,963,919",34.90,35.25,33.90,34.45,-0.75,732
2010/05/21,"4,959,566","161,853,461",32.80,33.55,32.05,33.10,-1.35,"1,174"
2010/05/24,"2,454,232","82,366,201",33.10,33.85,33.10,33.65,+0.55,745
2010/05/25,"2,923,002","93,514,619",33.10,33.20,31.35,31.50,-2.15,927
2010/05/26,"2,590,108","82,767,306",32.10,32.70,31.35,32.00,+0.50,"1,035"
2010/05/27,"2,363,032","76,363,198",31.70,32.90,31.70,32.90,+0.90,806
2010/05/28,"4,719,647","158,662,930",33.20,34.20,32.90,33.20,+0.30,"1,657"
2010/05/31,"2,666,423","89,586,832",33.40,33.85,33.20,33.85,+0.65,"1,098"
