日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"10,000","61,000",6.10,6.10,6.10,6.10,-0.45,5
2010/01/05,"4,034","25,333",6.28,6.28,6.28,6.28,+0.18,3
2010/01/06,"4,222","25,915",5.87,6.71,5.87,6.71,+0.43,7
2010/01/07,"5,533","36,692",6.50,7.10,6.50,7.10,+0.39,6
2010/01/08,"5,815","41,098",7.10,7.15,7.10,7.15,+0.05,8
2010/01/11,"3,890","27,872",7.00,7.60,7.00,7.60,+0.45,8
2010/01/12,"2,000","14,160",7.08,7.08,7.08,7.08,-0.52,2
2010/01/13,"1,000","6,600",6.60,6.60,6.60,6.60,-0.48,1
2010/01/14,"3,224","20,301",6.15,6.59,6.15,6.59,-0.01,11
2010/01/15,"2,398","15,717",6.58,6.58,6.58,6.58,-0.01,5
2010/01/18,"1,657","10,309",6.29,6.29,6.29,6.29,-0.29,5
2010/01/19,464,"2,830",--,--,--,--,0.00,1
2010/01/20,303,"1,851",--,--,--,--,0.00,1
2010/01/21,0,0,--,--,--,--,0.00,0
2010/01/22,295,"1,725",--,--,--,--,0.00,1
2010/01/25,"3,000","17,550",5.85,5.85,5.85,5.85,X0.00,1
2010/01/26,0,0,--,--,--,--,0.00,0
2010/01/27,0,0,--,--,--,--,0.00,0
2010/01/28,"1,002","6,111",6.10,6.10,6.10,6.10,X0.00,2
2010/01/29,"5,814","37,392",6.30,6.52,6.30,6.52,+0.42,6
2010/02/01,"7,108","49,532",6.96,6.97,6.96,6.97,+0.45,5
2010/02/02,"4,821","35,537",7.44,7.45,7.44,7.45,+0.48,8
2010/02/03,"6,230","48,111",7.40,7.80,7.40,7.80,+0.35,7
2010/02/04,"2,149","16,070",7.27,7.66,7.27,7.66,-0.14,4
2010/02/05,"4,076","32,982",8.10,8.10,8.10,8.10,+0.44,3
2010/02/06,0,0,--,--,--,--,0.00,0
2010/02/08,"6,242","49,813",8.00,8.00,7.95,7.95,X0.00,4
2010/02/09,726,"5,503",--,--,--,--,0.00,1
2010/02/10,"5,305","42,805",8.10,8.10,8.10,8.10,X0.00,2
2010/02/22,248,"1,979",--,--,--,--,0.00,1
2010/02/23,50,400,--,--,--,--,0.00,1
2010/02/24,0,0,--,--,--,--,0.00,0
2010/02/25,0,0,--,--,--,--,0.00,0
2010/02/26,0,0,--,--,--,--,0.00,0
2010/03/01,"17,835","153,977",8.63,8.66,8.63,8.66,X0.00,10
2010/03/02,"2,000","16,150",8.08,8.08,8.07,8.07,-0.59,2
2010/03/03,"1,141","9,071",8.00,8.00,8.00,8.00,-0.07,3
2010/03/04,0,0,--,--,--,--,0.00,0
2010/03/05,"123,801","1,059,730",8.56,8.56,8.56,8.56,X0.00,44
2010/03/08,"44,813","383,524",8.80,8.80,7.97,7.97,-0.59,23
2010/03/09,0,0,--,--,--,--,0.00,0
2010/03/10,"43,141","352,756",8.24,8.49,7.53,7.61,X0.00,23
2010/03/11,"26,520","215,738",8.13,8.14,8.12,8.14,+0.53,23
2010/03/12,"28,497","220,864",7.59,8.62,7.59,8.62,+0.48,17
2010/03/15,"1,481,242","13,647,048",8.99,9.22,8.62,9.22,+0.60,24
2010/03/16,"47,407","438,601",9.86,9.86,8.95,9.72,+0.50,30
2010/03/17,"39,701","402,458",9.66,10.35,9.24,10.30,+0.58,25
2010/03/18,"42,486","422,667",9.66,10.50,9.65,10.50,+0.20,30
2010/03/19,"24,344","253,269",9.92,10.85,9.80,10.75,+0.25,22
2010/03/22,"13,240","133,400",10.05,10.15,10.00,10.00,-0.75,12
2010/03/23,"6,917","66,690",9.50,9.99,9.50,9.99,-0.01,13
2010/03/24,"28,008","265,449",9.42,9.90,9.38,9.90,-0.09,12
2010/03/25,"4,736","46,027",9.50,10.00,9.50,10.00,+0.10,6
2010/03/26,"23,390","217,956",9.32,9.32,9.31,9.31,-0.69,10
2010/03/29,638,"5,619",--,--,--,--,0.00,3
2010/03/30,25,222,--,--,--,--,0.00,1
2010/03/31,0,0,--,--,--,--,0.00,0
2010/04/01,333,"2,927",--,--,--,--,0.00,2
2010/04/02,"15,340","136,611",8.80,9.30,8.80,9.30,X0.00,8
2010/04/06,"4,843","42,081",8.71,8.71,8.66,8.66,-0.64,6
2010/04/07,"17,238","139,824",8.66,8.66,8.07,8.08,-0.58,14
2010/04/08,"17,586","151,479",8.55,8.64,8.55,8.64,+0.56,11
2010/04/09,"9,900","91,474",9.24,9.24,9.24,9.24,+0.60,12
2010/04/12,"14,744","142,737",9.75,9.80,9.75,9.80,+0.56,17
2010/04/13,"8,582","79,458",9.29,9.29,9.26,9.26,-0.54,10
2010/04/14,829,"7,285",--,--,--,--,0.00,4
2010/04/15,"1,018","8,966",--,--,--,--,0.00,4
2010/04/16,0,0,--,--,--,--,0.00,0
2010/04/19,"22,175","213,508",9.89,9.89,8.76,8.76,X0.00,11
2010/04/20,619,"5,061",--,--,--,--,0.00,4
2010/04/21,"6,012","49,004",8.15,8.15,8.15,8.15,X0.00,6
2010/04/22,0,0,--,--,--,--,0.00,0
2010/04/23,"2,350","17,965",7.62,7.68,7.62,7.68,X0.00,6
2010/04/26,"1,701","13,428",8.20,8.20,8.20,8.20,+0.52,3
2010/04/27,"15,809","132,119",8.18,8.76,8.10,8.76,+0.56,13
2010/04/28,"1,953","16,602",8.74,8.74,8.74,8.74,-0.02,3
2010/04/29,"22,087","180,556",8.18,8.20,8.17,8.17,-0.57,10
2010/04/30,"58,184","444,656",7.60,8.08,7.60,8.08,-0.09,17
2010/05/03,34,255,--,--,--,--,0.00,1
2010/05/04,433,"3,255",--,--,--,--,0.00,3
2010/05/05,"6,000","47,870",8.07,8.07,7.52,7.52,X0.00,4
2010/05/06,0,0,--,--,--,--,0.00,0
2010/05/07,0,0,--,--,--,--,0.00,0
2010/05/10,168,"1,177",--,--,--,--,0.00,1
2010/05/11,0,0,--,--,--,--,0.00,0
2010/05/12,632,"4,430",--,--,--,--,0.00,1
2010/05/13,0,0,--,--,--,--,0.00,0
2010/05/14,372,"2,604",--,--,--,--,0.00,1
2010/05/17,0,0,--,--,--,--,0.00,0
2010/05/18,0,0,--,--,--,--,0.00,0
2010/05/19,0,0,--,--,--,--,0.00,0
2010/05/20,0,0,--,--,--,--,0.00,0
2010/05/21,0,0,--,--,--,--,0.00,0
2010/05/24,0,0,--,--,--,--,0.00,0
2010/05/25,0,0,--,--,--,--,0.00,0
2010/05/26,0,0,--,--,--,--,0.00,0
2010/05/27,0,0,--,--,--,--,0.00,0
2010/05/28,0,0,--,--,--,--,0.00,0
2010/05/31,"16,533","116,819",7.00,8.03,7.00,8.03,X0.00,4
2010/06/01,2,15,--,--,--,--,0.00,1
2010/06/02,186,"1,497",--,--,--,--,0.00,1
2010/06/03,0,0,--,--,--,--,0.00,0
2010/06/04,"25,067","215,314",8.59,8.59,8.59,8.59,X0.00,29
2010/06/07,"195,313","1,794,788",9.19,9.19,9.19,9.19,+0.60,33
2010/06/08,"61,689","605,114",9.83,9.83,9.81,9.81,+0.62,22
2010/06/09,"9,673","95,502",9.14,10.30,9.14,10.30,+0.49,11
2010/06/10,"10,360","99,798",10.00,10.00,9.59,9.59,-0.71,9
2010/06/11,"5,092","48,337",9.50,9.50,9.50,9.50,-0.09,6
2010/06/14,"3,093","28,044",9.50,9.50,8.86,8.86,-0.64,4
2010/06/15,0,0,--,--,--,--,0.00,0
2010/06/17,0,0,--,--,--,--,0.00,0
2010/06/18,"1,180","9,883",8.40,8.40,8.40,8.40,X0.00,3
2010/06/21,"14,916","128,374",8.40,8.98,8.40,8.98,+0.58,12
2010/06/22,"9,000","80,820",8.98,8.98,8.98,8.98,0.00,2
2010/06/23,98,819,--,--,--,--,0.00,2
2010/06/24,"4,290","37,263",8.36,9.40,8.36,9.40,X0.00,7
2010/06/25,"1,392","12,316",8.75,8.75,8.75,8.75,-0.65,3
2010/06/28,"2,013","16,435",8.16,8.17,8.16,8.17,-0.58,3
2010/06/29,0,0,--,--,--,--,0.00,0
2010/06/30,"4,471","37,937",8.54,8.54,8.54,8.54,X0.00,7
2010/07/01,"2,000","15,920",7.96,7.96,7.96,7.96,-0.58,2
2010/07/02,"11,591","89,718",8.50,8.50,7.41,7.41,-0.55,9
2010/07/05,487,"3,368",--,--,--,--,0.00,3
2010/07/06,819,"5,649",--,--,--,--,0.00,5
2010/07/07,"7,000","51,810",6.90,7.60,6.90,7.60,X0.00,5
2010/07/08,514,"3,648",--,--,--,--,0.00,4
2010/07/09,"3,125","24,889",7.99,7.99,7.99,7.99,X0.00,4
2010/07/12,"21,630","173,146",8.00,8.29,8.00,8.29,+0.30,5
2010/07/13,"13,575","109,365",7.72,8.10,7.72,8.10,-0.19,8
2010/07/14,"4,656","36,208",8.00,8.00,8.00,8.00,-0.10,8
2010/07/15,"1,099","8,174",--,--,--,--,0.00,4
2010/07/16,0,0,--,--,--,--,0.00,0
2010/07/19,"19,119","161,154",7.95,8.56,7.95,8.56,X0.00,8
2010/07/20,"17,995","163,945",9.09,9.15,9.09,9.15,+0.59,14
2010/07/21,"38,000","348,490",8.52,9.79,8.52,8.55,-0.60,16
2010/07/22,"2,315","20,565",9.14,9.14,9.14,9.14,+0.59,7
2010/07/23,"10,906","105,899",9.12,9.77,9.12,9.77,+0.63,9
2010/07/26,"1,061","10,261",9.70,9.70,9.70,9.70,-0.07,2
2010/07/27,315,"2,844",--,--,--,--,0.00,2
2010/07/28,223,"2,018",--,--,--,--,0.00,1
2010/07/29,"17,516","161,838",9.30,9.30,9.03,9.29,X0.00,12
2010/07/30,"5,000","43,600",8.65,9.00,8.65,8.65,-0.64,3
2010/08/02,"4,361","39,017",8.50,9.25,8.50,9.25,+0.60,13
2010/08/03,"12,010","118,564",9.87,9.89,9.87,9.89,+0.64,15
2010/08/04,"1,000","9,220",9.22,9.22,9.22,9.22,-0.67,1
2010/08/05,"14,492","132,590",9.22,9.22,8.81,8.81,-0.41,14
2010/08/06,"33,633","316,372",9.30,9.42,9.30,9.42,+0.61,18
2010/08/09,"1,028","9,024",--,--,--,--,0.00,5
2010/08/10,"35,180","351,816",10.05,10.05,10.00,10.00,X0.00,15
2010/08/11,"20,334","200,716",9.32,10.00,9.32,9.99,-0.01,13
2010/08/12,"7,072","68,648",9.32,9.79,9.32,9.79,-0.20,7
2010/08/13,"41,457","411,252",9.26,10.45,9.26,9.82,+0.03,37
2010/08/16,"39,999","404,650",9.82,10.30,9.82,10.20,+0.38,24
2010/08/17,"28,104","292,582",10.50,10.50,10.05,10.25,+0.05,19
2010/08/18,"36,005","355,115",9.62,10.20,9.62,10.05,-0.20,21
2010/08/19,"28,435","285,357",9.99,10.15,9.99,10.05,0.00,17
2010/08/20,"1,236","12,314",10.00,10.00,10.00,10.00,-0.05,5
2010/08/23,"5,000","50,250",10.00,10.25,10.00,10.25,+0.25,4
2010/08/24,"31,305","303,581",10.00,10.00,9.60,9.99,-0.26,22
2010/08/25,"34,432","353,420",9.36,10.65,9.36,10.65,+0.66,28
2010/08/26,"36,022","391,021",10.60,11.35,10.05,10.90,+0.25,21
2010/08/27,130,"1,325",--,--,--,--,0.00,2
2010/08/30,"98,684","1,026,131",11.65,11.65,10.15,10.80,X0.00,37
2010/08/31,"16,000","167,100",10.50,10.50,10.40,10.40,-0.40,3
2010/09/01,"21,741","225,645",10.40,10.50,10.40,10.40,0.00,9
2010/09/02,"51,000","493,680",9.68,9.68,9.68,9.68,-0.72,6
2010/09/03,"11,946","122,962",10.35,10.35,10.10,10.10,+0.42,11
2010/09/06,"12,995","131,697",10.00,10.30,10.00,10.30,+0.20,15
2010/09/07,"21,348","216,243",10.25,10.25,10.00,10.15,-0.15,12
2010/09/08,"17,240","174,251",10.00,10.25,10.00,10.25,+0.10,16
2010/09/09,"9,245","93,843",10.10,10.20,10.10,10.20,-0.05,8
2010/09/10,"10,565","106,663",10.15,10.25,10.00,10.25,+0.05,10
2010/09/13,"10,578","105,383",10.00,10.00,10.00,10.00,-0.25,12
2010/09/14,"31,839","322,422",10.10,10.30,9.45,9.45,-0.55,22
2010/09/15,"11,461","114,186",10.00,10.05,9.80,9.80,+0.35,14
2010/09/16,"7,157","71,599",9.99,10.10,9.99,10.10,+0.30,11
2010/09/17,"11,835","118,684",9.78,10.10,9.78,10.10,0.00,10
2010/09/20,"17,267","174,866",9.71,10.30,9.71,10.30,+0.20,14
2010/09/21,"32,909","340,683",10.80,10.85,10.00,10.35,+0.05,20
2010/09/23,333,"3,362",--,--,--,--,0.00,3
2010/09/24,"15,727","157,982",10.05,10.05,10.05,10.05,X0.00,9
2010/09/27,549,"5,470",--,--,--,--,0.00,7
2010/09/28,343,"3,446",--,--,--,--,0.00,5
2010/09/29,872,"8,762",--,--,--,--,0.00,5
2010/09/30,"1,199","11,927",--,--,--,--,0.00,5
2010/10/01,"11,635","116,140",9.45,10.10,9.45,10.00,X0.00,13
2010/10/04,0,0,--,--,--,--,0.00,0
2010/10/05,"10,189","101,824",10.00,10.00,10.00,10.00,X0.00,5
2010/10/06,"17,635","177,433",10.10,10.30,10.00,10.00,0.00,13
2010/10/07,"3,242","31,607",9.75,9.75,9.75,9.75,-0.25,11
2010/10/08,"41,416","401,805",9.50,9.75,9.50,9.55,-0.20,11
2010/10/11,"40,999","373,968",9.50,9.50,9.00,9.00,-0.55,11
2010/10/12,"23,262","208,815",9.00,9.00,8.97,8.98,-0.02,8
2010/10/13,"72,392","694,960",9.60,9.60,9.60,9.60,+0.62,22
2010/10/14,"180,881","1,854,023",10.25,10.25,10.25,10.25,+0.65,64
2010/10/15,"72,274","761,415",10.65,10.80,10.20,10.65,+0.40,34
2010/10/18,"6,118","65,120",10.65,10.65,10.65,10.65,0.00,6
2010/10/19,"55,436","595,570",10.40,10.85,10.40,10.80,+0.15,25
2010/10/20,"3,489","36,282",10.40,10.40,10.40,10.40,-0.40,8
2010/10/21,"21,619","227,836",10.50,10.60,10.40,10.40,0.00,6
2010/10/22,"25,686","261,154",10.20,10.20,10.05,10.05,-0.35,12
2010/10/25,"6,368","63,672",10.10,10.10,10.05,10.05,0.00,10
2010/10/26,"94,000","957,097",10.10,10.20,10.10,10.20,+0.15,16
2010/10/27,"135,712","1,382,620",10.10,10.20,10.10,10.20,0.00,24
2010/10/28,"237,682","2,590,729",10.90,10.90,10.90,10.90,+0.70,51
2010/10/29,"248,652","2,896,787",11.65,11.65,11.65,11.65,+0.75,41
2010/11/01,"162,205","2,019,444",12.45,12.45,12.45,12.45,+0.80,47
2010/11/02,"127,724","1,698,724",13.30,13.30,13.30,13.30,+0.85,36
2010/11/03,"272,248","3,642,923",14.20,14.20,12.40,12.40,-0.90,89
2010/11/04,"485,300","6,426,269",13.20,13.25,13.20,13.25,+0.85,187
2010/11/05,"446,781","6,321,943",14.15,14.15,14.15,14.15,+0.90,148
2010/11/08,"482,275","7,282,338",15.10,15.10,15.10,15.10,+0.95,203
2010/11/09,"549,255","8,870,451",16.15,16.15,16.15,16.15,+1.05,232
2010/11/10,"1,687,084","28,699,340",17.25,17.25,16.15,16.80,+0.65,615
2010/11/11,"782,541","13,338,446",16.30,17.85,16.20,17.30,+0.50,389
2010/11/12,"365,015","6,155,240",17.30,17.30,16.40,16.45,-0.85,183
2010/11/15,"470,000","7,259,450",15.30,16.25,15.30,15.30,-1.15,206
2010/11/16,"398,940","5,800,140",14.50,15.00,14.25,14.50,-0.80,163
2010/11/17,"438,098","6,740,881",14.30,15.50,14.30,15.25,+0.75,210
2010/11/18,"393,063","5,940,201",14.75,15.50,14.75,15.25,0.00,203
2010/11/19,"195,102","2,989,780",15.30,15.65,15.05,15.15,-0.10,119
2010/11/22,"194,082","2,900,737",15.45,15.45,14.65,14.65,-0.50,106
2010/11/23,"220,241","3,267,928",14.95,15.10,14.65,15.00,+0.35,89
2010/11/24,"109,677","1,599,564",14.20,15.00,14.20,14.65,-0.35,78
2010/11/25,"167,492","2,406,606",14.50,14.90,14.20,14.20,-0.45,89
2010/11/26,"148,087","2,083,753",14.60,14.60,13.85,13.85,-0.35,83
2010/11/29,"372,620","5,295,338",14.00,14.80,13.25,14.60,+0.75,174
2010/11/30,"158,075","2,297,816",14.60,15.05,14.25,14.40,-0.20,93
2010/12/01,"118,128","1,720,726",13.80,14.95,13.80,14.70,+0.30,67
2010/12/02,"136,511","1,963,777",14.55,14.80,14.00,14.40,-0.30,79
2010/12/03,"199,387","2,897,799",14.40,14.70,14.35,14.55,+0.15,92
2010/12/06,"154,282","2,206,109",14.60,14.60,14.15,14.15,-0.40,73
2010/12/07,"268,067","3,744,705",13.85,14.20,13.85,14.20,+0.05,101
2010/12/08,"84,816","1,201,654",14.25,14.25,14.10,14.15,-0.05,52
2010/12/09,"146,699","2,072,054",14.15,14.25,14.00,14.05,-0.10,58
2010/12/10,"166,094","2,312,474",14.00,14.35,13.55,13.70,-0.35,79
2010/12/13,"62,040","863,689",13.90,14.00,13.80,13.90,+0.20,36
2010/12/14,"126,734","1,787,660",13.90,14.25,13.90,14.20,+0.30,61
2010/12/15,"101,999","1,434,586",14.20,14.20,14.00,14.20,0.00,51
2010/12/16,"196,200","2,669,449",14.20,14.20,13.25,13.25,-0.95,88
2010/12/17,"163,881","2,202,301",13.35,13.70,13.25,13.55,+0.30,92
2010/12/20,"47,114","643,516",13.30,13.95,13.30,13.40,-0.15,34
2010/12/21,"130,989","1,786,645",13.45,13.95,13.40,13.90,+0.50,72
2010/12/22,"63,999","899,183",14.15,14.20,13.60,13.80,-0.10,40
2010/12/23,"43,074","595,306",13.65,14.05,13.65,13.90,+0.10,32
2010/12/24,"59,865","819,662",13.90,13.90,13.60,13.75,-0.15,29
2010/12/27,"356,183","5,235,881",14.70,14.70,14.70,14.70,+0.95,111
2010/12/28,"387,974","6,091,186",15.70,15.70,15.70,15.70,+1.00,184
2010/12/29,"313,574","5,252,357",16.75,16.75,16.75,16.75,+1.05,141
