日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"1,471,712","37,639,325",25.9,25.9,25.45,25.55,-0.35,529
2010/01/05,"2,315,736","58,842,264",25.9,25.9,25.1,25.1,-0.45,885
2010/01/06,"6,434,252","168,465,887",25.1,26.55,25.1,26.55,+1.45,"1,861"
2010/01/07,"5,388,564","143,435,064",27.0,27.25,26.0,26.1,-0.45,"1,436"
2010/01/08,"2,567,961","66,808,632",26.0,26.35,25.75,25.75,-0.35,"1,067"
2010/01/11,"2,628,892","68,995,144",25.8,26.6,25.8,26.0,+0.25,"1,004"
2010/01/12,"2,087,625","54,189,663",26.05,26.15,25.8,25.95,-0.05,940
2010/01/13,"1,830,882","46,936,792",25.85,25.9,25.5,25.55,-0.40,803
2010/01/14,"1,654,058","42,276,763",25.55,25.7,25.45,25.5,-0.05,517
2010/01/15,"3,570,547","91,801,612",25.5,26.25,25.45,26.25,+0.75,"1,207"
2010/01/18,"1,794,006","45,983,988",25.95,26.0,25.45,25.5,-0.75,662
2010/01/19,"1,582,055","40,571,334",25.85,25.9,25.45,25.5,0.00,639
2010/01/20,"1,849,230","46,910,472",25.5,25.8,25.2,25.25,-0.25,642
2010/01/21,"1,794,733","45,077,208",25.15,25.3,25.0,25.2,-0.05,435
2010/01/22,"2,303,352","56,341,421",24.5,24.9,24.15,24.55,-0.65,876
2010/01/25,"1,205,077","29,125,315",24.2,24.5,24.0,24.3,-0.25,603
2010/01/26,"5,586,114","128,954,779",24.3,24.45,22.6,22.6,-1.70,"1,574"
2010/01/27,"1,947,493","44,598,486",22.6,23.2,22.5,23.0,+0.40,769
2010/01/28,"1,265,673","29,315,179",23.05,23.4,23.0,23.0,0.00,440
2010/01/29,"2,004,691","46,140,566",23.0,23.4,22.6,23.4,+0.40,915
2010/02/01,"973,346","22,447,735",23.3,23.3,22.95,22.95,-0.45,391
2010/02/02,"1,331,464","30,333,975",23.5,23.5,22.35,22.85,-0.10,581
2010/02/03,"679,752","15,583,548",22.95,23.1,22.85,22.95,+0.10,247
2010/02/04,"697,315","16,032,611",23.1,23.15,22.9,23.05,+0.10,270
2010/02/05,"1,823,435","40,944,148",22.75,22.75,22.1,22.1,-0.95,684
2010/02/06,"624,485","13,919,636",22.5,22.5,22.1,22.4,+0.30,313
2010/02/08,"1,032,932","22,958,727",22.5,22.5,22.05,22.15,-0.25,541
2010/02/09,"876,514","19,678,573",22.0,22.7,22.0,22.7,+0.55,399
2010/02/10,"1,168,930","26,467,725",22.7,22.95,22.2,22.95,+0.25,540
2010/02/22,"1,139,688","26,718,019",23.6,23.65,23.2,23.45,+0.50,659
2010/02/23,"1,943,674","45,936,954",23.35,23.9,23.25,23.9,+0.45,950
2010/02/24,"1,064,094","25,172,555",23.5,23.9,23.35,23.7,-0.20,626
2010/02/25,"2,163,504","51,216,140",23.8,24.2,23.35,23.8,+0.10,966
2010/02/26,"1,294,475","30,852,752",23.95,23.95,23.65,23.85,+0.05,358
2010/03/01,"2,953,000","70,702,642",23.9,24.1,23.7,23.9,+0.05,876
2010/03/02,"1,137,505","27,184,813",24.1,24.15,23.8,24.05,+0.15,431
2010/03/03,"1,608,236","38,809,979",24.1,24.3,24.0,24.2,+0.15,393
2010/03/04,"2,611,383","61,911,810",24.3,24.3,23.45,23.5,-0.70,820
2010/03/05,"3,694,977","87,765,098",23.75,24.0,23.45,23.8,+0.30,667
2010/03/08,"2,140,176","51,605,674",24.0,24.3,24.0,24.15,+0.35,489
2010/03/09,"3,645,179","88,022,326",24.1,24.3,24.0,24.2,+0.05,370
2010/03/10,"879,894","21,186,491",24.2,24.2,23.9,24.2,0.00,282
2010/03/11,"1,884,863","45,729,294",24.2,24.45,24.1,24.45,+0.25,624
2010/03/12,"1,204,205","29,424,579",24.5,24.55,24.3,24.4,-0.05,485
2010/03/15,"1,044,054","25,284,046",24.5,24.5,24.0,24.0,-0.40,316
2010/03/16,"1,293,279","31,087,020",24.0,24.2,24.0,24.1,+0.10,176
2010/03/17,"2,863,144","70,228,741",24.35,24.85,24.2,24.8,+0.70,"1,054"
2010/03/18,"3,532,938","89,295,727",24.8,25.8,24.65,25.4,+0.60,"1,052"
2010/03/19,"1,613,145","41,174,033",25.4,25.7,25.3,25.6,+0.20,626
2010/03/22,"1,337,337","33,975,021",25.7,25.7,25.0,25.6,0.00,531
2010/03/23,"781,899","19,854,063",25.6,25.65,25.15,25.2,-0.40,275
2010/03/24,"486,838","12,355,965",25.4,25.55,25.25,25.3,+0.10,223
2010/03/25,"1,139,500","28,573,522",25.3,25.45,24.8,25.4,+0.10,512
2010/03/26,"1,589,807","39,847,937",25.15,25.45,24.75,25.3,-0.10,681
2010/03/29,"966,076","24,606,164",25.3,25.6,25.25,25.5,+0.20,449
2010/03/30,"1,493,068","38,227,131",25.6,25.7,25.4,25.7,+0.20,532
2010/03/31,"700,832","17,851,362",25.75,25.75,25.3,25.3,-0.40,291
2010/04/01,"1,751,968","44,885,223",25.65,25.7,25.3,25.6,+0.30,878
2010/04/02,"452,320","11,509,159",25.35,25.6,25.35,25.35,-0.25,203
2010/04/06,"1,264,788","32,355,016",25.4,25.8,25.35,25.5,+0.15,556
2010/04/07,"1,791,064","46,303,280",25.75,26.0,25.5,25.85,+0.35,748
2010/04/08,"1,184,770","30,583,081",25.85,26.0,25.55,25.85,0.00,561
2010/04/09,"705,387","18,185,000",25.9,25.9,25.55,25.75,-0.10,254
2010/04/12,"794,242","20,519,056",26.0,26.0,25.6,25.85,+0.10,299
2010/04/13,"889,595","22,670,979",25.8,25.85,25.3,25.35,-0.50,442
2010/04/14,"852,522","21,588,525",25.35,25.5,25.2,25.45,+0.10,356
2010/04/15,"1,920,920","49,660,681",25.55,26.15,25.45,25.85,+0.40,556
2010/04/16,"734,442","18,948,467",25.85,26.0,25.5,26.0,+0.15,355
2010/04/19,"1,932,741","48,477,543",25.4,25.65,24.75,24.85,-1.15,"1,023"
2010/04/20,"1,575,787","39,628,561",24.85,25.4,24.7,25.2,+0.35,643
2010/04/21,"1,403,550","35,245,550",25.0,25.35,24.9,25.1,-0.10,511
2010/04/22,"2,984,484","74,041,050",24.8,25.0,24.65,24.85,-0.25,949
2010/04/23,"794,520","19,825,191",25.0,25.1,24.7,25.05,+0.20,472
2010/04/26,"1,377,443","35,235,654",25.35,25.7,25.25,25.7,+0.65,612
2010/04/27,"2,021,311","51,735,978",25.7,25.8,25.35,25.6,-0.10,229
2010/04/28,"914,355","23,255,156",25.0,25.7,25.0,25.35,-0.25,433
2010/04/29,"1,212,828","30,965,245",25.5,25.75,25.25,25.7,+0.35,483
2010/04/30,"2,406,973","61,287,625",25.7,25.95,24.5,25.2,-0.50,"1,066"
2010/05/03,"1,035,405","25,789,591",25.0,25.2,24.65,24.95,-0.25,341
2010/05/04,"2,059,126","50,561,969",25.25,25.25,24.4,24.55,-0.40,558
2010/05/05,"1,814,124","43,149,939",23.8,24.0,23.7,23.75,-0.80,850
2010/05/06,"1,733,499","40,360,927",23.65,23.7,23.0,23.1,-0.65,786
2010/05/07,"1,828,646","41,631,307",22.15,23.15,22.1,22.85,-0.25,563
2010/05/10,"995,859","22,912,822",22.85,23.35,22.8,23.35,+0.50,557
2010/05/11,"2,301,644","53,418,812",23.5,23.5,23.0,23.15,-0.20,"1,052"
2010/05/12,"891,911","20,667,095",23.15,23.5,23.0,23.0,-0.15,238
2010/05/13,"890,581","20,848,952",23.4,23.85,23.15,23.65,+0.65,362
2010/05/14,"982,666","22,900,595",23.5,23.6,23.15,23.35,-0.30,377
2010/05/17,"776,937","17,747,964",23.05,23.2,22.7,22.85,-0.50,317
2010/05/18,"504,656","11,657,552",23.05,23.3,22.75,23.2,+0.35,273
2010/05/19,"780,257","18,107,411",22.8,23.5,22.7,23.1,-0.10,368
2010/05/20,"671,162","15,330,531",23.1,23.15,22.7,22.7,-0.40,320
2010/05/21,"1,289,242","28,571,206",22.35,22.35,21.9,22.25,-0.45,506
2010/05/24,"932,538","20,768,267",22.25,22.45,22.05,22.35,+0.10,363
2010/05/25,"1,159,692","25,148,293",22.15,22.15,21.45,21.55,-0.80,545
2010/05/26,"2,197,405","48,356,500",21.65,22.4,21.5,22.05,+0.50,706
2010/05/27,"693,636","15,367,884",22.1,22.4,21.95,22.3,+0.25,333
2010/05/28,"1,545,315","34,705,185",22.7,22.7,22.3,22.5,+0.20,495
2010/05/31,"677,252","15,167,118",22.4,22.5,22.2,22.5,0.00,138
2010/06/01,"811,610","17,943,270",22.5,22.5,21.85,22.1,-0.40,380
2010/06/02,"741,227","16,372,349",22.0,22.4,21.8,22.05,-0.05,235
2010/06/03,"876,678","19,658,514",22.25,22.6,22.25,22.6,+0.55,274
2010/06/04,"371,920","8,384,201",22.8,22.85,22.4,22.55,-0.05,176
2010/06/07,"705,965","15,491,630",21.7,22.25,21.7,22.1,-0.45,331
2010/06/08,"449,622","9,947,842",22.1,22.35,21.95,22.2,+0.10,199
2010/06/09,"1,147,732","25,243,864",22.2,22.2,21.85,21.9,-0.30,624
2010/06/10,"378,497","8,391,532",22.4,22.4,22.0,22.15,+0.25,240
2010/06/11,"556,232","12,496,016",22.45,22.6,22.35,22.55,+0.40,285
2010/06/14,"747,945","17,015,491",22.6,22.95,22.6,22.8,+0.25,470
2010/06/15,"1,514,174","35,458,469",22.9,23.95,22.8,23.4,+0.60,842
2010/06/17,"1,169,058","27,740,206",23.55,23.95,23.5,23.65,+0.25,486
2010/06/18,"1,094,528","25,886,627",23.8,23.85,23.45,23.7,+0.05,431
2010/06/21,"1,566,840","37,622,036",23.9,24.25,23.45,23.9,+0.20,826
2010/06/22,"776,750","18,449,247",23.6,24.0,23.55,23.55,-0.35,342
2010/06/23,"718,749","16,865,496",23.6,23.75,23.35,23.4,-0.15,340
2010/06/24,"1,284,598","29,942,387",23.4,23.5,23.1,23.25,-0.15,719
2010/06/25,"1,039,649","23,880,727",23.0,23.1,22.8,22.8,-0.45,445
2010/06/28,"363,546","8,357,099",22.8,23.1,22.8,23.05,+0.25,209
2010/06/29,"1,358,762","31,259,116",23.1,23.45,22.7,22.7,-0.35,796
2010/06/30,"1,294,354","29,195,060",22.35,22.7,22.35,22.7,0.00,572
2010/07/01,"1,127,167","25,492,904",22.6,22.8,22.5,22.65,-0.05,486
2010/07/02,"623,486","14,260,229",22.7,23.0,22.7,22.85,+0.20,294
2010/07/05,"401,451","9,181,071",23.05,23.05,22.8,23.0,+0.15,160
2010/07/06,"922,080","21,282,302",22.6,23.3,22.6,23.3,+0.30,347
2010/07/07,"555,890","12,863,811",23.35,23.5,23.0,23.1,-0.20,240
2010/07/08,"753,993","17,682,877",23.7,23.7,23.2,23.3,+0.20,321
2010/07/09,"658,730","15,503,450",23.5,23.7,23.3,23.65,+0.35,245
2010/07/12,"1,318,607","31,465,577",23.65,24.0,23.6,23.8,+0.15,602
2010/07/13,"401,464","9,500,075",23.8,23.95,23.5,23.65,-0.15,182
2010/07/14,"1,136,619","27,152,056",23.9,23.95,23.8,23.95,+0.30,465
2010/07/15,"607,106","14,498,812",23.95,24.0,23.8,23.85,-0.10,298
2010/07/16,"859,696","20,502,393",23.85,23.95,23.8,23.8,-0.05,236
