日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,55,87,--,--,--,--,0.00,2
2010/01/05,0,0,--,--,--,--,0.00,0
2010/01/06,"10,000","15,080",1.50,1.58,1.50,1.50,X0.00,5
2010/01/07,"1,000","1,400",1.40,1.40,1.40,1.40,-0.10,1
2010/01/08,"1,875,750","2,794,697",1.48,1.49,1.48,1.49,+0.09,14
2010/01/11,"3,442","5,469",1.59,1.59,1.59,1.59,+0.10,8
2010/01/12,"62,250","105,824",1.70,1.70,1.70,1.70,+0.11,8
2010/01/13,"1,689,254","3,057,549",1.81,1.81,1.81,1.81,+0.11,15
2010/01/14,"19,774","38,162",1.93,1.93,1.93,1.93,+0.12,10
2010/01/15,"84,821","174,727",2.06,2.06,2.06,2.06,+0.13,21
2010/01/18,"151,578","333,470",2.20,2.20,2.20,2.20,+0.14,22
2010/01/19,"92,994","218,535",2.35,2.35,2.35,2.35,+0.15,21
2010/01/20,"256,687","621,604",2.51,2.51,2.20,2.20,-0.15,33
2010/01/21,"118,105","245,255",2.20,2.20,2.06,2.06,-0.14,9
2010/01/22,"64,760","140,484",2.05,2.20,2.05,2.20,+0.14,11
2010/01/25,"1,000","2,330",2.33,2.33,2.33,2.33,+0.13,1
2010/01/26,"10,000","23,400",2.34,2.34,2.34,2.34,+0.01,1
2010/01/27,"43,000","97,480",2.35,2.35,2.18,2.18,-0.16,5
2010/01/28,"12,228","28,440",2.33,2.33,2.33,2.33,+0.15,7
2010/01/29,0,0,--,--,--,--,0.00,0
2010/02/01,"5,770","13,351",2.33,2.33,2.33,2.33,X0.00,2
2010/02/02,"1,000","2,330",2.33,2.33,2.33,2.33,0.00,1
2010/02/03,106,246,--,--,--,--,0.00,1
2010/02/04,536,"1,248",--,--,--,--,0.00,2
2010/02/05,0,0,--,--,--,--,0.00,0
2010/02/06,190,442,--,--,--,--,0.00,1
2010/02/08,108,233,--,--,--,--,0.00,2
2010/02/09,0,0,--,--,--,--,0.00,0
2010/02/10,0,0,--,--,--,--,0.00,0
2010/02/22,"2,000","4,660",2.33,2.33,2.33,2.33,X0.00,1
2010/02/23,0,0,--,--,--,--,0.00,0
2010/02/24,"10,000","23,300",2.33,2.33,2.33,2.33,X0.00,2
2010/02/25,0,0,--,--,--,--,0.00,0
2010/02/26,0,0,--,--,--,--,0.00,0
2010/03/01,0,0,--,--,--,--,0.00,0
2010/03/02,0,0,--,--,--,--,0.00,0
2010/03/03,"3,000","6,510",2.17,2.17,2.17,2.17,X0.00,1
2010/03/04,0,0,--,--,--,--,0.00,0
2010/03/05,"1,813","3,686",2.02,2.02,2.02,2.02,X0.00,2
2010/03/08,"1,000","1,880",1.88,1.88,1.88,1.88,-0.14,1
2010/03/09,"47,223","83,578",1.75,2.01,1.75,2.01,+0.13,7
2010/03/10,"9,916","19,580",2.15,2.15,1.88,2.01,0.00,7
2010/03/11,"1,654","3,229",2.00,2.00,2.00,2.00,-0.01,3
2010/03/12,"24,300","51,003",2.00,2.14,2.00,2.00,0.00,9
2010/03/15,"8,000","15,300",2.00,2.00,1.86,1.86,-0.14,3
2010/03/16,"3,000","5,580",1.86,1.86,1.86,1.86,0.00,2
2010/03/17,"8,730","15,568",1.75,1.99,1.75,1.99,+0.13,4
2010/03/18,"6,442","12,659",1.99,1.99,1.99,1.99,0.00,6
2010/03/19,"7,000","13,930",1.99,1.99,1.99,1.99,0.00,3
2010/03/22,"3,550","7,020",1.99,1.99,1.99,1.99,0.00,2
2010/03/23,"7,000","13,930",1.99,1.99,1.99,1.99,0.00,2
2010/03/24,"10,435","21,658",1.99,2.12,1.99,2.12,+0.13,6
2010/03/25,"13,000","27,700",2.10,2.26,2.10,2.26,+0.14,7
2010/03/26,0,0,--,--,--,--,0.00,0
2010/03/29,"5,040","11,104",2.26,2.26,2.12,2.12,X0.00,3
2010/03/30,"5,000","9,900",1.98,1.98,1.98,1.98,-0.14,1
2010/03/31,"6,000","11,760",2.10,2.10,1.86,1.86,-0.12,3
2010/04/01,"4,199","7,680",1.86,1.86,1.76,1.76,-0.10,11
2010/04/02,"76,301","143,049",1.76,1.88,1.76,1.88,+0.12,7
2010/04/06,"13,000","25,700",2.00,2.00,1.90,1.90,+0.02,3
2010/04/07,0,0,--,--,--,--,0.00,0
2010/04/08,"11,000","19,520",1.78,1.78,1.77,1.77,X0.00,3
2010/04/09,"6,622","11,539",1.77,1.77,1.77,1.77,0.00,8
2010/04/12,"1,544","2,677",1.77,1.77,1.77,1.77,0.00,4
2010/04/13,"2,942","5,344",1.76,1.89,1.76,1.89,+0.12,4
2010/04/14,"78,000","157,560",2.02,2.02,2.02,2.02,+0.13,10
2010/04/15,"11,574","24,970",2.16,2.16,2.16,2.16,+0.14,5
2010/04/16,"22,000","50,420",2.21,2.30,2.21,2.30,+0.14,5
2010/04/19,"1,000","2,140",2.14,2.14,2.14,2.14,-0.16,1
2010/04/20,"4,632","9,801",2.00,2.25,2.00,2.25,+0.11,3
2010/04/21,320,671,--,--,--,--,0.00,2
2010/04/22,0,0,--,--,--,--,0.00,0
2010/04/23,0,0,--,--,--,--,0.00,0
2010/04/26,"15,000","31,500",2.10,2.10,2.10,2.10,X0.00,2
2010/04/27,0,0,--,--,--,--,0.00,0
2010/04/28,0,0,--,--,--,--,0.00,0
2010/04/29,0,0,--,--,--,--,0.00,0
2010/04/30,"3,000","6,210",2.07,2.07,2.07,2.07,X0.00,1
2010/05/03,0,0,--,--,--,--,0.00,0
2010/05/04,"57,000","114,000",2.00,2.00,2.00,2.00,X0.00,9
2010/05/05,"1,000","1,990",1.99,1.99,1.99,1.99,-0.01,1
2010/05/06,"29,000","55,760",1.99,1.99,1.86,1.86,-0.13,5
2010/05/07,0,0,--,--,--,--,0.00,0
2010/05/10,0,0,--,--,--,--,0.00,0
2010/05/11,"10,000","19,900",1.99,1.99,1.99,1.99,X0.00,2
2010/05/12,"28,000","57,560",2.12,2.12,2.00,2.00,+0.01,3
2010/05/13,"2,654","5,522",2.14,2.14,2.14,2.14,+0.14,2
2010/05/14,"60,242","131,734",2.25,2.25,2.00,2.00,-0.14,12
2010/05/17,"1,044","2,088",2.00,2.00,2.00,2.00,0.00,3
2010/05/18,0,0,--,--,--,--,0.00,0
2010/05/19,0,0,--,--,--,--,0.00,0
2010/05/20,0,0,--,--,--,--,0.00,0
2010/05/21,0,0,--,--,--,--,0.00,0
2010/05/24,"5,000","10,500",2.10,2.10,2.10,2.10,X0.00,1
2010/05/25,"2,000","4,480",2.24,2.24,2.24,2.24,+0.14,1
2010/05/26,0,0,--,--,--,--,0.00,0
2010/05/27,0,0,--,--,--,--,0.00,0
2010/05/28,"15,000","29,250",1.95,1.95,1.95,1.95,X0.00,4
2010/05/31,0,0,--,--,--,--,0.00,0
2010/06/01,0,0,--,--,--,--,0.00,0
2010/06/02,0,0,--,--,--,--,0.00,0
2010/06/03,0,0,--,--,--,--,0.00,0
2010/06/04,0,0,--,--,--,--,0.00,0
2010/06/07,0,0,--,--,--,--,0.00,0
2010/06/08,0,0,--,--,--,--,0.00,0
2010/06/09,0,0,--,--,--,--,0.00,0
2010/06/10,"10,000","19,500",1.95,1.95,1.95,1.95,X0.00,1
2010/06/11,0,0,--,--,--,--,0.00,0
2010/06/14,0,0,--,--,--,--,0.00,0
2010/06/15,0,0,--,--,--,--,0.00,0
2010/06/17,0,0,--,--,--,--,0.00,0
2010/06/18,"2,652","5,345",2.07,2.07,2.07,2.07,X0.00,4
2010/06/21,"3,000","6,570",2.19,2.19,2.19,2.19,+0.12,1
2010/06/22,0,0,--,--,--,--,0.00,0
2010/06/23,399,813,--,--,--,--,0.00,2
2010/06/24,"8,000","15,200",1.90,1.90,1.90,1.90,X0.00,1
2010/06/25,0,0,--,--,--,--,0.00,0
2010/06/28,"7,000","12,390",1.77,1.77,1.77,1.77,X0.00,2
2010/06/29,0,0,--,--,--,--,0.00,0
