日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"28,444,834","380,207,214",12.75,13.6,12.7,13.5,+0.75,"4,160"
2010/01/05,"12,033,759","160,884,161",13.55,13.6,13.1,13.3,-0.20,"1,844"
2010/01/06,"16,348,484","221,608,394",13.4,13.95,13.3,13.65,+0.35,"2,628"
2010/01/07,"18,387,806","257,635,033",13.85,14.4,13.7,13.75,+0.10,"2,832"
2010/01/08,"8,109,176","111,259,323",13.75,13.9,13.55,13.65,-0.10,"1,424"
2010/01/11,"10,296,143","143,578,707",13.8,14.15,13.75,13.85,+0.20,"1,512"
2010/01/12,"5,299,187","73,094,999",13.95,14.05,13.5,13.5,-0.35,966
2010/01/13,"4,492,114","60,349,818",13.5,13.6,13.35,13.4,-0.10,849
2010/01/14,"3,379,762","45,779,491",13.55,13.65,13.4,13.55,+0.15,672
2010/01/15,"5,997,329","81,792,133",13.6,13.75,13.45,13.45,-0.10,772
2010/01/18,"5,068,481","68,295,061",13.45,13.6,13.4,13.45,0.00,820
2010/01/19,"13,194,442","183,179,438",13.5,14.15,13.5,13.9,+0.45,"2,241"
2010/01/20,"4,744,794","65,785,944",14.1,14.15,13.6,13.6,-0.30,999
2010/01/21,"5,225,168","70,065,845",13.5,13.6,13.2,13.2,-0.40,"1,137"
2010/01/22,"6,318,602","81,642,026",13.05,13.15,12.7,13.05,-0.15,"1,061"
2010/01/25,"3,061,891","39,393,861",12.8,13.05,12.7,12.75,-0.30,550
2010/01/26,"5,444,638","67,146,906",12.9,12.9,11.95,12.05,-0.70,"1,184"
2010/01/27,"3,247,563","39,245,912",12.2,12.3,11.9,12.1,+0.05,598
2010/01/28,"15,831,088","191,804,416",12.2,12.25,12.0,12.1,0.00,"1,633"
2010/01/29,"4,528,687","53,795,144",11.9,12.0,11.8,12.0,-0.10,811
2010/02/01,"4,566,795","53,476,257",12.0,12.1,11.5,11.65,-0.35,677
2010/02/02,"3,600,512","42,191,736",11.9,12.0,11.4,11.5,-0.15,897
2010/02/03,"1,867,614","21,785,500",11.7,11.8,11.55,11.65,+0.15,442
2010/02/04,"2,959,662","35,159,876",11.8,12.0,11.7,11.9,+0.25,565
2010/02/05,"8,213,734","92,385,514",11.65,11.65,11.1,11.45,-0.45,"1,192"
2010/02/06,"3,340,281","36,954,130",11.45,11.45,10.8,11.2,-0.25,545
2010/02/08,"6,169,634","68,624,500",11.2,11.3,11.0,11.0,-0.20,"1,009"
2010/02/09,"6,066,123","67,846,088",11.0,11.4,10.95,11.4,+0.40,"1,106"
2010/02/10,"7,137,082","82,369,448",11.55,11.7,11.4,11.65,+0.25,"1,001"
2010/02/22,"2,581,632","30,478,403",11.85,11.9,11.7,11.85,+0.20,472
2010/02/23,"1,551,933","18,293,408",11.8,11.9,11.65,11.9,+0.05,296
2010/02/24,"7,007,988","85,332,352",11.85,12.3,11.7,12.2,+0.30,"1,091"
2010/02/25,"10,961,540","136,982,564",12.4,12.65,12.2,12.2,0.00,"1,841"
2010/02/26,"2,376,998","29,191,374",12.4,12.45,12.1,12.3,+0.10,553
2010/03/01,"3,891,219","48,758,562",12.45,12.65,12.35,12.5,+0.20,749
2010/03/02,"2,533,678","31,505,104",12.6,12.6,12.35,12.45,-0.05,480
2010/03/03,"4,576,117","57,039,549",12.4,12.65,12.3,12.45,0.00,981
2010/03/04,"8,485,708","106,489,912",12.35,12.75,12.35,12.45,0.00,"1,175"
2010/03/05,"12,922,681","165,183,511",12.6,12.95,12.6,12.7,+0.25,"2,029"
2010/03/08,"9,018,029","116,745,373",12.9,13.1,12.75,13.1,+0.40,"1,550"
2010/03/09,"5,676,718","74,312,103",13.1,13.25,12.9,13.15,+0.05,905
2010/03/10,"4,929,801","64,311,029",13.15,13.2,12.95,12.95,-0.20,878
2010/03/11,"6,268,567","79,925,435",13.0,13.05,12.55,12.55,-0.40,"1,148"
2010/03/12,"4,571,360","57,567,529",12.6,12.7,12.5,12.5,-0.05,"1,126"
2010/03/15,"3,877,698","48,769,036",12.5,12.8,12.45,12.5,0.00,698
2010/03/16,"2,896,163","36,618,198",12.55,12.75,12.5,12.65,+0.15,528
2010/03/17,"2,646,334","33,886,586",12.75,12.9,12.7,12.8,+0.15,689
2010/03/18,"15,391,073","205,309,662",13.0,13.6,13.0,13.25,+0.45,"3,207"
2010/03/19,"5,778,747","77,258,884",13.35,13.45,13.25,13.35,+0.10,"1,401"
2010/03/22,"3,238,591","42,852,797",13.35,13.4,13.1,13.2,-0.15,900
2010/03/23,"4,843,786","63,260,237",13.2,13.3,12.85,12.95,-0.25,"1,209"
2010/03/24,"3,054,273","39,787,403",13.0,13.15,12.9,12.9,-0.05,726
2010/03/25,"2,641,792","34,033,414",12.9,13.0,12.8,12.95,+0.05,608
2010/03/26,"2,875,237","37,307,931",13.0,13.1,12.85,13.1,+0.15,542
2010/03/29,"2,708,768","35,519,884",13.1,13.2,13.0,13.1,0.00,575
2010/03/30,"1,864,800","24,465,885",13.25,13.25,13.05,13.1,0.00,439
2010/03/31,"3,759,586","48,673,916",13.1,13.1,12.8,12.8,-0.30,758
2010/04/01,"2,732,932","35,298,124",12.8,13.0,12.8,12.9,+0.10,618
2010/04/02,"4,839,265","61,850,934",12.95,13.0,12.7,12.8,-0.10,"1,281"
2010/04/06,"3,362,242","43,570,643",13.0,13.05,12.9,12.9,+0.10,817
2010/04/07,"2,374,046","30,765,190",12.9,13.0,12.9,12.95,+0.05,540
2010/04/08,"5,466,412","71,710,841",13.0,13.3,13.0,13.2,+0.25,"1,222"
2010/04/09,"14,772,179","199,959,184",13.3,13.8,13.2,13.7,+0.50,"2,895"
2010/04/12,"20,806,300","300,559,223",13.85,14.65,13.85,14.65,+0.95,"3,160"
2010/04/13,"16,332,339","237,292,807",14.85,14.85,14.0,14.3,-0.35,"2,974"
2010/04/14,"6,265,040","89,344,014",14.3,14.4,14.15,14.4,+0.10,"1,307"
2010/04/15,"10,158,275","147,489,197",14.5,14.65,14.3,14.5,+0.10,"1,808"
2010/04/16,"9,553,206","137,066,497",14.55,14.65,14.25,14.25,-0.25,"1,608"
2010/04/19,"11,520,969","156,273,936",13.95,14.05,13.3,13.3,-0.95,"1,875"
2010/04/20,"7,418,976","97,756,628",13.35,13.45,12.95,13.35,+0.05,"1,270"
2010/04/21,"5,668,014","77,244,789",13.55,13.8,13.4,13.75,+0.40,"1,140"
2010/04/22,"4,451,066","60,265,347",13.7,13.75,13.2,13.75,0.00,"1,139"
2010/04/23,"3,046,737","41,554,494",13.75,13.75,13.5,13.6,-0.15,711
2010/04/26,"7,049,396","96,902,232",13.75,13.95,13.6,13.7,+0.10,"1,085"
2010/04/27,"16,913,306","238,155,254",13.7,14.5,13.7,14.5,+0.80,"2,690"
2010/04/28,"42,223,584","636,037,830",14.6,15.5,14.6,15.15,+0.65,"8,460"
2010/04/29,"15,690,323","231,826,962",15.2,15.2,14.5,14.5,-0.65,"3,410"
2010/04/30,"12,018,434","171,018,200",14.65,14.7,13.85,13.9,-0.60,"2,266"
2010/05/03,"6,178,431","85,813,658",13.9,14.05,13.75,14.0,+0.10,"1,191"
2010/05/04,"7,350,223","102,066,578",14.35,14.35,13.65,13.7,-0.30,"1,615"
2010/05/05,"5,516,437","72,888,515",13.2,13.35,13.1,13.15,-0.55,"1,370"
2010/05/06,"5,444,332","70,916,998",13.05,13.25,12.8,12.9,-0.25,"1,083"
2010/05/07,"9,403,987","117,295,930",12.3,12.9,12.15,12.9,0.00,"1,680"
2010/05/10,"7,958,759","103,122,867",12.9,13.3,12.7,13.0,+0.10,"1,714"
2010/05/11,"5,612,649","73,707,465",13.0,13.35,13.0,13.3,+0.30,"1,037"
2010/05/12,"6,140,743","81,354,966",13.35,13.4,13.0,13.0,-0.30,924
2010/05/13,"11,445,591","153,283,867",13.2,13.55,13.2,13.45,+0.45,"1,825"
2010/05/14,"2,296,068","30,643,106",13.3,13.45,13.25,13.4,-0.05,569
2010/05/17,"3,446,693","44,791,821",13.1,13.2,12.9,12.9,-0.50,749
2010/05/18,"2,689,988","35,111,994",13.05,13.15,12.95,13.1,+0.20,623
2010/05/19,"3,179,481","41,744,469",13.0,13.4,12.9,13.3,+0.20,713
2010/05/20,"4,417,651","57,580,629",13.3,13.35,12.85,12.9,-0.40,953
2010/05/21,"4,536,778","56,382,781",12.4,12.6,12.3,12.45,-0.45,"1,036"
2010/05/24,"1,606,401","20,268,361",12.55,12.7,12.5,12.65,+0.20,463
2010/05/25,"4,471,633","54,519,906",12.35,12.5,11.9,12.1,-0.55,"1,001"
2010/05/26,"2,838,971","34,678,736",12.25,12.4,11.95,12.4,+0.30,598
2010/05/27,"2,093,846","26,018,809",12.4,12.55,12.25,12.5,+0.10,568
2010/05/28,"16,829,490","221,427,020",12.7,13.35,12.6,12.95,+0.45,"2,662"
2010/05/31,"3,906,028","50,338,208",12.9,13.1,12.75,12.95,0.00,992
2010/06/01,"2,670,812","34,079,483",12.95,12.95,12.7,12.7,-0.25,647
2010/06/02,"3,866,872","48,819,584",12.6,12.85,12.5,12.55,-0.15,637
2010/06/03,"2,822,137","35,965,241",12.8,12.85,12.65,12.75,+0.20,605
2010/06/04,"1,641,595","20,989,854",12.8,12.9,12.65,12.75,0.00,425
2010/06/07,"1,925,419","23,798,397",12.4,12.5,12.25,12.4,-0.35,489
2010/06/08,"2,498,100","31,577,178",12.5,12.8,12.35,12.6,+0.20,572
2010/06/09,"2,161,500","27,301,875",12.6,12.8,12.5,12.5,-0.10,491
2010/06/10,"1,947,398","24,769,553",12.5,12.85,12.5,12.75,+0.25,515
2010/06/11,"4,464,284","57,792,430",12.9,13.1,12.8,12.9,+0.15,"1,038"
2010/06/14,"3,005,752","39,051,281",13.1,13.1,12.85,12.95,+0.05,689
2010/06/15,"2,761,789","35,826,507",13.0,13.05,12.9,13.05,+0.10,485
2010/06/17,"6,099,681","80,125,267",13.1,13.25,13.0,13.2,+0.15,"1,272"
2010/06/18,"3,944,848","52,249,957",13.3,13.35,13.1,13.2,0.00,874
2010/06/21,"5,575,823","74,537,940",13.4,13.5,13.25,13.35,+0.15,"1,048"
2010/06/22,"2,903,801","38,667,101",13.4,13.45,13.2,13.3,-0.05,570
2010/06/23,"7,133,538","96,762,211",13.3,13.7,13.2,13.55,+0.25,"1,427"
2010/06/24,"10,944,460","151,285,217",13.6,14.1,13.5,13.9,+0.35,"2,516"
2010/06/25,"4,122,949","55,697,762",13.7,13.75,13.35,13.35,-0.55,"1,156"
2010/06/28,"5,251,210","72,103,055",13.7,13.9,13.5,13.6,+0.25,"1,159"
2010/06/29,"3,021,105","40,780,700",13.8,13.8,13.35,13.4,-0.20,695
2010/06/30,"2,812,188","36,899,980",13.05,13.3,13.0,13.2,-0.20,658
2010/07/01,"1,655,397","21,694,211",13.15,13.2,13.05,13.05,-0.15,389
2010/07/02,"2,025,523","26,771,049",13.1,13.35,13.1,13.15,+0.10,492
2010/07/05,"1,354,813","17,990,818",13.15,13.4,13.15,13.35,+0.20,323
2010/07/06,"2,460,525","33,045,736",13.3,13.6,13.25,13.6,+0.25,588
2010/07/07,"2,203,281","29,713,996",13.6,13.6,13.4,13.45,-0.15,521
2010/07/08,"2,986,717","40,317,054",13.55,13.65,13.4,13.5,+0.05,723
2010/07/09,"1,907,860","25,835,772",13.7,13.7,13.5,13.5,0.00,462
2010/07/12,"2,491,919","33,454,365",13.6,13.6,13.35,13.4,-0.10,433
2010/07/13,"3,709,778","49,361,727",13.4,13.45,13.2,13.2,-0.20,610
2010/07/14,"2,953,826","39,203,598",13.3,13.4,13.2,13.3,+0.10,622
2010/07/15,"1,886,232","25,137,880",13.2,13.45,13.2,13.4,+0.10,490
2010/07/16,"3,919,959","52,344,746",13.4,13.45,13.25,13.4,0.00,764
2010/07/19,"1,682,223","22,374,843",13.25,13.4,13.25,13.3,-0.10,410
2010/07/20,"4,776,711","64,593,956",13.35,13.65,13.3,13.55,+0.25,940
2010/07/21,"4,322,321","58,499,300",13.65,13.65,13.4,13.45,-0.10,794
2010/07/22,"1,789,818","24,073,409",13.45,13.5,13.4,13.4,-0.05,333
2010/07/23,"17,743,792","244,556,984",13.6,13.95,13.5,13.8,+0.40,"2,502"
2010/07/26,"4,593,552","63,496,629",13.9,13.95,13.7,13.7,-0.10,929
2010/07/27,"3,438,499","47,077,582",13.85,13.85,13.6,13.65,-0.05,748
2010/07/28,"7,180,942","99,366,795",13.7,13.95,13.65,13.9,+0.25,"1,055"
2010/07/29,"7,703,107","107,933,887",13.9,14.15,13.8,14.0,+0.10,"1,550"
2010/07/30,"6,488,960","91,184,032",14.0,14.2,13.9,14.15,+0.15,"1,068"
2010/08/02,"19,938,046","291,987,765",14.3,15.1,14.3,14.8,+0.65,"2,956"
2010/08/03,"13,374,653","198,348,355",15.0,15.2,14.65,14.9,+0.10,"1,916"
2010/08/04,"28,474,461","429,939,044",14.95,15.5,14.8,15.5,+0.60,"3,835"
2010/08/05,"26,481,895","389,467,043",15.0,15.0,14.3,14.35,X0.00,"4,267"
2010/08/06,"9,427,391","138,166,412",14.65,14.85,14.45,14.75,+0.40,"1,886"
2010/08/09,"9,187,197","137,242,433",14.8,15.15,14.7,14.8,+0.05,"1,821"
2010/08/10,"8,898,201","129,397,737",14.8,14.95,14.2,14.4,-0.40,"1,577"
2010/08/11,"6,022,934","85,972,396",14.4,14.5,14.1,14.4,0.00,"1,186"
2010/08/12,"5,724,048","81,499,429",14.3,14.35,14.1,14.35,-0.05,805
2010/08/13,"8,076,652","117,804,932",14.35,14.7,14.25,14.65,+0.30,"1,450"
2010/08/16,"18,509,728","280,296,208",14.75,15.35,14.75,15.25,+0.60,"3,220"
2010/08/17,"22,206,996","351,860,382",15.5,16.15,15.5,15.6,+0.35,"3,951"
2010/08/18,"10,066,049","155,538,841",15.8,15.8,15.2,15.3,-0.30,"2,318"
2010/08/19,"5,722,870","87,325,032",15.4,15.45,15.1,15.2,-0.10,"1,394"
2010/08/20,"15,566,369","243,540,285",15.1,15.95,15.05,15.75,+0.55,"3,314"
2010/08/23,"41,273,327","684,554,243",16.0,16.85,16.0,16.55,+0.80,"5,988"
2010/08/24,"15,929,812","261,060,251",16.55,16.6,16.2,16.3,-0.25,"3,207"
2010/08/25,"23,989,438","370,974,269",16.2,16.2,15.2,15.3,-1.00,"3,823"
2010/08/26,"10,976,806","164,842,178",15.25,15.5,14.75,15.2,-0.10,"1,996"
2010/08/27,"9,272,897","139,938,832",15.1,15.25,14.9,15.15,-0.05,"1,919"
2010/08/30,"5,534,933","83,630,831",15.25,15.3,14.85,15.15,0.00,"1,083"
2010/08/31,"5,800,207","85,440,292",15.1,15.1,14.5,14.6,-0.55,"1,170"
2010/09/01,"6,300,540","93,742,800",14.8,15.05,14.65,15.0,+0.40,"1,038"
2010/09/02,"8,829,535","135,307,082",15.2,15.6,15.1,15.5,+0.50,"2,080"
2010/09/03,"7,668,969","119,133,720",15.6,15.8,15.3,15.35,-0.15,"1,867"
2010/09/06,"4,532,003","70,296,444",15.45,15.65,15.4,15.4,+0.05,"1,154"
2010/09/07,"14,108,667","222,914,051",15.4,16.05,15.4,15.7,+0.30,"2,347"
2010/09/08,"17,287,206","275,752,921",15.7,16.2,15.65,15.65,-0.05,"2,551"
