日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"773,819","6,710,588",8.70,8.80,8.58,8.60,-0.14,246
2010/01/05,"676,903","5,833,074",8.69,8.75,8.55,8.62,+0.02,196
2010/01/06,"1,151,967","10,027,022",8.70,8.78,8.62,8.66,+0.04,317
2010/01/07,"1,132,944","9,839,046",8.70,8.82,8.46,8.50,-0.16,329
2010/01/08,"451,690","3,871,513",8.50,8.61,8.50,8.60,+0.10,146
2010/01/11,"2,036,667","18,507,558",8.65,9.20,8.60,9.20,+0.60,488
2010/01/12,"2,356,784","22,152,326",9.68,9.68,9.00,9.12,-0.08,674
2010/01/13,"1,038,467","9,275,714",9.08,9.08,8.76,8.78,-0.34,335
2010/01/14,"551,451","4,883,578",8.90,8.92,8.80,8.84,+0.06,190
2010/01/15,"827,321","7,436,653",8.86,9.10,8.86,8.95,+0.11,257
2010/01/18,"2,654,003","25,141,942",9.00,9.57,9.00,9.57,+0.62,659
2010/01/19,"5,720,002","58,319,400",10.20,10.20,10.00,10.20,+0.63,"1,285"
2010/01/20,"3,162,834","31,282,416",10.20,10.20,9.60,9.65,-0.55,903
2010/01/21,"1,450,220","13,492,981",9.55,9.55,9.20,9.30,-0.35,468
2010/01/22,"1,111,186","9,958,294",8.88,9.15,8.88,9.00,-0.30,313
2010/01/25,"1,674,550","15,634,702",8.85,9.63,8.80,9.50,+0.50,512
2010/01/26,"1,325,014","11,990,720",9.48,9.48,8.88,8.88,-0.62,403
2010/01/27,"535,181","4,720,622",9.10,9.10,8.70,8.73,-0.15,199
2010/01/28,"494,290","4,406,610",8.82,9.03,8.80,9.02,+0.29,151
2010/01/29,"406,118","3,591,263",8.90,8.99,8.72,8.86,-0.16,143
2010/02/01,"223,088","1,961,453",8.88,8.88,8.71,8.80,-0.06,100
2010/02/02,"337,414","2,926,994",8.87,8.95,8.31,8.46,-0.34,122
2010/02/03,"336,417","2,833,481",8.56,8.60,8.30,8.35,-0.11,142
2010/02/04,"348,021","2,891,987",8.40,8.40,8.21,8.39,+0.04,131
2010/02/05,"653,241","5,263,037",8.26,8.30,7.81,7.84,-0.55,181
2010/02/06,"374,917","2,846,081",7.83,7.92,7.30,7.35,-0.49,155
2010/02/08,"122,113","908,334",7.35,7.55,7.35,7.49,+0.14,59
2010/02/09,"278,474","2,117,897",7.48,7.80,7.25,7.75,+0.26,93
2010/02/10,"282,730","2,226,936",7.88,7.98,7.80,7.93,+0.18,96
2010/02/22,"91,327","736,366",8.17,8.17,8.00,8.01,+0.08,49
2010/02/23,"132,542","1,059,016",8.12,8.12,7.84,8.02,+0.01,57
2010/02/24,"165,959","1,316,990",7.94,8.10,7.85,7.98,-0.04,83
2010/02/25,"233,000","1,855,100",8.03,8.08,7.84,7.84,-0.14,83
2010/02/26,"121,072","954,331",7.85,7.96,7.85,7.85,+0.01,56
2010/03/01,"148,532","1,181,156",7.98,7.99,7.91,7.93,+0.08,70
2010/03/02,"253,173","2,037,985",8.00,8.13,7.97,8.00,+0.07,81
2010/03/03,"315,707","2,563,142",8.00,8.19,8.00,8.10,+0.10,98
2010/03/04,"266,450","2,156,690",8.17,8.18,8.00,8.10,0.00,102
2010/03/05,"265,335","2,162,190",8.17,8.29,8.04,8.06,-0.04,101
2010/03/08,"374,083","3,023,544",8.08,8.12,8.04,8.06,0.00,107
2010/03/09,"196,463","1,568,194",8.08,8.10,7.92,7.92,-0.14,77
2010/03/10,"335,145","2,657,147",7.92,8.02,7.88,7.96,+0.04,103
2010/03/11,"223,324","1,766,164",8.00,8.00,7.85,7.89,-0.07,71
2010/03/12,"69,145","547,001",7.87,7.95,7.86,7.88,-0.01,35
2010/03/15,"86,017","676,382",7.89,7.94,7.85,7.85,-0.03,40
2010/03/16,"74,111","581,163",7.81,7.91,7.81,7.90,+0.05,32
2010/03/17,"103,227","817,948",7.95,7.95,7.86,7.90,0.00,60
2010/03/18,"320,882","2,589,609",7.90,8.19,7.90,8.09,+0.19,111
2010/03/19,"176,260","1,428,090",8.20,8.25,8.04,8.04,-0.05,77
2010/03/22,"277,526","2,232,768",8.04,8.10,7.95,8.07,+0.03,95
2010/03/23,"266,015","2,143,700",8.10,8.13,8.01,8.02,-0.05,63
2010/03/24,"235,817","1,893,726",8.05,8.12,8.01,8.03,+0.01,88
2010/03/25,"192,178","1,531,531",8.00,8.05,7.94,7.95,-0.08,71
2010/03/26,"293,399","2,320,607",7.95,7.96,7.85,7.94,-0.01,109
2010/03/29,"324,326","2,577,118",7.94,8.00,7.89,7.97,+0.03,103
2010/03/30,"346,232","2,736,047",7.90,8.00,7.88,7.90,-0.07,107
2010/03/31,"893,904","7,268,774",7.90,8.29,7.90,8.28,+0.38,281
2010/04/01,"863,463","7,130,643",8.28,8.35,8.13,8.30,+0.02,217
2010/04/02,"288,384","2,385,638",8.29,8.37,8.15,8.19,-0.11,97
