日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"911,541","2,867,803",3.12,3.18,3.10,3.17,+0.05,171
2010/01/05,"1,533,429","4,932,101",3.29,3.29,3.17,3.21,+0.04,260
2010/01/06,"1,406,155","4,557,137",3.27,3.27,3.20,3.25,+0.04,222
2010/01/07,"1,968,791","6,481,063",3.27,3.35,3.24,3.24,-0.01,320
2010/01/08,"1,220,917","3,994,907",3.29,3.33,3.18,3.29,+0.05,247
2010/01/11,"3,221,374","11,246,971",3.30,3.52,3.30,3.52,+0.23,493
2010/01/12,"3,683,563","13,205,377",3.60,3.68,3.44,3.68,+0.16,606
2010/01/13,"2,286,316","8,032,433",3.54,3.63,3.46,3.47,-0.21,429
2010/01/14,"1,269,171","4,448,336",3.50,3.57,3.48,3.48,+0.01,243
2010/01/15,"986,123","3,485,137",3.54,3.55,3.50,3.55,+0.07,227
2010/01/18,"2,648,289","9,890,728",3.54,3.79,3.52,3.79,+0.24,455
2010/01/19,"2,549,295","9,800,203",3.90,3.95,3.70,3.77,-0.02,500
2010/01/20,"2,332,851","8,637,218",3.77,3.85,3.60,3.69,-0.08,360
2010/01/21,"2,125,025","7,514,646",3.59,3.63,3.46,3.47,-0.22,399
2010/01/22,"1,665,959","5,443,427",3.25,3.38,3.24,3.26,-0.21,298
2010/01/25,"857,480","2,829,981",3.24,3.40,3.20,3.37,+0.11,212
2010/01/26,"1,514,355","4,910,953",3.40,3.40,3.14,3.18,-0.19,253
2010/01/27,"517,233","1,626,613",3.18,3.21,3.10,3.16,-0.02,152
2010/01/28,"1,324,701","4,249,867",3.20,3.25,3.17,3.25,+0.09,209
2010/01/29,"744,518","2,363,196",3.21,3.24,3.14,3.24,-0.01,177
2010/02/01,"682,999","2,147,696",3.22,3.22,3.12,3.12,-0.12,159
2010/02/02,"1,142,822","3,614,703",3.19,3.21,3.10,3.10,-0.02,185
2010/02/03,"712,665","2,207,689",3.19,3.19,3.07,3.08,-0.02,168
2010/02/04,"474,119","1,474,699",3.10,3.15,3.08,3.15,+0.07,135
2010/02/05,"1,263,029","3,727,844",3.12,3.12,2.93,2.93,-0.22,269
2010/02/06,"1,182,269","3,297,867",2.92,2.92,2.73,2.84,-0.09,275
2010/02/08,"1,058,788","2,996,004",2.84,2.94,2.75,2.76,-0.08,194
2010/02/09,"549,060","1,554,098",2.76,2.90,2.76,2.87,+0.11,131
2010/02/10,"670,019","1,964,715",2.98,2.98,2.90,2.90,+0.03,148
2010/02/22,"481,482","1,428,065",2.92,3.00,2.92,2.96,+0.06,121
2010/02/23,"271,671","799,582",2.95,2.97,2.92,2.97,+0.01,82
2010/02/24,"265,000","783,930",2.93,2.99,2.93,2.94,-0.03,65
2010/02/25,"404,557","1,192,352",2.95,2.99,2.92,2.92,-0.02,79
2010/02/26,"239,000","702,680",2.93,2.97,2.91,2.93,+0.01,69
2010/03/01,"279,200","828,750",2.93,3.00,2.93,2.97,+0.04,83
2010/03/02,"389,200","1,156,593",3.00,3.00,2.94,2.98,+0.01,91
2010/03/03,"363,000","1,081,820",3.00,3.01,2.95,3.00,+0.02,80
2010/03/04,"725,216","2,216,098",3.02,3.17,2.98,3.03,+0.03,150
2010/03/05,"1,511,207","4,656,535",3.05,3.15,3.04,3.11,+0.08,192
2010/03/08,"777,000","2,407,060",3.11,3.15,3.06,3.06,-0.05,109
2010/03/09,"459,719","1,412,021",3.07,3.11,3.04,3.08,+0.02,102
2010/03/10,"349,198","1,065,633",3.05,3.10,3.02,3.10,+0.02,65
2010/03/11,"647,496","1,972,622",3.10,3.10,3.03,3.03,-0.07,87
2010/03/12,"140,000","423,160",3.03,3.05,2.99,3.02,-0.01,41
2010/03/15,"290,288","878,477",3.05,3.05,2.99,2.99,-0.03,57
2010/03/16,"926,158","2,815,364",2.99,3.07,2.98,3.06,+0.07,112
