日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"9,678,590","88,156,498",8.86,9.32,8.79,9.32,+0.46,"1,690"
2010/01/05,"5,728,940","52,016,393",9.38,9.38,8.9,8.94,-0.38,"1,066"
2010/01/06,"5,129,896","46,425,349",8.94,9.14,8.94,9.1,+0.16,929
2010/01/07,"7,901,662","72,921,216",9.0,9.48,9.0,9.11,+0.01,"1,339"
2010/01/08,"7,153,216","66,278,122",9.2,9.38,9.15,9.22,+0.11,"1,245"
2010/01/11,"11,223,084","105,159,601",9.3,9.48,9.27,9.3,+0.08,"1,963"
2010/01/12,"5,112,530","47,291,429",9.35,9.37,9.14,9.3,0.00,930
2010/01/13,"5,039,393","45,863,580",9.21,9.22,9.02,9.19,-0.11,880
2010/01/14,"3,730,967","34,364,651",9.23,9.28,9.15,9.24,+0.05,718
2010/01/15,"3,692,172","34,103,607",9.24,9.29,9.18,9.25,+0.01,629
2010/01/18,"5,075,765","47,149,569",9.25,9.35,9.2,9.28,+0.03,860
2010/01/19,"3,310,411","30,558,622",9.31,9.35,9.18,9.18,-0.10,540
2010/01/20,"2,047,664","18,665,366",9.2,9.25,9.01,9.06,-0.12,501
2010/01/21,"3,853,845","34,333,248",8.95,9.06,8.7,8.9,-0.16,814
2010/01/22,"2,338,322","20,144,584",8.6,8.8,8.5,8.61,-0.29,445
2010/01/25,"1,608,404","13,741,840",8.45,8.61,8.45,8.48,-0.13,324
2010/01/26,"4,358,802","36,125,359",8.55,8.59,8.0,8.12,-0.36,636
2010/01/27,"3,607,915","29,080,390",8.12,8.2,7.81,7.95,-0.17,433
2010/01/28,"2,318,167","18,754,810",7.95,8.18,7.95,8.15,+0.20,308
2010/01/29,"2,227,694","17,859,577",8.02,8.15,7.93,8.08,-0.07,252
2010/02/01,"2,467,745","20,124,126",8.11,8.25,8.1,8.11,+0.03,369
2010/02/02,"3,350,133","27,307,003",8.15,8.24,7.96,7.99,-0.12,413
2010/02/03,"2,327,482","18,762,635",8.0,8.14,8.0,8.03,+0.04,319
2010/02/04,"2,089,379","16,771,312",8.03,8.08,8.0,8.04,+0.01,245
2010/02/05,"4,171,710","32,151,429",7.8,7.9,7.48,7.48,-0.56,522
2010/02/06,"2,476,726","17,569,448",7.48,7.49,6.96,7.08,-0.40,366
2010/02/08,"2,300,899","16,933,052",7.1,7.57,7.08,7.57,+0.49,458
2010/02/09,"3,295,337","26,126,863",7.7,8.09,7.6,8.09,+0.52,514
2010/02/10,"2,991,263","24,438,610",8.15,8.3,8.06,8.07,-0.02,486
2010/02/22,"1,698,708","13,781,991",8.2,8.2,8.0,8.11,+0.04,320
2010/02/23,"1,174,745","9,537,637",8.11,8.2,8.02,8.2,+0.09,193
2010/02/24,"5,437,114","45,792,691",8.2,8.59,8.1,8.49,+0.29,731
2010/02/25,"8,152,551","72,475,157",8.51,9.05,8.51,8.8,+0.31,"1,256"
2010/02/26,"8,123,691","73,164,124",8.95,9.15,8.88,9.11,+0.31,"1,241"
2010/03/01,"6,043,921","55,746,118",9.24,9.31,9.06,9.14,+0.03,"1,070"
2010/03/02,"2,313,235","20,942,630",9.14,9.2,8.98,8.99,-0.15,502
2010/03/03,"6,314,994","57,907,582",9.05,9.34,8.99,9.22,+0.23,"1,152"
2010/03/04,"5,039,723","46,958,278",9.3,9.43,9.13,9.27,+0.05,914
2010/03/05,"7,238,905","68,424,810",9.3,9.6,9.3,9.31,+0.04,"1,322"
2010/03/08,"7,010,602","66,232,472",9.41,9.56,9.23,9.5,+0.19,"1,321"
2010/03/09,"5,018,630","47,812,517",9.58,9.63,9.4,9.52,+0.02,965
2010/03/10,"3,170,294","29,787,332",9.51,9.51,9.32,9.38,-0.14,695
