日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"749,602","6,743,449",8.99,9.1,8.85,9.06,+0.21,175
2010/01/05,"371,878","3,367,455",9.19,9.19,8.95,9.0,-0.06,102
2010/01/06,"509,983","4,598,536",9.0,9.09,9.0,9.09,+0.09,129
2010/01/07,"1,507,061","14,133,720",9.19,9.55,9.13,9.2,+0.11,398
2010/01/08,"611,166","5,686,327",9.22,9.38,9.21,9.35,+0.15,171
2010/01/11,"734,465","6,898,422",9.35,9.47,9.31,9.44,+0.09,173
2010/01/12,"528,744","4,995,801",9.68,9.68,9.25,9.41,-0.03,148
2010/01/13,"1,769,231","16,611,871",9.36,9.48,9.16,9.41,0.00,247
2010/01/14,"372,504","3,485,264",9.38,9.44,9.27,9.36,-0.05,114
2010/01/15,"576,189","5,363,357",9.34,9.39,9.25,9.25,-0.11,146
2010/01/18,"365,425","3,392,427",9.2,9.39,9.2,9.25,0.00,87
2010/01/19,"451,300","4,197,302",9.38,9.38,9.26,9.29,+0.04,93
2010/01/20,"324,034","2,989,510",9.3,9.31,9.17,9.17,-0.12,88
2010/01/21,"648,109","5,830,841",9.11,9.11,8.75,8.89,-0.28,143
2010/01/22,"437,027","3,756,030",8.76,8.8,8.5,8.6,-0.29,119
2010/01/25,"304,670","2,618,725",8.6,8.69,8.51,8.51,-0.09,81
2010/01/26,"686,379","5,710,726",8.58,8.58,8.02,8.23,-0.28,175
2010/01/27,"211,283","1,722,633",8.19,8.2,8.1,8.12,-0.11,57
2010/01/28,"400,178","3,298,293",8.13,8.4,8.13,8.32,+0.20,93
2010/01/29,"245,901","2,035,786",8.26,8.31,8.22,8.24,-0.08,59
2010/02/01,"79,445","658,799",8.35,8.43,8.25,8.38,+0.14,31
2010/02/02,"258,671","2,160,952",8.38,8.41,8.2,8.3,-0.08,38
2010/02/03,"108,768","898,726",8.34,8.4,8.22,8.23,-0.07,44
2010/02/04,"83,549","691,238",8.29,8.35,8.22,8.3,+0.07,40
2010/02/05,"196,138","1,565,596",8.25,8.25,7.83,7.95,-0.35,69
2010/02/06,"114,080","896,015",7.85,8.07,7.76,7.95,0.00,36
2010/02/08,"68,430","542,750",7.95,8.04,7.86,8.04,+0.09,31
2010/02/09,"130,114","1,064,657",8.03,8.34,8.03,8.33,+0.29,51
2010/02/10,"220,118","1,851,260",8.38,8.46,8.38,8.45,+0.12,62
2010/02/22,"175,791","1,495,916",8.63,8.63,8.34,8.38,-0.07,47
2010/02/23,"143,860","1,209,473",8.39,8.49,8.3,8.47,+0.09,37
2010/02/24,"200,531","1,697,602",8.46,8.59,8.37,8.53,+0.06,41
2010/02/25,"206,316","1,755,782",8.32,8.57,8.32,8.5,-0.03,52
2010/02/26,"496,840","4,360,881",8.8,8.88,8.68,8.81,+0.31,118
2010/03/01,"531,085","4,799,883",8.85,9.15,8.8,9.14,+0.33,164
2010/03/02,"154,880","1,403,198",9.25,9.25,8.96,8.96,-0.18,71
2010/03/03,"412,946","3,725,355",9.0,9.12,8.96,9.01,+0.05,105
2010/03/04,"498,844","4,546,816",9.1,9.19,9.03,9.03,+0.02,108
2010/03/05,"560,213","5,122,526",9.2,9.24,9.03,9.1,+0.07,135
2010/03/08,"674,805","6,243,486",9.34,9.34,9.15,9.23,+0.13,142
2010/03/09,"341,948","3,156,580",9.23,9.26,9.18,9.24,+0.01,82
2010/03/10,"342,140","3,154,671",9.24,9.25,9.18,9.2,-0.04,69
2010/03/11,"207,374","1,910,790",9.18,9.3,9.18,9.24,+0.04,50
2010/03/12,"138,920","1,276,395",9.24,9.24,9.18,9.18,-0.06,60
2010/03/15,"374,502","3,437,287",9.2,9.21,9.15,9.18,0.00,93
2010/03/16,"265,911","2,434,556",9.13,9.19,9.13,9.18,0.00,73
2010/03/17,"305,940","2,839,729",9.19,9.33,9.19,9.33,+0.15,116
2010/03/18,"204,427","1,911,553",9.21,9.4,9.21,9.38,+0.05,63
2010/03/19,"684,473","6,519,409",9.5,9.66,9.43,9.66,+0.28,167
2010/03/22,"994,173","9,930,406",9.7,10.15,9.68,10.05,+0.39,271
2010/03/23,"534,096","5,343,379",10.1,10.35,9.76,9.83,-0.22,157
2010/03/24,"417,444","4,153,841",9.99,10.05,9.85,9.95,+0.12,127
2010/03/25,"544,198","5,482,420",9.96,10.3,9.85,10.1,+0.15,157
2010/03/26,"415,409","4,160,582",10.1,10.15,9.98,9.98,-0.12,94
2010/03/29,"360,050","3,597,150",10.0,10.05,9.92,10.0,+0.02,83
2010/03/30,"242,683","2,429,126",10.15,10.15,9.89,10.0,0.00,55
2010/03/31,"287,552","2,881,162",10.05,10.1,9.94,9.94,-0.06,76
2010/04/01,"458,890","4,605,811",10.0,10.15,10.0,10.0,+0.06,108
