日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"57,240","416,239",7.32,7.32,7.22,7.31,-0.01,29
2010/01/05,"97,615","729,758",7.42,7.79,7.32,7.45,+0.14,52
2010/01/06,"96,991","708,384",7.05,7.40,7.05,7.28,-0.17,43
2010/01/07,"167,365","1,221,217",7.30,7.49,7.20,7.28,0.00,67
2010/01/08,"80,616","588,854",7.22,7.34,7.22,7.27,-0.01,30
2010/01/11,"153,148","1,143,458",7.27,7.62,7.27,7.58,+0.31,69
2010/01/12,"74,221","552,567",7.60,7.60,7.40,7.50,-0.08,33
2010/01/13,"26,365","193,821",7.35,7.46,7.35,7.43,-0.07,24
2010/01/14,"145,886","1,070,114",7.43,7.43,7.28,7.40,-0.03,67
2010/01/15,"103,501","767,283",7.28,7.48,7.28,7.42,+0.02,52
2010/01/18,"121,142","903,576",7.36,7.53,7.36,7.42,0.00,34
2010/01/19,"147,370","1,081,808",7.42,7.47,7.16,7.41,-0.01,56
2010/01/20,"140,210","1,031,355",7.35,7.40,7.25,7.39,-0.02,52
2010/01/21,"48,648","348,632",7.11,7.22,7.11,7.17,-0.22,32
2010/01/22,"95,557","680,356",7.15,7.22,6.95,7.19,+0.02,52
2010/01/25,"61,507","440,877",7.19,7.21,7.08,7.21,+0.02,29
2010/01/26,"66,005","466,362",7.10,7.18,6.80,6.98,-0.23,41
2010/01/27,"95,493","655,045",6.66,7.03,6.66,6.95,-0.03,32
2010/01/28,"59,145","415,639",6.90,7.22,6.90,6.99,+0.04,37
2010/01/29,"92,001","622,516",6.80,6.89,6.66,6.85,-0.14,40
2010/02/01,"120,635","818,865",6.76,6.90,6.68,6.90,+0.05,47
2010/02/02,"13,000","90,140",6.93,6.99,6.88,6.88,-0.02,10
2010/02/03,"129,799","900,482",6.82,7.01,6.82,6.99,+0.11,46
2010/02/04,"55,400","385,326",6.98,7.09,6.86,6.95,-0.04,35
2010/02/05,"82,001","547,426",6.80,6.80,6.47,6.47,-0.48,30
2010/02/06,"24,601","158,522",6.49,6.49,6.40,6.40,-0.07,10
2010/02/08,"27,000","173,500",6.38,6.59,6.38,6.51,+0.11,20
2010/02/09,"74,197","484,963",6.42,6.58,6.42,6.56,+0.05,22
2010/02/10,"165,865","1,088,223",6.56,6.63,6.51,6.52,-0.04,44
2010/02/22,"49,000","322,780",6.60,6.63,6.52,6.52,0.00,21
2010/02/23,"60,839","390,517",6.40,6.52,6.32,6.52,0.00,29
2010/02/24,"24,400","159,542",6.57,6.58,6.50,6.55,+0.03,15
2010/02/25,"31,222","204,904",6.60,6.61,6.51,6.59,+0.04,16
2010/02/26,"10,085","65,814",6.53,6.56,6.46,6.56,-0.03,9
2010/03/01,"147,101","977,395",6.58,6.68,6.58,6.66,+0.10,37
2010/03/02,"439,379","3,111,425",6.80,7.12,6.80,7.12,+0.46,164
2010/03/03,"240,545","1,715,725",7.17,7.21,6.98,7.11,-0.01,87
2010/03/04,"112,102","797,676",7.20,7.20,7.00,7.02,-0.09,41
2010/03/05,"116,500","826,509",7.02,7.13,7.01,7.08,+0.06,32
2010/03/08,"31,845","226,467",7.15,7.17,7.08,7.15,+0.07,25
2010/03/09,"143,000","1,010,170",7.17,7.17,6.91,6.94,-0.21,36
2010/03/10,"93,988","659,033",7.03,7.15,6.93,7.10,+0.16,22
2010/03/11,"74,112","522,900",7.05,7.08,7.00,7.00,-0.10,23
2010/03/12,"54,017","377,689",6.99,7.00,6.99,7.00,0.00,11
2010/03/15,"119,868","844,086",7.10,7.10,6.91,6.98,-0.02,11
2010/03/16,"142,096","986,836",6.90,6.98,6.89,6.98,0.00,28
2010/03/17,"91,401","644,440",6.93,7.10,6.93,7.07,+0.09,34
2010/03/18,"88,576","629,603",7.08,7.17,7.08,7.08,+0.01,35
2010/03/19,"81,143","579,857",7.08,7.16,7.08,7.14,+0.06,15
2010/03/22,"30,196","213,923",7.11,7.13,7.05,7.13,-0.01,21
2010/03/23,"62,239","443,429",7.20,7.20,7.10,7.16,+0.03,21
2010/03/24,"82,584","591,857",7.18,7.20,7.08,7.19,+0.03,35
2010/03/25,"70,570","500,112",7.15,7.15,6.90,7.15,-0.04,23
2010/03/26,"24,515","174,874",7.13,7.19,7.10,7.19,+0.04,20
2010/03/29,"60,932","438,245",7.19,7.28,7.14,7.19,0.00,34
2010/03/30,"107,179","771,634",7.15,7.27,7.12,7.25,+0.06,34
2010/03/31,"63,896","461,089",7.20,7.25,7.15,7.25,0.00,18
2010/04/01,"25,430","183,447",7.20,7.24,7.18,7.24,-0.01,19
2010/04/02,"75,164","544,020",7.24,7.31,7.20,7.22,-0.02,29
2010/04/06,"94,755","686,452",7.29,7.37,7.16,7.28,+0.06,55
2010/04/07,"18,816","136,304",7.28,7.29,7.22,7.26,-0.02,21
2010/04/08,"109,618","794,813",7.25,7.30,7.21,7.23,-0.03,32
2010/04/09,"190,003","1,374,181",7.20,7.40,7.15,7.27,+0.04,54
2010/04/12,"271,918","1,997,989",7.28,7.45,7.27,7.45,+0.18,78
2010/04/13,"497,283","3,823,341",7.40,7.93,7.40,7.70,+0.25,167
2010/04/14,"282,553","2,129,785",7.70,7.70,7.48,7.51,-0.19,103
2010/04/15,"670,490","5,070,044",7.55,7.69,7.52,7.62,+0.11,155
2010/04/16,"694,720","5,471,823",7.65,8.00,7.64,7.85,+0.23,204
2010/04/19,"388,013","2,941,675",7.80,7.81,7.33,7.40,-0.45,97
2010/04/20,"249,338","1,876,203",7.70,7.90,7.25,7.47,+0.07,120
2010/04/21,"137,759","1,030,896",7.50,7.57,7.45,7.49,+0.02,59
2010/04/22,"152,285","1,146,069",7.45,7.66,7.40,7.59,+0.10,72
2010/04/23,"274,111","2,092,042",7.66,7.86,7.50,7.59,0.00,99
2010/04/26,"204,960","1,573,205",7.75,7.75,7.62,7.65,+0.06,65
2010/04/27,"1,080,691","8,448,404",7.55,7.97,7.55,7.88,+0.23,242
2010/04/28,"763,007","5,906,603",7.68,7.82,7.65,7.72,-0.16,137
2010/04/29,"1,179,443","9,187,049",7.72,7.86,7.72,7.84,+0.12,210
2010/04/30,"443,155","3,427,847",7.84,7.87,7.50,7.51,-0.33,130
2010/05/03,"296,013","2,148,905",7.45,7.50,7.15,7.32,-0.19,70
2010/05/04,"432,034","3,088,259",7.38,7.38,6.92,7.05,-0.27,106
2010/05/05,"242,777","1,661,535",6.95,6.95,6.71,6.80,-0.25,86
2010/05/06,"185,493","1,256,413",6.75,6.85,6.55,6.69,-0.11,62
