日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"29,888,587","407,110,537",13.25,13.9,13.25,13.7,+0.55,"5,197"
2010/01/05,"9,633,021","130,639,664",14.0,14.0,13.25,13.35,-0.35,"1,963"
2010/01/06,"9,700,137","131,484,969",13.35,13.7,13.35,13.55,+0.20,"1,750"
2010/01/07,"16,562,734","228,509,751",13.7,14.0,13.55,13.55,0.00,"3,158"
2010/01/08,"17,818,713","247,634,377",13.65,14.1,13.5,13.95,+0.40,"3,148"
2010/01/11,"23,756,510","345,190,226",14.0,14.9,14.0,14.9,+0.95,"3,869"
2010/01/12,"32,841,367","497,036,311",15.15,15.5,14.55,14.65,-0.25,"5,685"
2010/01/13,"10,593,999","151,628,169",14.4,14.5,14.2,14.25,-0.40,"2,301"
2010/01/14,"9,983,756","142,225,884",14.2,14.45,14.1,14.2,-0.05,"1,820"
2010/01/15,"8,727,234","125,020,046",14.35,14.45,14.15,14.25,+0.05,"1,678"
2010/01/18,"4,765,735","68,152,208",14.2,14.45,14.15,14.35,+0.10,"1,060"
2010/01/19,"9,653,982","135,343,596",14.35,14.35,13.8,13.8,-0.55,"1,863"
2010/01/20,"8,317,112","114,083,312",13.9,14.0,13.6,13.65,-0.15,"1,439"
2010/01/21,"8,522,495","114,167,827",13.6,13.7,13.2,13.25,-0.40,"1,539"
2010/01/22,"8,634,775","112,362,075",13.05,13.15,12.85,13.0,-0.25,"1,345"
2010/01/25,"4,513,088","58,990,844",12.8,13.25,12.8,13.1,+0.10,895
2010/01/26,"8,399,426","105,651,397",13.2,13.25,12.2,12.2,-0.90,"1,690"
2010/01/27,"7,362,994","87,884,326",12.2,12.3,11.55,11.6,-0.60,"1,487"
2010/01/28,"4,007,003","48,387,136",11.85,12.3,11.8,12.3,+0.70,902
2010/01/29,"3,773,778","45,411,572",12.1,12.15,11.85,12.0,-0.30,621
2010/02/01,"1,784,639","21,456,668",12.0,12.1,11.95,12.05,+0.05,402
2010/02/02,"3,242,543","39,396,287",12.3,12.4,11.9,11.95,-0.10,810
2010/02/03,"3,473,771","41,399,069",12.1,12.2,11.7,11.9,-0.05,669
2010/02/04,"1,649,572","19,712,501",11.9,12.05,11.85,12.0,+0.10,362
2010/02/05,"5,630,925","63,989,959",11.6,11.75,11.2,11.2,-0.80,"1,131"
2010/02/06,"4,977,630","53,593,952",11.25,11.35,10.45,10.7,-0.50,944
2010/02/08,"2,398,781","26,129,511",10.8,11.05,10.7,10.95,+0.25,531
2010/02/09,"5,001,397","57,430,442",11.1,11.7,11.05,11.7,+0.75,871
2010/02/10,"7,924,257","95,388,284",12.2,12.2,11.8,12.0,+0.30,"1,257"
2010/02/22,"5,471,420","67,143,520",12.25,12.5,12.05,12.25,+0.25,"1,034"
2010/02/23,"5,865,064","72,482,142",12.45,12.6,12.05,12.5,+0.25,"1,118"
2010/02/24,"16,985,608","220,389,625",12.5,13.2,12.4,13.15,+0.65,"2,977"
2010/02/25,"12,463,173","164,108,709",13.15,13.35,13.0,13.2,+0.05,"2,169"
2010/02/26,"11,712,695","156,705,194",13.2,13.6,13.15,13.55,+0.35,"1,868"
2010/03/01,"21,851,041","302,138,696",13.75,14.15,13.6,13.65,+0.10,"3,330"
2010/03/02,"9,205,516","124,438,181",13.75,13.8,13.3,13.4,-0.25,"1,612"
2010/03/03,"9,647,643","131,215,315",13.55,13.8,13.4,13.75,+0.35,"1,543"
2010/03/04,"23,288,309","327,053,486",14.0,14.25,13.8,14.0,+0.25,"4,780"
2010/03/05,"17,528,207","249,763,312",14.15,14.5,14.05,14.15,+0.15,"3,288"
2010/03/08,"10,504,672","147,300,133",14.45,14.45,13.9,13.9,-0.25,"2,174"
2010/03/09,"6,077,099","83,343,885",13.9,13.9,13.6,13.65,-0.25,"1,543"
2010/03/10,"5,195,704","70,887,071",13.65,13.75,13.55,13.65,0.00,"1,111"
2010/03/11,"4,172,210","57,225,088",13.65,13.9,13.6,13.65,0.00,966
2010/03/12,"3,162,682","43,233,484",13.7,13.8,13.6,13.65,0.00,656
2010/03/15,"3,991,650","53,933,559",13.65,13.75,13.4,13.4,-0.25,909
2010/03/16,"3,722,731","50,296,034",13.4,13.6,13.4,13.6,+0.20,680
2010/03/17,"7,726,898","106,312,252",13.7,13.9,13.6,13.75,+0.15,"1,504"
2010/03/18,"5,088,594","70,054,270",13.85,13.85,13.7,13.7,-0.05,"1,054"
2010/03/19,"3,380,759","46,306,142",13.8,13.85,13.6,13.75,+0.05,653
2010/03/22,"2,754,626","37,646,276",13.8,13.8,13.55,13.65,-0.10,636
2010/03/23,"2,896,264","39,691,862",13.7,13.8,13.6,13.6,-0.05,670
2010/03/24,"3,573,016","48,464,655",13.75,13.75,13.4,13.5,-0.10,797
2010/03/25,"6,437,942","85,060,685",13.45,13.5,13.0,13.15,-0.35,"1,308"
2010/03/26,"4,237,165","55,597,606",13.15,13.25,13.0,13.2,+0.05,882
2010/03/29,"6,536,496","87,431,536",13.2,13.7,13.05,13.7,+0.50,"1,421"
2010/03/30,"8,750,229","121,145,718",13.8,14.0,13.7,13.7,0.00,"1,952"
