日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"50,821","67,718",1.36,1.37,1.32,1.33,-0.04,19
2010/01/05,"535,683","759,575",1.42,1.42,1.40,1.42,+0.09,40
2010/01/06,"1,148,984","1,673,556",1.42,1.51,1.33,1.48,+0.06,81
2010/01/07,"515,358","726,890",1.46,1.50,1.38,1.44,-0.04,65
2010/01/08,"175,185","241,988",1.40,1.42,1.35,1.40,-0.04,22
2010/01/11,"322,490","462,075",1.44,1.45,1.40,1.43,+0.03,36
2010/01/12,"328,470","463,618",1.42,1.44,1.37,1.37,-0.06,31
2010/01/13,"127,807","176,495",1.35,1.41,1.35,1.41,+0.04,23
2010/01/14,"148,152","212,062",1.41,1.44,1.39,1.44,+0.03,21
2010/01/15,"382,260","567,460",1.45,1.52,1.44,1.52,+0.08,44
2010/01/18,"581,000","884,068",1.51,1.59,1.46,1.59,+0.07,55
2010/01/19,"680,749","1,151,292",1.59,1.70,1.59,1.70,+0.11,68
2010/01/20,"368,172","655,280",1.74,1.81,1.74,1.81,+0.11,48
2010/01/21,"501,338","914,020",1.93,1.93,1.69,1.72,-0.09,44
2010/01/22,"200,000","325,620",1.62,1.70,1.60,1.60,-0.12,25
2010/01/25,"21,000","32,300",1.50,1.66,1.50,1.58,-0.02,5
2010/01/26,"23,000","34,810",1.51,1.52,1.51,1.51,-0.07,6
2010/01/27,"22,960","34,282",1.50,1.54,1.44,1.54,+0.03,7
2010/01/28,"33,470","51,812",1.51,1.59,1.51,1.59,+0.05,15
2010/01/29,"163,120","271,689",1.59,1.70,1.57,1.70,+0.11,28
2010/02/01,"234,000","377,000",1.65,1.65,1.59,1.59,-0.11,17
2010/02/02,"2,000","3,250",1.59,1.66,1.59,1.66,+0.07,2
2010/02/03,"20,089","33,548",1.67,1.67,1.67,1.67,+0.01,2
2010/02/04,"11,509","18,719",1.61,1.64,1.61,1.64,-0.03,9
2010/02/05,"70,000","108,500",1.57,1.57,1.53,1.55,-0.09,8
2010/02/06,"94,264","137,552",1.48,1.53,1.45,1.45,-0.10,16
2010/02/08,"134,000","181,670",1.36,1.38,1.35,1.38,-0.07,15
2010/02/09,"99,455","137,762",1.37,1.40,1.36,1.40,+0.02,16
2010/02/10,"197,629","282,051",1.40,1.48,1.40,1.44,+0.04,27
2010/02/22,"1,132","1,696",1.51,1.51,1.51,1.51,+0.07,2
2010/02/23,"2,000","3,150",1.58,1.58,1.57,1.57,+0.06,2
2010/02/24,"6,300","9,686",1.57,1.57,1.48,1.57,0.00,5
2010/02/25,"56,236","83,396",1.48,1.53,1.47,1.47,-0.10,19
2010/02/26,"220,259","304,718",1.38,1.45,1.37,1.45,-0.02,25
2010/03/01,"13,000","18,430",1.38,1.46,1.38,1.41,-0.04,4
2010/03/02,"11,865","16,658",1.41,1.41,1.40,1.40,-0.01,5
2010/03/03,"6,250","8,920",1.40,1.45,1.40,1.45,+0.05,5
2010/03/04,"22,087","32,162",1.50,1.50,1.44,1.48,+0.03,7
2010/03/05,"28,066","41,769",1.50,1.52,1.48,1.50,+0.02,10
2010/03/08,"22,355","33,252",1.52,1.52,1.46,1.51,+0.01,10
2010/03/09,"239,000","340,940",1.51,1.52,1.41,1.41,-0.10,15
2010/03/10,"126,042","176,496",1.42,1.42,1.40,1.40,-0.01,8
2010/03/11,"27,996","39,132",1.40,1.40,1.40,1.40,0.00,9
2010/03/12,"28,815","40,158",1.33,1.43,1.33,1.40,0.00,8
2010/03/15,"3,202","4,408",1.40,1.40,1.40,1.40,0.00,6
2010/03/16,"276,990","405,185",1.41,1.48,1.41,1.47,+0.07,22
2010/03/17,"245,556","372,117",1.50,1.55,1.46,1.46,-0.01,25
2010/03/18,"28,834","42,089",1.46,1.46,1.46,1.46,0.00,3
2010/03/19,"61,561","90,431",1.46,1.53,1.46,1.53,+0.07,10
2010/03/22,"32,139","49,040",1.53,1.53,1.47,1.47,-0.06,3
2010/03/23,"195,121","302,669",1.47,1.57,1.47,1.57,+0.10,33
2010/03/24,"85,898","129,829",1.48,1.61,1.48,1.50,-0.07,22
2010/03/25,"42,313","63,709",1.51,1.56,1.50,1.53,+0.03,13
2010/03/26,"50,802","76,930",1.56,1.61,1.46,1.61,+0.08,15
2010/03/29,"21,418","33,284",1.60,1.60,1.55,1.55,-0.06,8
2010/03/30,"10,235","15,652",1.54,1.55,1.48,1.54,-0.01,9
2010/03/31,"38,000","57,220",1.54,1.56,1.48,1.54,0.00,8
2010/04/01,"339,375","493,020",1.54,1.54,1.44,1.46,-0.08,37
2010/04/02,"45,844","66,903",1.48,1.48,1.44,1.48,+0.02,14
2010/04/06,"337,716","473,785",1.41,1.47,1.39,1.46,-0.02,17
2010/04/07,"15,999","22,927",1.39,1.47,1.39,1.46,0.00,9
2010/04/08,"37,533","52,926",1.48,1.48,1.40,1.47,+0.01,12
2010/04/09,"139,999","198,487",1.42,1.46,1.41,1.43,-0.04,11
2010/04/12,"73,294","106,013",1.43,1.49,1.43,1.49,+0.06,17
2010/04/13,"336,200","505,110",1.49,1.52,1.49,1.49,0.00,32
2010/04/14,"162,446","250,864",1.49,1.57,1.49,1.57,+0.08,19
2010/04/15,"448,203","668,009",1.50,1.56,1.48,1.48,-0.09,33
2010/04/16,"67,263","95,936",1.50,1.50,1.40,1.49,+0.01,21
2010/04/19,"159,066","231,702",1.43,1.50,1.43,1.44,-0.05,18
2010/04/20,"57,576","84,571",1.40,1.49,1.40,1.40,-0.04,13
2010/04/21,"756,913","1,119,257",1.40,1.49,1.40,1.49,+0.09,64
2010/04/22,"403,313","608,820",1.51,1.53,1.47,1.50,+0.01,53
2010/04/23,"231,565","354,167",1.49,1.55,1.49,1.54,+0.04,41
2010/04/26,"135,000","198,970",1.52,1.56,1.44,1.45,-0.09,26
2010/04/27,"149,912","220,924",1.44,1.49,1.44,1.49,+0.04,27
2010/04/28,"30,000","43,080",1.44,1.44,1.43,1.43,-0.06,7
2010/04/29,"178,976","254,536",1.41,1.43,1.41,1.42,-0.01,25
2010/04/30,"12,049","17,097",1.41,1.42,1.41,1.42,0.00,5
2010/05/03,"70,749","99,766",1.42,1.42,1.39,1.41,-0.01,9
2010/05/04,"62,500","86,179",1.40,1.40,1.36,1.36,-0.05,11
2010/05/05,"305,000","394,650",1.34,1.34,1.27,1.34,-0.02,28
2010/05/06,"213,003","283,253",1.34,1.38,1.26,1.29,-0.05,22
2010/05/07,"62,000","83,200",1.30,1.36,1.29,1.36,+0.07,10
2010/05/10,"218,067","291,553",1.27,1.45,1.27,1.45,+0.09,24
2010/05/11,"30,000","42,380",1.45,1.45,1.41,1.41,-0.04,6
2010/05/12,"20,250","28,055",1.37,1.39,1.37,1.39,-0.02,5
2010/05/13,"158,904","215,498",1.43,1.44,1.32,1.43,+0.04,30
2010/05/14,"212,766","313,335",1.37,1.52,1.37,1.40,-0.03,32
2010/05/17,"57,000","83,070",1.45,1.47,1.41,1.44,+0.04,12
2010/05/18,"357,000","531,070",1.46,1.51,1.44,1.50,+0.06,21
2010/05/19,"46,042","68,730",1.51,1.51,1.43,1.49,-0.01,12
2010/05/20,"7,090","10,235",1.44,1.47,1.44,1.44,-0.05,4
2010/05/21,"58,944","80,784",1.38,1.40,1.36,1.38,-0.06,14
2010/05/24,"26,184","36,382",1.40,1.40,1.38,1.39,+0.01,9
2010/05/25,"115,076","157,082",1.33,1.38,1.33,1.35,-0.04,13
2010/05/26,"5,002","6,752",1.35,1.35,1.35,1.35,0.00,3
2010/05/27,"1,636","2,213",1.38,1.38,1.38,1.38,+0.03,3
2010/05/28,"57,980","81,573",1.38,1.44,1.38,1.41,+0.03,11
2010/05/31,"1,000","1,390",1.39,1.39,1.39,1.39,-0.02,1
2010/06/01,"14,749","20,936",1.35,1.43,1.35,1.43,+0.04,4
2010/06/02,"3,016","4,131",1.37,1.37,1.37,1.37,-0.06,2
2010/06/03,"72,475","104,612",1.32,1.45,1.32,1.45,+0.08,13
2010/06/04,"11,000","15,610",1.45,1.45,1.36,1.42,-0.03,7
2010/06/07,"22,000","29,940",1.36,1.42,1.35,1.42,0.00,6
2010/06/08,"44,432","61,302",1.38,1.38,1.38,1.38,-0.04,7
2010/06/09,"18,227","25,055",1.37,1.38,1.37,1.38,0.00,6
2010/06/10,"1,500","2,030",1.37,1.37,1.37,1.37,-0.01,3
2010/06/11,"157,909","215,400",1.36,1.37,1.34,1.37,0.00,15
2010/06/14,"5,000","6,740",1.35,1.35,1.34,1.34,-0.03,4
2010/06/15,"4,900","6,612",1.38,1.38,1.32,1.38,+0.04,6
2010/06/17,"110,637","161,829",1.34,1.47,1.34,1.45,+0.07,24
2010/06/18,"63,406","93,667",1.43,1.53,1.40,1.40,-0.05,23
2010/06/21,"1,900","2,567",1.37,1.37,1.37,1.37,-0.03,3
2010/06/22,"25,460","35,460",1.38,1.43,1.38,1.39,+0.02,10
2010/06/23,"4,900","6,784",1.37,1.40,1.37,1.40,+0.01,5
2010/06/24,"20,390","27,765",1.40,1.40,1.35,1.35,-0.05,7
2010/06/25,"15,901","21,671",1.33,1.37,1.33,1.37,+0.02,9
2010/06/28,"140,151","183,262",1.36,1.36,1.30,1.31,-0.06,21
2010/06/29,"51,036","69,645",1.29,1.37,1.29,1.37,+0.06,16
2010/06/30,"13,900","19,518",1.41,1.41,1.41,1.41,+0.04,6
2010/07/01,"35,900","52,584",1.36,1.49,1.36,1.42,+0.01,12
2010/07/02,"10,900","15,094",1.36,1.45,1.36,1.45,+0.03,7
2010/07/05,"15,900","22,042",1.40,1.40,1.38,1.39,-0.06,6
2010/07/06,"25,373","34,330",1.38,1.42,1.32,1.42,+0.03,16
2010/07/07,"67,000","91,330",1.42,1.42,1.35,1.35,-0.07,10
2010/07/08,"12,632","17,663",1.42,1.42,1.36,1.36,+0.01,7
2010/07/09,"6,896","9,372",1.36,1.42,1.36,1.37,+0.01,9
2010/07/12,"22,644","31,164",1.38,1.38,1.38,1.38,+0.01,10
2010/07/13,"36,410","50,387",1.38,1.39,1.38,1.39,+0.01,9
2010/07/14,"28,253","39,578",1.41,1.41,1.37,1.39,0.00,10
2010/07/15,"21,084","28,302",1.34,1.39,1.34,1.39,0.00,5
2010/07/16,"87,054","121,002",1.39,1.39,1.39,1.39,0.00,5
2010/07/19,"27,900","38,686",1.35,1.39,1.35,1.39,0.00,6
2010/07/20,"77,148","107,891",1.38,1.45,1.36,1.44,+0.05,17
2010/07/21,"176,089","254,368",1.44,1.47,1.43,1.47,+0.03,20
2010/07/22,"220,500","324,523",1.46,1.49,1.46,1.48,+0.01,15
2010/07/23,"189,020","264,737",1.41,1.46,1.38,1.40,-0.08,16
2010/07/26,"63,456","87,760",1.42,1.42,1.38,1.38,-0.02,14
2010/07/27,"33,939","47,824",1.37,1.44,1.37,1.43,+0.05,16
2010/07/28,"135,999","192,536",1.43,1.44,1.38,1.43,0.00,21
2010/07/29,"147,912","206,588",1.44,1.44,1.37,1.40,-0.03,19
2010/07/30,"345,337","475,868",1.42,1.45,1.31,1.31,-0.09,50
2010/08/02,"299,445","417,778",1.38,1.40,1.36,1.40,+0.09,46
2010/08/03,"253,354","359,963",1.42,1.48,1.36,1.48,+0.08,34
2010/08/04,"19,040","26,871",1.40,1.46,1.40,1.42,-0.06,14
2010/08/05,"3,548","4,948",1.39,1.39,1.39,1.39,-0.03,3
2010/08/06,"28,600","40,139",1.40,1.42,1.38,1.40,+0.01,10
2010/08/09,"59,968","88,145",1.43,1.48,1.42,1.46,+0.06,12
2010/08/10,"479,858","737,583",1.48,1.56,1.48,1.56,+0.10,49
2010/08/11,"288,922","477,506",1.64,1.66,1.49,1.66,+0.10,45
2010/08/12,"320,042","565,974",1.77,1.77,1.76,1.77,+0.11,27
2010/08/13,"1,130,623","2,116,610",1.89,1.89,1.70,1.89,+0.12,58
2010/08/16,"377,846","749,386",1.89,2.02,1.76,2.02,+0.13,44
2010/08/17,"294,482","636,079",2.16,2.16,2.16,2.16,+0.14,31
2010/08/18,"433,506","1,001,395",2.31,2.31,2.31,2.31,+0.15,29
2010/08/19,"2,270,020","5,490,753",2.47,2.47,2.15,2.21,-0.10,166
2010/08/20,"664,411","1,568,000",2.36,2.36,2.36,2.36,+0.15,63
2010/08/23,"437,745","1,085,180",2.35,2.52,2.35,2.52,+0.16,60
2010/08/24,"1,143,695","3,027,840",2.65,2.69,2.40,2.69,+0.17,89
2010/08/25,"795,954","2,192,032",2.69,2.87,2.61,2.87,+0.18,84
2010/08/26,"636,589","1,842,563",2.86,3.07,2.67,2.75,-0.12,78
2010/08/27,"159,185","416,218",2.80,2.80,2.56,2.56,-0.19,31
2010/08/30,"378,446","931,754",2.39,2.71,2.39,2.41,-0.15,61
2010/08/31,"271,571","646,403",2.26,2.47,2.25,2.47,+0.06,31
2010/09/01,"69,244","173,536",2.47,2.58,2.40,2.58,+0.11,25
2010/09/02,"90,000","219,180",2.40,2.59,2.40,2.50,-0.08,20
2010/09/03,"52,000","121,230",2.33,2.34,2.33,2.33,-0.17,11
2010/09/06,"128,000","277,760",2.17,2.17,2.17,2.17,-0.16,12
2010/09/07,"222,865","455,396",2.02,2.19,2.02,2.19,+0.02,29
2010/09/08,"110,166","231,561",2.04,2.23,2.04,2.18,-0.01,28
2010/09/09,"99,282","214,251",2.17,2.20,2.15,2.20,+0.02,32
2010/09/10,"203,879","461,254",2.27,2.35,2.25,2.35,+0.15,21
2010/09/13,"50,936","122,197",2.35,2.45,2.35,2.45,+0.10,25
2010/09/14,"70,238","171,285",2.28,2.55,2.28,2.55,+0.10,25
2010/09/15,"66,223","158,949",2.38,2.49,2.38,2.49,-0.06,17
2010/09/16,"63,603","158,327",2.48,2.55,2.45,2.50,+0.01,16
2010/09/17,"27,559","67,256",2.35,2.48,2.35,2.48,-0.02,14
2010/09/20,"50,217","120,575",2.31,2.47,2.31,2.45,-0.03,21
2010/09/21,"76,842","182,730",2.28,2.49,2.28,2.45,0.00,25
2010/09/23,"23,014","55,800",2.49,2.49,2.30,2.49,+0.04,16
2010/09/24,"38,448","93,220",2.46,2.47,2.40,2.47,-0.02,16
2010/09/27,"33,158","82,096",2.30,2.55,2.30,2.45,-0.02,17
2010/09/28,"53,422","131,001",2.44,2.49,2.44,2.49,+0.04,15
2010/09/29,"36,369","89,570",2.48,2.48,2.45,2.47,-0.02,10
2010/09/30,"12,541","30,570",2.50,2.50,2.40,2.40,-0.07,10
2010/10/01,"64,628","155,756",2.40,2.45,2.40,2.45,+0.05,11
2010/10/04,"53,111","123,172",2.46,2.47,2.28,2.28,-0.17,18
2010/10/05,"52,593","126,031",2.28,2.43,2.28,2.43,+0.15,23
2010/10/06,"177,306","451,996",2.55,2.58,2.54,2.54,+0.11,39
2010/10/07,"48,485","115,184",2.37,2.49,2.37,2.48,-0.06,20
2010/10/08,698,"1,638",--,--,--,--,0.00,4
2010/10/11,"97,490","239,108",2.31,2.58,2.31,2.58,X0.00,32
2010/10/12,"43,222","105,265",2.45,2.49,2.42,2.42,-0.16,7
2010/10/13,"73,215","176,783",2.42,2.42,2.41,2.41,-0.01,22
2010/10/14,"182,486","455,983",2.50,2.50,2.42,2.42,+0.01,30
2010/10/15,"63,424","153,144",2.40,2.45,2.40,2.40,-0.02,13
2010/10/18,"219,014","503,731",2.30,2.30,2.30,2.30,-0.10,25
2010/10/19,"131,209","298,651",2.30,2.30,2.19,2.19,-0.11,15
2010/10/20,"92,146","194,875",2.15,2.15,2.10,2.10,-0.09,16
2010/10/21,"125,812","270,667",2.10,2.24,2.10,2.24,+0.14,14
2010/10/22,"125,470","288,461",2.30,2.30,2.30,2.30,+0.06,19
2010/10/25,"59,144","137,528",2.44,2.44,2.30,2.30,0.00,13
2010/10/26,"30,987","68,129",2.15,2.30,2.15,2.16,-0.14,25
2010/10/27,"16,737","36,993",2.15,2.24,2.15,2.24,+0.08,15
2010/10/28,"7,499","16,794",2.24,2.26,2.24,2.26,+0.02,13
2010/10/29,"8,047","18,021",2.26,2.26,2.24,2.24,-0.02,12
2010/11/01,"3,532","7,857",2.28,2.28,2.16,2.16,-0.08,6
2010/11/02,"90,084","188,575",2.10,2.19,2.02,2.19,+0.03,23
2010/11/03,"60,000","122,470",2.05,2.07,2.04,2.04,-0.15,13
2010/11/04,"81,759","167,332",2.04,2.10,2.04,2.04,0.00,17
2010/11/05,"10,768","22,527",2.10,2.10,2.10,2.10,+0.06,7
2010/11/08,371,729,--,--,--,--,0.00,4
2010/11/09,"15,200","30,012",2.18,2.18,1.96,1.96,X0.00,10
2010/11/10,"6,000","11,160",1.91,1.91,1.85,1.85,-0.11,5
2010/11/11,"12,300","21,639",1.76,1.76,1.76,1.76,-0.09,4
2010/11/12,"21,865","40,575",1.86,1.87,1.85,1.87,+0.11,11
2010/11/15,"118,448","236,376",1.98,2.00,1.98,2.00,+0.13,22
2010/11/16,"46,918","98,041",2.10,2.10,2.09,2.09,+0.09,10
2010/11/17,"262,158","584,599",2.23,2.23,2.22,2.23,+0.14,23
2010/11/18,"159,048","378,532",2.38,2.38,2.38,2.38,+0.15,17
2010/11/19,"731,455","1,838,675",2.54,2.54,2.38,2.38,0.00,48
2010/11/22,"13,100","30,925",2.25,2.37,2.25,2.37,-0.01,8
2010/11/23,"171,542","431,589",2.35,2.53,2.35,2.53,+0.16,23
2010/11/24,"83,005","215,092",2.36,2.60,2.36,2.60,+0.07,17
2010/11/25,"139,795","367,502",2.60,2.70,2.60,2.64,+0.04,23
2010/11/26,"78,088","206,771",2.70,2.70,2.60,2.65,+0.01,20
2010/11/29,"47,208","126,039",2.64,2.70,2.64,2.70,+0.05,18
2010/11/30,"263,421","749,702",2.68,2.88,2.68,2.86,+0.16,37
2010/12/01,"230,501","678,190",2.93,2.97,2.93,2.93,+0.07,35
2010/12/02,"202,999","596,826",2.99,2.99,2.90,2.90,-0.03,27
2010/12/03,"150,506","438,802",2.95,2.95,2.80,2.85,-0.05,28
2010/12/06,"3,000","8,060",2.70,2.70,2.68,2.68,-0.17,3
2010/12/07,"20,581","55,049",2.50,2.79,2.50,2.68,0.00,12
2010/12/08,"1,160","2,961",2.56,2.56,2.56,2.56,-0.12,3
2010/12/09,"18,963","48,207",2.52,2.58,2.52,2.56,0.00,12
2010/12/10,"13,600","36,475",2.65,2.73,2.60,2.60,+0.04,12
2010/12/13,"57,278","154,035",2.73,2.73,2.50,2.72,+0.12,15
2010/12/14,"30,871","79,427",2.54,2.66,2.54,2.66,-0.06,16
2010/12/15,"35,150","89,482",2.65,2.65,2.49,2.49,-0.17,13
2010/12/16,"18,410","46,524",2.50,2.57,2.50,2.57,+0.08,10
2010/12/17,"103,118","281,441",2.73,2.74,2.73,2.74,+0.17,25
2010/12/20,"191,590","557,505",2.73,2.93,2.73,2.93,+0.19,34
2010/12/21,"141,316","425,523",3.00,3.07,2.93,2.93,0.00,36
2010/12/22,"59,519","173,698",2.90,2.95,2.90,2.90,-0.03,25
2010/12/23,"175,800","518,420",2.90,2.95,2.90,2.95,+0.05,33
2010/12/24,"4,465","12,872",2.95,2.95,2.95,2.95,0.00,9
2010/12/27,"60,940","176,417",2.75,2.96,2.75,2.90,-0.05,21
2010/12/28,"32,077","92,613",2.89,2.90,2.88,2.88,-0.02,16
2010/12/29,"83,106","235,837",2.87,2.87,2.80,2.87,-0.01,19
2010/12/30,"51,000","145,980",2.68,2.87,2.68,2.87,0.00,6
2010/12/31,"40,995","114,483",2.90,2.90,2.70,2.80,-0.07,15
2011/01/03,"38,008","108,212",2.88,2.88,2.65,2.80,0.00,20
2011/01/04,"33,057","89,326",2.80,2.80,2.61,2.61,-0.19,22
2011/01/05,"85,807","234,472",2.43,2.79,2.43,2.79,+0.18,13
2011/01/06,"53,351","156,741",2.80,2.97,2.80,2.97,+0.18,18
2011/01/07,"36,380","107,205",2.90,2.97,2.90,2.97,0.00,15
2011/01/10,"160,301","474,093",2.77,2.97,2.77,2.97,0.00,18
2011/01/11,"25,237","75,090",2.96,3.00,2.96,2.96,-0.01,10
2011/01/12,"12,815","35,594",2.77,2.78,2.77,2.78,-0.18,10
2011/01/13,"39,498","110,554",2.80,2.80,2.80,2.80,+0.02,7
2011/01/14,"3,153","8,678",2.75,2.75,2.75,2.75,-0.05,4
2011/01/17,"15,418","43,863",2.85,2.86,2.75,2.86,+0.11,13
2011/01/18,"158,617","468,458",2.97,2.97,2.70,2.90,+0.04,20
2011/01/19,"3,464","9,894",2.87,2.87,2.87,2.87,-0.03,4
2011/01/20,"16,088","44,057",2.87,2.87,2.72,2.84,-0.03,10
2011/01/21,"24,373","65,520",2.75,2.75,2.68,2.68,-0.16,7
2011/01/24,"15,490","42,478",2.74,2.75,2.74,2.74,+0.06,5
2011/01/25,"13,811","37,856",2.88,2.88,2.64,2.80,+0.06,10
2011/01/26,"97,490","270,023",2.64,2.81,2.64,2.81,+0.01,27
2011/01/27,"54,539","150,721",2.76,2.79,2.74,2.79,-0.02,17
2011/01/28,"17,350","47,968",2.79,2.79,2.79,2.79,0.00,15
2011/02/08,"60,777","172,626",2.65,2.94,2.65,2.83,+0.04,15
2011/02/09,"12,143","34,231",2.82,2.82,2.82,2.82,-0.01,3
2011/02/10,"23,350","63,022",2.70,2.70,2.70,2.70,-0.12,8
2011/02/11,"21,158","55,556",2.71,2.71,2.60,2.60,-0.10,14
2011/02/14,"5,285","13,192",2.50,2.50,2.50,2.50,-0.10,5
2011/02/15,"6,103","15,853",2.60,2.60,2.60,2.60,+0.10,5
2011/02/16,749,"1,887",--,--,--,--,0.00,2
2011/02/17,"25,745","64,537",2.50,2.72,2.50,2.50,X0.00,10
2011/02/18,"17,697","46,139",2.59,2.66,2.59,2.66,+0.16,10
2011/02/21,"2,831","7,166",2.55,2.55,2.55,2.55,-0.11,6
2011/02/22,"36,470","89,011",2.41,2.50,2.41,2.50,-0.05,11
2011/02/23,"16,325","39,856",2.43,2.53,2.42,2.42,-0.08,14
2011/02/24,"15,503","37,771",2.32,2.48,2.32,2.48,+0.06,11
