日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010/01/04,"6,798,987","57,629,722",8.40,8.57,8.35,8.43,+0.08,"1,275"
2010/01/05,"6,406,008","52,428,924",8.50,8.50,8.05,8.06,-0.37,"1,169"
2010/01/06,"4,321,100","35,097,016",8.06,8.25,8.05,8.15,+0.09,787
2010/01/07,"4,410,212","35,618,235",8.15,8.25,7.92,7.93,-0.22,847
2010/01/08,"2,630,451","21,066,134",7.94,8.10,7.94,8.02,+0.09,542
2010/01/11,"9,041,337","75,486,532",8.15,8.49,8.11,8.40,+0.38,"1,463"
2010/01/12,"7,134,867","59,836,513",8.40,8.49,8.21,8.25,-0.15,"1,001"
2010/01/13,"3,154,000","25,714,058",8.10,8.34,8.10,8.15,-0.10,600
2010/01/14,"2,564,599","20,938,683",8.16,8.22,8.11,8.12,-0.03,477
2010/01/15,"2,443,842","20,004,299",8.12,8.25,8.12,8.18,+0.06,453
2010/01/18,"3,529,478","28,984,557",8.15,8.32,8.10,8.15,-0.03,596
2010/01/19,"2,549,328","20,875,184",8.24,8.27,8.15,8.16,+0.01,494
2010/01/20,"3,481,870","28,866,093",8.40,8.40,8.20,8.22,+0.06,773
2010/01/21,"3,107,200","25,140,209",8.15,8.24,8.01,8.08,-0.14,602
2010/01/22,"2,459,876","19,307,640",7.90,7.98,7.70,7.83,-0.25,508
2010/01/25,"13,328,294","111,165,630",8.30,8.37,8.17,8.37,+0.54,"1,671"
2010/01/26,"11,949,721","100,369,259",8.49,8.73,7.81,8.04,-0.33,"2,036"
2010/01/27,"3,402,756","26,870,865",8.00,8.17,7.70,7.71,-0.33,755
2010/01/28,"2,235,694","17,695,425",7.80,8.05,7.75,8.00,+0.29,526
2010/01/29,"1,440,413","11,283,551",7.90,7.94,7.75,7.81,-0.19,353
2010/02/01,"1,844,273","14,719,240",8.00,8.05,7.90,7.96,+0.15,485
2010/02/02,"1,762,204","13,921,742",8.10,8.10,7.75,7.75,-0.21,405
