104年07月27日 個股日本益比、殖利率及股價淨值比,104年07月27日 個股日本益比、殖利率及股價淨值比,104年07月27日 個股日本益比、殖利率及股價淨值比,104年07月27日 個股日本益比、殖利率及股價淨值比,104年07月27日 個股日本益比、殖利率及股價淨值比
證券代號,證券名稱,本益比,殖利率(%),股價淨值比
1101,台泥,13.53,6.92,1.12
1102,亞泥,12.60,6.26,0.8
1103,嘉泥,-,2.79,0.41
1104,環泥,10.52,4.96,0.93
1108,幸福,8.77,6.0,0.85
1109,信大,22.45,1.82,0.78
1110,東泥,73.16,1.44,0.89
1201,味全,-,0.0,1.37
1203,味王,17.46,4.55,1.18
1210,大成,15.11,4.69,1.03
1213,大飲,50.41,0.0,1.43
1215,卜蜂,7.94,8.13,1.17
1216,統一,26.46,3.3,3.11
1217,愛之味,-,0.0,0.72
1218,泰山,115.00,0.0,1.17
1219,福壽,41.81,2.39,1.24
1220,台榮,58.24,3.03,0.83
1225,福懋油,116.84,1.13,1.83
1227,佳格,26.02,2.92,4.97
1229,聯華,13.49,8.55,0.84
1231,聯華食,15.73,2.88,1.72
1232,大統益,12.02,7.07,2.99
1233,天仁,17.98,5.12,2.49
1234,黑松,30.44,3.49,0.79
1235,興泰,41.56,4.28,0.79
1236,宏亞,11.34,5.7,1.31
1262,綠悅-KY,12.51,1.93,2.06
1301,台塑,30.79,2.43,1.53
1303,南亞,17.21,3.49,1.62
1304,台聚,17.46,3.42,0.69
1305,華夏,37.41,1.98,0.79
1307,三芳,12.16,5.92,1.5
1308,亞聚,14.91,4.88,0.85
1309,台達化,-,0.0,0.72
1310,台苯,-,0.0,1.41
1312,國喬,33.57,1.82,0.95
1313,聯成,-,2.13,0.58
1314,中石化,28.23,0.0,0.37
1315,達新,18.31,4.73,0.61
1316,上曜,-,0.0,1.25
1319,東陽,20.29,2.32,1.09
1321,大洋,-,0.0,1.05
1323,永裕,9.04,6.84,1.36
1324,地球,23.80,2.74,0.85
1325,恆大,35.27,2.28,1.09
1326,台化,68.06,1.63,1.53
1337,再生-KY,4.04,2.98,0.36
1338,廣華-KY,10.34,4.36,1.15
1339,昭輝,21.87,2.38,2.22
1340,勝悅-KY,7.45,6.61,1.29
1402,遠東新,14.11,3.78,0.82
1409,新纖,17.17,4.22,0.63
1410,南染,15.39,5.06,1.44
1413,宏洲,-,0.0,1.25
1414,東和,172.50,4.35,0.48
1416,廣豐,6.79,1.88,0.84
1417,嘉裕,-,0.0,0.55
1418,東華,-,0.0,1.26
1419,新紡,126.33,0.82,1.55
1423,利華,-,0.0,0.46
1432,大魯閣,-,0.0,1.24
1434,福懋,15.10,4.46,1.07
1435,中福,-,0.0,0.7
1436,華友聯,9.00,6.41,1.19
1437,勤益控,15.99,0.0,0.52
1438,三地開發,26.47,0.0,0.84
1439,雋揚,325.00,3.85,0.59
1440,南紡,40.74,1.95,0.9
1441,大東,-,0.0,0.8
1442,名軒,14.63,9.3,1.08
1443,立益物流,-,0.0,0.6
1444,力麗,37.78,5.75,0.72
1445,大宇,38.36,3.13,0.7
1446,宏和,1050.00,1.43,1.54
1447,力鵬,850.00,5.88,0.68
1449,佳和,8.73,0.0,0.67
1451,年興,17.97,8.14,0.89
1452,宏益,17.77,3.35,1.7
1453,大將,-,0.0,0.96
1454,台富,16.49,3.62,0.88
1455,集盛,-,1.67,0.99
1456,怡華,-,0.0,1.38
1457,宜進,17.29,2.48,0.85
1459,聯發,15.94,4.31,1.03
1460,宏遠,15.75,4.78,1.31
1463,強盛新,22.50,3.27,1.34
1464,得力,6.55,5.03,1.88
1465,偉全,16.21,6.17,0.87
1466,聚隆,47.00,3.55,0.82
1467,南緯,23.33,4.46,0.96
1468,昶和,-,0.0,1.3
1469,理隆,-,0.0,0.86
1470,大統新創,24.31,3.43,1.55
1471,首利,-,0.0,0.32
1472,三洋實業,-,0.0,3.18
1473,台南,28.75,6.32,0.89
1474,弘裕,16.25,3.36,0.64
1475,業旺,-,0.0,1.53
1476,儒鴻,36.88,1.86,11.06
1477,聚陽,26.03,3.05,5.5
1503,士電,14.88,4.05,0.9
1504,東元,12.24,4.52,0.99
1506,正道,84.09,0.0,1.79
1507,永大,10.14,5.83,1.75
1512,瑞利,-,0.0,0.37
1513,中興電,9.97,7.0,0.94
1514,亞力,15.19,5.49,0.61
1515,力山,11.94,0.0,0.78
1516,川飛,5.31,0.0,1.78
1517,利奇,14.35,4.52,0.71
1519,華城,18.41,3.97,1.26
1521,大億,12.85,5.78,3.06
1522,堤維西,12.02,5.33,1.04
1524,耿鼎,-,0.0,0.47
1525,江申,12.38,2.32,1.32
1526,日馳,14.29,0.0,1.21
1527,鑽全,7.53,8.15,1.72
1528,恩德,-,1.2,0.6
1529,樂事綠能,-,0.0,2.19
1530,亞崴,10.15,7.32,1.07
1531,高林股,21.01,4.82,0.74
1532,勤美,16.13,5.41,0.89
1533,車王電,15.47,1.88,1.14
1535,中宇,11.63,7.09,2.09
1536,和大,28.58,2.27,6.31
1537,廣隆,14.87,5.35,3.12
1538,正峰,-,0.0,0.66
1539,巨庭,13.09,2.92,2.28
1540,喬福,7.37,8.45,0.96
1541,錩泰,9.15,9.4,1.34
1558,伸興,11.47,5.96,2.2
1560,中砂,11.30,8.27,1.96
1568,倉佑,18.75,3.03,1.19
1582,信錦,7.45,10.18,1.17
1583,程泰,9.18,5.47,1.79
1589,永冠-KY,18.69,3.31,2.35
1590,亞德客-KY,14.58,3.79,2.37
1592,英瑞-KY,14.31,4.18,0.79
1603,華電,9.40,0.0,0.55
1604,聲寶,9.84,8.33,0.78
1605,華新,10.90,0.0,0.39
1608,華榮,-,0.0,0.46
1609,大亞,-,0.0,0.39
1611,中電,-,0.0,0.61
1612,宏泰,15.05,6.99,0.56
1613,台一,-,0.0,0.41
1614,三洋電,29.94,2.88,1.35
1615,大山,24.29,2.94,0.77
1616,億泰,3.45,0.0,0.5
1617,榮星,33.65,4.46,0.59
1618,合機,-,3.09,0.39
1626,艾美特-KY,-,0.0,0.98
1701,中化,14.96,3.11,1.05
1702,南僑,16.00,3.16,3.09
1704,榮化,-,0.0,1.13
1707,葡萄王,28.40,2.47,8.47
1708,東鹼,9.08,5.6,1.29
1709,和益,36.08,4.49,0.92
1710,東聯,154.23,4.99,1.06
1711,永光,17.76,5.26,1.25
1712,興農,15.76,6.21,0.94
1713,國化,26.69,3.32,1.1
1714,和桐,-,0.0,0.61
1715,萬洲,7.99,11.91,0.74
1717,長興,12.67,5.84,1.44
1718,中纖,7.29,0.0,0.43
1720,生達,14.08,3.33,1.57
1721,三晃,116.67,0.0,1.15
1722,台肥,15.64,4.58,0.9
1723,中碳,14.73,6.67,3.68
1724,台硝,37.43,1.44,0.98
1725,元禎,13.18,4.98,0.89
1726,永記,13.50,4.58,1.7
1727,中華化,16.19,5.88,1.28
1729,必翔,243.91,2.14,3.4
1730,花仙子,13.01,5.7,1.64
1731,美吾華,19.29,4.44,1.02
1732,毛寶,-,0.0,1.14
1733,五鼎,15.71,6.31,2.05
1734,杏輝,60.11,2.83,1.36
1735,日勝化,11.45,5.24,0.8
1736,喬山,9.09,2.25,2.43
1737,臺鹽,24.68,4.36,0.78
1762,中化生,11.85,1.61,1.36
1773,勝一,11.12,6.53,1.52
1783,和康生,-,0.0,1.97
1786,科妍,-,0.0,2.82
1789,神隆,54.18,1.82,2.45
1802,台玻,127.27,0.0,0.71
1805,寶徠,-,0.0,0.86
1806,冠軍,-,0.0,0.43
1808,潤隆,8.07,13.7,1.29
1809,中釉,11.22,4.95,0.53
1810,和成,16.60,3.61,0.53
1817,凱撒衛,13.18,5.14,1.78
1902,台紙,54.00,0.0,0.74
1903,士紙,-,0.0,2.04
1904,正隆,7.65,3.07,0.64
1905,華紙,48.89,1.14,0.62
1906,寶隆,35.91,0.0,0.48
1907,永豐餘,21.57,4.03,0.42
1909,榮成,9.22,7.63,0.67
2002,中鋼,14.55,4.41,1.13
2006,東和鋼鐵,20.05,6.3,0.88
2007,燁興,-,0.0,0.49
2008,高興昌,-,0.0,0.63
2009,第一銅,52.47,5.08,0.73
2010,春源,13.24,5.1,0.61
2012,春雨,27.90,3.58,1.0
2013,中鋼構,17.57,4.03,0.85
2014,中鴻,-,0.0,0.86
2015,豐興,11.88,6.93,1.29
2017,官田鋼,-,0.0,0.49
2020,美亞,12.10,5.9,0.95
2022,聚亨,-,0.0,0.47
2023,燁輝,9.21,6.24,0.49
2024,志聯,5.36,11.94,0.58
