108年07月01日 個股日本益比、殖利率及股價淨值比,108年07月01日 個股日本益比、殖利率及股價淨值比,108年07月01日 個股日本益比、殖利率及股價淨值比,108年07月01日 個股日本益比、殖利率及股價淨值比,108年07月01日 個股日本益比、殖利率及股價淨值比,108年07月01日 個股日本益比、殖利率及股價淨值比,108年07月01日 個股日本益比、殖利率及股價淨值比,108年07月01日 個股日本益比、殖利率及股價淨值比
證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1101,台泥,46.15,8.67,107,11.04,1.26,108/1
1102,亞泥,47.7,5.87,107,13.21,1.12,108/1
1103,嘉泥,17.1,5.85,107,16.29,0.53,108/1
1104,環泥,19.95,5.01,107,10.78,0.72,108/1
1108,幸福,6.96,0.0,107,-,0.67,108/1
1109,信大,19.15,4.18,107,7.75,1.02,108/1
1110,東泥,16.8,0.6,107,120.00,1.11,108/1
1201,味全,32.9,2.43,107,8.39,2.25,108/1
1203,味王,26.4,3.79,107,13.13,1.29,108/1
1210,大成,39.15,5.11,107,17.17,1.65,108/1
1215,卜蜂,67.9,4.42,107,19.57,2.49,108/1
1216,統一,81.5,3.07,107,25.15,4.08,108/1
1217,愛之味,7.13,0.0,107,142.60,0.63,108/1
1218,泰山,19.55,4.09,107,19.36,1.46,108/1
1219,福壽,18.0,0.56,107,-,1.52,108/1
1220,台榮,11.2,4.11,107,28.72,0.88,108/1
1225,福懋油,75.0,1.53,107,65.22,5.03,108/1
1227,佳格,60.7,4.12,107,18.39,3.29,108/1
1229,聯華,37.45,5.61,107,13.14,1.45,108/1
1231,聯華食,46.75,4.92,107,15.03,2.2,108/1
1232,大統益,129.0,3.88,107,20.51,4.94,108/1
1233,天仁,39.1,4.86,107,19.65,2.18,108/1
1234,黑松,32.95,4.86,107,17.81,0.74,108/1
1235,興泰,28.35,4.41,107,39.93,0.53,108/1
1236,宏亞,13.55,2.95,107,-,0.81,108/1
1256,鮮活果汁-KY,197.0,3.65,107,12.97,3.23,108/1
1262,綠悅-KY,31.65,0.0,107,-,0.5,108/1
1301,台塑,115.0,5.04,107,15.97,1.96,108/1
1303,南亞,78.8,6.35,107,14.10,1.61,108/1
1304,台聚,11.9,2.52,107,23.33,0.68,108/1
1305,華夏,23.9,7.95,107,13.20,1.42,108/1
1307,三芳,24.6,2.03,107,32.37,1.17,108/1
1308,亞聚,13.9,2.16,107,22.79,0.78,108/1
1309,台達化,10.65,3.76,107,16.38,0.82,108/1
