有價證券代號,有價證券名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,備註
1460,宏遠,TW0001460004,1995/4/28,上市,紡織纖維,ESVUFR,
1463,強盛新,TW0001463008,1996/12/5,上市,紡織纖維,ESVUFR,
1464,得力,TW0001464006,1997/1/18,上市,紡織纖維,ESVUFR,
1465,偉全,TW0001465003,1997/9/8,上市,紡織纖維,ESVUFR,
1466,聚隆,TW0001466001,1998/4/4,上市,紡織纖維,ESVUFR,
1467,南緯,TW0001467009,1998/12/21,上市,紡織纖維,ESVUFR,
1468,昶和,TW0001468007,1999/1/21,上市,紡織纖維,ESVUFR,
1470,大統新創,TW0001470003,1999/5/21,上市,紡織纖維,ESVUFR,
1471,首利,TW0001471001,2000/3/6,上市,電子零組件業,ESVUFR,
1472,三洋實業,TW0001472009,2000/9/11,上市,建材營造業,ESVUFR,
1473,台南,TW0001473007,2000/9/11,上市,紡織纖維,ESVUFR,
1474,弘裕,TW0001474005,2000/10/31,上市,紡織纖維,ESVUFR,
1475,業旺,TW0001475002,2000/10/27,上市,紡織纖維,ESVUFR,
1476,儒鴻,TW0001476000,2001/4/18,上市,紡織纖維,ESVUFR,
1477,聚陽,TW0001477008,2003/1/21,上市,紡織纖維,ESVUFR,
1503,士電,TW0001503001,1969/12/15,上市,電機機械,ESVUFR,
1504,東元,TW0001504009,1973/11/5,上市,電機機械,ESVUFR,
1506,正道,TW0001506004,1980/8/11,上市,電機機械,ESVUFR,
1512,瑞利,TW0001512002,1994/1/28,上市,汽車工業,ESVUFR,
1513,中興電,TW0001513000,1994/3/8,上市,電機機械,ESVUFR,
1514,亞力,TW0001514008,1994/3/26,上市,電機機械,ESVUFR,
1515,力山,TW0001515005,1995/2/4,上市,電機機械,ESVUFR,
1516,川飛,TW0001516003,1995/4/1,上市,其他業,ESVUFR,
1517,利奇,TW0001517001,1995/11/14,上市,電機機械,ESVUFR,
1519,華城,TW0001519007,1997/4/16,上市,電機機械,ESVUFR,
1521,大億,TW0001521003,1997/10/6,上市,汽車工業,ESVUFR,
1522,堤維西,TW0001522001,1997/10/6,上市,汽車工業,ESVUFR,
1524,耿鼎,TW0001524007,1998/10/30,上市,汽車工業,ESVUFR,
1525,江申,TW0001525004,1999/5/15,上市,汽車工業,ESVUFR,
1526,日馳,TW0001526002,2000/3/27,上市,電機機械,ESVUFR,
1527,鑽全,TW0001527000,2000/6/21,上市,電機機械,ESVUFR,
1528,恩德,TW0001528008,2000/9/11,上市,電機機械,ESVUFR,
1529,樂事綠能,TW0001529006,2000/9/11,上市,電機機械,ESVUFR,
1530,亞崴,TW0001530004,2000/9/11,上市,電機機械,ESVUFR,
1531,高林股,TW0001531002,2000/9/11,上市,電機機械,ESVUFR,
1532,勤美,TW0001532000,2000/9/11,上市,電機機械,ESVUFR,
1533,車王電,TW0001533008,2001/4/6,上市,汽車工業,ESVUFR,
1535,中宇,TW0001535003,2001/9/17,上市,電機機械,ESVUFR,
1536,和大,TW0001536001,2001/9/17,上市,汽車工業,ESVUFR,
